latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.0328,-89.206,343.5,1,1,2024-01-01,1949,Aqua,MODIS,92,61.03,304.8,39.8,D,0
14.0239,-89.2047,377,1,1,2024-01-01,1949,Aqua,MODIS,100,61.03,306.1,131.5,D,0
14.0226,-89.2138,326.9,1,1,2024-01-01,1949,Aqua,MODIS,79,61.03,303.2,15.2,D,0
13.9937,-89.6444,311.8,1.5,1.2,2024-01-03,1933,Aqua,MODIS,30,61.03,295.7,7.4,D,0
13.4254,-89.0247,321.9,1.4,1.2,2024-01-03,1933,Aqua,MODIS,69,61.03,302,13.8,D,0
13.4234,-89.037,323.1,1.4,1.2,2024-01-03,1933,Aqua,MODIS,71,61.03,302.1,16.9,D,0
13.6379,-88.7875,315.9,1.3,1.1,2024-01-03,1933,Aqua,MODIS,59,61.03,301.4,8,D,2
13.9859,-89.1883,319.1,1.5,1.2,2024-01-04,1543,Terra,MODIS,73,61.03,295.6,19.6,D,0
14.0248,-89.2047,316,1.5,1.2,2024-01-04,1543,Terra,MODIS,69,61.03,295.8,14.7,D,0
13.9751,-89.1896,325,1.5,1.2,2024-01-04,1543,Terra,MODIS,79,61.03,294.9,29.6,D,0
14.0065,-89.188,316.4,2,1.4,2024-01-05,1624,Terra,MODIS,58,61.03,298.1,20.9,D,0
14.3334,-89.4458,310.8,1.9,1.3,2024-01-05,1624,Terra,MODIS,60,61.03,297.9,11,D,2
14.0109,-89.1815,319.6,2,1.4,2024-01-05,1624,Terra,MODIS,74,61.03,297.9,29.6,D,0
13.9312,-89.1834,311.6,2,1.4,2024-01-05,1624,Terra,MODIS,41,61.03,298.2,12.1,D,0
13.641,-88.7858,313.3,1.1,1.1,2024-01-07,1607,Terra,MODIS,52,61.03,300.4,6,D,2
13.3482,-88.1368,321.4,1,1,2024-01-08,1943,Aqua,MODIS,67,61.03,306.8,8.5,D,0
13.8614,-90.0845,330,1.1,1,2024-01-08,1944,Aqua,MODIS,81,61.03,308.2,18,D,0
13.7846,-89.3117,328,1,1,2024-01-08,1944,Aqua,MODIS,61,61.03,307.4,18.3,D,0
13.7831,-89.3213,334.4,1,1,2024-01-08,1944,Aqua,MODIS,75,61.03,306.4,25.8,D,0
13.9918,-89.646,315.7,1.1,1,2024-01-08,1944,Aqua,MODIS,42,61.03,304.6,5.6,D,0
14.0402,-89.1929,326.1,1.1,1,2024-01-09,0337,Terra,MODIS,100,61.03,293.9,26.5,N,0
14.0388,-89.2027,323.7,1.1,1,2024-01-09,0337,Terra,MODIS,100,61.03,293.7,23.4,N,0
13.969,-89.1776,320.1,1.7,1.3,2024-01-10,1928,Aqua,MODIS,72,61.03,303,16.5,D,0
13.7934,-89.5298,316.4,1.7,1.3,2024-01-11,2009,Aqua,MODIS,55,61.03,301.3,12.9,D,0
13.3086,-88.3628,314.8,1.5,1.2,2024-01-12,1614,Terra,MODIS,52,61.03,299.2,11.6,D,0
14.0576,-89.2252,308.6,1,1,2024-01-14,0344,Terra,MODIS,75,61.03,293.7,7.5,N,0
13.3173,-88.5054,319.6,1,1,2024-01-14,1557,Terra,MODIS,49,61.03,302.6,6.4,D,0
13.8073,-89.2902,311.5,1,1,2024-01-14,1557,Terra,MODIS,32,61.03,296.4,4.9,D,0
13.6401,-88.7905,317.8,1.1,1.1,2024-01-15,1938,Aqua,MODIS,34,61.03,304.8,5.7,D,2
13.6551,-89.7231,325.8,1.3,1.1,2024-01-15,1939,Aqua,MODIS,76,61.03,300.6,20.7,D,0
13.6533,-89.7346,342.5,1.3,1.1,2024-01-15,1939,Aqua,MODIS,91,61.03,300.9,54.4,D,0
14.2417,-89.2691,302.8,2.4,1.5,2024-01-17,0833,Aqua,MODIS,51,61.03,292.6,14.3,N,0
13.4101,-88.8013,304.8,1.1,1,2024-01-19,0350,Terra,MODIS,56,61.03,294.6,5.7,N,0
13.4087,-88.8112,326.2,1.1,1,2024-01-19,0350,Terra,MODIS,100,61.03,295.4,26.8,N,0
13.8505,-89.1782,313.9,1,1,2024-01-19,1603,Terra,MODIS,53,61.03,300.2,5.5,D,0
13.9961,-89.1678,355.2,1,1,2024-01-20,1949,Aqua,MODIS,97,61.03,307.2,59.9,D,0
13.9948,-89.1769,343.8,1,1,2024-01-20,1949,Aqua,MODIS,91,61.03,306.5,36,D,0
13.5665,-89.729,306.3,1.3,1.1,2024-01-21,0333,Terra,MODIS,68,61.03,290.9,7.9,N,0
13.4691,-88.7796,317.8,1.2,1.1,2024-01-21,1546,Terra,MODIS,70,61.03,286,15.3,D,0
13.4676,-88.7685,340.5,1.2,1.1,2024-01-21,1546,Terra,MODIS,90,61.03,286.5,54.8,D,0
14.003,-89.6384,321.5,1.5,1.2,2024-01-22,1933,Aqua,MODIS,62,61.03,306.5,15.7,D,0
13.3973,-88.5055,322.5,1.3,1.1,2024-01-22,1933,Aqua,MODIS,61,61.03,306.1,13.7,D,0
14.0138,-89.6403,320.8,1.5,1.2,2024-01-22,1933,Aqua,MODIS,57,61.03,306.1,14.5,D,0
14.0482,-89.2682,321.6,2.4,1.5,2024-01-23,0316,Terra,MODIS,100,61.03,284.8,69.5,N,0
