latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.453,37.6992,327.8,1.4,1.2,2024-01-01,1135,Aqua,MODIS,63,61.03,312.3,13.8,D,0
15.4513,37.6861,329.5,1.4,1.2,2024-01-01,1135,Aqua,MODIS,68,61.03,312.9,17.5,D,0
14.4658,37.6393,302.3,4.3,1.9,2024-01-02,1837,Terra,MODIS,48,61.03,291.5,42.8,N,0
14.3213,37.6433,324.4,1,1,2024-01-03,1119,Aqua,MODIS,39,61.03,313.1,6.8,D,0
14.4987,37.7012,331.5,3.4,1.7,2024-01-11,1156,Aqua,MODIS,70,61.03,311.6,99.7,D,0
14.504,37.7054,343.2,3.4,1.7,2024-01-11,1156,Aqua,MODIS,87,61.03,311.9,201.5,D,0
14.5034,37.7067,303.3,2.8,1.6,2024-01-11,1947,Terra,MODIS,54,61.03,290.5,27.1,N,0
14.538,37.7174,320.1,2.3,1.5,2024-01-12,0800,Terra,MODIS,26,61.03,307,24.7,D,0
14.5472,37.7403,337.5,2.3,1.5,2024-01-12,0800,Terra,MODIS,86,61.03,306.6,98,D,0
14.5509,37.7197,349,2.3,1.5,2024-01-12,0800,Terra,MODIS,94,61.03,308.6,168,D,0
14.5361,37.7316,323.2,2.3,1.5,2024-01-12,0800,Terra,MODIS,67,61.03,307.5,39.7,D,0
14.549,37.734,344.7,2.3,1.5,2024-01-12,0800,Terra,MODIS,91,61.03,307.5,142.9,D,0
14.5525,37.7134,331.8,2.3,1.5,2024-01-12,0800,Terra,MODIS,80,61.03,307.8,71,D,0
14.5344,37.7379,321.4,2.3,1.5,2024-01-12,0800,Terra,MODIS,39,61.03,307.3,30.2,D,0
14.4909,37.6836,347.9,1.2,1.1,2024-01-14,0743,Terra,MODIS,93,61.03,305.8,60.3,D,0
14.4893,37.6941,336.9,1.2,1.1,2024-01-14,0743,Terra,MODIS,86,61.03,305.4,36.1,D,0
14.4763,37.6688,324.6,3.6,1.8,2024-01-14,1044,Aqua,MODIS,67,61.03,306.4,59.6,D,0
14.4824,37.7015,323.6,3.6,1.8,2024-01-14,1044,Aqua,MODIS,65,61.03,305.4,51.8,D,0
14.4135,37.4073,315.7,2.1,1.4,2024-01-18,0709,Terra,MODIS,65,61.03,298.5,17.6,D,0
14.4359,37.4163,322.8,1.4,1.2,2024-01-19,0749,Terra,MODIS,70,61.03,304.3,18.6,D,0
14.438,37.4035,320,1.4,1.2,2024-01-19,0749,Terra,MODIS,55,61.03,303.1,13.4,D,0
