latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.4279,26.7557,303.1,1.4,1.2,2024-04-01,0929,Terra,MODIS,55,61.03,289.3,6.9,D,0
59.3125,24.2084,310.7,1,1,2024-05-18,1129,Aqua,MODIS,55,61.03,300.2,6.9,D,0
57.8966,27.0227,306.7,1.1,1,2024-05-19,0906,Terra,MODIS,31,61.03,295.8,3.8,D,0
59.4055,27.3923,333.9,1,1,2024-05-22,1905,Terra,MODIS,100,61.03,285.2,37.6,N,0
59.4031,27.3754,308.1,1,1,2024-05-22,1905,Terra,MODIS,73,61.03,283.3,11.5,N,0
59.035,25.9425,306.1,1,1,2024-05-26,0854,Terra,MODIS,15,61.03,290.9,3.6,D,0
58.5123,27.0151,313.9,1.2,1.1,2024-05-28,1144,Aqua,MODIS,59,61.03,301.1,7.6,D,0
59.2977,25.6133,308.5,1.8,1.3,2024-05-29,1047,Aqua,MODIS,56,61.03,270.1,20.9,D,0
58.6045,26.7097,307.7,1,1,2024-05-31,0859,Terra,MODIS,26,61.03,291,4.7,D,0
58.5944,24.719,305.4,1.2,1.1,2024-06-03,0922,Terra,MODIS,23,61.03,292.1,7.5,D,0
58.3835,26.4666,307.1,1,1,2024-06-16,1133,Aqua,MODIS,25,61.03,290.3,6,D,0
58.3202,26.2406,305,1.6,1.3,2024-06-30,0930,Terra,MODIS,21,61.03,289.5,8,D,0
58.3208,26.2356,304.6,1.6,1.3,2024-06-30,0930,Terra,MODIS,41,61.03,289.6,7.7,D,0
58.2155,26.4118,304.4,1,1,2024-07-15,1135,Aqua,MODIS,13,61.03,292.6,2.4,D,2
58.0892,25.0295,303.1,1.1,1,2024-07-22,1125,Aqua,MODIS,25,61.03,291.1,2.9,D,0
58.4741,24.4902,308.4,2.5,1.5,2024-07-25,0955,Terra,MODIS,28,61.03,288.4,14.4,D,0
59.4455,26.5919,302.5,1,1,2024-07-27,1131,Aqua,MODIS,25,61.03,287.3,3.1,D,0
58.8969,22.6252,301,1.5,1.2,2024-08-19,1220,Aqua,MODIS,26,61.03,290.1,4.8,D,0
59.306,26.4427,302.3,1,1,2024-09-09,1144,Aqua,MODIS,27,61.03,291.9,2.2,D,0
58.1146,25.5922,311,1,1,2024-09-14,1149,Aqua,MODIS,71,61.03,289.4,9.6,D,0
59.4267,26.2797,303.1,1.6,1.3,2024-10-17,1059,Aqua,MODIS,52,61.03,282.5,16.2,D,0
