latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.1245,177.5122,321,1,1,2024-01-02,0215,Aqua,MODIS,76,61.03,299.7,10.9,D,0
-18.1271,177.4379,319.3,1.1,1.1,2024-01-03,2146,Terra,MODIS,52,61.03,296.9,9.2,D,0
-18.1288,177.4484,321.6,1.1,1.1,2024-01-03,2146,Terra,MODIS,70,61.03,297.6,11.9,D,0
-17.5856,177.523,314.8,1,1,2024-04-16,0221,Aqua,MODIS,68,61.03,298.1,7.5,D,0
-17.7733,177.4248,313.6,1.1,1,2024-05-10,0222,Aqua,MODIS,54,61.03,302.6,5.8,D,0
-17.8835,177.2975,313.4,1.3,1.1,2024-06-06,0244,Aqua,MODIS,71,61.03,298.6,9.7,D,0
-17.8329,177.6763,304.7,1,1,2024-06-08,0227,Aqua,MODIS,58,61.03,289.6,4.4,D,0
-17.8342,177.667,309.7,1,1,2024-06-08,0227,Aqua,MODIS,68,61.03,291.1,7.7,D,0
-17.6028,177.8604,307.8,1,1,2024-06-08,0227,Aqua,MODIS,65,61.03,287.1,6.8,D,0
-17.8744,177.3336,310.4,1.7,1.3,2024-06-10,0210,Aqua,MODIS,67,61.03,299.2,8.3,D,0
-17.7689,177.431,317.2,1.2,1.1,2024-06-18,0242,Aqua,MODIS,0,61.03,298.5,10.5,D,0
-17.3687,178.1351,310.8,1,1,2024-06-20,0225,Aqua,MODIS,32,61.03,297.9,5.3,D,0
-17.8127,177.5481,313.3,1.9,1.3,2024-06-22,0208,Aqua,MODIS,58,61.03,299,20,D,0
-18.013,177.7125,308.1,1.6,1.2,2024-06-23,0249,Aqua,MODIS,59,61.03,296.4,8.3,D,0
-17.5249,177.9438,321,1.3,1.1,2024-06-24,1421,Aqua,MODIS,100,61.03,288.9,27.5,N,0
-17.5264,177.9549,307,1.3,1.1,2024-06-24,1421,Aqua,MODIS,50,61.03,288,11.2,N,0
-16.7507,178.6963,310.2,1.1,1,2024-06-25,0232,Aqua,MODIS,50,61.03,299.2,6,D,0
-17.535,177.7913,320.8,1.4,1.2,2024-06-27,0215,Aqua,MODIS,78,61.03,297.6,21.2,D,0
-16.7323,178.7142,310.5,1.2,1.1,2024-06-27,0216,Aqua,MODIS,70,61.03,298.4,7,D,0
-16.7338,178.7031,321.7,1.2,1.1,2024-06-27,0216,Aqua,MODIS,81,61.03,298.4,19.2,D,0
-17.837,177.5099,309.6,1,1,2024-06-28,2141,Terra,MODIS,59,61.03,298.8,5.1,D,0
-17.7505,177.5286,311,1.1,1,2024-06-30,0239,Aqua,MODIS,55,61.03,298.3,5.8,D,0
