latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.3093,25.5217,304.2,1,1,2024-01-10,1919,Terra,MODIS,59,61.03,271.9,11.5,N,2
60.9359,27.6567,300.5,1,1,2024-04-27,0900,Terra,MODIS,0,61.03,282.9,5.1,D,0
61.321,22.1272,301.4,1.2,1.1,2024-04-28,0941,Terra,MODIS,41,61.03,286.7,6.8,D,0
60.8311,21.5892,304.4,1.1,1.1,2024-05-01,1122,Aqua,MODIS,59,61.03,292,6,D,0
62.6392,26.845,304.5,1.8,1.3,2024-05-02,1025,Aqua,MODIS,0,61.03,285.6,18,D,0
63.879,26.4849,300.4,1.5,1.2,2024-05-08,0951,Terra,MODIS,36,61.03,278,13.4,D,0
62.5883,22.1563,315.9,1.1,1.1,2024-05-08,1114,Aqua,MODIS,76,61.03,283.7,18.5,D,0
61.4025,22.5215,305.9,1.1,1.1,2024-05-14,0900,Terra,MODIS,60,61.03,286.4,7,D,0
61.4002,22.5421,327,1.1,1.1,2024-05-14,0900,Terra,MODIS,84,61.03,286.8,29.1,D,0
61.3985,21.8931,319.8,1.1,1,2024-05-15,0128,Aqua,MODIS,99,61.03,280.3,23.7,N,0
61.4075,21.8978,301.9,1.1,1,2024-05-15,0128,Aqua,MODIS,45,61.03,279.3,9.2,N,0
63.49,26.93,311.3,1.4,1.2,2024-05-15,0939,Terra,MODIS,69,61.03,292.7,12.4,D,0
63.4848,26.9542,310.5,1.4,1.2,2024-05-15,0939,Terra,MODIS,52,61.03,293.3,11.4,D,0
62.356,27.2107,306.8,1.5,1.2,2024-05-15,0940,Terra,MODIS,0,61.03,287.9,12.7,D,0
63.6687,24.3792,300.5,2.2,1.5,2024-05-16,1020,Terra,MODIS,19,61.03,285,7.5,D,0
61.2316,25.4117,312,1.2,1.1,2024-05-16,1146,Aqua,MODIS,60,61.03,296.9,8.1,D,0
61.2293,25.3901,311,1.2,1.1,2024-05-16,1146,Aqua,MODIS,59,61.03,298.3,6.8,D,0
62.8886,24.9724,310.5,1.2,1.1,2024-05-16,1147,Aqua,MODIS,65,61.03,295.5,9.1,D,0
62.8861,24.949,318.9,1.2,1.1,2024-05-16,1147,Aqua,MODIS,76,61.03,296.7,18.2,D,0
60.8376,21.5793,308.6,1,1,2024-05-17,0923,Terra,MODIS,33,61.03,295.6,4.6,D,0
60.8291,21.5739,308.8,1,1,2024-05-17,0923,Terra,MODIS,35,61.03,296.8,4.6,D,0
61.9459,23.786,304.9,1.1,1,2024-05-17,1900,Terra,MODIS,62,61.03,287,8.4,N,0
62.4096,24.2081,300,1,1,2024-05-17,1900,Terra,MODIS,9,61.03,286.7,5.3,N,0
62.4111,24.2312,305,1.8,1.3,2024-05-18,1003,Terra,MODIS,54,61.03,293.4,10.5,D,0
61.5063,21.7076,316.1,1.6,1.3,2024-05-18,1003,Terra,MODIS,73,61.03,295.9,21.8,D,0
61.4997,21.7352,331.7,1.7,1.3,2024-05-18,1003,Terra,MODIS,86,61.03,296.3,56.2,D,0
61.5003,21.7303,327.4,1.7,1.3,2024-05-18,1003,Terra,MODIS,83,61.03,296.1,45.5,D,0
62.4128,24.2189,314.3,1,1,2024-05-18,1130,Aqua,MODIS,71,61.03,296.6,9.7,D,0
62.4102,24.2003,306.8,1,1,2024-05-18,1130,Aqua,MODIS,54,61.03,296.7,4.2,D,0
62.7731,22.5541,319.6,1,1,2024-05-18,1130,Aqua,MODIS,77,61.03,298,12.5,D,0
64.6487,24.4417,303,1.3,1.1,2024-05-21,0847,Terra,MODIS,0,61.03,289,8.9,D,0
61.9322,25.834,303.9,1.1,1.1,2024-05-21,0848,Terra,MODIS,57,61.03,288.5,6.9,D,0
61.9298,25.8548,326.4,1.1,1.1,2024-05-21,0848,Terra,MODIS,84,61.03,288.5,29.6,D,0
62.056,25.9298,300,2.5,1.5,2024-05-21,1017,Aqua,MODIS,16,61.03,285.9,17.2,D,0
60.6966,24.304,313.3,1.2,1.1,2024-05-21,1154,Aqua,MODIS,65,61.03,293,14.4,D,0
60.6943,24.2821,345.2,1.2,1.1,2024-05-21,1154,Aqua,MODIS,71,61.03,295.2,69.1,D,0
61.963,27.413,307.2,3.1,1.7,2024-05-22,0750,Terra,MODIS,45,61.03,289.1,35.9,D,0
61.9641,27.4075,307.7,3.1,1.7,2024-05-22,0750,Terra,MODIS,0,61.03,289.1,40.7,D,0
61.9646,27.3987,305.3,1.3,1.1,2024-05-22,0928,Terra,MODIS,31,61.03,294.6,7.2,D,0
62.9544,27.2834,308,1.4,1.2,2024-05-23,0830,Terra,MODIS,57,61.03,294.5,8.9,D,0
63.6144,29.8487,307,1.2,1.1,2024-05-23,0830,Terra,MODIS,56,61.03,286,8.8,D,0
62.9513,27.276,307.1,2.4,1.5,2024-05-23,1008,Terra,MODIS,55,61.03,293.1,20.8,D,0
62.9526,27.2642,328.2,1.2,1.1,2024-05-23,1138,Aqua,MODIS,73,61.03,296.8,31.5,D,0
62.9551,27.2879,308.7,1.2,1.1,2024-05-23,1138,Aqua,MODIS,58,61.03,295.8,7.2,D,0
62.3857,21.3778,316.3,1,1,2024-05-23,1138,Aqua,MODIS,69,61.03,299.3,9.9,D,0
62.3829,21.3594,315.5,1,1,2024-05-23,1138,Aqua,MODIS,64,61.03,298.4,9.7,D,0
61.1124,24.1196,311.5,1,1,2024-05-25,0144,Aqua,MODIS,83,61.03,283.7,14.3,N,0
60.6237,26.8103,300.5,2.3,1.5,2024-05-26,1024,Aqua,MODIS,12,61.03,286,6.5,D,0
60.6011,26.6815,302.2,2.3,1.5,2024-05-26,1024,Aqua,MODIS,28,61.03,285.7,9,D,0
66.0254,27.6353,308.3,1.1,1.1,2024-05-27,0932,Terra,MODIS,58,61.03,296.6,6.2,D,0
66.027,27.6454,317.8,1,1,2024-05-27,1106,Aqua,MODIS,76,61.03,297.3,12.1,D,0
66.0239,27.6246,323,1,1,2024-05-27,1106,Aqua,MODIS,80,61.03,297.2,17.3,D,0
69.5364,26.9115,300.5,2.6,1.6,2024-05-27,1109,Terra,MODIS,16,61.03,285.8,8.6,D,0
66.0211,27.6105,322.2,4.6,2,2024-05-27,1244,Aqua,MODIS,80,61.03,292.4,157.3,D,0
66.0198,27.6199,322.1,4.6,2,2024-05-27,1244,Aqua,MODIS,70,61.03,292.5,164.9,D,0
62.8768,31.0933,309.9,1.4,1.2,2024-05-27,1911,Terra,MODIS,79,61.03,289.2,16.7,N,0
62.8746,31.067,372.6,1.4,1.2,2024-05-27,1911,Terra,MODIS,100,61.03,292.2,198.9,N,0
62.3479,25.1333,303.1,1,1,2024-05-27,1911,Terra,MODIS,53,61.03,287.5,6.9,N,0
64.4086,25.2905,306.5,1.5,1.2,2024-05-28,0835,Terra,MODIS,43,61.03,291,7.4,D,0
