latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.0423,2.2968,304.9,1,1,2024-01-03,2106,Terra,MODIS,62,61.03,279.1,9.6,N,2
43.7754,4.4736,302.8,1,1,2024-01-08,1005,Terra,MODIS,54,61.03,278,8.9,D,0
42.7365,2.5954,320.3,1,1,2024-01-08,1316,Aqua,MODIS,80,61.03,279.8,21.9,D,0
43.4434,4.9,302.2,1.1,1,2024-01-08,1317,Aqua,MODIS,0,61.03,280.2,8.8,D,2
51.0424,2.3036,301.3,1,1,2024-01-10,1303,Aqua,MODIS,35,61.03,271.2,9.2,D,2
51.0402,2.2895,306.8,1,1,2024-01-10,1303,Aqua,MODIS,0,61.03,272,12.5,D,2
43.4451,4.8951,304.3,1,1,2024-01-13,1011,Terra,MODIS,44,61.03,270.8,10.6,D,2
43.4473,4.8924,309.1,1.3,1.1,2024-01-13,1327,Aqua,MODIS,52,61.03,283.4,17.5,D,2
43.4492,4.8996,309.6,1.1,1.1,2024-01-15,0954,Terra,MODIS,60,61.03,281.8,14.4,D,2
41.4608,9.2264,316.7,1.3,1.1,2024-01-15,1311,Aqua,MODIS,58,61.03,286.5,24.2,D,0
43.7479,4.6617,310.6,1,1,2024-01-15,1312,Aqua,MODIS,70,61.03,283.5,11.8,D,0
43.7462,4.6494,303.3,1,1,2024-01-15,1312,Aqua,MODIS,55,61.03,284.3,7,D,0
51.0461,2.2945,313.4,1,1,2024-01-16,1033,Terra,MODIS,0,61.03,275.8,16.8,D,2
43.5814,4.3699,312.3,1.1,1,2024-01-20,1001,Terra,MODIS,63,61.03,277.2,16.5,D,0
43.5798,4.3826,314.8,1.1,1,2024-01-20,1001,Terra,MODIS,71,61.03,277.8,18.5,D,0
43.4473,4.8997,300.7,1,1,2024-01-20,1001,Terra,MODIS,35,61.03,277.9,8.1,D,2
51.0423,2.2976,305.4,1.1,1.1,2024-01-22,2052,Terra,MODIS,64,61.03,279,12.5,N,2
51.0456,2.3055,326,1,1,2024-01-23,0239,Aqua,MODIS,100,61.03,279,29.9,N,2
44.4013,6.0199,303.4,1.4,1.2,2024-01-23,1024,Terra,MODIS,41,61.03,275.6,14.5,D,0
44.4084,6.0397,301.8,1.4,1.2,2024-01-23,1024,Terra,MODIS,33,61.03,275.3,13.4,D,0
43.447,4.9069,312.2,1,1,2024-01-25,1007,Terra,MODIS,63,61.03,288.3,12,D,2
43.4488,4.8949,330.2,1,1,2024-01-25,1007,Terra,MODIS,75,61.03,289,30.2,D,2
42.978,-0.3518,316.9,1,1,2024-01-25,1332,Aqua,MODIS,64,61.03,293.7,14.5,D,0
42.9137,-0.6078,301.9,1,1,2024-01-25,1332,Aqua,MODIS,50,61.03,287.7,5.7,D,0
42.2587,8.8682,333.4,2.5,1.5,2024-01-25,1332,Aqua,MODIS,88,61.03,291.8,126.7,D,0
42.9851,-0.3661,314.6,1,1,2024-01-25,1332,Aqua,MODIS,61,61.03,289,11.6,D,0
43.4452,4.8935,304.1,1.1,1,2024-01-25,2113,Terra,MODIS,59,61.03,282.5,10.1,N,2
43.0205,0.1198,306.9,3.1,1.7,2024-01-26,1413,Aqua,MODIS,64,61.03,283.2,45.6,D,0
43.4445,4.8972,300.7,1.2,1.1,2024-01-27,0950,Terra,MODIS,33,61.03,284.9,6.6,D,2
43.4449,4.8978,306.7,1,1,2024-01-27,1316,Aqua,MODIS,0,61.03,290.7,7.6,D,2
43.716,4.2335,304.5,1,1,2024-01-27,1316,Aqua,MODIS,59,61.03,288.4,6.6,D,0
42.9984,-0.5113,327.5,1.2,1.1,2024-01-27,1316,Aqua,MODIS,85,61.03,288.8,33.7,D,0
43.003,-0.5034,309.6,1.2,1.1,2024-01-27,1316,Aqua,MODIS,69,61.03,288.2,12.7,D,0
43.0001,-0.5194,319.2,1.2,1.1,2024-01-27,1316,Aqua,MODIS,79,61.03,288.8,23.1,D,0
43.0551,-0.6627,310.2,1.2,1.1,2024-01-27,1317,Aqua,MODIS,67,61.03,287.4,13.5,D,0
43.0455,-0.6602,310.9,1.2,1.1,2024-01-27,1317,Aqua,MODIS,68,61.03,290,14.4,D,0
44.3598,3.769,306.2,1.3,1.1,2024-01-28,1030,Terra,MODIS,63,61.03,276.2,15.1,D,0
