latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.1115,-52.7019,314.5,1.3,1.1,2024-01-14,1716,Aqua,MODIS,73,61.03,294.1,12,D,0
5.444,-53.292,311.3,1,1,2024-01-19,1726,Aqua,MODIS,62,61.03,297.8,5.4,D,0
5.3498,-52.966,315.9,1.2,1.1,2024-01-27,1318,Terra,MODIS,61,61.03,295.1,11.5,D,0
5.3111,-52.8802,307.8,2.1,1.4,2024-01-28,1705,Aqua,MODIS,54,61.03,293.5,13.6,D,0
2.4423,-53.7745,302.9,1.8,1.3,2024-02-21,1351,Terra,MODIS,15,61.03,287.6,4.6,D,0
5.7213,-53.8878,310.3,1.1,1,2024-02-28,1339,Terra,MODIS,43,61.03,296.1,5.5,D,0
4.9702,-52.4555,309.9,1.8,1.3,2024-03-11,1710,Aqua,MODIS,63,61.03,287,11.5,D,0
4.9705,-52.4648,307.2,1.8,1.3,2024-03-11,1710,Aqua,MODIS,31,61.03,284.4,6.9,D,0
4.4783,-52.5081,310.3,2,1.4,2024-03-21,1347,Terra,MODIS,64,61.03,293.2,16.2,D,0
4.4749,-52.5152,311,2,1.4,2024-03-21,1347,Terra,MODIS,65,61.03,293,17.5,D,0
4.5912,-52.4484,320.3,1,1,2024-03-21,1728,Aqua,MODIS,75,61.03,297.7,12.4,D,0
4.5339,-52.4672,319.9,1,1,2024-03-21,1728,Aqua,MODIS,74,61.03,298.3,11.4,D,0
5.7237,-53.8792,307.9,1.2,1.1,2024-03-23,0113,Terra,MODIS,72,61.03,294.8,8.1,N,0
5.7253,-53.8684,305.2,1.2,1.1,2024-03-23,0113,Terra,MODIS,63,61.03,295,5.4,N,0
5.5736,-53.657,305.7,1.3,1.1,2024-03-26,0136,Terra,MODIS,65,61.03,293.5,7.7,N,0
5.5721,-53.6686,315.1,1.3,1.1,2024-03-26,0136,Terra,MODIS,91,61.03,293.6,17.9,N,0
5.5579,-53.6196,324.4,1,1,2024-04-02,1731,Aqua,MODIS,78,61.03,298.2,17.1,D,0
5.5593,-53.6103,317.7,1,1,2024-04-02,1731,Aqua,MODIS,66,61.03,298.1,9.8,D,0
