latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-10.5371,-138.6516,313.6,2,1.4,2024-01-13,1840,Terra,MODIS,32,61.03,302.5,21.6,D,3
-10.5459,-138.6526,316,2.7,1.6,2024-01-26,2351,Aqua,MODIS,47,61.03,303.4,43.9,D,3
-10.5426,-138.6559,312.6,1.6,1.2,2024-02-16,1844,Terra,MODIS,36,61.03,299.1,14.3,D,3
-10.5416,-138.6442,311.4,2.5,1.5,2024-02-23,1834,Terra,MODIS,29,61.03,299.9,24.4,D,3
-10.5336,-138.637,312.1,2.5,1.5,2024-02-23,1834,Terra,MODIS,25,61.03,300.4,25.6,D,3
-10.5362,-138.6374,311.2,2.9,1.6,2024-03-06,1829,Terra,MODIS,34,61.03,297.5,30.5,D,3
-10.5373,-138.6446,311.7,2.9,1.6,2024-03-06,1829,Terra,MODIS,35,61.03,298.3,32.2,D,3
-10.5258,-138.6895,312.4,1.1,1,2024-03-06,2331,Aqua,MODIS,47,61.03,301.8,7.5,D,3
-10.5418,-138.6549,311.6,3,1.6,2024-03-09,2356,Aqua,MODIS,35,61.03,299.6,34.1,D,3
-10.5421,-138.6597,311.6,3,1.6,2024-03-09,2356,Aqua,MODIS,32,61.03,299.8,33.2,D,3
-10.5439,-138.6483,311.3,1.6,1.3,2024-03-16,1842,Terra,MODIS,28,61.03,300.6,12.1,D,3
-17.5403,-149.5531,313.6,2,1.4,2024-03-16,2348,Aqua,MODIS,21,61.03,297.6,22.5,D,0
-10.5465,-138.6556,315.5,1.6,1.2,2024-03-23,2343,Aqua,MODIS,52,61.03,303.9,17.4,D,3
-10.4402,-138.6419,314.8,1.1,1,2024-03-26,1854,Terra,MODIS,0,61.03,302.5,8.7,D,3
-8.8097,-140.1442,311.7,1.2,1.1,2024-04-01,2321,Aqua,MODIS,0,61.03,296.5,9.2,D,0
-8.8015,-140.2283,313.5,2.8,1.6,2024-04-03,0001,Aqua,MODIS,0,61.03,293,24.1,D,0
-10.5448,-138.66,312.2,1.7,1.3,2024-04-16,2346,Aqua,MODIS,47,61.03,298.2,15.1,D,3
-10.5423,-138.6446,311.3,1.7,1.3,2024-04-16,2346,Aqua,MODIS,48,61.03,297.4,13.9,D,3
-8.8003,-140.2187,314.2,2,1.4,2024-04-21,2356,Aqua,MODIS,17,61.03,297.3,12.7,D,0
-9.7782,-139.1413,310.3,1.1,1,2024-07-06,1849,Terra,MODIS,0,61.03,295.7,7.4,D,0
-10.54,-138.6394,310.3,1.9,1.3,2024-10-21,1825,Terra,MODIS,18,61.03,296.8,14.9,D,3
-10.5439,-138.6647,310.2,3.4,1.7,2024-12-17,0020,Aqua,MODIS,26,61.03,298.5,40.2,D,3
