latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.529,9.952,310.9,1.2,1.1,2024-01-01,1309,Aqua,MODIS,61,61.03,294.4,6.9,D,0
-0.861,12.6569,312,1.1,1.1,2024-01-04,0912,Terra,MODIS,59,61.03,289.2,9.5,D,0
1.8843,11.9168,308.4,1,1,2024-01-04,0912,Terra,MODIS,64,61.03,290.8,5.5,D,0
-1.7994,9.8925,312.6,1.4,1.2,2024-01-04,1335,Aqua,MODIS,63,61.03,293,8.5,D,0
-1.957,9.8718,312,1.4,1.2,2024-01-04,1335,Aqua,MODIS,61,61.03,293.7,8.5,D,0
-0.7768,11.911,314.9,1.1,1.1,2024-01-06,1320,Aqua,MODIS,68,61.03,295,9.8,D,2
-0.8433,9.2267,313.2,1,1,2024-01-06,1320,Aqua,MODIS,57,61.03,297.6,6,D,0
0.34,11.4663,311,1.1,1,2024-01-06,1320,Aqua,MODIS,59,61.03,295.5,5.5,D,0
0.3386,11.4567,310.9,1.1,1,2024-01-06,1320,Aqua,MODIS,59,61.03,295.2,5.5,D,0
-1.5903,9.9757,302.7,1,1,2024-01-06,2115,Terra,MODIS,51,61.03,292,3.2,N,0
-1.0923,10.2443,305,1,1,2024-01-06,2115,Terra,MODIS,63,61.03,292.7,4.3,N,0
-0.7749,11.9128,302.8,1.1,1,2024-01-06,2115,Terra,MODIS,51,61.03,286.8,5.1,N,2
-1.398,10.6272,301.1,1,1,2024-01-06,2115,Terra,MODIS,38,61.03,289.7,2.6,N,0
1.6418,11.5715,310.1,1.1,1,2024-01-08,1305,Aqua,MODIS,59,61.03,293.4,6.3,D,0
1.6745,11.6199,307.9,1.1,1,2024-01-08,1305,Aqua,MODIS,49,61.03,291.5,5,D,0
1.6759,11.6294,312.5,1.1,1,2024-01-08,1305,Aqua,MODIS,62,61.03,291.9,9,D,0
1.6404,11.5619,309.9,1.1,1,2024-01-08,1305,Aqua,MODIS,48,61.03,294.5,6.2,D,0
-1.2934,14.2137,300.3,1,1,2024-01-08,2058,Terra,MODIS,19,61.03,281.9,3.8,N,0
-0.8502,14.3779,317.8,1.3,1.1,2024-01-10,1249,Aqua,MODIS,71,61.03,298.7,10.5,D,0
0.8658,11.5866,316.1,2,1.4,2024-01-10,1250,Aqua,MODIS,73,61.03,290.1,31.3,D,0
0.8624,11.594,308.2,2,1.4,2024-01-10,1250,Aqua,MODIS,59,61.03,288.5,13.5,D,0
2.0926,11.5035,320,1.7,1.3,2024-01-11,1331,Aqua,MODIS,75,61.03,292.3,25,D,0
-1.5915,9.9716,304.9,1.1,1,2024-01-11,2122,Terra,MODIS,62,61.03,292,5.1,N,0
-1.5201,9.9519,303.6,1.1,1,2024-01-11,2122,Terra,MODIS,56,61.03,291.4,4.6,N,0
0.8722,11.593,300.6,1.4,1.2,2024-01-11,2122,Terra,MODIS,31,61.03,290.1,5.1,N,0
-1.7949,9.8997,302.2,1,1,2024-01-11,2122,Terra,MODIS,47,61.03,291.7,3.6,N,0
-0.769,11.9255,301.4,1.5,1.2,2024-01-13,0055,Aqua,MODIS,41,61.03,291.2,6.4,N,2
-0.8071,14.4295,318.4,1.3,1.1,2024-01-13,0845,Terra,MODIS,58,61.03,299.9,9.1,D,0
-0.7817,11.9223,307.5,1.9,1.4,2024-01-13,0845,Terra,MODIS,46,61.03,292.9,10,D,2
-3.3345,11.6866,314.6,1,1,2024-01-13,1314,Aqua,MODIS,59,61.03,295.3,6.7,D,0
-3.0061,11.7226,321.1,1,1,2024-01-13,1314,Aqua,MODIS,75,61.03,295.9,13.5,D,0
-1.0139,10.6573,310.2,1,1,2024-01-13,1315,Aqua,MODIS,0,61.03,295.2,5,D,0
-1.5307,9.9526,311,1.1,1,2024-01-13,1315,Aqua,MODIS,55,61.03,290.2,7.9,D,0
-1.5348,14.3006,326.5,1.2,1.1,2024-01-13,1315,Aqua,MODIS,75,61.03,303.6,17.6,D,0
-1.525,14.2993,330.3,1.2,1.1,2024-01-13,1315,Aqua,MODIS,82,61.03,301.7,23.7,D,0
-0.8206,14.4356,334.6,1.3,1.1,2024-01-13,1315,Aqua,MODIS,86,61.03,303.7,33.2,D,0
-0.7604,14.283,338,1.3,1.1,2024-01-13,1315,Aqua,MODIS,88,61.03,302.9,39.2,D,0
0.3823,9.6034,320.6,1.1,1,2024-01-13,1315,Aqua,MODIS,54,61.03,299.1,10.4,D,2
1.0364,11.6973,310.8,1,1,2024-01-13,1315,Aqua,MODIS,60,61.03,295.7,6.1,D,0
-0.7792,11.9189,302.4,1,1,2024-01-13,2105,Terra,MODIS,49,61.03,288.9,3.7,N,2
-1.5253,9.9475,302.7,1.2,1.1,2024-01-13,2105,Terra,MODIS,51,61.03,291.2,4.7,N,0
