latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.1223,43.0083,301.4,1.2,1.1,2024-01-07,0745,Terra,MODIS,47,61.03,280,9.1,D,0
42.1597,41.8188,308.6,1,1,2024-01-14,0735,Terra,MODIS,67,61.03,276.1,13.2,D,0
42.1615,41.8226,301.8,1.1,1,2024-01-14,1051,Aqua,MODIS,49,61.03,278.9,9.1,D,0
42.1562,41.829,303,1,1,2024-01-14,1840,Terra,MODIS,52,61.03,274.2,10.3,N,0
41.9494,45.5215,304.9,1,1,2024-02-11,1029,Aqua,MODIS,60,61.03,290.9,4.9,D,0
42.5721,41.7709,314.9,1.2,1.1,2024-02-11,1029,Aqua,MODIS,75,61.03,290,15.8,D,0
42.5695,41.7566,304.7,1.2,1.1,2024-02-11,1029,Aqua,MODIS,60,61.03,290.3,6.2,D,0
42.5756,41.6785,303.3,1.2,1.1,2024-02-11,1029,Aqua,MODIS,56,61.03,288.3,5.7,D,0
42.599,41.64,309.3,1.2,1.1,2024-02-11,1029,Aqua,MODIS,68,61.03,286.6,11.7,D,0
42.7013,41.6292,321.6,1.2,1.1,2024-02-11,1029,Aqua,MODIS,74,61.03,289.6,25.8,D,0
41.6892,45.95,311.2,1,1,2024-02-11,1029,Aqua,MODIS,71,61.03,294.7,7.6,D,0
41.8434,45.7998,311.4,1,1,2024-02-11,1029,Aqua,MODIS,71,61.03,292.8,8.2,D,0
41.7686,45.1717,319,1,1,2024-02-11,1029,Aqua,MODIS,79,61.03,289.7,16.5,D,0
42.7836,41.7537,301.6,1,1,2024-02-12,0733,Terra,MODIS,48,61.03,281.4,6.2,D,0
42.5448,41.6754,307.4,1,1,2024-02-12,0733,Terra,MODIS,65,61.03,281.4,8.4,D,0
42.8366,41.5656,304.6,1,1,2024-02-12,0733,Terra,MODIS,59,61.03,283.7,7.3,D,0
42.536,41.6732,317.3,1,1,2024-02-12,0733,Terra,MODIS,77,61.03,281.1,16.5,D,0
42.234,41.6825,311.4,1,1,2024-02-12,1838,Terra,MODIS,82,61.03,275.3,14.6,N,0
42.2324,41.6707,300.1,1,1,2024-02-12,1838,Terra,MODIS,14,61.03,275.3,7.3,N,0
41.5426,41.5702,313.5,1.1,1,2024-02-14,1054,Aqua,MODIS,44,61.03,290.1,13.7,D,0
42.8629,41.3322,310.6,1.1,1,2024-02-14,1055,Aqua,MODIS,23,61.03,278,10.3,D,0
42.872,41.33,317.1,1.1,1,2024-02-14,1055,Aqua,MODIS,67,61.03,280.8,16.9,D,0
42.8558,41.2009,312.9,1.1,1,2024-02-14,1055,Aqua,MODIS,42,61.03,270.5,14.2,D,0
42.2015,42.6805,300.2,1.1,1,2024-02-23,1033,Aqua,MODIS,31,61.03,287.9,4.8,D,0
42.3289,41.6288,308.4,1.8,1.3,2024-02-24,1114,Aqua,MODIS,0,61.03,289.6,19.5,D,0
42.3216,41.6371,304.7,1.8,1.3,2024-02-24,1114,Aqua,MODIS,39,61.03,289,14,D,0
42.6156,41.669,311.7,1.8,1.3,2024-02-25,1017,Aqua,MODIS,72,61.03,290.8,25.3,D,0
42.5537,41.721,304.6,1.6,1.2,2024-02-26,0711,Terra,MODIS,59,61.03,286.5,14.1,D,0
42.618,41.6324,316.3,1.6,1.3,2024-02-26,0711,Terra,MODIS,76,61.03,286.2,29.6,D,0
42.6162,41.652,319.3,1.6,1.3,2024-02-26,0711,Terra,MODIS,79,61.03,286.7,36,D,0
42.6144,41.6715,323.2,1.6,1.2,2024-02-26,0711,Terra,MODIS,82,61.03,287,42,D,0
42.6127,41.6909,349.1,1.6,1.2,2024-02-26,0711,Terra,MODIS,96,61.03,287.8,120.7,D,0
41.4689,45.1556,310.1,1.1,1,2024-02-26,0712,Terra,MODIS,69,61.03,284.3,12.3,D,0
42.7235,41.518,314.7,1.2,1.1,2024-02-26,1058,Aqua,MODIS,75,61.03,291.1,15.1,D,0
42.9075,41.1971,317.5,1.1,1.1,2024-02-26,1058,Aqua,MODIS,78,61.03,291.7,16.8,D,0
42.8982,41.1994,322.6,1.1,1.1,2024-02-26,1058,Aqua,MODIS,82,61.03,291.8,22.9,D,0
42.8305,41.1662,313.6,1.1,1.1,2024-02-26,1058,Aqua,MODIS,74,61.03,290.9,14.2,D,0
42.8321,41.1797,305.8,1.1,1.1,2024-02-26,1058,Aqua,MODIS,62,61.03,290.8,7.6,D,0
42.837,41.2202,344.1,1.1,1.1,2024-02-26,1058,Aqua,MODIS,94,61.03,293.3,59.9,D,0
42.8387,41.2338,322.3,1.1,1.1,2024-02-26,1058,Aqua,MODIS,82,61.03,292.1,23.2,D,0
42.8436,41.2745,323.9,1.1,1.1,2024-02-26,1058,Aqua,MODIS,83,61.03,292.3,24.3,D,0
42.8618,41.4252,307.6,1.1,1.1,2024-02-26,1058,Aqua,MODIS,66,61.03,292.4,8.2,D,0
42.8375,41.3039,327.4,1.1,1.1,2024-02-26,1058,Aqua,MODIS,61,61.03,292.7,27.1,D,0
42.8392,41.3175,336.2,1.1,1.1,2024-02-26,1058,Aqua,MODIS,90,61.03,292.7,42.6,D,0
42.8282,41.306,322.6,1.1,1.1,2024-02-26,1058,Aqua,MODIS,82,61.03,292.6,22.1,D,0
42.8298,41.3197,308.9,1.1,1.1,2024-02-26,1058,Aqua,MODIS,68,61.03,291.5,9.3,D,0
42.8178,41.4633,320.4,1.2,1.1,2024-02-26,1058,Aqua,MODIS,80,61.03,293.5,20.8,D,0
42.8195,41.4772,318.8,1.2,1.1,2024-02-26,1058,Aqua,MODIS,79,61.03,292.9,19.2,D,0
42.7503,41.4979,325.7,1.2,1.1,2024-02-26,1058,Aqua,MODIS,84,61.03,291.9,28.6,D,0
41.9374,42.0279,307.5,1.2,1.1,2024-02-26,1058,Aqua,MODIS,66,61.03,289.2,10.7,D,2
42.2803,42.5468,314.3,1.3,1.1,2024-02-26,1058,Aqua,MODIS,75,61.03,286.9,17.5,D,0
42.2787,42.5318,318.8,1.3,1.1,2024-02-26,1058,Aqua,MODIS,79,61.03,286.4,23,D,0
42.2902,42.5448,345.4,1.3,1.1,2024-02-26,1058,Aqua,MODIS,94,61.03,288.4,73.6,D,0
42.2886,42.5298,321.8,1.3,1.1,2024-02-26,1058,Aqua,MODIS,81,61.03,287.7,26.3,D,0
