latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.3713,6.7226,302.9,1,1,2024-01-08,0208,Aqua,MODIS,52,61.03,270,11.3,N,2
51.3642,6.7096,302.5,1,1,2024-01-08,1003,Terra,MODIS,46,61.03,269.8,10.9,D,2
51.3641,6.7099,300.3,1.6,1.2,2024-01-08,1319,Aqua,MODIS,24,61.03,267.7,15.5,D,2
51.3645,6.7043,303.3,1.6,1.2,2024-01-08,1319,Aqua,MODIS,0,61.03,267.8,20.7,D,2
51.4844,6.7194,301.8,1.5,1.2,2024-01-09,1222,Aqua,MODIS,0,61.03,273.3,18.5,D,2
51.4853,6.7295,315.3,1.3,1.1,2024-01-10,0153,Aqua,MODIS,91,61.03,267.9,28.8,N,2
50.8417,6.9719,305.6,1.3,1.1,2024-01-10,0153,Aqua,MODIS,65,61.03,267,18.6,N,2
51.4922,6.7369,313.5,1.4,1.2,2024-01-10,0946,Terra,MODIS,0,61.03,270.5,27.1,D,2
51.4908,6.7324,309.8,1.1,1.1,2024-01-10,1303,Aqua,MODIS,60,61.03,274.7,16.5,D,2
52.155,10.4106,304,1,1,2024-01-15,0203,Aqua,MODIS,58,61.03,271.2,11.6,N,2
52.1515,10.3939,301.3,1.5,1.2,2024-01-16,2005,Terra,MODIS,40,61.03,269.7,17.5,N,2
52.1576,10.4041,303.8,1.1,1.1,2024-01-17,0148,Aqua,MODIS,49,61.03,270.2,12.9,N,2
51.4821,6.7215,306.8,1,1,2024-01-18,1016,Terra,MODIS,0,61.03,273.5,12.2,D,2
52.1528,10.398,303.5,1,1,2024-01-19,1243,Aqua,MODIS,56,61.03,275.3,10.7,D,2
52.1581,10.4093,310,1,1,2024-01-19,2028,Terra,MODIS,79,61.03,271.6,15.3,N,2
52.1559,10.395,304.2,1,1,2024-01-19,2028,Terra,MODIS,59,61.03,271.8,11.5,N,2
52.173,10.4177,307.5,1.1,1,2024-01-20,0213,Aqua,MODIS,72,61.03,269.8,15.3,N,2
52.155,10.4094,310.8,1.1,1,2024-01-20,0213,Aqua,MODIS,81,61.03,271.2,17.3,N,2
52.1552,10.4015,308.4,1,1,2024-01-20,0958,Terra,MODIS,67,61.03,274,13.3,D,2
51.3635,6.7072,306.3,1,1,2024-01-22,2052,Terra,MODIS,67,61.03,277.5,11.9,N,2
51.4852,6.7188,304.9,1,1,2024-01-22,2052,Terra,MODIS,58,61.03,277.7,10.3,N,2
51.4833,6.7046,301.8,1,1,2024-01-22,2052,Terra,MODIS,44,61.03,278.1,8.7,N,2
52.1559,10.4011,305.6,1.3,1.1,2024-01-22,2052,Terra,MODIS,65,61.03,277,16.5,N,2
51.4837,6.712,303.6,1.1,1.1,2024-01-23,1022,Terra,MODIS,0,61.03,279.3,10.5,D,2
49.3467,6.7433,303.1,1,1,2024-01-24,1252,Aqua,MODIS,41,61.03,271.6,8.6,D,2
51.485,6.7189,300,1,1,2024-01-25,0224,Aqua,MODIS,13,61.03,278.1,7.7,N,2
53.1373,8.6862,305.8,1,1,2024-01-27,0208,Aqua,MODIS,66,61.03,275.5,12.1,N,2
52.1542,10.405,316.6,1,1,2024-01-27,0948,Terra,MODIS,77,61.03,277.5,19.6,D,2
51.4559,6.7412,302,1.5,1.2,2024-01-27,1318,Aqua,MODIS,0,61.03,279.7,14.6,D,2
52.1507,10.4068,300.8,1.7,1.3,2024-01-28,1028,Terra,MODIS,42,61.03,276.2,18.4,D,2
52.1533,10.4029,302.3,1.7,1.3,2024-01-28,1028,Terra,MODIS,52,61.03,276.6,19.6,D,2
51.4837,6.7133,307.3,1.3,1.1,2024-01-28,1028,Terra,MODIS,0,61.03,278.7,14.7,D,2
48.3647,13.3019,305.2,1.1,1,2024-01-28,1221,Aqua,MODIS,57,61.03,277.4,11.4,D,0
48.3623,13.288,301.5,1.1,1,2024-01-28,1221,Aqua,MODIS,45,61.03,277.4,9.1,D,2
52.1507,10.4061,318,1.1,1.1,2024-01-28,1222,Aqua,MODIS,78,61.03,278.7,22.7,D,2
52.1717,10.4131,303.9,1.1,1.1,2024-01-28,1222,Aqua,MODIS,36,61.03,275.7,9.6,D,2
52.1558,10.4113,304,1.1,1,2024-01-29,0152,Aqua,MODIS,58,61.03,272.4,12,N,2
53.1391,8.6853,302.5,1.2,1.1,2024-01-29,0152,Aqua,MODIS,50,61.03,270.9,13.1,N,2
52.1132,7.4044,303.6,1.2,1.1,2024-01-29,1303,Aqua,MODIS,49,61.03,269.2,12.1,D,2
52.1535,10.4102,305.1,1,1,2024-02-01,0954,Terra,MODIS,60,61.03,277.9,10,D,2
51.4862,6.7173,310.8,1.1,1.1,2024-02-01,0955,Terra,MODIS,0,61.03,281.1,15.1,D,2
51.3661,6.7097,309,1.1,1.1,2024-02-01,0955,Terra,MODIS,59,61.03,281.4,14.8,D,2
51.3662,6.6975,306.2,1.2,1.1,2024-02-01,2104,Terra,MODIS,67,61.03,274.7,16.2,N,2
51.3679,6.7146,301.7,1.2,1.1,2024-02-01,2104,Terra,MODIS,44,61.03,276,12.8,N,2
51.3655,6.7006,303.9,1.5,1.2,2024-02-12,2020,Terra,MODIS,57,61.03,276.7,18.8,N,2
51.3678,6.7059,303.1,1.2,1.1,2024-02-13,0950,Terra,MODIS,55,61.03,274.5,12.1,D,2
52.1526,10.3994,306.5,1,1,2024-02-17,2026,Terra,MODIS,64,61.03,277.1,11.5,N,2
52.1559,10.4081,305.9,1.1,1.1,2024-02-20,0939,Terra,MODIS,62,61.03,279.8,11.3,D,2
52.1521,10.4003,305.3,1.1,1.1,2024-02-20,0939,Terra,MODIS,61,61.03,280.1,11.9,D,2
51.3677,6.7039,303.3,1.1,1.1,2024-02-22,2032,Terra,MODIS,54,61.03,278.4,12.1,N,2
52.1493,10.3986,304.2,1.1,1,2024-02-23,1002,Terra,MODIS,52,61.03,281.4,8.4,D,2
52.4318,10.7881,310.6,1.1,1,2024-02-23,1002,Terra,MODIS,66,61.03,281.2,14,D,2
52.1582,10.4025,303,1.1,1,2024-02-23,1002,Terra,MODIS,50,61.03,281.9,7.8,D,2
52.1512,10.4078,304.4,1.4,1.2,2024-02-23,1214,Aqua,MODIS,38,61.03,282.2,12.5,D,2
52.1538,10.4037,301.4,1.2,1.1,2024-02-24,0145,Aqua,MODIS,30,61.03,274.2,12,N,2
52.1593,10.4009,303.5,1.1,1.1,2024-02-24,2015,Terra,MODIS,41,61.03,275.7,11.4,N,2
52.1502,10.4052,302.6,1.1,1.1,2024-02-24,2015,Terra,MODIS,22,61.03,275,10.5,N,2
52.1536,10.4057,305.5,1.5,1.2,2024-02-25,2056,Terra,MODIS,64,61.03,274.1,19.9,N,2
51.4817,6.7168,300.8,1.5,1.2,2024-02-27,1321,Aqua,MODIS,0,61.03,284,10.9,D,2
51.4839,6.7105,302.3,1,1,2024-02-27,2039,Terra,MODIS,48,61.03,271.7,10.3,N,2
49.8902,9.6076,300.1,1.2,1.1,2024-02-28,1009,Terra,MODIS,27,61.03,281.7,8.1,D,0
50.0869,10.6786,301,1.2,1.1,2024-02-28,1223,Aqua,MODIS,43,61.03,283.5,8.3,D,0
52.4016,11.1141,301.6,1.1,1,2024-02-28,1224,Aqua,MODIS,48,61.03,280.4,7.9,D,0
52.1586,10.4072,307.2,1.1,1,2024-02-29,0154,Aqua,MODIS,71,61.03,272,13.8,N,2
51.4898,6.7164,302.3,1.4,1.2,2024-02-29,0154,Aqua,MODIS,48,61.03,275.7,14.6,N,2
51.3707,6.7146,309,1.4,1.2,2024-02-29,0155,Aqua,MODIS,76,61.03,275.5,22.2,N,2
49.2428,6.8488,302.5,1,1,2024-02-29,1304,Aqua,MODIS,53,61.03,287.6,6.7,D,2
50.8241,10.8013,301.1,1.5,1.2,2024-02-29,1304,Aqua,MODIS,44,61.03,282.3,10.8,D,0
52.1538,10.4096,305.7,1.5,1.2,2024-02-29,1305,Aqua,MODIS,62,61.03,284.9,14.7,D,2
52.1519,10.3879,302.5,1.5,1.2,2024-02-29,1305,Aqua,MODIS,53,61.03,284.1,11.1,D,2
52.1498,10.3935,308.1,1.5,1.2,2024-02-29,1305,Aqua,MODIS,64,61.03,284.7,16,D,2
52.1732,10.4149,307.2,1,1,2024-02-29,2022,Terra,MODIS,57,61.03,273.6,12.2,N,2
52.1533,10.4078,306.8,1,1,2024-02-29,2022,Terra,MODIS,68,61.03,274.7,12.2,N,2
51.4958,6.739,305.2,1.1,1.1,2024-03-01,0952,Terra,MODIS,53,61.03,278.1,11.2,D,2
51.3702,6.7056,306.7,1.2,1.1,2024-03-01,2102,Terra,MODIS,69,61.03,279.1,14.7,N,2
