latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.9914,22.8428,302,1.1,1.1,2024-01-01,0838,Terra,MODIS,50,61.03,284.1,7.9,D,0
38.4062,23.0931,300.8,1.1,1,2024-01-04,1207,Aqua,MODIS,42,61.03,290.4,3.6,D,0
40.6266,21.5748,300.1,1,1,2024-01-04,1208,Aqua,MODIS,28,61.03,286,4.5,D,0
39.5763,22.5447,300.5,1,1,2024-01-04,1208,Aqua,MODIS,37,61.03,289.5,4.1,D,0
39.409,21.9118,311.8,1,1,2024-01-04,1208,Aqua,MODIS,72,61.03,287.5,11.6,D,0
36.3657,25.8097,314.7,1,1,2024-01-06,1151,Aqua,MODIS,0,61.03,290.1,12.7,D,0
38.4646,23.081,303.2,1.1,1,2024-01-06,1152,Aqua,MODIS,55,61.03,289.5,5.9,D,0
39.6682,22.3359,300.5,1.1,1,2024-01-06,1152,Aqua,MODIS,38,61.03,288.5,4.6,D,0
40.9084,25.966,300,1.1,1,2024-01-08,1137,Aqua,MODIS,14,61.03,286.1,5.1,D,0
41.1373,22.6132,305.3,1.2,1.1,2024-01-13,1148,Aqua,MODIS,61,61.03,277.7,12.2,D,0
35.194,26.1507,307.4,1.1,1,2024-01-18,0841,Terra,MODIS,49,61.03,288.4,9.6,D,2
41.0907,25.0473,300.9,1,1,2024-01-25,1153,Aqua,MODIS,42,61.03,284.9,6,D,0
37.8862,24.9351,311.1,2.1,1.4,2024-01-26,0911,Terra,MODIS,0,61.03,283.4,38.3,D,0
39.093,20.9645,304.7,1,1,2024-01-28,0853,Terra,MODIS,60,61.03,283.2,8.9,D,0
40.7231,22.5781,301.1,1,1,2024-01-28,0853,Terra,MODIS,44,61.03,280.9,6.2,D,0
40.7248,22.5666,317.7,1,1,2024-01-28,0853,Terra,MODIS,78,61.03,281.6,17.9,D,0
41.0139,23.4737,301.7,1,1,2024-01-28,0853,Terra,MODIS,48,61.03,281.7,6.9,D,0
38.3355,21.4944,301.1,1,1,2024-01-28,0854,Terra,MODIS,34,61.03,280.5,6.8,D,0
38.5495,21.5443,312.9,1,1,2024-01-28,0854,Terra,MODIS,69,61.03,284,14.4,D,0
41.0614,23.3468,301.5,1.4,1.2,2024-01-28,1218,Aqua,MODIS,35,61.03,284.6,7.2,D,0
41.0597,23.33,305.6,1.4,1.2,2024-01-28,1218,Aqua,MODIS,60,61.03,284.3,11.6,D,0
40.6941,22.6526,303,1.3,1.1,2024-01-28,1218,Aqua,MODIS,54,61.03,283.8,9.3,D,0
40.6075,22.6897,308.4,1.3,1.1,2024-01-28,1218,Aqua,MODIS,67,61.03,284.7,13.9,D,2
40.6091,22.7049,323,1.3,1.1,2024-01-28,1218,Aqua,MODIS,82,61.03,285.1,32.7,D,2
41.0824,23.3431,303.3,1.4,1.2,2024-01-28,1218,Aqua,MODIS,46,61.03,284.9,8.4,D,0
41.0295,23.4111,300.2,1.4,1.2,2024-01-28,1218,Aqua,MODIS,13,61.03,285.6,6.1,D,0
41.1097,25.4793,309.2,1.8,1.3,2024-01-29,1122,Aqua,MODIS,68,61.03,282.6,25.8,D,0
41.0691,25.2914,314.3,1.9,1.3,2024-01-29,1122,Aqua,MODIS,75,61.03,281.4,34.9,D,0
41.1033,25.4868,303.9,1.8,1.3,2024-01-29,1122,Aqua,MODIS,57,61.03,282.5,18.7,D,0
