latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
78.3906,-59.5865,468.5,1,1,2024-02-02,0926,Aqua,MODIS,100,61.03,328.2,0,N,0
66.9969,-50.4349,300.1,1,1,2024-04-28,1435,Terra,MODIS,0,61.03,287,5.1,D,0
66.8235,-49.9612,301.3,1.1,1.1,2024-05-25,1446,Terra,MODIS,0,61.03,287.4,6.6,D,0
66.2258,-49.8969,301.4,1,1,2024-06-08,1422,Terra,MODIS,25,61.03,287.2,4,D,0
66.9973,-50.4345,302.2,1.3,1.1,2024-07-04,1349,Terra,MODIS,0,61.03,290.7,6.5,D,0
66.9973,-50.443,307.7,1,1,2024-07-12,1417,Terra,MODIS,0,61.03,295.6,7.4,D,0
80.3057,-19.3663,300.5,1,1,2024-07-16,1515,Terra,MODIS,13,61.03,290.4,6.2,D,0
66.9967,-50.7793,304.2,1.1,1,2024-07-20,1444,Terra,MODIS,17,61.03,293.2,4.3,D,0
66.2263,-49.9043,302,1,1,2024-08-03,1419,Terra,MODIS,28,61.03,289.4,4.2,D,0
60.9103,-43.7223,300.1,1.1,1,2024-08-04,1322,Terra,MODIS,0,61.03,289,7.3,D,0
60.4875,-44.1595,301.3,1.1,1,2024-08-04,1322,Terra,MODIS,12,61.03,289,7.9,D,0
66.9984,-50.4476,307,1.3,1.1,2024-08-04,1459,Terra,MODIS,0,61.03,296.3,10.4,D,0
66.2282,-49.9053,305.1,1,1,2024-08-13,1428,Terra,MODIS,50,61.03,292.8,5.9,D,0
64.1861,-49.5756,304.5,1.1,1,2024-09-21,1423,Terra,MODIS,45,61.03,279.7,9.6,D,0
