latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3797,144.7283,313,1.2,1.1,2024-01-21,0403,Aqua,MODIS,57,61.03,298.3,8.6,D,0
13.2873,144.6678,316.8,1,1,2024-02-14,0411,Aqua,MODIS,0,61.03,299.2,9.7,D,0
13.4823,144.853,315.2,1.1,1.1,2024-02-21,0405,Aqua,MODIS,41,61.03,298.4,9,D,0
13.2965,144.7464,318.1,1.1,1,2024-03-04,0409,Aqua,MODIS,65,61.03,295.9,10.7,D,0
13.2948,144.6664,313.8,1,1,2024-03-28,0414,Aqua,MODIS,33,61.03,298.6,5.8,D,0
13.2866,144.7339,319.1,1,1,2024-03-28,0414,Aqua,MODIS,44,61.03,299,9.9,D,0
13.288,144.7432,319.1,1,1,2024-03-28,0414,Aqua,MODIS,41,61.03,301,9.1,D,0
13.3727,144.7234,313,2.4,1.5,2024-05-12,0353,Aqua,MODIS,53,61.03,297.1,22.8,D,0
13.2928,144.7291,318.5,1.1,1.1,2024-07-07,0417,Aqua,MODIS,70,61.03,296.7,10.3,D,0
13.2912,144.7191,324,1.1,1.1,2024-07-07,0417,Aqua,MODIS,77,61.03,297,17.1,D,0
