latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.9898,-91.2345,319.8,1.1,1,2024-01-01,1949,Aqua,MODIS,45,61.03,301.1,9.5,D,0
13.972,-91.1748,326.5,1.1,1,2024-01-01,1949,Aqua,MODIS,76,61.03,301.9,18.1,D,0
13.999,-91.236,335.1,1.1,1,2024-01-01,1949,Aqua,MODIS,85,61.03,303,29.8,D,0
14.1402,-90.7355,326.5,1,1,2024-01-01,1949,Aqua,MODIS,77,61.03,306,13.4,D,0
14.2076,-90.7133,318.1,1,1,2024-01-01,1949,Aqua,MODIS,65,61.03,303.1,6.7,D,0
14.2166,-90.7147,327.4,1,1,2024-01-01,1949,Aqua,MODIS,79,61.03,302.2,16.5,D,0
14.2465,-91.3187,320,1.1,1,2024-01-01,1949,Aqua,MODIS,64,61.03,302.7,9.3,D,0
14.3791,-91.4748,322.8,1.1,1,2024-01-01,1949,Aqua,MODIS,76,61.03,301.4,13.1,D,0
14.3233,-91.7497,315.8,1.1,1,2024-01-02,0348,Terra,MODIS,92,61.03,293.7,14.5,N,0
14.1564,-91.5135,308.8,1.2,1.1,2024-01-02,0802,Aqua,MODIS,75,61.03,292.1,11.6,N,0
14.1579,-91.5248,311.4,1.2,1.1,2024-01-02,0802,Aqua,MODIS,82,61.03,292.5,14.2,N,0
14.4762,-90.836,303.3,2.9,1.6,2024-01-03,0843,Aqua,MODIS,54,61.03,282,36.4,N,1
14.4443,-91.7451,312.8,2.6,1.6,2024-01-03,1641,Terra,MODIS,65,61.03,293.4,27.1,D,0
14.4413,-91.7631,312.9,2.6,1.6,2024-01-03,1641,Terra,MODIS,66,61.03,292.1,25.7,D,0
14.6092,-91.633,308,2.7,1.6,2024-01-03,1641,Terra,MODIS,50,61.03,290,21.6,D,0
14.6013,-91.6277,313.7,2.7,1.6,2024-01-03,1641,Terra,MODIS,70,61.03,289.7,38.9,D,0
14.4484,-91.7685,308.4,2.6,1.6,2024-01-03,1641,Terra,MODIS,50,61.03,291.9,13.7,D,0
14.1571,-90.7523,319.3,1.7,1.3,2024-01-03,1933,Aqua,MODIS,72,61.03,300.1,14.2,D,0
14.0482,-91.0598,316,1.8,1.3,2024-01-03,1933,Aqua,MODIS,42,61.03,298.1,16.8,D,0
13.8759,-90.3636,331.9,1.6,1.3,2024-01-03,1933,Aqua,MODIS,79,61.03,299.4,49.5,D,0
13.8784,-90.3487,348.8,1.6,1.3,2024-01-03,1933,Aqua,MODIS,94,61.03,299.8,108.1,D,0
14.0649,-91.2008,325.6,1.6,1.3,2024-01-04,2015,Aqua,MODIS,80,61.03,297,33.3,D,0
13.9821,-91.2291,315.6,1.6,1.3,2024-01-04,2015,Aqua,MODIS,41,61.03,298.6,11.6,D,0
14.0638,-91.21,326.4,1.6,1.3,2024-01-04,2015,Aqua,MODIS,80,61.03,297.6,35.7,D,0
14.4921,-91.8102,311.2,1.5,1.2,2024-01-04,2015,Aqua,MODIS,61,61.03,282.9,10.2,D,0
14.7347,-91.5722,312.5,1.6,1.2,2024-01-05,0411,Terra,MODIS,85,61.03,288.6,26.5,N,1
14.7442,-91.5695,313.4,1.3,1.1,2024-01-05,0827,Aqua,MODIS,87,61.03,287.4,21.3,N,1
14.7424,-91.5586,308.8,1.3,1.1,2024-01-05,0827,Aqua,MODIS,76,61.03,285.7,16.5,N,1
13.9532,-90.3747,322.7,1.6,1.2,2024-01-05,0828,Aqua,MODIS,100,61.03,293.4,40.2,N,0
13.9556,-90.3892,341.8,1.6,1.2,2024-01-05,0828,Aqua,MODIS,100,61.03,293.7,92,N,0
14.3942,-90.4873,313.7,1.6,1.2,2024-01-05,1624,Terra,MODIS,33,61.03,299,14.4,D,0
14.3916,-90.4938,314.6,1.6,1.2,2024-01-05,1624,Terra,MODIS,32,61.03,298.4,14,D,0
14.467,-91.4235,319.4,1.3,1.1,2024-01-05,1624,Terra,MODIS,73,61.03,299.4,16.3,D,0
14.2653,-90.9254,315.3,1.5,1.2,2024-01-05,1624,Terra,MODIS,40,61.03,300.8,9.6,D,0
14.2632,-90.9799,322.5,1.5,1.2,2024-01-05,1624,Terra,MODIS,73,61.03,302.6,21,D,0
14.261,-91.1643,315.2,1.4,1.2,2024-01-05,1624,Terra,MODIS,50,61.03,300.2,10.5,D,0
14.2988,-91.4629,315.8,1.3,1.1,2024-01-05,1624,Terra,MODIS,53,61.03,301.1,9,D,0
14.0862,-90.7269,319.2,1.5,1.2,2024-01-05,1624,Terra,MODIS,61,61.03,302.6,12.1,D,0
13.9499,-90.3945,318.3,1.6,1.3,2024-01-05,1624,Terra,MODIS,69,61.03,301.4,11.4,D,0
14.7357,-91.5616,318.5,1.3,1.1,2024-01-05,1624,Terra,MODIS,65,61.03,293.9,21.8,D,1
15.3279,-89.7182,310.5,1.7,1.3,2024-01-05,1624,Terra,MODIS,63,61.03,297.9,11.6,D,0
14.4076,-90.501,313.3,1.6,1.2,2024-01-05,1624,Terra,MODIS,32,61.03,297.6,15.6,D,0
14.2201,-91.3057,319.2,3.8,1.8,2024-01-05,1918,Aqua,MODIS,74,61.03,292.4,82.3,D,0
14.2283,-91.3004,322.7,3.8,1.8,2024-01-05,1918,Aqua,MODIS,78,61.03,293.3,108.4,D,0
14.4427,-91.5425,309.9,3.9,1.8,2024-01-05,1918,Aqua,MODIS,49,61.03,291.5,34.5,D,0
14.1533,-90.9793,322.7,4.5,2,2024-01-06,1526,Terra,MODIS,77,61.03,297.5,120.5,D,0
14.1557,-90.9732,323.5,4.5,2,2024-01-06,1526,Terra,MODIS,78,61.03,297.5,134.5,D,0
14.0555,-90.7097,313.6,4.3,1.9,2024-01-06,1527,Terra,MODIS,45,61.03,297.7,44.9,D,0
14.9107,-89.9318,327.2,1.1,1.1,2024-01-06,1959,Aqua,MODIS,79,61.03,309.5,12.6,D,0
15.404,-89.4726,312.5,1.2,1.1,2024-01-06,1959,Aqua,MODIS,55,61.03,302.4,6.7,D,0
15.3742,-89.5477,316.3,1.2,1.1,2024-01-06,1959,Aqua,MODIS,33,61.03,303.1,9.3,D,0
14.7748,-90.3701,318.5,1.1,1,2024-01-06,1959,Aqua,MODIS,68,61.03,307.6,8,D,0
14.8438,-89.5375,333.6,1.2,1.1,2024-01-06,1959,Aqua,MODIS,85,61.03,309.8,26.8,D,0
14.2974,-91.0332,318,1,1,2024-01-06,1959,Aqua,MODIS,52,61.03,298.7,7.8,D,0
14.1222,-91.2282,316.3,1,1,2024-01-06,1959,Aqua,MODIS,58,61.03,301.8,6.8,D,0
14.2872,-89.9647,322.9,1.1,1.1,2024-01-06,1959,Aqua,MODIS,66,61.03,308.2,9.6,D,0
14.0227,-91.3489,340.3,1,1,2024-01-06,1959,Aqua,MODIS,89,61.03,306.4,32.9,D,0
14.024,-91.3397,337.5,1,1,2024-01-06,1959,Aqua,MODIS,87,61.03,305.9,28.7,D,0
13.9919,-91.234,323.6,1,1,2024-01-06,1959,Aqua,MODIS,68,61.03,306.4,11.9,D,0
16.3256,-89.2941,311.8,1.3,1.1,2024-01-06,2000,Aqua,MODIS,52,61.03,300.6,6.8,D,0
16.7366,-90.3588,317.7,1.1,1.1,2024-01-06,2000,Aqua,MODIS,71,61.03,300.7,11.1,D,0
14.4257,-91.8511,324.9,1,1,2024-01-07,0355,Terra,MODIS,100,61.03,294.7,22.1,N,0
14.4244,-91.8602,305.8,1,1,2024-01-07,0355,Terra,MODIS,66,61.03,293.9,5.9,N,0
14.7418,-91.5652,305.6,1,1,2024-01-07,0355,Terra,MODIS,65,61.03,285.2,9.4,N,1
14.7405,-91.5742,314.4,1,1,2024-01-07,0355,Terra,MODIS,89,61.03,286.5,15.7,N,1
14.7396,-91.5715,315.3,1,1,2024-01-07,0812,Aqua,MODIS,91,61.03,287.6,16.4,N,1
14.7383,-91.5623,311.1,1,1,2024-01-07,0812,Aqua,MODIS,82,61.03,286.6,12.9,N,1
14.4241,-91.8518,316.4,1,1,2024-01-07,1607,Terra,MODIS,64,61.03,303.3,6.6,D,0
14.3233,-91.5977,319,1,1,2024-01-07,1607,Terra,MODIS,68,61.03,301.5,8.9,D,0
14.3353,-91.747,336.2,1,1,2024-01-07,1607,Terra,MODIS,87,61.03,302.8,29.1,D,0
14.3162,-91.7403,321.8,1,1,2024-01-07,1607,Terra,MODIS,73,61.03,302.9,11.8,D,0
14.1868,-91.0218,322.9,1,1,2024-01-07,1607,Terra,MODIS,75,61.03,302.5,13.3,D,0
13.959,-90.292,328.8,1,1,2024-01-07,1607,Terra,MODIS,82,61.03,304.9,19.1,D,0
13.9825,-90.5756,327.6,1,1,2024-01-07,1607,Terra,MODIS,80,61.03,306.1,18.1,D,0
14.3621,-90.7708,314.4,1,1,2024-01-07,1607,Terra,MODIS,62,61.03,299.9,6.7,D,0
14.5306,-91.6302,326.8,1,1,2024-01-07,1607,Terra,MODIS,81,61.03,301.4,18.4,D,0
14.7351,-91.5698,328.5,1,1,2024-01-07,1607,Terra,MODIS,84,61.03,303.4,24.4,D,1
15.3537,-89.54,314.7,1,1,2024-01-07,1607,Terra,MODIS,72,61.03,299.9,6.9,D,0
14.3608,-90.7618,322.9,1,1,2024-01-07,1607,Terra,MODIS,77,61.03,300.9,15,D,0
14.4186,-91.4276,316.2,1,1,2024-01-07,1607,Terra,MODIS,62,61.03,300.2,7.4,D,0
14.4097,-91.4289,314.8,1,1,2024-01-07,1607,Terra,MODIS,46,61.03,301.1,6.1,D,0
14.4254,-91.8612,314.9,1,1,2024-01-07,1607,Terra,MODIS,61,61.03,301.9,5.4,D,0
