latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.0169,-14.103,334.8,1,1,2024-01-01,1452,Aqua,MODIS,81,61.03,293.8,26.3,D,0
11.9519,-14.2372,321.9,1,1,2024-01-01,1452,Aqua,MODIS,63,61.03,305.4,9.3,D,0
11.8996,-14.017,331.9,1,1,2024-01-01,1452,Aqua,MODIS,83,61.03,301.9,20.8,D,0
12.6619,-15.0657,323.6,1,1,2024-01-01,1452,Aqua,MODIS,74,61.03,300.5,13.1,D,0
12.6632,-15.0567,318.8,1,1,2024-01-01,1452,Aqua,MODIS,65,61.03,298.4,8.2,D,0
12.6093,-14.8581,322.1,1,1,2024-01-01,1452,Aqua,MODIS,72,61.03,302.1,11.2,D,0
11.8877,-13.9225,323.7,1.2,1.1,2024-01-03,1436,Aqua,MODIS,54,61.03,309.3,10.6,D,0
11.7793,-13.8303,342.7,1.2,1.1,2024-01-03,1436,Aqua,MODIS,90,61.03,308,47.4,D,0
11.7696,-13.8287,322.1,1.2,1.1,2024-01-03,1436,Aqua,MODIS,40,61.03,308,10.4,D,0
12.6342,-14.3908,316.5,1.3,1.1,2024-01-03,1436,Aqua,MODIS,34,61.03,305.9,6.7,D,0
12.5017,-13.791,321.1,1.2,1.1,2024-01-03,1436,Aqua,MODIS,59,61.03,310.5,9.3,D,0
12.5033,-13.7803,325.5,1.2,1.1,2024-01-03,1436,Aqua,MODIS,72,61.03,310.9,15.1,D,0
12.0762,-13.8976,326.4,1.2,1.1,2024-01-03,1436,Aqua,MODIS,72,61.03,309.8,14.6,D,0
12.033,-13.9814,319.3,1.2,1.1,2024-01-03,1436,Aqua,MODIS,43,61.03,307.7,10.2,D,0
12.0033,-13.834,323.1,1.2,1.1,2024-01-03,1436,Aqua,MODIS,42,61.03,310.1,9.2,D,0
12.005,-13.8231,359.1,1.2,1.1,2024-01-03,1436,Aqua,MODIS,99,61.03,312.5,93.1,D,0
11.9953,-13.8215,326.5,1.2,1.1,2024-01-03,1436,Aqua,MODIS,70,61.03,312.3,13.6,D,0
11.8859,-13.9336,330.1,1.2,1.1,2024-01-03,1436,Aqua,MODIS,79,61.03,310.1,20.8,D,0
12.6411,-15.0592,318.1,1.4,1.2,2024-01-03,1437,Aqua,MODIS,61,61.03,307.4,9.1,D,0
12.6431,-15.0464,319.2,1.4,1.2,2024-01-03,1437,Aqua,MODIS,64,61.03,307.7,10.5,D,0
11.9696,-13.933,307.4,1.2,1.1,2024-01-03,2234,Terra,MODIS,71,61.03,296.1,7.7,N,0
12.0293,-13.8571,322.6,1.2,1.1,2024-01-04,1048,Terra,MODIS,76,61.03,300.6,17.4,D,0
11.9423,-13.8213,318.6,1.2,1.1,2024-01-04,1048,Terra,MODIS,70,61.03,301.7,12.8,D,0
11.5378,-15.0669,319.6,2.1,1.4,2024-01-04,1517,Aqua,MODIS,68,61.03,300.2,33.1,D,0
11.5488,-15.061,320.7,2.1,1.4,2024-01-04,1517,Aqua,MODIS,60,61.03,299.8,36.9,D,0
12.58,-14.84,317.8,2.3,1.5,2024-01-04,1518,Aqua,MODIS,58,61.03,305.5,18.4,D,0
12.0211,-13.8737,329.2,2.7,1.6,2024-01-04,1518,Aqua,MODIS,80,61.03,304.2,72.8,D,0
12.5807,-14.856,320.4,2.3,1.5,2024-01-04,1518,Aqua,MODIS,66,61.03,306.2,27.7,D,0
12.666,-15.0852,321.2,1.2,1.1,2024-01-06,1502,Aqua,MODIS,64,61.03,308.8,9.4,D,0
12.4773,-13.8461,328.1,1.4,1.2,2024-01-06,1502,Aqua,MODIS,46,61.03,307.7,20.7,D,0
12.4756,-13.8399,329.9,1.4,1.2,2024-01-06,1502,Aqua,MODIS,67,61.03,309.6,25.2,D,0
12.4876,-13.8287,329.9,1.4,1.2,2024-01-06,1502,Aqua,MODIS,79,61.03,310.2,26.3,D,0
12.3722,-15.741,318.2,1.1,1,2024-01-06,1502,Aqua,MODIS,60,61.03,306.8,8.4,D,0
12.6359,-14.0324,319.8,1.4,1.2,2024-01-06,1502,Aqua,MODIS,32,61.03,308.6,8.8,D,0
12.635,-14.0267,326.7,1.4,1.2,2024-01-06,1502,Aqua,MODIS,74,61.03,309.5,20.6,D,0
12.6315,-14.5227,322.5,1.3,1.1,2024-01-06,1502,Aqua,MODIS,67,61.03,310,13.3,D,0
12.1021,-14.5897,320,1.2,1.1,2024-01-06,1502,Aqua,MODIS,63,61.03,305.4,10.7,D,0
12.1036,-14.5785,327.1,1.2,1.1,2024-01-06,1502,Aqua,MODIS,76,61.03,307.1,21.5,D,0
12.1018,-14.584,334.2,1.2,1.1,2024-01-06,1502,Aqua,MODIS,84,61.03,306.4,33.2,D,0
11.9494,-15.1968,328.2,1.1,1.1,2024-01-06,1502,Aqua,MODIS,78,61.03,312,18.1,D,0
12.0858,-13.8692,321.1,1.4,1.2,2024-01-06,1502,Aqua,MODIS,56,61.03,308.8,9,D,0
11.9645,-14.0941,328.6,1.3,1.1,2024-01-06,1502,Aqua,MODIS,79,61.03,309,22.6,D,0
11.9661,-14.0822,337.6,1.3,1.1,2024-01-06,1502,Aqua,MODIS,82,61.03,307.3,41.3,D,0
11.8111,-14.467,329.4,1.2,1.1,2024-01-06,1502,Aqua,MODIS,80,61.03,307,25.8,D,0
11.7402,-14.5483,318.9,1.2,1.1,2024-01-06,1502,Aqua,MODIS,62,61.03,305.9,10.9,D,0
11.7396,-14.5426,316.9,1.2,1.1,2024-01-06,1502,Aqua,MODIS,50,61.03,305.6,8.4,D,0
11.7808,-14.093,324.8,1.3,1.1,2024-01-06,1502,Aqua,MODIS,75,61.03,310.6,13.2,D,0
11.1327,-15.1802,346.6,1.1,1.1,2024-01-06,1502,Aqua,MODIS,70,61.03,306.3,55.6,D,0
11.1341,-15.1701,376.1,1.1,1.1,2024-01-06,1502,Aqua,MODIS,100,61.03,309.2,154.7,D,0
12.479,-13.8335,330.9,1.4,1.2,2024-01-06,1502,Aqua,MODIS,62,61.03,310.1,26.7,D,0
12.5427,-14.0091,320.6,1.3,1.1,2024-01-07,1111,Terra,MODIS,74,61.03,304.4,14.6,D,0
12.6588,-15.0842,321.4,1.1,1.1,2024-01-07,1111,Terra,MODIS,73,61.03,305.1,12.5,D,0
12.6218,-14.9671,317.9,1.1,1.1,2024-01-07,1111,Terra,MODIS,64,61.03,305.7,8,D,0
12.6094,-14.9484,316.1,1.1,1.1,2024-01-07,1111,Terra,MODIS,49,61.03,305.1,5.8,D,0
12.1071,-14.1789,322.1,1.3,1.1,2024-01-07,1111,Terra,MODIS,78,61.03,302.2,18,D,0
12.0973,-14.1805,316.4,1.3,1.1,2024-01-07,1111,Terra,MODIS,66,61.03,301.4,10.8,D,0
12.5435,-14.0031,317.1,1.3,1.1,2024-01-07,1111,Terra,MODIS,54,61.03,304.3,9.6,D,0
12.5358,-15.0039,329.6,1,1,2024-01-08,1447,Aqua,MODIS,65,61.03,312,17.2,D,0
12.6524,-14.2846,348,1,1,2024-01-08,1447,Aqua,MODIS,93,61.03,313.4,43.7,D,0
12.651,-14.2937,330.6,1,1,2024-01-08,1447,Aqua,MODIS,25,61.03,312.7,14.3,D,0
12.559,-14.9114,327.6,1,1,2024-01-08,1447,Aqua,MODIS,43,61.03,312.2,13.4,D,0
12.5463,-14.9959,326.4,1,1,2024-01-08,1447,Aqua,MODIS,41,61.03,314,12.6,D,0
12.6028,-14.6801,325,1,1,2024-01-08,1447,Aqua,MODIS,42,61.03,308.2,11,D,0
12.5694,-14.9034,328.3,1,1,2024-01-08,1447,Aqua,MODIS,63,61.03,311,13.8,D,0
12.6269,-14.5801,326.6,1,1,2024-01-08,1447,Aqua,MODIS,72,61.03,311.7,12.4,D,0
12.6118,-14.6815,324.8,1,1,2024-01-08,1447,Aqua,MODIS,39,61.03,310.4,10.6,D,0
12.6548,-14.453,330.8,1,1,2024-01-08,1447,Aqua,MODIS,78,61.03,310.5,18.5,D,0
12.6535,-14.4621,340.6,1,1,2024-01-08,1447,Aqua,MODIS,88,61.03,311.9,33.3,D,0
