latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.525,-59.4634,319.1,1.2,1.1,2024-01-01,1344,Terra,MODIS,52,61.03,299.8,11.4,D,0
2.8686,-59.9362,322.2,1.3,1.1,2024-01-01,1344,Terra,MODIS,73,61.03,302.6,9.8,D,0
2.7619,-59.5547,343.4,1.2,1.1,2024-01-01,1807,Aqua,MODIS,91,61.03,305.6,48,D,0
2.8819,-59.9281,332.3,1.2,1.1,2024-01-01,1807,Aqua,MODIS,56,61.03,307.2,19.7,D,0
2.5052,-59.5056,338,1.2,1.1,2024-01-01,1807,Aqua,MODIS,87,61.03,307.2,27.9,D,0
2.5037,-59.5164,332.1,1.2,1.1,2024-01-01,1807,Aqua,MODIS,82,61.03,308.5,17.3,D,0
2.6034,-59.2398,327.3,1.3,1.1,2024-01-01,1807,Aqua,MODIS,62,61.03,304.6,18,D,0
2.8613,-59.9357,333,1.2,1.1,2024-01-01,1807,Aqua,MODIS,51,61.03,307.9,20.7,D,0
2.7643,-59.5496,336.5,1.2,1.1,2024-01-01,1807,Aqua,MODIS,77,61.03,306.5,31,D,0
2.8628,-59.9254,332.7,1.2,1.1,2024-01-01,1807,Aqua,MODIS,62,61.03,310.1,18,D,0
2.8834,-59.9178,331.2,1.2,1.1,2024-01-01,1807,Aqua,MODIS,44,61.03,309.8,16,D,0
3.5894,-59.7054,315,1.3,1.1,2024-01-02,0206,Terra,MODIS,90,61.03,291.6,17,N,0
3.6643,-59.3097,304.9,1.4,1.2,2024-01-02,0206,Terra,MODIS,62,61.03,292.3,7.6,N,0
3.5878,-59.7171,310.3,1.3,1.1,2024-01-02,0206,Terra,MODIS,80,61.03,291.9,11.5,N,0
3.5777,-59.7157,311.1,1.3,1.1,2024-01-02,0206,Terra,MODIS,82,61.03,292.1,12.2,N,0
3.5302,-59.5344,320,2.6,1.5,2024-01-02,1424,Terra,MODIS,63,61.03,295.7,39.2,D,0
3.5237,-59.5286,320.9,2.6,1.5,2024-01-02,1424,Terra,MODIS,70,61.03,296.2,43,D,0
2.9123,-59.6858,318.3,2.7,1.6,2024-01-03,1327,Terra,MODIS,60,61.03,290,42.5,D,0
2.4426,-59.2691,322.7,1,1,2024-01-03,1751,Aqua,MODIS,48,61.03,300.9,10.2,D,0
3.1245,-59.6507,322.6,1,1,2024-01-03,1751,Aqua,MODIS,48,61.03,302.1,10.8,D,0
3.1115,-59.6769,322.4,1,1,2024-01-03,1751,Aqua,MODIS,62,61.03,303.4,8.9,D,0
2.3301,-59.7882,324.9,1.1,1,2024-01-03,1751,Aqua,MODIS,76,61.03,305.1,9.7,D,0
2.5247,-59.5916,336.7,1,1,2024-01-03,1751,Aqua,MODIS,87,61.03,305.3,28.1,D,0
3.1232,-59.6598,327.5,1,1,2024-01-03,1751,Aqua,MODIS,62,61.03,304.8,15.5,D,0
2.4439,-59.2601,322.6,1,1,2024-01-03,1751,Aqua,MODIS,45,61.03,302,11,D,0
3.5778,-59.2674,322.8,1,1,2024-01-03,1751,Aqua,MODIS,51,61.03,303,11.4,D,0
3.6538,-59.3117,331.4,1,1,2024-01-03,1751,Aqua,MODIS,75,61.03,299.4,20.1,D,0
7.3749,-58.7613,312,1,1,2024-01-03,1752,Aqua,MODIS,40,61.03,298.7,5.5,D,0
7.5365,-59.1083,313.9,1,1,2024-01-03,1752,Aqua,MODIS,66,61.03,299,7.1,D,0
7.627,-58.9904,313.7,1,1,2024-01-03,1752,Aqua,MODIS,65,61.03,299,6.6,D,0
7.3762,-58.7523,311.4,1,1,2024-01-03,1752,Aqua,MODIS,49,61.03,296.1,5.1,D,0
6.7163,-58.404,320.6,1,1,2024-01-03,1752,Aqua,MODIS,69,61.03,289.1,12.1,D,0
4.5019,-59.5649,319.6,1,1,2024-01-03,1752,Aqua,MODIS,57,61.03,306.1,6.5,D,0
3.9744,-59.5152,344.1,1,1,2024-01-03,1752,Aqua,MODIS,91,61.03,307.2,39.7,D,0
3.9757,-59.5063,333.5,1,1,2024-01-03,1752,Aqua,MODIS,79,61.03,308.1,22.1,D,0
7.633,-59.1373,320.9,1,1,2024-01-03,1753,Aqua,MODIS,76,61.03,300,13.1,D,0
7.6317,-59.1462,348.9,1,1,2024-01-03,1753,Aqua,MODIS,95,61.03,300.4,54.9,D,0
3.7338,-59.212,312.5,1,1,2024-01-04,0149,Terra,MODIS,83,61.03,294.2,9.5,N,0
3.6422,-59.3381,319.2,1,1,2024-01-04,0149,Terra,MODIS,98,61.03,294,15.7,N,0
3.6549,-59.3126,305.5,1,1,2024-01-04,0149,Terra,MODIS,58,61.03,294.9,5,N,0
6.1321,-57.4067,313.9,1.6,1.2,2024-01-04,1407,Terra,MODIS,38,61.03,299.9,16,D,0
3.6759,-59.3388,321.3,1.3,1.1,2024-01-04,1407,Terra,MODIS,59,61.03,300.6,13.8,D,0
3.6738,-59.3342,320.8,1.3,1.1,2024-01-04,1407,Terra,MODIS,42,61.03,300.6,12.9,D,0
3.1137,-59.8934,326.9,1.2,1.1,2024-01-04,1407,Terra,MODIS,75,61.03,302.7,21.4,D,0
2.8132,-59.4678,326.2,1.3,1.1,2024-01-04,1407,Terra,MODIS,62,61.03,305.5,14.1,D,0
2.805,-59.4804,322.3,1.3,1.1,2024-01-04,1407,Terra,MODIS,51,61.03,304.4,8.4,D,0
2.8033,-59.4692,324,1.3,1.1,2024-01-04,1407,Terra,MODIS,73,61.03,305.1,11.3,D,0
2.7951,-59.4819,325.3,1.3,1.1,2024-01-04,1407,Terra,MODIS,60,61.03,304,12.8,D,0
2.5808,-59.8334,332.2,1.2,1.1,2024-01-04,1408,Terra,MODIS,84,61.03,305,23,D,0
2.5711,-59.8348,324.1,1.2,1.1,2024-01-04,1408,Terra,MODIS,50,61.03,305.1,9.5,D,0
2.6179,-59.839,318,3.6,1.8,2024-01-04,1832,Aqua,MODIS,45,61.03,293,36.8,D,0
2.7859,-59.9385,326.1,3.5,1.8,2024-01-04,1832,Aqua,MODIS,73,61.03,297.6,90.8,D,0
2.7813,-59.9455,326.4,3.5,1.8,2024-01-04,1832,Aqua,MODIS,78,61.03,297.9,92.5,D,0
3.7676,-59.4977,327,1.7,1.3,2024-01-05,1736,Aqua,MODIS,77,61.03,301.8,20.6,D,0
2.4541,-59.8177,325.8,1.9,1.3,2024-01-05,1736,Aqua,MODIS,45,61.03,293.9,27.8,D,0
2.466,-59.8195,324.1,1.9,1.3,2024-01-05,1736,Aqua,MODIS,41,61.03,295.5,25.5,D,0
2.8808,-59.8798,326.8,1.9,1.3,2024-01-05,1736,Aqua,MODIS,66,61.03,300.8,22.6,D,0
3.0032,-59.6217,338.8,1.8,1.3,2024-01-05,1736,Aqua,MODIS,89,61.03,301.8,57.6,D,0
3.0019,-59.6108,331.7,1.8,1.3,2024-01-05,1736,Aqua,MODIS,75,61.03,302.5,37.3,D,0
2.9996,-59.6262,333.2,1.8,1.3,2024-01-05,1736,Aqua,MODIS,85,61.03,302,41,D,0
3.6031,-59.4455,325,1.7,1.3,2024-01-05,1736,Aqua,MODIS,75,61.03,302.1,15.2,D,0
3.6052,-59.6604,324.9,1.7,1.3,2024-01-05,1736,Aqua,MODIS,70,61.03,303.5,16.2,D,0
3.6029,-59.6757,327.7,1.7,1.3,2024-01-05,1736,Aqua,MODIS,79,61.03,303.6,23.7,D,0
3.6719,-59.293,335.1,1.6,1.3,2024-01-05,1736,Aqua,MODIS,82,61.03,303.8,44.3,D,0
3.6698,-59.3073,339.6,1.6,1.3,2024-01-05,1736,Aqua,MODIS,88,61.03,301.5,59,D,0
3.6676,-59.3217,331.2,1.6,1.3,2024-01-05,1736,Aqua,MODIS,72,61.03,302.2,36.1,D,0
3.7509,-59.46,327.2,1.7,1.3,2024-01-05,1736,Aqua,MODIS,73,61.03,303.9,20.5,D,0
3.7487,-59.4747,337.7,1.7,1.3,2024-01-05,1736,Aqua,MODIS,87,61.03,303.5,50.1,D,0
3.7686,-59.4179,331.1,1.6,1.3,2024-01-05,1736,Aqua,MODIS,74,61.03,302.6,34.9,D,0
3.7665,-59.4325,325,1.7,1.3,2024-01-05,1736,Aqua,MODIS,41,61.03,302,18.2,D,0
3.7497,-59.4649,329.7,1.7,1.3,2024-01-05,1736,Aqua,MODIS,72,61.03,303.7,26.9,D,0
3.7474,-59.4796,328.3,1.7,1.3,2024-01-05,1736,Aqua,MODIS,49,61.03,303.8,21.5,D,0
3.7677,-59.4229,333.2,1.6,1.3,2024-01-05,1736,Aqua,MODIS,80,61.03,303,41.2,D,0
3.8012,-59.354,328.9,1.6,1.3,2024-01-05,1736,Aqua,MODIS,79,61.03,302.8,29.1,D,0
3.799,-59.3684,325.5,1.6,1.3,2024-01-05,1736,Aqua,MODIS,70,61.03,302,21.9,D,0
