latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.0995,-72.3987,315.3,1.3,1.1,2024-01-05,1444,Terra,MODIS,68,61.03,299.2,9.1,D,0
18.9261,-72.2478,312,1.2,1.1,2024-01-05,1444,Terra,MODIS,63,61.03,299.1,6.9,D,0
18.7344,-72.0028,323.1,1.3,1.1,2024-01-06,1822,Aqua,MODIS,78,61.03,297.1,24.1,D,0
18.7545,-71.984,315.4,1.3,1.1,2024-01-08,1508,Terra,MODIS,70,61.03,294.8,14.7,D,0
19.2927,-72.2116,315.5,1.2,1.1,2024-01-09,1848,Aqua,MODIS,64,61.03,293.9,8.3,D,0
19.0291,-72.3743,319.9,1.2,1.1,2024-01-09,1848,Aqua,MODIS,73,61.03,303.9,11.6,D,0
19.2757,-72.2662,315.2,1.2,1.1,2024-01-09,1848,Aqua,MODIS,58,61.03,294.7,8.3,D,0
18.9827,-72.1432,311.4,1,1,2024-01-10,1451,Terra,MODIS,56,61.03,299.5,5,D,0
18.9235,-72.0438,318.6,1,1,2024-01-11,1832,Aqua,MODIS,59,61.03,304.5,8,D,0
19.3787,-71.908,312.2,1,1,2024-01-11,1832,Aqua,MODIS,36,61.03,300.1,5.4,D,0
19.0261,-72.4607,322.1,1.1,1,2024-01-11,1832,Aqua,MODIS,72,61.03,307.1,12.9,D,0
18.9816,-71.8397,321.8,1,1,2024-01-11,1832,Aqua,MODIS,64,61.03,307.3,6.9,D,0
18.922,-72.0535,320.3,1,1,2024-01-11,1832,Aqua,MODIS,70,61.03,306.6,9.1,D,0
18.8404,-72.0388,308.8,1.1,1.1,2024-01-12,0224,Terra,MODIS,76,61.03,293.5,9.8,N,0
18.9297,-72.2489,319.4,1.7,1.3,2024-01-13,1817,Aqua,MODIS,56,61.03,300.8,16.1,D,0
19.1982,-72.7494,315.1,1.8,1.3,2024-01-13,1817,Aqua,MODIS,39,61.03,299.9,16.2,D,0
19.0399,-72.0143,336.9,1.6,1.3,2024-01-13,1817,Aqua,MODIS,88,61.03,300.6,63.3,D,0
18.9463,-72.0932,318.6,1,1,2024-01-15,1457,Terra,MODIS,72,61.03,301.2,10.2,D,0
19.0257,-72.0009,304.3,1,1,2024-01-17,0230,Terra,MODIS,59,61.03,292.4,5.8,N,0
19.2457,-71.8088,319.8,1.1,1.1,2024-01-18,1827,Aqua,MODIS,63,61.03,304.2,9.8,D,0
19.2407,-71.8026,319.7,1.1,1.1,2024-01-18,1827,Aqua,MODIS,67,61.03,305.3,8.8,D,0
19.2124,-72.649,313.9,1.2,1.1,2024-01-18,1827,Aqua,MODIS,52,61.03,302.1,6,D,0
19.2544,-72.2241,318.4,2.7,1.6,2024-01-19,1908,Aqua,MODIS,68,61.03,301.1,27.7,D,0
19.246,-72.2408,316.5,2.7,1.6,2024-01-19,1908,Aqua,MODIS,61,61.03,302.2,23.9,D,0
19.2487,-72.2156,317.7,2.7,1.6,2024-01-19,1908,Aqua,MODIS,68,61.03,302,26.4,D,0
18.9139,-72.06,314.9,1.1,1.1,2024-01-20,1504,Terra,MODIS,68,61.03,300.4,8.4,D,0
19.204,-72.6716,325.1,1,1,2024-01-23,1837,Aqua,MODIS,77,61.03,300.9,15.9,D,0
19.0453,-72.0539,315.5,1,1,2024-01-23,1837,Aqua,MODIS,42,61.03,301.7,5.2,D,0
19.2054,-72.6622,314.1,1,1,2024-01-23,1837,Aqua,MODIS,56,61.03,299.7,5.3,D,0
18.9118,-72.187,303.2,1.3,1.1,2024-01-24,0648,Aqua,MODIS,54,61.03,292.6,7.7,N,0
18.8435,-72.2215,317.1,2.1,1.4,2024-01-26,1903,Aqua,MODIS,45,61.03,301.1,15.1,D,0
18.9348,-72.0577,309,1.2,1.1,2024-01-27,0243,Terra,MODIS,76,61.03,292,10.9,N,0
18.8797,-72.1561,304.7,1.2,1.1,2024-01-27,0243,Terra,MODIS,61,61.03,293.3,6.5,N,0
19.0961,-72.3487,311.4,1,1,2024-01-27,1453,Terra,MODIS,35,61.03,299.5,4.4,D,0
19.5917,-72.7978,313.1,1,1,2024-01-27,1453,Terra,MODIS,63,61.03,299,7,D,0
18.6854,-72.0573,314.6,1,1,2024-01-27,1453,Terra,MODIS,43,61.03,302.4,6.2,D,0
19.0948,-72.3394,312.8,1,1,2024-01-27,1453,Terra,MODIS,52,61.03,299.2,6.1,D,0
19.4856,-71.8201,310.8,2.5,1.5,2024-01-27,1806,Aqua,MODIS,41,61.03,299.3,17.8,D,0
18.9806,-72.1609,321.4,1.2,1.1,2024-01-28,1847,Aqua,MODIS,54,61.03,306.4,10.8,D,0
18.9791,-72.1716,321.4,1.1,1.1,2024-01-28,1847,Aqua,MODIS,44,61.03,306.5,11.2,D,0
18.6668,-72.111,349.7,1.1,1,2024-01-30,1832,Aqua,MODIS,90,61.03,302.4,57.2,D,0
18.6562,-72.1803,334.9,1.1,1,2024-01-30,1832,Aqua,MODIS,87,61.03,305.2,24.8,D,0
19.0153,-72.3432,306.5,1.5,1.2,2024-02-01,0250,Terra,MODIS,68,61.03,291.5,11.9,N,0
18.8161,-71.9618,304.6,1,1,2024-02-03,0232,Terra,MODIS,54,61.03,289.4,6.9,N,0
18.8174,-71.9524,306.9,1,1,2024-02-03,0232,Terra,MODIS,70,61.03,290.8,7.8,N,0
18.9829,-72.2181,306.1,1,1,2024-02-03,0233,Terra,MODIS,67,61.03,290.5,7.5,N,0
18.8819,-72.1032,320,1,1,2024-02-04,1842,Aqua,MODIS,50,61.03,303.1,6.2,D,0
18.9947,-72.2215,318.6,1,1,2024-02-04,1842,Aqua,MODIS,55,61.03,303,6.3,D,0
18.834,-72.3768,322.5,1,1,2024-02-04,1842,Aqua,MODIS,68,61.03,299,12.9,D,0
18.925,-72.2134,302.4,1.5,1.2,2024-02-05,0216,Terra,MODIS,49,61.03,290.8,6.5,N,0
18.7549,-71.9518,301,1.1,1,2024-02-05,0652,Aqua,MODIS,37,61.03,290.5,5.3,N,0
19.107,-72.1587,306.6,2,1.4,2024-02-06,0256,Terra,MODIS,53,61.03,292,19.8,N,0
19.1103,-72.1649,303.1,2,1.4,2024-02-06,0256,Terra,MODIS,26,61.03,292.3,11,N,0
19.2284,-72.7099,303.1,1,1,2024-02-08,0239,Terra,MODIS,53,61.03,291.4,5.7,N,0
18.7893,-72.0921,319.5,1.3,1.1,2024-02-09,1852,Aqua,MODIS,71,61.03,304.1,11.4,D,0
18.8213,-72.0002,316.4,1.3,1.1,2024-02-09,1852,Aqua,MODIS,45,61.03,303.7,9.6,D,0
18.8453,-72.2115,316.8,1.3,1.1,2024-02-09,1852,Aqua,MODIS,64,61.03,302.4,9.3,D,0
18.9566,-71.9873,314.1,1.3,1.1,2024-02-09,1852,Aqua,MODIS,61,61.03,300.7,6.2,D,0
19.0048,-72.1622,321.7,1.3,1.1,2024-02-09,1852,Aqua,MODIS,75,61.03,302.6,18.2,D,0
19.2209,-72.067,322.5,1.3,1.1,2024-02-09,1852,Aqua,MODIS,76,61.03,303.1,16.8,D,0
19.284,-71.986,314.1,1.6,1.2,2024-02-11,1512,Terra,MODIS,71,61.03,297,16,D,0
18.1584,-71.8733,315.8,1,1,2024-02-11,1836,Aqua,MODIS,0,61.03,301.3,7.8,D,0
18.8543,-72.2199,319.3,1,1,2024-02-11,1836,Aqua,MODIS,68,61.03,303.9,9.1,D,0
18.9877,-72.1964,318.1,1,1,2024-02-11,1836,Aqua,MODIS,48,61.03,305.1,6,D,0
19.4169,-71.7269,314.4,1,1,2024-02-11,1836,Aqua,MODIS,45,61.03,301.9,4.8,D,0
19.2753,-72.679,317.3,1,1,2024-02-11,1836,Aqua,MODIS,53,61.03,306.5,7.1,D,0
