latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.521,-87.7375,319.8,1.1,1,2024-01-01,1948,Aqua,MODIS,66,61.03,303.2,6.2,D,0
13.4595,-87.4521,325.7,1.1,1,2024-01-01,1948,Aqua,MODIS,73,61.03,303.9,11.1,D,0
15.1255,-86.7649,311.2,1,1,2024-01-03,1933,Aqua,MODIS,64,61.03,297.4,6.4,D,0
13.276,-87.2181,322.2,1.1,1,2024-01-03,1933,Aqua,MODIS,49,61.03,304.8,6.9,D,0
13.1853,-87.3292,334.6,1.1,1,2024-01-03,1933,Aqua,MODIS,86,61.03,301.6,30.1,D,0
14.9608,-85.2546,313.5,1.3,1.1,2024-01-05,1918,Aqua,MODIS,68,61.03,296.5,12.2,D,0
15.6358,-84.432,319.3,1.2,1.1,2024-01-05,1918,Aqua,MODIS,46,61.03,297.4,12.7,D,0
15.6453,-84.4336,320.1,1.2,1.1,2024-01-05,1918,Aqua,MODIS,72,61.03,296.5,14.6,D,0
15.0136,-84.2728,312.3,1.2,1.1,2024-01-05,1918,Aqua,MODIS,59,61.03,299,7.9,D,0
15.0073,-83.969,317,1.1,1.1,2024-01-05,1918,Aqua,MODIS,72,61.03,299.5,10.8,D,0
15.6436,-84.4441,320.7,1.2,1.1,2024-01-05,1918,Aqua,MODIS,76,61.03,296.8,15.3,D,0
14.3937,-89.1641,311.6,1.2,1.1,2024-01-06,1959,Aqua,MODIS,28,61.03,298.2,8.2,D,0
13.215,-87.2612,323.1,1.6,1.2,2024-01-06,1959,Aqua,MODIS,65,61.03,308.3,14.8,D,0
13.2008,-87.3054,306.5,1.5,1.2,2024-01-07,0354,Terra,MODIS,68,61.03,293.3,12.3,N,0
13.1971,-87.299,305.3,1.5,1.2,2024-01-07,0354,Terra,MODIS,64,61.03,293.3,10.1,N,0
15.4592,-88.0026,316.3,1.4,1.2,2024-01-07,0355,Terra,MODIS,93,61.03,293.9,23.3,N,0
15.4608,-87.9895,319.8,1.4,1.2,2024-01-07,0355,Terra,MODIS,99,61.03,294.5,28.9,N,0
14.7341,-88.0191,310.8,1.2,1.1,2024-01-07,1607,Terra,MODIS,67,61.03,296.4,9.3,D,0
