latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.1149,20.8931,302.1,1.1,1,2024-01-13,1150,Aqua,MODIS,51,61.03,273.7,10,D,0
46.2192,18.124,300.4,1.1,1,2024-01-30,1204,Aqua,MODIS,36,61.03,279.5,7.9,D,0
46.0535,18.2507,302.8,1.1,1,2024-01-30,1204,Aqua,MODIS,54,61.03,279.8,8.8,D,2
46.0244,18.1901,300.1,1.1,1,2024-01-30,1204,Aqua,MODIS,27,61.03,279,7.4,D,0
48.1637,20.6616,303.6,1.6,1.2,2024-02-03,1134,Aqua,MODIS,56,61.03,282.6,14.4,D,0
46.5351,20.5894,326.9,1,1,2024-02-06,1159,Aqua,MODIS,85,61.03,285.1,26.6,D,0
47.3055,19.2376,300.4,1.1,1,2024-02-06,1159,Aqua,MODIS,37,61.03,287.6,4.5,D,0
48.2913,20.6128,301.8,2.3,1.5,2024-02-07,1240,Aqua,MODIS,49,61.03,281.6,21.4,D,0
46.3628,17.8371,307.8,1.1,1.1,2024-02-18,1203,Aqua,MODIS,66,61.03,286.3,10.3,D,0
46.0322,17.8226,308.5,1.1,1,2024-03-01,1206,Aqua,MODIS,67,61.03,284.9,9.1,D,0
46.0345,17.8362,301.7,1.1,1,2024-03-01,1206,Aqua,MODIS,49,61.03,285.1,4.3,D,0
47.726,16.5351,314,1.1,1.1,2024-03-03,0936,Terra,MODIS,74,61.03,287.8,16.3,D,0
47.1819,21.5287,307.4,1.1,1,2024-03-03,1150,Aqua,MODIS,65,61.03,290.8,7.3,D,0
47.1842,21.5425,305.7,1.1,1,2024-03-03,1150,Aqua,MODIS,62,61.03,290.6,6,D,0
47.6539,21.4993,303.8,1.1,1,2024-03-03,1151,Aqua,MODIS,57,61.03,283.7,5.4,D,2
47.2258,21.5215,306.6,1.1,1,2024-03-03,1151,Aqua,MODIS,62,61.03,290.6,5.6,D,2
47.3914,21.8316,304.8,1.1,1,2024-03-03,1151,Aqua,MODIS,37,61.03,288.1,4,D,0
47.7785,21.411,302.5,1.1,1,2024-03-03,1151,Aqua,MODIS,53,61.03,284.4,4.6,D,0
47.8386,22.4781,306.8,1.3,1.2,2024-03-04,0838,Terra,MODIS,64,61.03,288.5,11.5,D,0
47.8368,22.4958,301.8,1.3,1.1,2024-03-04,0838,Terra,MODIS,49,61.03,288,6.9,D,0
48.2649,20.7218,311.8,1.7,1.3,2024-03-04,1232,Aqua,MODIS,72,61.03,289.3,22.5,D,0
48.2745,20.7129,305.9,1.7,1.3,2024-03-04,1232,Aqua,MODIS,53,61.03,288.6,12.4,D,0
47.0789,20.6926,302,1.2,1.1,2024-03-05,0918,Terra,MODIS,47,61.03,289.7,4.2,D,0
47.0815,20.6779,301.1,1.2,1.1,2024-03-05,0918,Terra,MODIS,41,61.03,290.2,3.3,D,0
47.9735,21.8673,309.4,1.2,1.1,2024-03-05,0918,Terra,MODIS,55,61.03,289.6,10.3,D,0
47.97,21.8764,304.7,1.2,1.1,2024-03-05,0918,Terra,MODIS,60,61.03,289.5,6.8,D,0
47.9148,21.6622,306.7,1.2,1.1,2024-03-05,0918,Terra,MODIS,60,61.03,288.8,8.2,D,0
48.3097,20.7854,302.2,1.6,1.2,2024-03-05,1135,Aqua,MODIS,51,61.03,289,7.9,D,0
46.4923,17.8352,305.7,1,1,2024-03-06,1216,Aqua,MODIS,57,61.03,292,5.1,D,0
46.4904,17.8225,310.5,1,1,2024-03-06,1216,Aqua,MODIS,70,61.03,290.4,8.3,D,0
