latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
63.8559,-22.4201,500,1,1,2024-01-14,1225,Terra,MODIS,100,61.03,373.8,1635.8,N,0
63.8532,-22.4004,455.1,1,1,2024-01-14,1225,Terra,MODIS,100,61.03,310.1,793.9,N,0
63.8645,-22.414,431.5,1,1,2024-01-14,1225,Terra,MODIS,100,61.03,304.5,509.9,N,1
63.8586,-22.4396,424.8,1,1,2024-01-14,1225,Terra,MODIS,100,61.03,284.6,445.6,N,0
63.8354,-22.447,412.9,4.2,1.9,2024-01-14,1237,Aqua,MODIS,100,61.03,287,2761.1,N,3
63.8633,-22.3965,407.2,4.2,1.9,2024-01-14,1237,Aqua,MODIS,100,61.03,278.5,0,N,1
63.8749,-22.424,348.6,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,271.2,0,N,1
63.8368,-22.3913,379.6,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,273.9,980,N,3
63.8495,-22.3698,390.3,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,280.3,1289.5,N,3
63.8696,-22.425,399.3,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,282.5,0,N,1
63.8627,-22.4466,415.2,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,283.6,0,N,1
63.8425,-22.3903,411,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,283,2087.2,N,3
63.8552,-22.369,354.9,3.6,1.8,2024-01-14,1403,Terra,MODIS,100,61.03,273.3,487.3,N,3
63.8666,-22.4132,325.1,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,267.1,25.5,N,1
63.855,-22.4255,501.9,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,400.1,1679.9,N,0
63.8582,-22.4061,501.9,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,400.1,1678.3,N,0
63.8433,-22.4377,363.5,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,275,99.9,N,0
63.8465,-22.4184,443.9,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,311.7,647.4,N,0
63.8497,-22.399,392.1,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,288.2,214.1,N,0
63.8603,-22.452,307.9,1,1,2024-01-14,1415,Aqua,MODIS,25,61.03,267.4,10.7,N,0
63.8635,-22.4325,331.2,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,267.5,32.8,N,0
63.8518,-22.4449,441.7,1,1,2024-01-14,1415,Aqua,MODIS,100,61.03,302,621.3,N,0
63.8426,-22.4519,387,4.4,1.9,2024-01-14,1553,Aqua,MODIS,100,61.03,273.9,0,N,0
63.86,-22.4516,381.1,4.4,1.9,2024-01-14,1553,Aqua,MODIS,100,61.03,270.3,0,N,0
63.8451,-22.4625,394.8,4.4,1.9,2024-01-14,1553,Aqua,MODIS,100,61.03,275.5,0,N,0
63.8578,-22.4101,342.3,1.2,1.1,2024-01-15,2244,Terra,MODIS,100,61.03,289.7,71.7,N,0
