latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.2868,49.6842,300.1,1,1,2024-01-01,0700,Terra,MODIS,25,61.03,284.3,3.7,D,0
32.3501,47.7122,312.5,1,1,2024-01-01,0701,Terra,MODIS,73,61.03,288.6,11.8,D,2
32.3515,47.7015,308.8,1,1,2024-01-01,0701,Terra,MODIS,68,61.03,288.4,9.2,D,2
33.049,51.5021,302.5,1.1,1.1,2024-01-01,0701,Terra,MODIS,43,61.03,286.2,4.6,D,2
32.4074,51.336,301.9,1.1,1.1,2024-01-01,0701,Terra,MODIS,43,61.03,287.6,4.6,D,2
32.2443,51.4305,314.8,1.1,1.1,2024-01-01,0701,Terra,MODIS,54,61.03,289.4,14,D,2
32.2351,51.4283,318.9,1.1,1.1,2024-01-01,0701,Terra,MODIS,79,61.03,289,18.6,D,2
32.1728,47.5096,310.5,2,1.4,2024-01-01,1001,Aqua,MODIS,68,61.03,292.1,21,D,2
32.3541,47.7038,306.1,1.9,1.3,2024-01-01,1001,Aqua,MODIS,49,61.03,290.5,13,D,2
32.3482,47.6982,308,1.9,1.3,2024-01-01,1001,Aqua,MODIS,64,61.03,290.8,17.3,D,2
32.4844,47.2032,302.5,2,1.4,2024-01-01,1001,Aqua,MODIS,50,61.03,291.3,8.6,D,2
31.0816,47.7811,304.9,2,1.4,2024-01-01,1001,Aqua,MODIS,59,61.03,287.5,18.3,D,2
32.1769,47.5298,304.3,2,1.4,2024-01-01,1001,Aqua,MODIS,54,61.03,291.3,10.1,D,2
32.9939,46.1848,305.3,2.3,1.5,2024-01-01,1002,Aqua,MODIS,61,61.03,290.7,17.4,D,2
37.0078,45.7323,304,2,1.4,2024-01-01,1003,Aqua,MODIS,58,61.03,286.4,15.2,D,0
37.0034,45.7112,301.1,2,1.4,2024-01-01,1003,Aqua,MODIS,36,61.03,287.5,11,D,0
37.0121,45.7234,308.4,2,1.4,2024-01-01,1003,Aqua,MODIS,67,61.03,285.9,24.3,D,0
27.2455,56.1832,303.5,1,1,2024-01-01,1759,Terra,MODIS,56,61.03,289.8,6.2,N,0
27.5453,52.5852,301.2,1.1,1.1,2024-01-01,1759,Terra,MODIS,26,61.03,289.4,5.3,N,2
27.4983,52.652,305.3,1.1,1.1,2024-01-01,1759,Terra,MODIS,20,61.03,289.6,7.7,N,2
30.3928,50.6085,311.6,1.3,1.1,2024-01-01,1800,Terra,MODIS,83,61.03,283.7,19.7,N,2
30.395,50.6216,320.3,1.3,1.1,2024-01-01,1800,Terra,MODIS,100,61.03,284,30.5,N,2
30.3862,49.8584,313.4,1.4,1.2,2024-01-01,1800,Terra,MODIS,87,61.03,284.5,25.1,N,2
30.7224,49.8198,316,1.4,1.2,2024-01-01,1800,Terra,MODIS,92,61.03,283.4,28.7,N,2
31.001,48.1464,302.3,1.8,1.3,2024-01-01,1800,Terra,MODIS,48,61.03,282,18.5,N,2
31.2087,48.9532,301.5,1.6,1.2,2024-01-01,1800,Terra,MODIS,42,61.03,283.5,13.6,N,2
31.0868,47.7918,307.7,1.9,1.3,2024-01-01,1800,Terra,MODIS,72,61.03,282.1,28.4,N,2
31.0931,47.7838,307,1.9,1.3,2024-01-01,1800,Terra,MODIS,70,61.03,281.1,25.7,N,2
31.2742,48.1134,310.1,1.8,1.3,2024-01-01,1800,Terra,MODIS,79,61.03,282.1,29.7,N,2
31.4097,48.6492,300.9,1.6,1.2,2024-01-01,1800,Terra,MODIS,35,61.03,283.6,13.9,N,2
32.2393,51.4281,340.3,1.1,1.1,2024-01-01,1800,Terra,MODIS,100,61.03,279.1,56.9,N,2
32.1781,47.526,300.8,1.8,1.3,2024-01-01,1801,Terra,MODIS,33,61.03,281.7,16.8,N,2
32.1734,47.5207,303.5,1.8,1.3,2024-01-01,1801,Terra,MODIS,55,61.03,281.7,21.5,N,2
32.3493,47.7,309.7,1.8,1.3,2024-01-01,1801,Terra,MODIS,78,61.03,283.4,28.9,N,2
30.3981,50.624,300.5,4.3,1.9,2024-01-01,2343,Aqua,MODIS,28,61.03,281.2,64.6,N,2
30.3998,50.6328,303.5,4.3,1.9,2024-01-01,2343,Aqua,MODIS,56,61.03,281.1,78.6,N,2
31.0886,47.8017,301.4,2.7,1.6,2024-01-01,2343,Aqua,MODIS,41,61.03,279.7,33.6,N,2
31.2478,48.9772,305.8,3.6,1.8,2024-01-02,0741,Terra,MODIS,62,61.03,289.1,37.4,D,2
31.2396,49.0131,305.8,3.6,1.8,2024-01-02,0741,Terra,MODIS,62,61.03,289.3,37.5,D,2
31.202,48.9626,310.9,3.6,1.8,2024-01-02,0741,Terra,MODIS,71,61.03,289.8,58.2,D,2
31.2073,48.9594,313.6,3.6,1.8,2024-01-02,0741,Terra,MODIS,74,61.03,289.8,68.5,D,2
31.0431,49.3848,303.4,3.9,1.8,2024-01-02,0741,Terra,MODIS,56,61.03,291.8,27.1,D,2
31.2704,48.1176,311.8,3.2,1.7,2024-01-02,0741,Terra,MODIS,72,61.03,290.5,51.8,D,2
30.9051,49.6779,304.4,4.1,1.9,2024-01-02,0741,Terra,MODIS,59,61.03,290.9,35.8,D,2
32.3578,47.7154,305.3,2.8,1.6,2024-01-02,0741,Terra,MODIS,55,61.03,287.9,27.1,D,2
32.344,47.7115,305.4,2.8,1.6,2024-01-02,0741,Terra,MODIS,61,61.03,286,28.5,D,2
32.1765,47.5239,301.3,2.7,1.6,2024-01-02,0741,Terra,MODIS,22,61.03,281.2,21,D,2
31.2419,48.9823,308.2,3.6,1.8,2024-01-02,0741,Terra,MODIS,67,61.03,289.1,44.8,D,2
30.9982,48.1455,305,3.2,1.7,2024-01-02,0742,Terra,MODIS,60,61.03,289.4,32.4,D,2
31.271,48.1109,308.8,3.2,1.7,2024-01-02,0742,Terra,MODIS,68,61.03,290.6,40.7,D,2
30.8997,49.6699,303.7,4.1,1.9,2024-01-02,0742,Terra,MODIS,57,61.03,291.1,32.9,D,2
30.717,49.8247,308.2,4.3,1.9,2024-01-02,0742,Terra,MODIS,67,61.03,290.1,61.3,D,2
30.9971,48.1505,300.9,3.2,1.7,2024-01-02,0742,Terra,MODIS,42,61.03,289.1,20.5,D,2
30.9901,48.0413,301.5,3.2,1.7,2024-01-02,0742,Terra,MODIS,47,61.03,289.7,20.2,D,2
30.932,48.0237,301.9,3.2,1.7,2024-01-02,0742,Terra,MODIS,50,61.03,288.4,24.4,D,2
30.3863,49.8812,303.3,4.4,1.9,2024-01-02,0742,Terra,MODIS,55,61.03,290.1,32.7,D,2
30.3828,49.8749,305.4,4.4,1.9,2024-01-02,0742,Terra,MODIS,61,61.03,290.2,44.2,D,2
32.3517,47.7064,320.8,1.3,1.1,2024-01-02,1042,Aqua,MODIS,80,61.03,291.7,22.8,D,2
30.9992,48.1384,318.1,1.3,1.1,2024-01-02,1042,Aqua,MODIS,77,61.03,292.1,22.5,D,2
30.9865,48.0295,308.3,1.3,1.1,2024-01-02,1042,Aqua,MODIS,65,61.03,291.3,9.9,D,2
30.985,48.016,305.8,1.3,1.1,2024-01-02,1042,Aqua,MODIS,59,61.03,291.3,7.5,D,2
31.0541,48.2796,346.2,1.4,1.2,2024-01-02,1042,Aqua,MODIS,94,61.03,285.9,84.8,D,0
31.0525,48.2657,376.7,1.4,1.2,2024-01-02,1042,Aqua,MODIS,100,61.03,293,218.2,D,0
31.2149,48.9581,311.6,1.5,1.2,2024-01-02,1042,Aqua,MODIS,67,61.03,292.1,15.4,D,2
31.2132,48.9426,307.5,1.5,1.2,2024-01-02,1042,Aqua,MODIS,56,61.03,292.7,10.1,D,2
31.2082,48.9519,322.9,1.5,1.2,2024-01-02,1042,Aqua,MODIS,82,61.03,292.5,33.5,D,2
31.2347,48.9954,302.7,1.5,1.2,2024-01-02,1042,Aqua,MODIS,53,61.03,288.7,6.4,D,2
31.2123,48.4949,305.1,1.4,1.2,2024-01-02,1042,Aqua,MODIS,58,61.03,293.6,7.7,D,2
31.2703,48.7262,309.6,1.4,1.2,2024-01-02,1042,Aqua,MODIS,68,61.03,292.1,11.7,D,2
31.2709,48.1203,319.9,1.3,1.1,2024-01-02,1042,Aqua,MODIS,78,61.03,292.1,23.9,D,2
31.2693,48.1064,316.1,1.3,1.1,2024-01-02,1042,Aqua,MODIS,75,61.03,293.6,18.3,D,2
31.4014,48.6486,311.7,1.4,1.2,2024-01-02,1042,Aqua,MODIS,70,61.03,294.3,14.5,D,2
32.232,51.425,312.9,2.3,1.5,2024-01-02,1042,Aqua,MODIS,73,61.03,293.1,30.9,D,2
32.178,47.5204,314.3,1.3,1.1,2024-01-02,1042,Aqua,MODIS,75,61.03,292.6,14.8,D,2
32.3508,47.6997,317.7,1.3,1.1,2024-01-02,1042,Aqua,MODIS,78,61.03,291.4,18.8,D,2
30.1515,50.4134,309.8,1.8,1.3,2024-01-02,1042,Aqua,MODIS,66,61.03,297.8,10,D,2
30.2975,50.7292,307.6,1.9,1.3,2024-01-02,1042,Aqua,MODIS,59,61.03,295.6,8.9,D,2
30.3897,50.6137,317.8,1.9,1.3,2024-01-02,1042,Aqua,MODIS,74,61.03,295.6,28.1,D,2
30.3966,50.6267,312.4,1.9,1.3,2024-01-02,1042,Aqua,MODIS,71,61.03,294.1,18.9,D,2
30.3948,50.6078,316.9,1.9,1.3,2024-01-02,1042,Aqua,MODIS,76,61.03,295,28.6,D,2
30.3896,49.861,319.1,1.7,1.3,2024-01-02,1042,Aqua,MODIS,78,61.03,297.3,26.2,D,2
30.3894,49.8542,320.4,1.7,1.3,2024-01-02,1042,Aqua,MODIS,79,61.03,297.6,27.6,D,2
30.4739,50.4752,305.6,1.8,1.3,2024-01-02,1042,Aqua,MODIS,59,61.03,294.3,9,D,2
