latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.25,44.4314,302.3,1.5,1.2,2024-01-01,0700,Terra,MODIS,51,61.03,286.4,10.2,D,2
35.7231,44.0386,300.8,1.7,1.3,2024-01-01,0700,Terra,MODIS,42,61.03,285.1,11.3,D,2
35.6806,43.885,301.5,1.7,1.3,2024-01-01,0700,Terra,MODIS,47,61.03,283.8,13.2,D,2
35.5239,44.3424,305.6,1.6,1.2,2024-01-01,0700,Terra,MODIS,48,61.03,285.4,13.8,D,2
32.1327,47.4115,309.9,1,1,2024-01-01,0701,Terra,MODIS,52,61.03,271.7,13.9,D,2
32.2554,47.2511,307.5,1.1,1,2024-01-01,0701,Terra,MODIS,49,61.03,276.4,11.5,D,2
33.323,44.5706,300.7,1.4,1.2,2024-01-01,0701,Terra,MODIS,40,61.03,288.4,6.9,D,2
33.2219,44.7614,302.9,1.4,1.2,2024-01-01,0701,Terra,MODIS,54,61.03,288.3,8.1,D,0
33.2204,44.776,304.7,1.4,1.2,2024-01-01,0701,Terra,MODIS,60,61.03,288.9,9.8,D,0
32.0971,47.5378,303.9,2,1.4,2024-01-01,1001,Aqua,MODIS,53,61.03,292,10.4,D,2
32.1242,47.3947,310.2,2,1.4,2024-01-01,1001,Aqua,MODIS,68,61.03,292.3,20.9,D,2
32.2503,47.2449,309.6,2,1.4,2024-01-01,1001,Aqua,MODIS,67,61.03,292.5,20.2,D,2
32.2532,47.2369,305.7,2,1.4,2024-01-01,1001,Aqua,MODIS,58,61.03,292.1,13.2,D,2
30.7624,47.3283,301.7,2.2,1.4,2024-01-01,1001,Aqua,MODIS,34,61.03,288.2,11.6,D,2
30.8832,47.3404,302.2,2.2,1.4,2024-01-01,1001,Aqua,MODIS,33,61.03,288,13,D,2
30.8788,47.3186,305.9,2.2,1.4,2024-01-01,1001,Aqua,MODIS,60,61.03,288.1,20,D,2
30.8832,47.3355,305.9,2.2,1.4,2024-01-01,1001,Aqua,MODIS,60,61.03,288,21.6,D,2
30.8787,47.3138,301.3,2.2,1.4,2024-01-01,1001,Aqua,MODIS,31,61.03,288,13.6,D,2
31.0327,47.2864,319.8,2.2,1.4,2024-01-01,1001,Aqua,MODIS,79,61.03,288.7,53.5,D,2
