latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.6056,-6.8004,306.4,1.2,1.1,2024-04-23,1116,Terra,MODIS,64,61.03,287.5,10.1,D,0
52.6093,-6.7988,310,1.1,1.1,2024-04-23,1404,Aqua,MODIS,69,61.03,292.2,11.2,D,0
52.6122,-6.3698,321.4,1.1,1.1,2024-05-05,1110,Terra,MODIS,81,61.03,287.6,21.6,D,0
52.2962,-6.726,308.8,1.1,1,2024-05-05,1110,Terra,MODIS,68,61.03,287.5,10,D,0
53.2712,-7.965,303.5,1.1,1,2024-06-12,1344,Aqua,MODIS,27,61.03,288.2,3.6,D,0
53.651,-6.4585,301.3,1.1,1.1,2024-06-19,1335,Aqua,MODIS,46,61.03,282.7,3.8,D,0
53.6871,-8.1345,309.5,1.3,1.1,2024-06-23,1123,Terra,MODIS,65,61.03,291,10.2,D,0
53.1792,-7.4877,303.6,1.2,1.1,2024-07-06,1339,Aqua,MODIS,22,61.03,290.6,4.7,D,0
53.1801,-7.1318,303.6,1.4,1.2,2024-07-30,1332,Aqua,MODIS,36,61.03,291.2,4.8,D,0
53.2582,-6.24,348.6,1.4,1.2,2024-08-11,1328,Aqua,MODIS,94,61.03,290.5,94.3,D,0
53.2576,-6.2247,319.4,1.4,1.2,2024-08-11,1328,Aqua,MODIS,67,61.03,292.8,23.1,D,0
53.2536,-6.2435,333.3,1.4,1.2,2024-08-11,1328,Aqua,MODIS,85,61.03,291.3,50.9,D,0
52.5415,-6.5229,303.7,1.2,1.1,2024-08-30,1110,Terra,MODIS,57,61.03,292.8,5.9,D,0
53.5312,-6.3487,307.8,1,1,2024-08-31,1351,Aqua,MODIS,64,61.03,294.2,5.9,D,0
53.4137,-6.3068,308.8,1.2,1.1,2024-09-07,1339,Aqua,MODIS,63,61.03,296.2,6.2,D,0
53.471,-6.398,309.9,1.2,1.1,2024-09-07,1339,Aqua,MODIS,50,61.03,295.3,6.9,D,0
53.4899,-6.4165,304.1,1.1,1.1,2024-09-16,1104,Terra,MODIS,55,61.03,291.7,4.6,D,0
53.4642,-6.4183,302.2,1.1,1.1,2024-09-16,1104,Terra,MODIS,51,61.03,291.6,3.8,D,0
53.5082,-6.1838,306.2,1,1,2024-09-17,1349,Aqua,MODIS,55,61.03,294.5,4.5,D,0
