latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.2586,35.1421,304.4,1.2,1.1,2024-02-03,0804,Terra,MODIS,59,61.03,286.2,8.1,D,0
31.268,35.1442,301.5,1.2,1.1,2024-02-03,0804,Terra,MODIS,34,61.03,286.4,5.9,D,0
32.8877,35.0894,300.9,1,1,2024-02-10,0753,Terra,MODIS,28,61.03,288.9,2.6,D,2
30.8822,34.4676,308.8,1.4,1.2,2024-02-20,2346,Aqua,MODIS,76,61.03,279.1,22.6,N,0
31.4408,34.7554,304.5,1.1,1.1,2024-03-20,0803,Terra,MODIS,38,61.03,294.2,4.4,D,0
31.4827,34.6201,306.3,1.1,1.1,2024-03-20,0803,Terra,MODIS,60,61.03,293.7,6.2,D,0
31.8077,34.7474,311,1.1,1.1,2024-03-20,0803,Terra,MODIS,70,61.03,292.8,9.9,D,0
31.3726,34.7823,310.9,1.2,1.1,2024-03-20,0803,Terra,MODIS,66,61.03,296,7.4,D,0
31.4867,34.5375,304.9,1.1,1.1,2024-03-20,0803,Terra,MODIS,56,61.03,293.2,5.3,D,2
32.5439,35.4016,316,1.2,1.1,2024-03-26,1110,Aqua,MODIS,68,61.03,297,11.8,D,2
32.7189,35.1912,308.1,1.2,1.1,2024-03-26,1110,Aqua,MODIS,55,61.03,295.9,6.4,D,0
32.5533,35.3995,310.3,1.2,1.1,2024-03-26,1110,Aqua,MODIS,31,61.03,298,5.5,D,0
31.4192,34.6765,331.7,1.3,1.1,2024-03-26,1110,Aqua,MODIS,84,61.03,300,35.7,D,0
32.505,35.4603,308.6,1.1,1.1,2024-03-26,1110,Aqua,MODIS,47,61.03,296.2,4.4,D,2
32.9655,35.1442,308.5,1.2,1.1,2024-03-26,1111,Aqua,MODIS,58,61.03,294.3,6.6,D,0
31.3417,34.421,349.2,1.1,1,2024-03-31,1119,Aqua,MODIS,94,61.03,311.5,51.1,D,0
31.3399,34.41,366.1,1.1,1,2024-03-31,1119,Aqua,MODIS,100,61.03,313.2,99.2,D,0
31.349,34.408,375.7,1.1,1,2024-03-31,1119,Aqua,MODIS,100,61.03,311.1,135.5,D,0
32.9901,35.126,313.6,1.2,1.1,2024-04-06,0804,Terra,MODIS,65,61.03,296.6,10,D,0
31.6365,34.5676,316.9,1,1,2024-04-12,1121,Aqua,MODIS,41,61.03,303.3,5.7,D,0
31.2987,34.4916,305.1,1.2,1.1,2024-05-05,1858,Terra,MODIS,63,61.03,289,10,N,0
31.2954,34.4854,322.7,1.2,1.1,2024-05-05,1858,Terra,MODIS,100,61.03,289.3,29.5,N,0
31.2965,34.479,316.2,1.2,1.1,2024-05-05,1858,Terra,MODIS,93,61.03,288.6,21.3,N,0
