latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.0473,13.5118,300.9,1.1,1.1,2024-01-02,1224,Aqua,MODIS,40,61.03,282.7,7,D,0
41.8358,15.2087,304.4,1.6,1.2,2024-01-04,0901,Terra,MODIS,59,61.03,288.5,12.9,D,0
42.2175,13.9401,300.9,1.9,1.3,2024-01-04,0901,Terra,MODIS,43,61.03,282.9,14.8,D,0
40.5253,17.9675,300.3,1.1,1.1,2024-01-04,1208,Aqua,MODIS,33,61.03,289.1,4.5,D,0
40.2835,16.6136,302.9,1.3,1.1,2024-01-04,1208,Aqua,MODIS,54,61.03,291.5,6.3,D,0
40.5053,16.408,302.9,1.3,1.1,2024-01-04,1208,Aqua,MODIS,54,61.03,292.8,6.9,D,0
40.4215,18.17,301,1.1,1,2024-01-04,1208,Aqua,MODIS,43,61.03,290,4.5,D,0
40.27,18.1471,310.4,1.1,1,2024-01-04,1208,Aqua,MODIS,70,61.03,290.1,11.1,D,0
40.086,18.1599,300.7,1.1,1.1,2024-01-04,1208,Aqua,MODIS,40,61.03,289.6,4.7,D,0
39.9624,18.1478,302.7,1.1,1.1,2024-01-04,1208,Aqua,MODIS,53,61.03,290.8,5.5,D,0
37.506,14.844,306.4,1.8,1.3,2024-01-04,1208,Aqua,MODIS,63,61.03,294.6,11.7,D,0
37.8103,14.7733,326.4,1.8,1.3,2024-01-04,1208,Aqua,MODIS,84,61.03,291.1,56.5,D,0
37.8142,14.7921,307.7,1.8,1.3,2024-01-04,1208,Aqua,MODIS,66,61.03,291.4,17,D,0
40.3606,18.0949,307.7,1.1,1,2024-01-04,1208,Aqua,MODIS,66,61.03,289.8,8.6,D,0
40.2818,16.6041,301.3,1.3,1.1,2024-01-04,1208,Aqua,MODIS,46,61.03,291.3,4.8,D,0
45.144,9.9481,324.8,1,1,2024-01-10,0947,Terra,MODIS,79,61.03,270.5,27.9,D,2
45.1458,9.9358,307.2,1,1,2024-01-10,0947,Terra,MODIS,56,61.03,270.4,12.6,D,2
45.1387,9.9429,312.6,1,1,2024-01-12,1246,Aqua,MODIS,55,61.03,281.4,14.4,D,2
45.1479,9.9476,300.1,1,1,2024-01-12,2037,Terra,MODIS,18,61.03,272.5,9.6,N,2
45.1459,9.9349,303.5,1,1,2024-01-12,2037,Terra,MODIS,56,61.03,272.3,11.6,N,2
40.3959,17.3935,301.6,1.1,1,2024-01-16,1214,Aqua,MODIS,48,61.03,290.5,4.5,D,0
40.4754,17.4296,302.4,1.1,1,2024-01-16,1214,Aqua,MODIS,52,61.03,290.8,5,D,0
45.4775,10.2173,300.9,1.4,1.2,2024-01-20,0215,Aqua,MODIS,35,61.03,270.3,16.2,N,0
45.1455,9.9489,314.5,1.1,1.1,2024-01-20,1000,Terra,MODIS,75,61.03,277.6,21,D,2
37.1235,13.9199,307.5,1.1,1,2024-01-21,0120,Aqua,MODIS,72,61.03,281.3,13.3,N,0
40.8219,14.5562,309.5,1.1,1,2024-01-21,1224,Aqua,MODIS,69,61.03,286.8,11.8,D,0
41.447,14.069,301.8,1.1,1,2024-01-21,1224,Aqua,MODIS,49,61.03,284.5,7.8,D,0
43.2532,13.4595,305.1,1.1,1,2024-01-21,1225,Aqua,MODIS,61,61.03,282.3,10.4,D,0
43.33,13.3032,311.8,1.1,1,2024-01-21,1225,Aqua,MODIS,68,61.03,282,15.5,D,0
43.3322,13.3163,322.9,1.1,1,2024-01-21,1225,Aqua,MODIS,77,61.03,282.1,26.5,D,0
45.1514,9.946,302.9,1,1,2024-01-22,0200,Aqua,MODIS,52,61.03,268,11.6,N,2
45.1448,9.9464,315.6,1,1,2024-01-22,0943,Terra,MODIS,57,61.03,273.9,19.3,D,2
