latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.0485,-77.7712,311.6,1,1,2024-01-07,1903,Aqua,MODIS,55,61.03,299.7,4.4,D,0
18.0129,-77.8224,313.3,1.3,1.1,2024-01-09,1848,Aqua,MODIS,51,61.03,295.5,10,D,0
18.2927,-78.136,310.4,1.3,1.1,2024-01-12,1914,Aqua,MODIS,34,61.03,297.3,5.2,D,0
18.2846,-78.1716,311.4,1.6,1.3,2024-01-16,1538,Terra,MODIS,66,61.03,300.3,10,D,0
18.259,-78.1215,324.5,1.1,1.1,2024-01-21,1853,Aqua,MODIS,81,61.03,300.4,17.3,D,0
18.2586,-78.2785,325.7,1.1,1.1,2024-01-21,1853,Aqua,MODIS,81,61.03,298.1,21.4,D,0
18.2603,-78.2679,316.2,1.1,1.1,2024-01-21,1853,Aqua,MODIS,71,61.03,298.4,9.8,D,0
18.2542,-78.1529,332.2,1.1,1.1,2024-01-21,1853,Aqua,MODIS,86,61.03,296.9,29.1,D,0
17.9449,-77.0033,318.4,1.7,1.3,2024-01-23,1837,Aqua,MODIS,70,61.03,303.2,20.9,D,0
18.065,-76.6315,301.3,1.1,1.1,2024-01-25,0300,Terra,MODIS,27,61.03,290.5,6.7,N,0
18.2521,-78.1675,316.2,1.4,1.2,2024-01-28,1847,Aqua,MODIS,71,61.03,300.9,11.2,D,0
18.2542,-78.1549,317.3,1.4,1.2,2024-01-28,1847,Aqua,MODIS,72,61.03,301.8,12.4,D,0
18.2597,-78.2618,311,1.2,1.1,2024-01-31,1913,Aqua,MODIS,24,61.03,295.8,6,D,0
18.2798,-78.3311,310.2,1.2,1.1,2024-01-31,1913,Aqua,MODIS,17,61.03,294.1,5.2,D,0
17.9119,-77.1282,324.9,1.1,1.1,2024-02-07,1907,Aqua,MODIS,72,61.03,304.4,15.3,D,0
17.9026,-77.1268,322.8,1.1,1.1,2024-02-07,1907,Aqua,MODIS,0,61.03,304.4,11.7,D,0
18.2611,-78.1916,343.5,1.3,1.1,2024-02-09,1530,Terra,MODIS,93,61.03,303.2,60.7,D,0
18.2621,-78.1855,326.5,1.3,1.1,2024-02-09,1530,Terra,MODIS,83,61.03,301.8,25.8,D,0
