latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.3951,136.9051,322.1,3.2,1.7,2024-01-01,1305,Terra,MODIS,100,61.03,275.8,141.2,N,2
37.4037,136.9033,343.3,1.1,1.1,2024-01-01,1706,Aqua,MODIS,100,61.03,279.8,62.9,N,3
37.3943,136.9015,305.5,1.1,1.1,2024-01-01,1706,Aqua,MODIS,32,61.03,272.7,14.3,N,2
35.0274,136.8768,303.5,1.1,1,2024-01-01,1707,Aqua,MODIS,55,61.03,278.5,10.9,N,2
38.0697,140.5471,300.1,1,1,2024-01-02,0105,Terra,MODIS,26,61.03,276.7,7.5,D,0
38.0805,140.5376,305.5,1,1,2024-01-02,0105,Terra,MODIS,58,61.03,276.8,11.2,D,0
35.0283,136.8692,315,1,1,2024-01-02,0106,Terra,MODIS,0,61.03,285.4,15.6,D,2
35.0269,136.8802,304.3,1,1,2024-01-02,0106,Terra,MODIS,51,61.03,284,7.6,D,2
33.2584,131.6506,300.8,1.8,1.3,2024-01-02,0107,Terra,MODIS,0,61.03,285.9,11.9,D,2
35.0228,136.8763,307.7,1.6,1.2,2024-01-04,0049,Terra,MODIS,0,61.03,284.6,18,D,2
35.9379,140.6736,300.7,1.4,1.2,2024-01-04,0353,Aqua,MODIS,0,61.03,288.2,7.8,D,2
35.9376,140.6799,304.1,1.4,1.2,2024-01-04,1151,Terra,MODIS,58,61.03,280.1,17.4,N,2
35.0284,136.8745,313.7,1,1,2024-01-05,0434,Aqua,MODIS,56,61.03,290.4,13,D,2
35.93,140.6667,300.9,1.6,1.2,2024-01-05,0434,Aqua,MODIS,32,61.03,290.8,8,D,2
35.0295,136.8652,312,1,1,2024-01-05,1231,Terra,MODIS,78,61.03,281.2,15.4,N,2
35.3518,139.8755,302.1,1.9,1.4,2024-01-06,0032,Terra,MODIS,0,61.03,287.2,16.3,D,2
36.8915,140.0281,307.8,1.2,1.1,2024-01-07,0112,Terra,MODIS,66,61.03,280.9,13.3,D,0
36.8894,140.0409,300.4,1.2,1.1,2024-01-07,0112,Terra,MODIS,36,61.03,280.8,7.9,D,0
32.4119,131.6057,310.5,2.5,1.5,2024-01-07,0418,Aqua,MODIS,37,61.03,286.3,46.7,D,0
36.3245,139.9585,307.4,1,1,2024-01-07,0419,Aqua,MODIS,65,61.03,289.3,7.9,D,0
36.2371,139.7885,303.2,1,1,2024-01-07,0419,Aqua,MODIS,55,61.03,286.7,6,D,0
35.935,140.6854,308.4,1,1,2024-01-07,1214,Terra,MODIS,74,61.03,279,13.1,N,2
35.9301,140.6782,301,1,1,2024-01-09,0055,Terra,MODIS,0,61.03,283.4,6.2,D,2
35.0324,136.8747,301.1,1.3,1.1,2024-01-09,0056,Terra,MODIS,0,61.03,281.9,8.3,D,2
35.3471,139.8709,302.1,1.2,1.1,2024-01-09,0403,Aqua,MODIS,38,61.03,288.2,6.9,D,2
35.9306,140.6757,300.7,1.1,1,2024-01-09,0404,Aqua,MODIS,0,61.03,288.8,5.2,D,2
35.9397,140.6733,300.2,1.1,1,2024-01-09,0404,Aqua,MODIS,25,61.03,287.7,4.9,D,2
33.2612,131.6552,301.9,1.1,1,2024-01-11,1728,Aqua,MODIS,45,61.03,279.1,9.8,N,2
33.2604,131.6539,316.6,1.1,1.1,2024-01-12,0120,Terra,MODIS,67,61.03,287.5,18,D,2
33.2618,131.642,306.5,1.1,1.1,2024-01-12,0120,Terra,MODIS,48,61.03,287.5,9,D,2
35.0287,136.8731,310.9,1,1,2024-01-12,0429,Aqua,MODIS,53,61.03,288.4,10.4,D,2
35.9403,140.6695,300.6,1.3,1.1,2024-01-12,0429,Aqua,MODIS,9,61.03,288.9,5.4,D,2
35.9301,140.6712,302.7,1.3,1.1,2024-01-12,0429,Aqua,MODIS,13,61.03,290.3,7,D,2
35.0311,136.8739,303.9,1,1,2024-01-12,1220,Terra,MODIS,57,61.03,279.8,9.5,N,2
33.2616,131.6415,301,1.5,1.2,2024-01-13,0510,Aqua,MODIS,0,61.03,289.5,6.5,D,2
34.1445,132.4563,325.3,1.4,1.2,2024-01-13,1301,Terra,MODIS,100,61.03,277.4,45.1,N,0
35.0325,136.8715,304.2,1,1,2024-01-13,1712,Aqua,MODIS,28,61.03,276.3,9.8,N,2
34.1421,132.4531,328.2,1.5,1.2,2024-01-13,1713,Aqua,MODIS,98,61.03,278.8,0,N,0
37.691,140.3744,302.4,1,1,2024-01-14,0101,Terra,MODIS,52,61.03,275,9.1,D,0
35.6191,138.6025,305.7,1,1,2024-01-14,0102,Terra,MODIS,62,61.03,278.6,9.6,D,0
35.322,139.8752,302.7,1,1,2024-01-14,0102,Terra,MODIS,47,61.03,281.7,6.9,D,2
35.3132,139.8733,310,1,1,2024-01-14,0102,Terra,MODIS,69,61.03,281.7,12,D,2
34.9214,139.0201,302.8,1,1,2024-01-14,0102,Terra,MODIS,54,61.03,276.9,9.2,D,0
35.0232,136.868,306.2,1.1,1,2024-01-14,0102,Terra,MODIS,0,61.03,281.4,9.1,D,2
36.815,140.041,303.6,1,1,2024-01-14,0102,Terra,MODIS,57,61.03,279.1,8.8,D,0
36.8439,140.0422,308.7,1,1,2024-01-14,0102,Terra,MODIS,52,61.03,278.6,10.5,D,0
36.8422,140.0532,317.1,1,1,2024-01-14,0102,Terra,MODIS,77,61.03,278.5,17.8,D,0
36.8167,140.0301,302.4,1,1,2024-01-14,0102,Terra,MODIS,44,61.03,279,7.5,D,0
36.8134,140.052,305.3,1,1,2024-01-14,0102,Terra,MODIS,61,61.03,278.8,9.5,D,0
36.7128,140.0453,310.1,1,1,2024-01-14,0102,Terra,MODIS,53,61.03,277.4,11.8,D,0
36.6682,139.9786,300.6,1,1,2024-01-14,0102,Terra,MODIS,40,61.03,278.6,6.2,D,0
35.9388,140.6812,302.4,1,1,2024-01-14,0102,Terra,MODIS,39,61.03,282.7,7.3,D,2
35.6505,138.6488,305.4,1,1,2024-01-14,0102,Terra,MODIS,61,61.03,277.9,9.6,D,2
33.2618,131.6482,302.7,2,1.4,2024-01-14,0103,Terra,MODIS,0,61.03,285.8,17.4,D,2
35.304,139.1485,300.5,1,1,2024-01-14,0414,Aqua,MODIS,39,61.03,286.3,4.6,D,2
34.7043,137.8791,303.5,1.2,1.1,2024-01-14,0414,Aqua,MODIS,56,61.03,287.3,6.9,D,2
35.3514,139.8714,311.8,1,1,2024-01-14,0414,Aqua,MODIS,0,61.03,288.1,12.1,D,2
35.997,139.9849,303.1,1,1,2024-01-14,0414,Aqua,MODIS,55,61.03,284.5,6.6,D,0
35.9405,140.6811,302.7,1,1,2024-01-14,1204,Terra,MODIS,51,61.03,278.8,9.5,N,2
35.0249,136.869,301.3,1.4,1.2,2024-01-15,1244,Terra,MODIS,28,61.03,276,14.4,N,2
35.3511,139.8736,300.5,1.2,1.1,2024-01-16,0045,Terra,MODIS,0,61.03,282.2,8.7,D,2
35.0284,136.8844,300.7,1.8,1.3,2024-01-16,0045,Terra,MODIS,30,61.03,280.1,15.4,D,2
34.4906,133.7143,317.9,1.1,1.1,2024-01-16,1738,Aqua,MODIS,95,61.03,276.2,23.5,N,3
33.2685,131.6485,304.2,1,1,2024-01-16,1739,Aqua,MODIS,59,61.03,278.6,10.4,N,2
34.4837,133.7119,327.5,1,1,2024-01-17,0440,Aqua,MODIS,81,61.03,289,27.1,D,3
36.1309,139.501,309.7,1.1,1,2024-01-19,0108,Terra,MODIS,69,61.03,285.9,11.4,D,2
35.0302,136.8717,300.6,1,1,2024-01-19,0109,Terra,MODIS,0,61.03,276.2,7,D,2
35.0253,136.8689,313.8,1,1,2024-01-19,0424,Aqua,MODIS,0,61.03,290.9,12.6,D,2
35.0256,136.8685,309.2,1.5,1.2,2024-01-22,0450,Aqua,MODIS,0,61.03,289.6,14,D,2
