latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.9027,36.5863,302.9,1.5,1.2,2024-01-22,0808,Terra,MODIS,45,61.03,290.2,4.7,D,0
31.1723,37.0114,302.3,4.1,1.9,2024-01-25,0831,Terra,MODIS,44,61.03,288.2,13.7,D,0
31.88,36.7699,310.5,1.2,1.1,2024-02-15,0759,Terra,MODIS,66,61.03,290.1,9.8,D,0
31.8704,36.7676,314.7,1.2,1.1,2024-02-15,0759,Terra,MODIS,75,61.03,290.3,14.1,D,0
31.9092,36.5957,303.5,1.5,1.2,2024-02-20,0806,Terra,MODIS,55,61.03,290.5,5.8,D,0
31.8459,36.0172,309.8,1.1,1.1,2024-03-26,1110,Aqua,MODIS,46,61.03,294.8,5.2,D,2
31.7916,36.2318,318,1.2,1.1,2024-04-01,0758,Terra,MODIS,56,61.03,303.5,8.9,D,0
31.8523,36.0128,316.4,1.4,1.2,2024-04-06,0804,Terra,MODIS,48,61.03,298.5,11.8,D,2
32.0925,36.2272,314.5,1.4,1.2,2024-04-06,0804,Terra,MODIS,24,61.03,299.8,7.3,D,2
31.849,36.0097,316.4,1.1,1,2024-04-07,1112,Aqua,MODIS,45,61.03,301,5.6,D,2
32.0871,36.2191,317.1,1.1,1,2024-04-07,1112,Aqua,MODIS,43,61.03,303.3,5.2,D,0
32.0867,36.228,319.4,1.3,1.1,2024-04-14,1105,Aqua,MODIS,50,61.03,303,8.1,D,2
32.087,36.2179,320,1.2,1.1,2024-04-18,0759,Terra,MODIS,54,61.03,305.8,7,D,0
32.0849,36.2305,325.5,1.2,1.1,2024-04-18,0759,Terra,MODIS,70,61.03,306.2,14.8,D,2
32.5182,36.1847,328.3,1,1,2024-04-25,0747,Terra,MODIS,73,61.03,310,13.4,D,0
32.5029,36.0265,319.8,1.1,1,2024-05-01,1114,Aqua,MODIS,66,61.03,301.4,7.2,D,0
32.0833,36.2193,319.9,1.7,1.3,2024-05-03,1058,Aqua,MODIS,49,61.03,307,11.9,D,2
32.0888,36.2284,320.8,1.1,1,2024-05-13,1114,Aqua,MODIS,37,61.03,303.2,8.4,D,2
31.8842,35.8243,301.8,1.2,1.1,2024-05-17,1852,Terra,MODIS,44,61.03,290.5,6,N,2
31.882,35.8111,310.1,1.2,1.1,2024-05-17,1852,Terra,MODIS,79,61.03,291.5,12.9,N,2
32.1336,35.8157,351.1,1,1,2024-05-18,1122,Aqua,MODIS,94,61.03,311.8,48.5,D,0
32.1321,35.8052,348.2,1,1,2024-05-18,1122,Aqua,MODIS,92,61.03,312.3,42.1,D,0
32.2751,36.0326,327.2,1,1,2024-05-30,1120,Aqua,MODIS,53,61.03,315.1,6.6,D,0
30.7893,35.3162,315,1,1,2024-06-01,1908,Terra,MODIS,90,61.03,298.4,10.6,N,0
29.6051,35.0459,337.7,1,1,2024-06-04,1127,Aqua,MODIS,54,61.03,324,11.5,D,0
30.5546,35.206,357.5,2.8,1.6,2024-06-05,1833,Terra,MODIS,100,61.03,302.1,332.1,N,0
30.5569,35.196,338.9,1,1,2024-06-06,0012,Aqua,MODIS,100,61.03,297.5,41.5,N,0
30.5553,35.2064,327.9,1,1,2024-06-06,0012,Aqua,MODIS,100,61.03,297.3,25.8,N,0
30.5537,35.1956,315.1,1,1,2024-06-06,1913,Terra,MODIS,88,61.03,303.3,8.8,N,0
31.9852,35.7481,337.3,1,1,2024-06-28,1123,Aqua,MODIS,75,61.03,317.7,18.1,D,0
32.0703,36.2966,308.2,1,1,2024-07-05,1904,Terra,MODIS,67,61.03,295.5,6.3,N,0
31.9818,35.9372,324.7,1,1,2024-07-07,0747,Terra,MODIS,59,61.03,308.5,8.5,D,2
32.7216,35.822,312.1,4.6,2,2024-07-11,1949,Terra,MODIS,77,61.03,297.2,85.8,N,0
32.7205,35.8271,313.9,4.6,2,2024-07-11,1949,Terra,MODIS,83,61.03,297.1,96.5,N,0
31.9877,36.1188,307.2,1.2,1.1,2024-07-15,1914,Terra,MODIS,62,61.03,295.5,8,N,0
32.3774,35.5651,331.9,1.4,1.2,2024-07-24,1843,Terra,MODIS,100,61.03,300.5,44.5,N,0
32.3955,35.5563,310.1,1.8,1.3,2024-08-16,1925,Terra,MODIS,78,61.03,298.9,13,N,0
32.3777,36.2743,325.9,1.6,1.2,2024-08-30,0758,Terra,MODIS,68,61.03,307.9,20.4,D,0
31.8727,37.0067,326.1,1.1,1.1,2024-10-03,1120,Aqua,MODIS,61,61.03,310.2,10.4,D,0
31.8609,35.6157,326.4,1.1,1,2024-10-05,0729,Terra,MODIS,73,61.03,303.7,15.7,D,0
32.737,35.7424,323.3,1,1,2024-10-15,0737,Terra,MODIS,71,61.03,301.6,12.5,D,0
32.7355,35.7528,327.5,1,1,2024-10-15,0737,Terra,MODIS,73,61.03,300.1,17.7,D,0
32.5728,35.6039,319.1,1.7,1.3,2024-10-20,1114,Aqua,MODIS,61,61.03,304.9,17,D,0
32.5724,35.5989,320.7,1.7,1.3,2024-10-20,1114,Aqua,MODIS,66,61.03,304.2,19,D,0
32.1787,36.6822,315.5,1.3,1.1,2024-10-25,1117,Aqua,MODIS,64,61.03,301.6,10.9,D,0
32.6207,35.9821,313.3,2.3,1.5,2024-10-28,0806,Terra,MODIS,57,61.03,301.6,17.4,D,0
31.6521,35.9069,315.3,1.3,1.1,2024-10-30,1120,Aqua,MODIS,67,61.03,299.4,9.7,D,0
32.0345,35.5733,316.7,1,1,2024-11-02,1142,Aqua,MODIS,67,61.03,302.3,7.1,D,0
32.033,35.5627,321.9,1,1,2024-11-02,1142,Aqua,MODIS,67,61.03,300.7,12.4,D,0
31.823,35.586,337.2,1.2,1.1,2024-11-09,1126,Aqua,MODIS,90,61.03,298.3,41.8,D,0
30.5481,35.1972,313.5,1.1,1.1,2024-11-19,1131,Aqua,MODIS,55,61.03,290.5,11.5,D,0
30.1457,35.8176,307.4,1.2,1.1,2024-11-21,0743,Terra,MODIS,44,61.03,292.2,5.4,D,0
32.2383,35.5703,305.3,1.1,1.1,2024-11-23,0724,Terra,MODIS,47,61.03,293.3,4.6,D,0
32.1767,35.571,307.1,1.3,1.1,2024-12-01,0749,Terra,MODIS,65,61.03,290.8,10,D,0
31.9033,36.5952,302.6,1.5,1.2,2024-12-01,0749,Terra,MODIS,47,61.03,289.4,5.5,D,0
32.177,35.5626,306.7,1.7,1.3,2024-12-01,1118,Aqua,MODIS,57,61.03,296.5,9.5,D,0
32.297,38.7679,303,1.1,1,2024-12-03,0730,Terra,MODIS,54,61.03,288,5.3,D,0
32.2972,38.7669,301,1.1,1.1,2024-12-05,0712,Terra,MODIS,43,61.03,286,4.9,D,0
31.8825,35.8231,335,1,1,2024-12-06,1851,Terra,MODIS,100,61.03,272.7,40.2,N,2
31.8811,35.8127,318.8,1,1,2024-12-06,1851,Terra,MODIS,97,61.03,271.6,21,N,2
31.9107,36.5772,300.8,1.1,1,2024-12-13,0736,Terra,MODIS,41,61.03,288.5,3.2,D,0
31.9111,36.5774,301.1,1.1,1.1,2024-12-18,0739,Terra,MODIS,44,61.03,285,5.1,D,0
31.9885,35.7545,307.1,1,1,2024-12-19,1144,Aqua,MODIS,61,61.03,294.3,6.1,D,0
