latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.3243,57.4299,303.9,1,1,2024-01-03,0639,Terra,MODIS,50,61.03,269,11.2,D,2
42.7106,70.8129,300.6,1.1,1,2024-01-06,0836,Aqua,MODIS,40,61.03,278.6,7.2,D,0
50.0204,78.7376,327.3,1,1,2024-01-10,1559,Terra,MODIS,100,61.03,272.8,31.6,N,2
44.6028,66.321,347.7,1.3,1.1,2024-01-17,0619,Terra,MODIS,95,61.03,271.8,89.8,D,0
44.6,66.3364,327.8,1.3,1.1,2024-01-17,0619,Terra,MODIS,85,61.03,270.8,45,D,0
44.5875,66.3223,303.1,2.3,1.5,2024-01-17,0938,Aqua,MODIS,55,61.03,273.7,31.8,D,0
44.5966,66.3163,301.5,2.3,1.5,2024-01-17,0938,Aqua,MODIS,47,61.03,273.2,26.6,D,0
46.07,53.4383,324,1,1,2024-01-30,0656,Terra,MODIS,0,61.03,265.7,27.9,D,0
40.9125,68.5385,303.4,1.1,1,2024-02-09,0905,Aqua,MODIS,56,61.03,290.7,4.6,D,0
41.335,68.0328,306.3,1,1,2024-02-09,0905,Aqua,MODIS,60,61.03,287.9,7.5,D,0
41.8087,68.0594,300.2,1.4,1.2,2024-02-10,0611,Terra,MODIS,31,61.03,280.9,9.4,D,0
41.334,67.9735,306.3,1.5,1.2,2024-02-10,0612,Terra,MODIS,63,61.03,280.4,16.5,D,0
41.8547,67.9523,310.8,1.1,1,2024-02-11,0850,Aqua,MODIS,70,61.03,290.8,11,D,0
41.8568,67.9651,301.2,1.1,1,2024-02-11,0850,Aqua,MODIS,43,61.03,289.6,4.3,D,0
41.7821,68.0216,316.2,1.1,1,2024-02-11,0850,Aqua,MODIS,76,61.03,289.6,16,D,0
41.7842,68.0343,326.6,1.1,1,2024-02-11,0850,Aqua,MODIS,84,61.03,289.4,27.9,D,0
41.7462,67.9788,325.5,1.1,1,2024-02-11,0850,Aqua,MODIS,75,61.03,290.1,23.9,D,0
41.7215,67.946,334.7,1.1,1,2024-02-11,0850,Aqua,MODIS,89,61.03,293.1,38.3,D,0
41.7236,67.9588,349.6,1.1,1,2024-02-11,0850,Aqua,MODIS,96,61.03,293.9,67.4,D,0
41.7258,67.9716,317.8,1.1,1,2024-02-11,0850,Aqua,MODIS,78,61.03,291.3,15.9,D,0
41.7279,67.9844,324.6,1.1,1,2024-02-11,0850,Aqua,MODIS,83,61.03,291.8,24,D,0
41.6137,67.9706,302,1.1,1,2024-02-11,0850,Aqua,MODIS,49,61.03,291.6,4.3,D,0
41.6245,68.0345,301.3,1.1,1,2024-02-11,0850,Aqua,MODIS,39,61.03,290.9,3.9,D,0
41.5869,68.0258,306.1,1.1,1,2024-02-11,0850,Aqua,MODIS,62,61.03,290.4,7.1,D,0
41.589,68.0386,302.8,1.1,1,2024-02-11,0850,Aqua,MODIS,46,61.03,290.2,5,D,0
41.5691,67.9774,301.9,1.1,1,2024-02-11,0850,Aqua,MODIS,48,61.03,290.7,4,D,0
41.5304,67.9758,314.1,1.1,1,2024-02-11,0850,Aqua,MODIS,74,61.03,291.6,13.8,D,0
41.4867,67.9808,304.5,1.1,1,2024-02-11,0850,Aqua,MODIS,39,61.03,290,5.8,D,0
41.4776,67.9836,314.9,1.1,1,2024-02-11,0850,Aqua,MODIS,75,61.03,290,14.7,D,0
41.6064,69.2969,338.5,1,1,2024-02-11,0850,Aqua,MODIS,91,61.03,289.2,42.1,D,0
41.3803,68.02,304.1,1.1,1,2024-02-11,0850,Aqua,MODIS,53,61.03,290.7,5.1,D,0
41.3485,68.0027,301.3,1.1,1,2024-02-11,0850,Aqua,MODIS,32,61.03,290.5,3.3,D,0
41.5557,69.3859,301.4,1,1,2024-02-11,0850,Aqua,MODIS,46,61.03,288.5,3.6,D,0
41.4881,69.2483,302.5,1,1,2024-02-11,0850,Aqua,MODIS,53,61.03,289,4.3,D,2
41.4525,69.0825,304.5,1,1,2024-02-11,0850,Aqua,MODIS,59,61.03,289.5,5.7,D,0
41.1537,68.8445,300.9,1.1,1,2024-02-11,0850,Aqua,MODIS,43,61.03,289.9,3.7,D,0
40.996,68.5607,320.8,1.1,1,2024-02-11,0850,Aqua,MODIS,76,61.03,292.4,20.1,D,0
40.9981,68.5731,311.7,1.1,1,2024-02-11,0850,Aqua,MODIS,54,61.03,291,11.2,D,0
41.4475,68.0331,305.6,1.1,1,2024-02-11,0850,Aqua,MODIS,61,61.03,290.4,6.7,D,0
42.7973,68.8935,310.8,1,1,2024-02-11,0850,Aqua,MODIS,71,61.03,288.4,10.8,D,0
42.1647,68.0343,324.6,1.1,1,2024-02-11,0850,Aqua,MODIS,83,61.03,292,24.7,D,0
42.1668,68.0469,314.5,1.1,1,2024-02-11,0850,Aqua,MODIS,75,61.03,291,13.9,D,0
42.0043,67.9616,300.5,1.1,1,2024-02-11,0850,Aqua,MODIS,34,61.03,290.1,3.6,D,0
