latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.0123,36.1383,308.9,1.5,1.2,2024-01-03,1914,Terra,MODIS,75,61.03,297.2,11.6,N,0
-0.0541,35.0531,317.5,1,1,2024-01-04,0734,Terra,MODIS,72,61.03,298.8,9.6,D,0
-0.2133,35.1892,310.9,1,1,2024-01-04,0734,Terra,MODIS,59,61.03,297.4,5.1,D,0
-0.0554,35.0619,313.4,1,1,2024-01-04,0734,Terra,MODIS,65,61.03,297.9,6.4,D,0
0.8907,34.8263,315.4,1,1,2024-01-06,1142,Aqua,MODIS,56,61.03,299,7.6,D,0
4.0556,34.1492,337.5,1.4,1.2,2024-01-07,0756,Terra,MODIS,86,61.03,304.8,49.5,D,0
4.0574,34.1369,317.9,1.4,1.2,2024-01-07,0756,Terra,MODIS,40,61.03,301.9,10.5,D,0
4.0643,34.1438,319,1.4,1.2,2024-01-07,0756,Terra,MODIS,58,61.03,302.3,13.2,D,0
4.6733,34.9596,334.5,1.2,1.1,2024-01-08,1127,Aqua,MODIS,75,61.03,312.1,16.4,D,0
4.6382,34.986,348.7,1.2,1.1,2024-01-08,1127,Aqua,MODIS,92,61.03,313.6,49.1,D,0
4.3892,36.6937,344,1.1,1,2024-01-13,1137,Aqua,MODIS,89,61.03,313.1,35.6,D,0
4.6991,34.5552,335.3,1,1,2024-01-13,1138,Aqua,MODIS,79,61.03,311.9,16.2,D,0
4.7004,34.564,332.4,1,1,2024-01-13,1138,Aqua,MODIS,74,61.03,312.6,12.3,D,0
4.3866,36.7025,331.3,1.4,1.2,2024-01-14,0745,Terra,MODIS,79,61.03,305.5,22.4,D,0
-0.681,36.4465,305.5,1,1,2024-01-16,0730,Terra,MODIS,32,61.03,291.5,3.6,D,0
-3.5775,38.3883,313.5,1.2,1.1,2024-01-16,0731,Terra,MODIS,65,61.03,296.6,9.2,D,0
1.5112,40.0047,303.1,1.9,1.3,2024-01-17,1853,Terra,MODIS,53,61.03,274.9,10.5,N,0
1.5088,39.9882,313.7,1.9,1.3,2024-01-17,1853,Terra,MODIS,88,61.03,281.7,29.2,N,0
1.5028,39.9952,310,1.9,1.3,2024-01-17,1853,Terra,MODIS,79,61.03,279,20.5,N,0
-0.2165,36.0061,306.4,2,1.4,2024-01-19,0753,Terra,MODIS,35,61.03,291.1,8.1,D,0
-0.2222,35.1806,313.6,1.1,1.1,2024-01-20,1131,Aqua,MODIS,66,61.03,297.2,7.5,D,0
0.4156,35.2687,315.9,1.1,1,2024-01-20,1131,Aqua,MODIS,70,61.03,295.3,8.5,D,0
2.8702,40.9347,332.3,1.5,1.2,2024-01-20,1132,Aqua,MODIS,75,61.03,312.7,26.4,D,0
2.8682,40.9211,328.5,1.5,1.2,2024-01-20,1132,Aqua,MODIS,63,61.03,312.1,17,D,0
3.9157,34.1201,322.2,1,1,2024-01-20,2351,Aqua,MODIS,100,61.03,290.8,21.4,N,0
-3.5787,38.3883,322,1.4,1.2,2024-01-22,1115,Aqua,MODIS,71,61.03,303.2,17.7,D,0
-1.3897,36.9415,316.2,1.6,1.2,2024-01-22,1115,Aqua,MODIS,52,61.03,299.7,14.3,D,2
-3.0463,39.4764,320.6,1,1,2024-01-23,0720,Terra,MODIS,66,61.03,301.9,9.4,D,0
-3.0554,39.4751,327.2,1,1,2024-01-23,0720,Terra,MODIS,79,61.03,302.5,15.6,D,0
4.2906,34.2419,323.1,1.6,1.3,2024-01-24,0758,Terra,MODIS,65,61.03,304.7,16.9,D,0
4.2884,34.2562,327.2,1.6,1.3,2024-01-24,0758,Terra,MODIS,73,61.03,305.3,25.9,D,0
4.2877,34.2503,329.2,1.6,1.3,2024-01-24,0758,Terra,MODIS,76,61.03,305.6,30.3,D,0
