latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.8197,47.7566,307.3,2,1.4,2024-01-01,1800,Terra,MODIS,71,61.03,282.7,30.5,N,0
29.0256,47.9891,302.5,3.1,1.7,2024-01-01,2343,Aqua,MODIS,49,61.03,280.7,46.8,N,0
29.9305,47.7572,309,3.2,1.7,2024-01-02,0742,Terra,MODIS,58,61.03,291.7,34.5,D,0
29.9313,47.7523,312.3,3.2,1.7,2024-01-02,0742,Terra,MODIS,70,61.03,291.8,50.3,D,0
28.7211,48.3229,311,1.3,1.1,2024-01-02,1041,Aqua,MODIS,55,61.03,299,7,D,2
28.7227,48.3358,311.9,1.3,1.1,2024-01-02,1041,Aqua,MODIS,58,61.03,299.4,8.2,D,2
28.7218,48.3428,302,1.3,1.1,2024-01-03,0645,Terra,MODIS,50,61.03,289.3,5.7,D,2
29.862,47.809,302.2,1.5,1.2,2024-01-03,0645,Terra,MODIS,51,61.03,287.8,7.2,D,0
29.7863,47.7063,303.6,1.5,1.2,2024-01-03,0645,Terra,MODIS,56,61.03,287.1,9.1,D,0
28.7233,48.3294,308.7,1.3,1.1,2024-01-03,0645,Terra,MODIS,67,61.03,289.7,12,D,2
29.8604,47.8012,306.7,3.9,1.8,2024-01-03,0945,Aqua,MODIS,63,61.03,292.4,29.6,D,0
29.0525,48.134,302.2,1.7,1.3,2024-01-03,2328,Aqua,MODIS,23,61.03,284.7,15.1,N,2
29.0524,48.145,307.6,1.7,1.3,2024-01-03,2328,Aqua,MODIS,72,61.03,285.3,24.2,N,2
28.7272,48.3248,304.4,1.9,1.4,2024-01-04,0725,Terra,MODIS,57,61.03,291.5,11.1,D,2
29.862,47.7999,309,1.7,1.3,2024-01-04,0725,Terra,MODIS,65,61.03,292.3,13.6,D,0
28.7236,48.3437,305.2,1.9,1.4,2024-01-04,0725,Terra,MODIS,59,61.03,291.3,12.5,D,2
29.2337,47.6028,308.9,1,1,2024-01-04,1026,Aqua,MODIS,57,61.03,295.2,4.4,D,0
28.7234,48.3323,317.5,1,1,2024-01-04,1026,Aqua,MODIS,74,61.03,297.1,11.9,D,2
29.786,47.7084,308.3,1,1,2024-01-04,1026,Aqua,MODIS,49,61.03,296.6,4.2,D,0
29.0532,48.1354,302.4,1,1,2024-01-04,1823,Terra,MODIS,49,61.03,287.6,6.8,N,2
29.2322,47.5972,310.9,1,1,2024-01-04,1823,Terra,MODIS,81,61.03,283.5,13.9,N,0
28.7221,48.3362,310.9,1,1,2024-01-04,1823,Terra,MODIS,81,61.03,286.7,12.6,N,2
28.7207,48.3261,306,1,1,2024-01-04,1823,Terra,MODIS,66,61.03,285.8,9.3,N,2
28.9784,47.9067,300.2,3.2,1.7,2024-01-05,1904,Terra,MODIS,20,61.03,282.6,37.2,N,0
29.052,48.144,308.7,1.1,1,2024-01-05,2312,Aqua,MODIS,75,61.03,286.3,12.4,N,2
28.7238,48.3368,313.2,1.1,1,2024-01-05,2313,Aqua,MODIS,87,61.03,285.8,17,N,2
28.7219,48.3362,318,1.1,1,2024-01-06,0708,Terra,MODIS,77,61.03,294.2,15.2,D,2
29.0493,48.1427,307,1.1,1,2024-01-06,0708,Terra,MODIS,0,61.03,294.4,4.5,D,2
29.0259,47.5784,323,1,1,2024-01-06,0708,Terra,MODIS,81,61.03,291.5,19.3,D,0
29.0243,47.5888,316.2,1,1,2024-01-06,0708,Terra,MODIS,75,61.03,291.4,12.5,D,0
28.7237,48.3253,306.2,1.1,1,2024-01-06,0708,Terra,MODIS,58,61.03,293.3,4.8,D,2
29.0502,48.1345,316,1.4,1.2,2024-01-06,1011,Aqua,MODIS,53,61.03,297.7,14.6,D,2
28.7231,48.3238,310.5,1.4,1.2,2024-01-06,1011,Aqua,MODIS,59,61.03,298.3,8.2,D,2
29.858,47.7971,312.6,1.4,1.2,2024-01-06,1011,Aqua,MODIS,62,61.03,299.1,9.5,D,0
