latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.7218,72.9504,309.2,2.1,1.4,2024-02-10,0808,Aqua,MODIS,68,61.03,285.9,30,D,0
40.7153,72.9336,304.7,2.1,1.4,2024-02-10,0808,Aqua,MODIS,60,61.03,285.7,20.7,D,2
40.7206,72.9576,304.5,2.1,1.4,2024-02-10,0808,Aqua,MODIS,59,61.03,286.2,20.8,D,0
40.7736,73.2752,302.1,1,1,2024-03-08,0841,Aqua,MODIS,20,61.03,289.6,2.8,D,2
40.5266,72.8422,311,2.1,1.4,2024-03-16,0915,Aqua,MODIS,61,61.03,292.6,17.7,D,2
40.526,72.8473,314.2,2.1,1.4,2024-03-16,0915,Aqua,MODIS,71,61.03,292.7,26.8,D,0
40.5284,72.8663,308.2,2.1,1.4,2024-03-16,0915,Aqua,MODIS,42,61.03,292.7,12.9,D,0
41.0905,72.4682,313.4,1.7,1.3,2024-03-17,0818,Aqua,MODIS,70,61.03,298.6,17.5,D,0
40.4573,72.5967,309.8,1.8,1.3,2024-03-17,0818,Aqua,MODIS,67,61.03,298.4,10.9,D,0
42.9094,74.8696,302.8,1.2,1.1,2024-03-17,0819,Aqua,MODIS,52,61.03,290.9,5.4,D,2
42.9611,74.8143,300.5,1.5,1.2,2024-03-18,0500,Terra,MODIS,34,61.03,287.3,5.6,D,0
42.9507,74.9236,304.4,1.5,1.2,2024-03-18,0500,Terra,MODIS,59,61.03,288.6,9.5,D,0
40.8283,73.2393,320.3,1.3,1.1,2024-03-18,0859,Aqua,MODIS,78,61.03,296.7,18.8,D,0
42.8681,73.5596,303.9,1.4,1.2,2024-03-18,0900,Aqua,MODIS,45,61.03,287.6,6.9,D,0
42.8905,74.424,307.8,1.6,1.2,2024-03-18,0900,Aqua,MODIS,64,61.03,281.5,10.4,D,0
42.8929,74.7054,312.1,1.7,1.3,2024-03-18,0900,Aqua,MODIS,71,61.03,294.9,12,D,0
41.1466,72.175,312.7,1.1,1,2024-03-19,0541,Terra,MODIS,73,61.03,278.7,13.2,D,0
42.9359,73.8537,300.1,1,1,2024-03-20,0844,Aqua,MODIS,25,61.03,278.8,4.3,D,0
42.9104,74.8723,302.4,1.3,1.1,2024-03-23,0506,Terra,MODIS,52,61.03,289.8,5.8,D,0
42.9139,74.8797,301.8,1.6,1.2,2024-03-24,0546,Terra,MODIS,43,61.03,289.7,5.8,D,0
42.899,74.4026,314.7,1,1,2024-03-26,0529,Terra,MODIS,72,61.03,296.2,9.7,D,0
43.014,73.7211,311.9,1,1,2024-03-26,0529,Terra,MODIS,65,61.03,293.1,7.9,D,0
42.9054,74.4231,307.8,1,1,2024-03-26,0529,Terra,MODIS,25,61.03,295.4,3.8,D,2
40.5049,72.6404,318.9,3,1.6,2024-03-27,0610,Terra,MODIS,70,61.03,289.5,71.4,D,0
42.8932,75.0539,322.1,1,1,2024-03-27,0837,Aqua,MODIS,81,61.03,296.7,14.7,D,0
42.9586,73.7267,307.1,1.2,1.1,2024-03-28,0512,Terra,MODIS,53,61.03,292.9,4.1,D,0
42.9866,74.2712,314.3,1.1,1.1,2024-03-28,0512,Terra,MODIS,70,61.03,292.7,10.2,D,0
42.9882,74.2575,309.1,1.1,1.1,2024-03-28,0512,Terra,MODIS,61,61.03,294.5,5.6,D,0
42.9689,73.6854,301.3,3.6,1.8,2024-04-01,0616,Terra,MODIS,37,61.03,289.3,21.7,D,0
42.8678,73.8591,324.7,1.1,1,2024-04-01,0846,Aqua,MODIS,82,61.03,293.7,19.8,D,0
42.8662,73.8465,348.6,1.1,1,2024-04-01,0846,Aqua,MODIS,95,61.03,296.8,60,D,0
42.8752,73.8443,321.4,1.1,1,2024-04-01,0846,Aqua,MODIS,79,61.03,294.9,16.2,D,0
