latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.6173,25.2466,302,1,1,2024-03-07,1121,Aqua,MODIS,50,61.03,276.4,8.9,D,0
56.6797,26.8944,307.7,3.2,1.7,2024-03-27,1021,Aqua,MODIS,57,61.03,274.8,59.3,D,0
56.0704,25.8559,306.5,1.1,1,2024-05-19,0907,Terra,MODIS,21,61.03,293.7,4.1,D,0
56.7498,23.6031,304.8,2,1.4,2024-05-20,0947,Terra,MODIS,33,61.03,291.8,9,D,0
56.4944,24.2531,305.3,1.4,1.2,2024-05-20,1112,Aqua,MODIS,23,61.03,291.5,6.2,D,0
57.7055,25.7601,309.1,1.1,1,2024-05-25,1120,Aqua,MODIS,48,61.03,295.9,5.8,D,0
56.13,27.879,310.7,1.1,1,2024-05-26,0855,Terra,MODIS,53,61.03,299.5,6.7,D,0
56.8823,26.5921,308.3,2,1.4,2024-05-27,0935,Terra,MODIS,11,61.03,293.5,10.6,D,0
56.3736,26.2766,312.8,2.7,1.6,2024-06-05,1038,Aqua,MODIS,27,61.03,298,33.4,D,0
56.7732,26.6129,302.5,1.5,1.2,2024-06-08,1102,Aqua,MODIS,30,61.03,287.9,6.9,D,0
56.3064,27.2407,300.3,1.2,1.1,2024-06-13,1109,Aqua,MODIS,19,61.03,287.1,4.6,D,0
56.9515,26.456,303.4,1.1,1.1,2024-06-18,1116,Aqua,MODIS,34,61.03,291.6,3.3,D,0
57.6991,25.7585,305.2,1,1,2024-06-22,0903,Terra,MODIS,45,61.03,292.9,6.3,D,0
57.3,27.4108,304.6,1.1,1.1,2024-06-22,0903,Terra,MODIS,47,61.03,290.9,7.2,D,0
56.7892,23.8119,314.9,1,1,2024-06-27,0908,Terra,MODIS,60,61.03,304.5,8.8,D,0
56.7868,23.5349,308.3,1,1,2024-07-08,1144,Aqua,MODIS,40,61.03,290.5,5.5,D,0
56.5147,26.843,313.1,2.2,1.4,2024-07-22,0933,Terra,MODIS,45,61.03,297.3,26.6,D,0
56.5146,26.8377,310.6,2.2,1.4,2024-07-22,0933,Terra,MODIS,49,61.03,296.2,22.6,D,0
56.4925,25.7942,317.5,2.2,1.4,2024-07-27,0938,Terra,MODIS,67,61.03,288.4,41.3,D,0
55.8305,27.4047,303.6,1,1,2024-08-08,1126,Aqua,MODIS,38,61.03,293,3.9,D,0
56.4186,22.17,311.4,1.1,1.1,2024-08-18,1139,Aqua,MODIS,63,61.03,297.7,7.4,D,0
56.4154,22.1525,308.5,1.1,1.1,2024-08-18,1139,Aqua,MODIS,47,61.03,295.6,5,D,0
56.5802,23.6713,313.1,1,1,2024-08-28,1150,Aqua,MODIS,68,61.03,299.3,7,D,0
56.5779,23.6556,316.7,1,1,2024-08-28,1150,Aqua,MODIS,74,61.03,298.5,9.3,D,0
56.405,24.1644,310.2,1.2,1.1,2024-09-16,1131,Aqua,MODIS,69,61.03,295.4,9.4,D,0
57.7535,24.8814,304.3,1.1,1,2024-09-18,0906,Terra,MODIS,58,61.03,292.3,5.5,D,0
57.0054,24.2508,305.3,1.1,1,2024-09-18,0906,Terra,MODIS,53,61.03,292.7,5.7,D,0
56.5209,24.5765,307.7,1.1,1.1,2024-09-18,0906,Terra,MODIS,66,61.03,292.7,7.2,D,0
56.6238,23.309,323.4,1.2,1.1,2024-09-21,1135,Aqua,MODIS,82,61.03,294,23.9,D,0
56.7727,24.0113,303.9,1.1,1,2024-09-21,1136,Aqua,MODIS,32,61.03,292.4,5.3,D,0
56.8166,23.6135,302.7,1.1,1.1,2024-09-21,1136,Aqua,MODIS,46,61.03,292,5.3,D,0
57.1863,27.6451,300.8,1.1,1.1,2024-09-23,1118,Aqua,MODIS,42,61.03,290.3,4.8,D,0
