latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.0357,36.118,310.4,1.1,1.1,2024-03-02,1105,Aqua,MODIS,59,61.03,298.2,6,D,0
34.4456,35.8377,313.5,1,1,2024-04-07,1113,Aqua,MODIS,54,61.03,299.1,6,D,2
34.4474,35.8488,315.8,1,1,2024-04-07,1113,Aqua,MODIS,58,61.03,298.2,8,D,2
33.7687,35.8643,316.5,1.3,1.1,2024-05-08,1106,Aqua,MODIS,51,61.03,299.8,11.8,D,0
33.79,35.8889,320.6,1,1,2024-05-17,0752,Terra,MODIS,70,61.03,300.3,10.6,D,0
33.3428,35.4785,331.1,1,1,2024-06-04,1128,Aqua,MODIS,51,61.03,314.9,11.5,D,0
33.0895,35.4782,338.5,3.8,1.8,2024-06-05,1209,Aqua,MODIS,89,61.03,310.3,191.8,D,0
33.0963,35.4717,327.1,3.8,1.8,2024-06-05,1209,Aqua,MODIS,80,61.03,310.3,81.9,D,0
33.0951,35.447,356.2,1.1,1,2024-06-11,1119,Aqua,MODIS,97,61.03,316.3,66.9,D,0
33.3573,35.736,307.1,1,1,2024-06-13,1901,Terra,MODIS,57,61.03,296.3,4.5,N,0
33.2593,35.5918,327.2,3.6,1.8,2024-06-14,0703,Terra,MODIS,59,61.03,308.8,81,D,0
33.2142,35.4876,331,1.4,1.2,2024-06-14,1143,Aqua,MODIS,49,61.03,315,13,D,0
33.2242,35.3942,383.8,1,1,2024-06-16,1126,Aqua,MODIS,100,61.03,317.9,153.8,D,0
33.2257,35.4047,354,1,1,2024-06-16,1126,Aqua,MODIS,95,61.03,310.8,55.3,D,0
33.7931,35.8128,328.5,1,1,2024-06-16,1126,Aqua,MODIS,58,61.03,316,9,D,0
34.6195,36.1497,327,1,1,2024-06-23,1117,Aqua,MODIS,80,61.03,305.5,8.9,D,0
34.6177,36.1387,364.8,1,1,2024-06-23,1117,Aqua,MODIS,100,61.03,309.6,88.2,D,0
34.616,36.1275,357,1,1,2024-06-23,1117,Aqua,MODIS,98,61.03,311.2,65.5,D,0
34.0823,36.0804,327.5,1.7,1.3,2024-06-25,1100,Aqua,MODIS,51,61.03,316.5,20.1,D,0
33.675,35.9146,330.9,1,1,2024-06-28,1124,Aqua,MODIS,58,61.03,317.9,8.5,D,0
34.1371,36.1659,332.8,1,1,2024-06-28,1124,Aqua,MODIS,61,61.03,321.2,8.4,D,0
34.1356,36.1553,337.7,1,1,2024-06-28,1124,Aqua,MODIS,80,61.03,321.7,16.2,D,0
33.4413,35.5766,342.4,1.1,1.1,2024-07-08,1138,Aqua,MODIS,84,61.03,306.8,43.7,D,0
33.2813,35.5924,304.7,1.1,1.1,2024-07-10,0021,Aqua,MODIS,61,61.03,294.4,6.1,N,0
33.1428,35.4964,333.4,2.6,1.5,2024-07-11,1201,Aqua,MODIS,70,61.03,314.1,65.5,D,0
33.149,35.4904,329,2.6,1.5,2024-07-11,1201,Aqua,MODIS,54,61.03,314.4,42,D,0
34.2372,36.2276,364.8,1.1,1,2024-07-22,1118,Aqua,MODIS,100,61.03,315.3,89.2,D,0
34.2282,36.2293,358.7,1.1,1,2024-07-22,1118,Aqua,MODIS,99,61.03,319.6,69.8,D,0
34.2264,36.2185,335.2,1.1,1,2024-07-22,1118,Aqua,MODIS,36,61.03,315.2,17.9,D,0
33.828,35.6817,331,1,1,2024-07-24,0743,Terra,MODIS,75,61.03,304.3,21.7,D,0
34.4666,36.0616,321.4,1,1,2024-07-29,0007,Aqua,MODIS,100,61.03,294.6,19.5,N,0
34.565,36.1895,327.3,1.1,1,2024-07-29,0748,Terra,MODIS,62,61.03,308.3,13.9,D,0
33.3101,35.6222,331.1,1,1,2024-07-29,0748,Terra,MODIS,71,61.03,313,16.4,D,0
33.3084,35.6332,329.3,1,1,2024-07-29,0748,Terra,MODIS,67,61.03,312.1,13.5,D,0
33.1726,35.4959,355,1,1,2024-07-29,0748,Terra,MODIS,97,61.03,311.7,61.8,D,0
33.3195,35.5361,320.6,3.6,1.8,2024-08-02,1211,Aqua,MODIS,73,61.03,304.4,37.4,D,0
34.1979,36.0879,324,1.2,1.1,2024-08-03,0753,Terra,MODIS,63,61.03,304.4,17.5,D,0
34.4301,36.1395,305.5,1.5,1.2,2024-08-06,1916,Terra,MODIS,63,61.03,294,10.5,N,0
34.4298,36.1459,306.7,1.1,1,2024-08-08,0019,Aqua,MODIS,69,61.03,293.1,8.6,N,0
34.4621,36.277,327.9,1,1,2024-08-08,1120,Aqua,MODIS,54,61.03,314.5,11.6,D,0
34.4604,36.2663,327,1,1,2024-08-08,1120,Aqua,MODIS,46,61.03,314,11,D,0
34.2537,35.7966,328.2,1,1,2024-08-10,0740,Terra,MODIS,71,61.03,301.5,17.6,D,0
34.2552,35.786,325.2,1,1,2024-08-10,0740,Terra,MODIS,65,61.03,304.6,14,D,0
34.4156,35.8395,328.1,1,1,2024-08-13,1126,Aqua,MODIS,67,61.03,306.7,11.1,D,2
34.414,35.8288,328.3,1,1,2024-08-13,1126,Aqua,MODIS,58,61.03,306.4,11.8,D,2
33.2918,35.5713,319.2,3.6,1.8,2024-08-16,0825,Terra,MODIS,71,61.03,300.7,45.4,D,0
33.1138,35.1757,378.2,1.2,1.1,2024-08-25,0754,Terra,MODIS,100,61.03,303.2,170.2,D,0
33.1119,35.1874,345.7,1.2,1.1,2024-08-25,0754,Terra,MODIS,91,61.03,297.7,55.8,D,0
33.1414,35.3931,326.5,2.1,1.4,2024-08-26,1201,Aqua,MODIS,46,61.03,307.3,33.7,D,0
34.6426,36.2981,324.8,1.4,1.2,2024-09-01,1109,Aqua,MODIS,62,61.03,305.2,19.4,D,0
33.3153,35.2905,323.6,1,1,2024-09-04,1132,Aqua,MODIS,54,61.03,304,10.7,D,0
33.1429,35.2337,310.4,1,1,2024-09-04,1902,Terra,MODIS,80,61.03,293.1,9.7,N,0
33.2881,35.5745,325.8,1.4,1.2,2024-09-06,1114,Aqua,MODIS,55,61.03,305.6,21.9,D,0
33.3037,35.4174,314.4,1.3,1.1,2024-09-06,1844,Terra,MODIS,89,61.03,295.6,15.9,N,0
33.3043,35.4104,314.7,1.3,1.1,2024-09-06,1844,Terra,MODIS,90,61.03,295.7,16,N,0
33.2345,35.3188,328.6,1.3,1.1,2024-09-11,1119,Aqua,MODIS,67,61.03,304.7,21.4,D,0
33.4528,35.3423,322.3,1,1,2024-09-21,1129,Aqua,MODIS,69,61.03,298.9,12.3,D,0
33.2643,35.4483,326.6,1,1,2024-09-21,1129,Aqua,MODIS,74,61.03,299.8,16.7,D,0
33.2626,35.4375,321.5,1,1,2024-09-21,1129,Aqua,MODIS,64,61.03,303.4,11.1,D,0
33.2841,35.4484,328.7,1,1,2024-09-21,1129,Aqua,MODIS,77,61.03,301.1,19.2,D,0
33.2824,35.4377,325.1,1,1,2024-09-21,1129,Aqua,MODIS,72,61.03,301.1,14.8,D,0
33.3604,35.3476,348.8,1,1,2024-09-21,1129,Aqua,MODIS,94,61.03,300.9,54.7,D,0
33.3587,35.3368,354.6,1,1,2024-09-21,1129,Aqua,MODIS,97,61.03,301,68.6,D,0
33.4077,35.4151,320.3,1,1,2024-09-21,1129,Aqua,MODIS,44,61.03,300.2,8.6,D,2
33.4254,35.411,346.6,1,1,2024-09-21,1129,Aqua,MODIS,93,61.03,303.6,48.2,D,0
33.4465,35.4285,334.7,1,1,2024-09-21,1129,Aqua,MODIS,84,61.03,299.4,27.9,D,0
33.4448,35.4178,355.2,1,1,2024-09-21,1129,Aqua,MODIS,97,61.03,300.5,68.1,D,0
33.4558,35.4198,317.7,1,1,2024-09-21,1129,Aqua,MODIS,55,61.03,300.2,8.6,D,0
33.4541,35.409,340,1,1,2024-09-21,1129,Aqua,MODIS,88,61.03,301.6,37.5,D,0
33.3636,35.5341,300.1,1,1,2024-09-21,1857,Terra,MODIS,9,61.03,288.7,4.8,N,0
33.5036,35.5364,302.9,1,1,2024-09-21,1857,Terra,MODIS,52,61.03,286.9,6.8,N,0
33.12,35.4795,321.6,1.7,1.3,2024-09-23,1111,Aqua,MODIS,52,61.03,300.5,21.7,D,0
33.1524,35.2211,324.2,1.7,1.3,2024-09-23,1111,Aqua,MODIS,70,61.03,300.5,33.3,D,0
33.2081,35.3304,322.4,1.7,1.3,2024-09-23,1111,Aqua,MODIS,67,61.03,297.7,27.4,D,0
33.2887,35.3249,319.5,1.7,1.3,2024-09-23,1111,Aqua,MODIS,59,61.03,301.6,18.5,D,0
33.2915,35.3358,315.8,1.7,1.3,2024-09-23,1111,Aqua,MODIS,13,61.03,302,11,D,0
33.3204,35.3643,322.8,1.7,1.3,2024-09-23,1111,Aqua,MODIS,69,61.03,302.9,24.9,D,0
33.3485,35.4488,337.1,1.7,1.3,2024-09-23,1111,Aqua,MODIS,86,61.03,300.1,64.6,D,0
33.3451,35.4313,332.9,1.7,1.3,2024-09-23,1111,Aqua,MODIS,82,61.03,302.1,51.2,D,0
33.4163,35.5013,317.9,1.6,1.3,2024-09-23,1111,Aqua,MODIS,35,61.03,299.6,18,D,0
33.4162,35.4961,316.9,1.6,1.3,2024-09-23,1111,Aqua,MODIS,39,61.03,299.8,17.9,D,0
33.4137,35.4246,316.9,1.7,1.3,2024-09-23,1111,Aqua,MODIS,43,61.03,299,13.5,D,0
33.4103,35.4074,327,1.7,1.3,2024-09-23,1111,Aqua,MODIS,76,61.03,301,35,D,0
33.4574,35.4117,317.2,1.7,1.3,2024-09-23,1111,Aqua,MODIS,51,61.03,301.1,16.3,D,0
33.4328,35.5828,343.4,1.4,1.2,2024-09-24,1151,Aqua,MODIS,89,61.03,301,70.6,D,0
33.7075,35.9371,319.5,1.7,1.3,2024-09-26,0801,Terra,MODIS,45,61.03,305.2,18.6,D,0
33.2063,35.3619,344.1,1,1,2024-09-26,1133,Aqua,MODIS,89,61.03,308.8,40.6,D,0
33.2166,35.3705,348.8,1,1,2024-09-26,1133,Aqua,MODIS,92,61.03,307.9,48.6,D,0
33.215,35.36,355.3,1,1,2024-09-26,1133,Aqua,MODIS,97,61.03,311,63.3,D,0
33.704,35.9347,330.1,1,1,2024-09-26,1134,Aqua,MODIS,74,61.03,313.9,15.3,D,0
33.7054,35.9452,337.7,1,1,2024-09-26,1134,Aqua,MODIS,84,61.03,311.6,26.1,D,0
33.8185,35.5217,313.1,1,1,2024-09-28,0015,Aqua,MODIS,86,61.03,295.1,10.7,N,2
33.8096,35.52,305.9,1,1,2024-09-28,0015,Aqua,MODIS,66,61.03,294.9,6,N,2
33.0922,35.421,319.8,1,1,2024-09-28,0743,Terra,MODIS,38,61.03,308,6.8,D,0
33.2442,35.5234,334.3,1.4,1.2,2024-09-28,1116,Aqua,MODIS,78,61.03,305.9,39.3,D,0
33.3851,35.2904,317,1,1,2024-10-01,1138,Aqua,MODIS,64,61.03,302.3,7.4,D,0
33.1009,35.4477,326.3,1.3,1.1,2024-10-03,1120,Aqua,MODIS,69,61.03,304.3,21,D,0
33.0984,35.4341,324.6,1.3,1.1,2024-10-03,1120,Aqua,MODIS,65,61.03,304.9,18.8,D,0
33.281,35.4965,311.8,4.4,1.9,2024-10-04,0827,Terra,MODIS,51,61.03,300,39.1,D,0
33.3181,35.5798,321.7,1.9,1.3,2024-10-04,1200,Aqua,MODIS,57,61.03,305,24,D,0
34.0926,35.8571,326.5,1.1,1.1,2024-10-06,1142,Aqua,MODIS,74,61.03,302.8,19.9,D,0
34.091,35.8449,335.3,1.1,1.1,2024-10-06,1142,Aqua,MODIS,84,61.03,302.6,34.2,D,0
34.1002,35.8423,317.7,1.1,1.1,2024-10-06,1142,Aqua,MODIS,45,61.03,304.5,9.8,D,0
33.7253,35.8021,376.4,1,1,2024-10-18,1132,Aqua,MODIS,100,61.03,306.1,133.7,D,0
33.3904,35.4906,319.3,1,1,2024-10-18,1132,Aqua,MODIS,69,61.03,301.7,11,D,2
33.7269,35.8126,321.9,1,1,2024-10-18,1132,Aqua,MODIS,75,61.03,300.3,13,D,0
33.1326,35.4172,313.7,1.7,1.3,2024-10-20,1114,Aqua,MODIS,33,61.03,299.7,13.3,D,0
33.3529,35.4114,351,1.6,1.3,2024-10-20,1114,Aqua,MODIS,96,61.03,302,121.8,D,0
33.2178,35.2534,321.8,1.7,1.3,2024-10-20,1114,Aqua,MODIS,72,61.03,299,31.9,D,0
33.0947,35.2244,313.8,1.7,1.3,2024-10-20,1114,Aqua,MODIS,41,61.03,298,18.5,D,0
33.1182,35.4029,317.4,1.7,1.3,2024-10-20,1114,Aqua,MODIS,61,61.03,298.1,19.9,D,2
33.1147,35.3851,338.3,1.7,1.3,2024-10-20,1114,Aqua,MODIS,88,61.03,300.6,74.1,D,0
33.1065,35.1942,319.6,1.4,1.2,2024-10-21,1154,Aqua,MODIS,67,61.03,300.5,18.9,D,0
33.0715,35.3435,313.7,1.4,1.2,2024-10-21,1154,Aqua,MODIS,46,61.03,302.3,11.4,D,0
33.1314,35.3203,314.1,1.4,1.2,2024-10-21,1154,Aqua,MODIS,39,61.03,300.4,11.3,D,0
33.1278,35.3151,317.3,1.4,1.2,2024-10-21,1154,Aqua,MODIS,64,61.03,299.2,15.9,D,0
33.2621,35.5102,313.4,1.4,1.2,2024-10-21,1154,Aqua,MODIS,53,61.03,301.5,8.8,D,0
33.4616,35.6026,303.6,1.9,1.3,2024-10-21,1920,Terra,MODIS,56,61.03,283.3,21.2,N,0
34.1257,35.8007,307.1,1.3,1.1,2024-10-22,0722,Terra,MODIS,60,61.03,288.9,10.6,D,0
33.912,35.6233,305.5,1.3,1.1,2024-10-22,0722,Terra,MODIS,49,61.03,293.6,7.4,D,2
33.9103,35.6379,306.2,1.3,1.1,2024-10-22,0722,Terra,MODIS,57,61.03,292.3,8.7,D,2
33.2418,35.5263,311.9,1.3,1.1,2024-10-22,0722,Terra,MODIS,45,61.03,297,8.5,D,0
33.1121,35.2299,322.4,1.3,1.1,2024-10-22,0722,Terra,MODIS,77,61.03,295.8,26.2,D,0
33.1105,35.2442,326.1,1.3,1.1,2024-10-22,0722,Terra,MODIS,81,61.03,296,32.9,D,0
34.127,35.793,305.7,1.3,1.1,2024-10-22,0722,Terra,MODIS,58,61.03,290.7,9.9,D,0
34.3202,35.8725,310,2.9,1.6,2024-10-22,1056,Aqua,MODIS,56,61.03,294.8,37.5,D,0
34.3133,35.8425,321.3,2.9,1.6,2024-10-22,1056,Aqua,MODIS,79,61.03,296.7,80.9,D,0
33.4139,35.3448,316.2,3.3,1.7,2024-10-22,1056,Aqua,MODIS,72,61.03,295.7,66.5,D,0
33.2268,35.3316,303.1,1.3,1.1,2024-10-23,0035,Aqua,MODIS,53,61.03,285.3,11,N,0
33.9084,35.6497,312.7,1.8,1.3,2024-10-23,0802,Terra,MODIS,68,61.03,290.1,24.7,D,2
33.897,35.6468,307.1,1.8,1.3,2024-10-23,0802,Terra,MODIS,49,61.03,290.3,14.8,D,0
33.1059,35.2162,308.5,1.7,1.3,2024-10-23,0802,Terra,MODIS,45,61.03,297.4,11.5,D,0
33.0968,35.1583,312.9,1,1,2024-10-23,1135,Aqua,MODIS,46,61.03,297.7,6.9,D,0
33.0955,35.3311,313.7,1,1,2024-10-23,1135,Aqua,MODIS,46,61.03,298.7,7.8,D,0
33.1264,35.3567,324.9,1,1,2024-10-23,1135,Aqua,MODIS,78,61.03,299.4,17.6,D,0
33.1249,35.3463,322.4,1,1,2024-10-23,1135,Aqua,MODIS,75,61.03,298.7,15.5,D,0
33.0984,35.1688,312.1,1,1,2024-10-23,1135,Aqua,MODIS,44,61.03,297.6,6.4,D,0
33.1879,35.2732,320.2,1,1,2024-10-23,1135,Aqua,MODIS,73,61.03,299.8,13.1,D,0
33.1966,35.2714,321.1,1,1,2024-10-23,1135,Aqua,MODIS,74,61.03,301,13.8,D,0
33.2836,35.5542,317.6,1,1,2024-10-23,1135,Aqua,MODIS,55,61.03,299.2,9.5,D,0
33.2698,35.4604,309.9,1,1,2024-10-23,1135,Aqua,MODIS,33,61.03,298.8,4.1,D,0
33.2923,35.5524,315.6,1,1,2024-10-23,1135,Aqua,MODIS,61,61.03,299,8,D,0
33.2908,35.542,320.7,1,1,2024-10-23,1135,Aqua,MODIS,74,61.03,298.6,12.9,D,0
33.3272,35.4632,325.1,1,1,2024-10-23,1135,Aqua,MODIS,79,61.03,301.2,17.1,D,0
33.3256,35.4527,341.2,1,1,2024-10-23,1135,Aqua,MODIS,91,61.03,301.1,39.8,D,0
33.4341,35.3809,316.5,1,1,2024-10-23,1136,Aqua,MODIS,70,61.03,300.7,10.1,D,0
33.4326,35.3705,312.2,1,1,2024-10-23,1136,Aqua,MODIS,62,61.03,298.8,6.6,D,0
33.376,35.5244,302.6,1.1,1,2024-10-23,1902,Terra,MODIS,50,61.03,285.3,7.5,N,0
33.3775,35.5358,328.5,1.1,1,2024-10-23,1902,Terra,MODIS,100,61.03,287,32,N,0
33.1064,35.3513,306.5,2.6,1.5,2024-10-24,0704,Terra,MODIS,40,61.03,294.8,18.3,D,0
33.2951,35.5693,309.7,3.3,1.7,2024-10-24,1215,Aqua,MODIS,47,61.03,299.2,23.7,D,0
33.0987,35.3269,310.2,3.1,1.7,2024-10-24,1215,Aqua,MODIS,35,61.03,296.3,31.2,D,0
33.1217,35.23,313.4,3.1,1.7,2024-10-24,1215,Aqua,MODIS,58,61.03,297.3,41.5,D,0
33.164,35.1977,347.4,3.1,1.7,2024-10-24,1215,Aqua,MODIS,71,61.03,299,271.6,D,0
33.1656,35.1905,325.3,3.1,1.7,2024-10-24,1215,Aqua,MODIS,0,61.03,298.4,96.9,D,0
33.1073,35.244,310,1,1,2024-10-25,0744,Terra,MODIS,49,61.03,297.5,6,D,0
34.4161,36.0529,309.3,1.1,1,2024-10-25,0744,Terra,MODIS,62,61.03,291.4,9.3,D,0
33.1537,35.243,312.3,1,1,2024-10-25,0744,Terra,MODIS,61,61.03,297.7,8.1,D,0
33.1521,35.2539,335.1,1,1,2024-10-25,0744,Terra,MODIS,87,61.03,299.7,34.5,D,0
33.1431,35.2518,311.7,1,1,2024-10-25,0744,Terra,MODIS,59,61.03,296.7,7.6,D,0
33.1056,35.2547,308.1,1,1,2024-10-25,0744,Terra,MODIS,26,61.03,296.3,5,D,0
33.2492,35.5051,313.4,1.5,1.2,2024-10-25,1117,Aqua,MODIS,57,61.03,302.8,10.8,D,0
33.1225,35.4976,336,1.5,1.2,2024-10-25,1117,Aqua,MODIS,87,61.03,303.2,53.9,D,0
33.1099,35.3731,314.7,1.5,1.2,2024-10-25,1117,Aqua,MODIS,45,61.03,300.2,13,D,0
33.3126,35.3999,321.3,1.5,1.2,2024-10-25,1117,Aqua,MODIS,74,61.03,301.4,24.1,D,0
33.107,35.3577,319.2,1.5,1.2,2024-10-25,1117,Aqua,MODIS,65,61.03,300.2,19.9,D,0
33.1146,35.3396,317.6,1.5,1.2,2024-10-25,1117,Aqua,MODIS,43,61.03,300.4,17.5,D,0
33.0939,35.2299,315.2,1.5,1.2,2024-10-25,1117,Aqua,MODIS,61,61.03,301.1,16,D,0
33.0892,35.1466,313.9,1.5,1.2,2024-10-25,1117,Aqua,MODIS,57,61.03,299.6,13.9,D,0
33.1224,35.2046,324.6,1.5,1.2,2024-10-25,1117,Aqua,MODIS,77,61.03,300.1,33,D,0
34.455,36.0933,315,1.3,1.1,2024-10-25,1118,Aqua,MODIS,65,61.03,295.7,16,D,0
33.3865,35.5931,315.9,4.2,1.9,2024-10-26,0824,Terra,MODIS,65,61.03,296.9,87.3,D,0
33.4023,35.5563,310.8,4.1,1.9,2024-10-26,0824,Terra,MODIS,44,61.03,296.7,51.6,D,0
33.3919,35.5985,312.5,4.2,1.9,2024-10-26,0824,Terra,MODIS,54,61.03,296.4,65,D,0
33.1194,35.2968,323.1,1.5,1.2,2024-10-26,1157,Aqua,MODIS,75,61.03,298.7,30.1,D,0
33.1252,35.2486,314,1.5,1.2,2024-10-26,1157,Aqua,MODIS,55,61.03,299.6,12.9,D,0
33.1236,35.233,313.7,1.5,1.2,2024-10-26,1157,Aqua,MODIS,42,61.03,301.7,12,D,0
33.136,35.2473,315.9,1.5,1.2,2024-10-26,1157,Aqua,MODIS,59,61.03,299,15.4,D,0
33.3051,35.3258,323.9,1.5,1.2,2024-10-26,1157,Aqua,MODIS,77,61.03,301.9,29,D,0
33.3601,35.5337,324.4,1.6,1.2,2024-10-26,1157,Aqua,MODIS,77,61.03,302.6,31.2,D,0
33.3893,35.5732,318.7,1.6,1.2,2024-10-26,1157,Aqua,MODIS,70,61.03,301.6,22,D,0
33.6355,35.5405,311.8,1.6,1.2,2024-10-26,1157,Aqua,MODIS,56,61.03,297.3,15,D,0
33.7142,35.6447,309.4,1.6,1.3,2024-10-26,1157,Aqua,MODIS,43,61.03,297.9,12.1,D,0
34.2676,35.9424,309,1.7,1.3,2024-10-26,1157,Aqua,MODIS,38,61.03,295.5,14.1,D,0
34.5983,36.1482,312.2,1.1,1.1,2024-10-27,0726,Terra,MODIS,64,61.03,297.9,8.6,D,0
34.5965,36.0852,311.6,1.1,1.1,2024-10-27,0726,Terra,MODIS,63,61.03,298.6,7.9,D,0
34.4637,36.1082,308.1,1.1,1.1,2024-10-27,0726,Terra,MODIS,53,61.03,296.6,6,D,0
33.7221,35.6522,319.6,1.2,1.1,2024-10-27,0726,Terra,MODIS,75,61.03,300.6,17.2,D,0
33.7142,35.6378,317.6,1.2,1.1,2024-10-27,0726,Terra,MODIS,73,61.03,296.9,14.8,D,0
33.6105,35.5771,341.5,1.2,1.1,2024-10-27,0726,Terra,MODIS,91,61.03,302.7,52.5,D,0
33.6069,35.5713,330.2,2.8,1.6,2024-10-27,1059,Aqua,MODIS,83,61.03,299.5,118,D,0
33.597,35.5638,320,2.8,1.6,2024-10-27,1059,Aqua,MODIS,72,61.03,300.6,65,D,0
33.6118,35.5642,311.9,2.8,1.6,2024-10-27,1059,Aqua,MODIS,39,61.03,297.5,31.6,D,0
33.7187,35.6494,317.7,2.8,1.6,2024-10-27,1059,Aqua,MODIS,68,61.03,297.2,57.8,D,0
33.7236,35.6443,317.7,2.8,1.6,2024-10-27,1059,Aqua,MODIS,69,61.03,296.8,57.5,D,0
34.5673,36.1081,312.1,2.4,1.5,2024-10-27,1100,Aqua,MODIS,50,61.03,301.2,21.2,D,0
33.5436,35.5415,342.1,1,1,2024-10-28,1139,Aqua,MODIS,91,61.03,300.4,44.7,D,0
33.1008,35.2133,319.8,1,1,2024-10-28,1139,Aqua,MODIS,67,61.03,303.1,10.7,D,0
33.0993,35.2029,320.7,1,1,2024-10-28,1139,Aqua,MODIS,68,61.03,303.5,11.9,D,0
33.242,35.4254,313.2,1,1,2024-10-28,1139,Aqua,MODIS,40,61.03,300.9,5.8,D,0
