latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-30.2572,27.6362,323.8,1.4,1.2,2024-02-14,1213,Aqua,MODIS,33,61.03,310.6,14.5,D,0
-30.0879,27.7812,328,1.1,1,2024-02-17,1239,Aqua,MODIS,67,61.03,313.7,10.7,D,0
-30.262,27.616,323.1,3.4,1.7,2024-02-23,1151,Aqua,MODIS,43,61.03,304,53.6,D,0
-30.2729,27.6167,324.9,1.5,1.2,2024-03-16,1213,Aqua,MODIS,67,61.03,306.8,22.9,D,0
-30.0946,27.5804,336,1.5,1.2,2024-03-16,1213,Aqua,MODIS,81,61.03,307.2,46.8,D,0
-30.0919,27.5722,331.3,1.5,1.2,2024-03-16,1213,Aqua,MODIS,68,61.03,308.6,33,D,0
-30.2684,27.6245,327.2,1.5,1.2,2024-03-16,1213,Aqua,MODIS,71,61.03,306.4,27.4,D,0
-29.0046,28.4366,315.1,1.1,1.1,2024-03-19,1239,Aqua,MODIS,45,61.03,298.6,8.7,D,0
-29.3823,28.2763,308.4,1,1,2024-04-19,1235,Aqua,MODIS,55,61.03,295.5,6.3,D,0
-29.3807,28.2866,306.8,1,1,2024-04-19,1235,Aqua,MODIS,47,61.03,294.5,5.3,D,0
-29.8123,27.3216,311.7,1.4,1.2,2024-05-03,1219,Aqua,MODIS,61,61.03,299.5,9.9,D,0
-30.3902,28.1778,319,2.6,1.6,2024-05-09,1308,Aqua,MODIS,76,61.03,288.9,64.1,D,0
-30.3801,28.1984,306.3,2.6,1.6,2024-05-09,1308,Aqua,MODIS,46,61.03,290.9,23.6,D,0
-28.9266,28.492,306.1,1.3,1.1,2024-05-11,0723,Terra,MODIS,61,61.03,288.5,9.2,D,0
-30.0128,27.6534,311.6,1.3,1.1,2024-05-11,1252,Aqua,MODIS,66,61.03,296.6,12.6,D,0
-29.3556,27.7294,310.3,2.6,1.6,2024-05-17,1203,Aqua,MODIS,63,61.03,297,26,D,0
-29.7684,27.847,328,1.1,1.1,2024-05-20,1227,Aqua,MODIS,83,61.03,294.9,28.4,D,0
-30.0337,27.6993,308.6,1.1,1.1,2024-05-20,1227,Aqua,MODIS,53,61.03,292.8,7.6,D,0
-30.6157,27.9873,311.3,1,1,2024-05-25,1234,Aqua,MODIS,71,61.03,287,10.5,D,0
-30.6143,27.9976,310,1,1,2024-05-25,1234,Aqua,MODIS,69,61.03,289,9.3,D,0
-29.3206,27.9963,311.3,1.4,1.2,2024-05-27,1218,Aqua,MODIS,67,61.03,290,15.7,D,0
-29.161,28.3161,304.1,1.1,1,2024-05-30,1242,Aqua,MODIS,52,61.03,287.1,7.3,D,0
-29.1592,28.3277,325.9,1.1,1,2024-05-30,1242,Aqua,MODIS,84,61.03,288.7,27.7,D,0
-28.8672,28.5319,307.5,1.1,1.1,2024-05-30,1242,Aqua,MODIS,65,61.03,289,10.9,D,0
-28.9293,28.7832,306,1.1,1,2024-06-01,1226,Aqua,MODIS,62,61.03,286.7,9,D,0
-28.9307,28.7723,308.3,1.1,1,2024-06-01,1226,Aqua,MODIS,66,61.03,287,10.6,D,0
-28.8112,28.106,302.4,2.9,1.6,2024-06-10,1200,Aqua,MODIS,52,61.03,291.1,20,D,0
-28.6874,28.4559,314.1,1.1,1,2024-06-11,1240,Aqua,MODIS,74,61.03,290.4,12.1,D,0
-28.689,28.4454,318.5,1.1,1,2024-06-11,1240,Aqua,MODIS,79,61.03,291.7,16.1,D,0
-29.1528,27.5988,322.3,3.8,1.8,2024-06-12,1321,Aqua,MODIS,82,61.03,288.6,140.2,D,0
-29.3249,28.3414,313.4,1,1,2024-06-18,1231,Aqua,MODIS,74,61.03,284.1,14.2,D,0
-29.3263,28.3313,314.3,1,1,2024-06-18,1231,Aqua,MODIS,75,61.03,283.2,15.2,D,0
-29.415,27.8422,302.1,1,1,2024-06-20,2010,Terra,MODIS,47,61.03,278.4,9.3,N,0
-29.0769,28.4329,310.7,1,1,2024-06-24,0731,Terra,MODIS,70,61.03,284.1,12.2,D,0
-29.7085,29.0518,306.8,2.2,1.4,2024-06-27,1204,Aqua,MODIS,64,61.03,289.2,26.2,D,0
-29.7106,29.0478,307.7,2.2,1.4,2024-06-27,1204,Aqua,MODIS,66,61.03,290.2,28,D,0
-30.0243,27.6881,306.7,1,1,2024-06-28,1245,Aqua,MODIS,60,61.03,288.4,8.5,D,0
-29.4091,28.1849,309.8,1.1,1,2024-06-30,1228,Aqua,MODIS,69,61.03,289.6,9.7,D,0
-29.7018,28.5853,303,2.6,1.5,2024-07-01,1309,Aqua,MODIS,55,61.03,285.8,24,D,0
-29.7068,28.562,303,2.5,1.5,2024-07-01,1309,Aqua,MODIS,54,61.03,286.2,23.8,D,0
-29.4332,28.4234,303.9,1,1,2024-07-05,1235,Aqua,MODIS,53,61.03,279.1,8.4,D,0
-28.7375,28.1388,312.1,1,1,2024-07-05,1236,Aqua,MODIS,72,61.03,288.8,10.9,D,0
-28.7285,28.1371,303.2,1,1,2024-07-05,1236,Aqua,MODIS,45,61.03,287.9,4.9,D,0
-28.8743,28.8588,304.4,3.6,1.8,2024-07-06,1316,Aqua,MODIS,51,61.03,284.8,46.4,D,0
-29.8044,28.5036,325,1.5,1.2,2024-07-07,1218,Aqua,MODIS,83,61.03,283,42.7,D,0
-30.2838,27.4092,301.1,1.7,1.3,2024-07-07,1218,Aqua,MODIS,45,61.03,288.5,8.5,D,0
-30.1774,27.6797,331.4,1.7,1.3,2024-07-07,1218,Aqua,MODIS,87,61.03,284.9,67.7,D,0
-30.1794,27.6597,326.5,1.7,1.3,2024-07-07,1218,Aqua,MODIS,84,61.03,286.6,55.4,D,0
-30.003,27.9296,308,1.6,1.2,2024-07-07,1218,Aqua,MODIS,66,61.03,288.2,17.1,D,0
-29.8422,28.5527,312.7,1.4,1.2,2024-07-07,1218,Aqua,MODIS,73,61.03,284.9,23,D,0
-29.844,28.5365,314.6,1.5,1.2,2024-07-07,1218,Aqua,MODIS,75,61.03,284.9,25.6,D,0
-29.82,28.6535,308.1,1.4,1.2,2024-07-07,1218,Aqua,MODIS,66,61.03,286.9,15.2,D,0
-29.8152,28.5043,312.2,1.5,1.2,2024-07-07,1218,Aqua,MODIS,72,61.03,281.1,23,D,0
-29.2599,28.3828,318.1,1.5,1.2,2024-07-07,1219,Aqua,MODIS,78,61.03,287,28.6,D,0
-29.613,27.5258,333.3,1.7,1.3,2024-07-07,1219,Aqua,MODIS,88,61.03,290.8,66,D,0
-29.6125,27.5365,311.5,1.7,1.3,2024-07-07,1219,Aqua,MODIS,71,61.03,289.2,19.9,D,0
-29.6144,27.5191,323,1.7,1.3,2024-07-07,1219,Aqua,MODIS,82,61.03,290.4,41.8,D,0
-29.5466,28.0339,322.2,1.5,1.2,2024-07-07,1219,Aqua,MODIS,81,61.03,282.7,40.6,D,0
-29.4146,28.4002,300.1,1.5,1.2,2024-07-07,1219,Aqua,MODIS,25,61.03,285.7,8.3,D,0
-29.4317,28.2494,324.9,1.5,1.2,2024-07-07,1219,Aqua,MODIS,83,61.03,284.5,43.3,D,0
-29.4335,28.2343,302.5,1.5,1.2,2024-07-07,1219,Aqua,MODIS,47,61.03,283.9,10.4,D,0
-29.421,28.2475,335.5,1.5,1.2,2024-07-07,1219,Aqua,MODIS,90,61.03,286.9,65.9,D,0
-29.4227,28.2323,308.1,1.5,1.2,2024-07-07,1219,Aqua,MODIS,28,61.03,285.1,14.7,D,0
-29.2706,28.3836,307.7,1.5,1.2,2024-07-07,1219,Aqua,MODIS,33,61.03,286.6,13.1,D,0
-29.2616,28.3675,309.9,1.5,1.2,2024-07-07,1219,Aqua,MODIS,69,61.03,288.1,17.5,D,0
-29.3014,27.6805,305.1,1.6,1.3,2024-07-07,1219,Aqua,MODIS,61,61.03,289.2,10.5,D,0
