latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.6551,-10.5828,314.2,1.3,1.1,2024-01-01,1450,Aqua,MODIS,61,61.03,297.9,9.8,D,0
6.8418,-8.9523,312.6,1,1,2024-01-03,1435,Aqua,MODIS,58,61.03,296.9,5.9,D,0
6.059,-9.3942,312,1,1,2024-01-03,1435,Aqua,MODIS,62,61.03,291.7,7,D,0
6.264,-8.4883,318.3,1,1,2024-01-03,1435,Aqua,MODIS,71,61.03,296.3,12,D,0
6.0601,-10.0956,311.3,1,1,2024-01-03,1435,Aqua,MODIS,60,61.03,294.1,5.3,D,0
6.1319,-9.7887,311,1,1,2024-01-03,1435,Aqua,MODIS,41,61.03,292.1,5.9,D,0
6.2303,-9.3588,315,1,1,2024-01-03,1435,Aqua,MODIS,67,61.03,290,10.4,D,0
6.353,-8.8973,309.3,1,1,2024-01-03,1435,Aqua,MODIS,37,61.03,293.8,4.8,D,0
6.2051,-9.9238,314,1,1,2024-01-03,1435,Aqua,MODIS,66,61.03,294.9,7.4,D,0
6.2038,-9.9327,311.3,1,1,2024-01-03,1435,Aqua,MODIS,59,61.03,294.3,5.6,D,0
6.3267,-10.0291,311.5,1,1,2024-01-03,1435,Aqua,MODIS,59,61.03,294.2,6.5,D,0
6.5378,-8.6309,312.6,1,1,2024-01-03,1435,Aqua,MODIS,57,61.03,296.8,6.3,D,0
6.5365,-8.6402,317.7,1,1,2024-01-03,1435,Aqua,MODIS,69,61.03,296.6,10.8,D,0
6.3853,-10.5799,312.2,1,1,2024-01-03,1435,Aqua,MODIS,58,61.03,291.6,4.8,D,0
6.7299,-9.478,315,1,1,2024-01-03,1435,Aqua,MODIS,66,61.03,295.4,8.2,D,0
6.5616,-10.8223,316.5,1,1,2024-01-03,1435,Aqua,MODIS,70,61.03,292.8,9.7,D,0
6.8405,-8.9614,313.2,1,1,2024-01-03,1435,Aqua,MODIS,60,61.03,297,6.3,D,0
7.4397,-8.4406,310.7,1.1,1,2024-01-03,1435,Aqua,MODIS,44,61.03,297.3,5,D,0
7.3858,-8.5587,315.9,1.1,1,2024-01-03,1435,Aqua,MODIS,65,61.03,297.4,9.4,D,0
7.2848,-8.8235,313.9,1,1,2024-01-03,1435,Aqua,MODIS,62,61.03,296.9,7.3,D,0
6.7781,-11.2984,363.4,1.1,1,2024-01-03,1435,Aqua,MODIS,0,61.03,299.6,95.2,D,0
6.6654,-10.8723,310.3,1,1,2024-01-03,1435,Aqua,MODIS,46,61.03,293.3,4.8,D,0
6.6434,-10.897,310.3,1,1,2024-01-03,1435,Aqua,MODIS,56,61.03,293.7,5.5,D,0
6.8516,-9.466,309,1,1,2024-01-03,1435,Aqua,MODIS,45,61.03,294.1,3.7,D,0
6.6417,-10.3369,311.3,1,1,2024-01-03,1435,Aqua,MODIS,60,61.03,295.8,4.8,D,0
5.9772,-9.7718,309.4,1,1,2024-01-03,1435,Aqua,MODIS,54,61.03,289.6,4.3,D,0
5.9759,-9.7807,310.2,1,1,2024-01-03,1435,Aqua,MODIS,57,61.03,291.1,4.9,D,0
6.0603,-9.3853,309.4,1,1,2024-01-03,1435,Aqua,MODIS,53,61.03,291.4,5.2,D,0
7.3865,-8.5566,311,1.2,1.1,2024-01-05,1419,Aqua,MODIS,55,61.03,292.6,8.1,D,0
8.3728,-9.678,320.4,2.5,1.5,2024-01-06,1501,Aqua,MODIS,73,61.03,297,47.9,D,0
8.3628,-9.6941,314,2.5,1.5,2024-01-06,1501,Aqua,MODIS,30,61.03,295.1,24.9,D,0
6.9477,-11.1548,316,1.8,1.3,2024-01-06,1501,Aqua,MODIS,67,61.03,290,22.3,D,0
8.3699,-9.7002,314.6,2.5,1.5,2024-01-06,1501,Aqua,MODIS,63,61.03,295.9,28.7,D,0
6.1765,-9.125,316.9,1.3,1.1,2024-01-08,1445,Aqua,MODIS,64,61.03,298.2,13,D,0
6.0332,-9.419,313.3,1.2,1.1,2024-01-08,1445,Aqua,MODIS,59,61.03,298.8,7.3,D,0
6.0426,-9.353,315.1,1.2,1.1,2024-01-08,1445,Aqua,MODIS,64,61.03,298,9.9,D,0
5.7582,-9.5003,311.6,1.2,1.1,2024-01-08,1445,Aqua,MODIS,46,61.03,295.4,7.5,D,0
6.5165,-10.4788,325.4,1.1,1,2024-01-08,1445,Aqua,MODIS,78,61.03,300.1,18.8,D,0
6.8754,-9.6895,323.6,1.2,1.1,2024-01-08,1445,Aqua,MODIS,75,61.03,300.5,17.7,D,0
6.5179,-10.469,326.9,1.1,1,2024-01-08,1445,Aqua,MODIS,79,61.03,299.9,20.8,D,0
6.4629,-10.5903,316.5,1.1,1,2024-01-08,1445,Aqua,MODIS,58,61.03,296.7,8.9,D,0
6.4401,-9.5072,315.7,1.2,1.1,2024-01-08,1445,Aqua,MODIS,61,61.03,300.2,8.9,D,0
6.1871,-9.4197,311.9,1.2,1.1,2024-01-08,1445,Aqua,MODIS,41,61.03,295.9,6.9,D,0
8.4821,-9.8951,327.1,1.2,1.1,2024-01-08,1446,Aqua,MODIS,77,61.03,304.1,23.5,D,0
8.118,-10.2254,321.6,1.2,1.1,2024-01-08,1446,Aqua,MODIS,59,61.03,307.2,13.7,D,0
8.1275,-10.227,319.7,1.2,1.1,2024-01-08,1446,Aqua,MODIS,50,61.03,306.6,11,D,0
8.2474,-9.8088,317.7,1.2,1.1,2024-01-08,1446,Aqua,MODIS,62,61.03,302.8,12.1,D,0
8.4806,-9.9062,323.6,1.2,1.1,2024-01-08,1446,Aqua,MODIS,72,61.03,304.3,18.2,D,0
4.7807,-8.5589,325.8,1,1,2024-01-10,1429,Aqua,MODIS,81,61.03,296.7,18,D,0
7.0883,-10.4812,310.3,1.1,1,2024-01-10,1430,Aqua,MODIS,50,61.03,295.8,4.8,D,0
6.8172,-10.1954,321.8,1.1,1,2024-01-10,1430,Aqua,MODIS,76,61.03,297.2,15.8,D,0
6.4331,-10.6131,317.5,1.1,1.1,2024-01-10,1430,Aqua,MODIS,72,61.03,295.4,12,D,0
7.0616,-10.9166,315.9,1.2,1.1,2024-01-10,1430,Aqua,MODIS,68,61.03,297.8,11,D,0
7.0731,-10.5189,310.3,1.1,1,2024-01-10,1430,Aqua,MODIS,32,61.03,295.8,4.5,D,0
6.8654,-10.8015,316.4,1.1,1.1,2024-01-10,1430,Aqua,MODIS,67,61.03,298.4,9.4,D,0
6.8158,-10.205,313.6,1.1,1,2024-01-10,1430,Aqua,MODIS,63,61.03,297.3,7.5,D,0
7.687,-9.4305,312.2,1,1,2024-01-11,1038,Terra,MODIS,63,61.03,296.3,6.4,D,0
6.8119,-8.9887,313.3,1.6,1.2,2024-01-12,1414,Aqua,MODIS,62,61.03,297.4,11.6,D,0
6.1489,-10.3389,310.5,2,1.4,2024-01-12,1414,Aqua,MODIS,0,61.03,293.4,13.4,D,0
6.7427,-8.9162,309,1.5,1.2,2024-01-12,1414,Aqua,MODIS,40,61.03,295.3,6.7,D,0
6.0429,-10.212,314.9,1.6,1.3,2024-01-13,1455,Aqua,MODIS,0,61.03,296.4,14.7,D,0
6.7833,-11.0631,325,1.4,1.2,2024-01-13,1456,Aqua,MODIS,77,61.03,297.4,27.9,D,0
6.5519,-10.8592,318.2,1.5,1.2,2024-01-13,1456,Aqua,MODIS,68,61.03,298.2,15.8,D,0
6.5316,-10.7421,317.5,1.5,1.2,2024-01-13,1456,Aqua,MODIS,67,61.03,298.6,15.8,D,0
8.3434,-9.9889,313,1.4,1.2,2024-01-13,2246,Terra,MODIS,86,61.03,291.7,20.8,N,0
8.3417,-10.0015,305.6,1.4,1.2,2024-01-13,2246,Terra,MODIS,65,61.03,290.9,12,N,0
6.8038,-10.3361,313.8,1,1,2024-01-15,1440,Aqua,MODIS,16,61.03,297.3,6.5,D,0
7.0724,-10.5128,316.8,1,1,2024-01-15,1440,Aqua,MODIS,66,61.03,298,9.1,D,0
6.4768,-10.8078,322,1,1,2024-01-15,1440,Aqua,MODIS,75,61.03,301.8,11.1,D,0
6.4781,-10.7989,317.4,1,1,2024-01-15,1440,Aqua,MODIS,68,61.03,301.5,6.8,D,0
6.2302,-10.353,324.4,1,1,2024-01-15,1440,Aqua,MODIS,75,61.03,298.8,14.5,D,2
6.4868,-10.8159,315.1,1,1,2024-01-15,1440,Aqua,MODIS,48,61.03,301.7,5.8,D,0
6.1027,-10.212,324.4,1,1,2024-01-15,1440,Aqua,MODIS,78,61.03,295.8,16.8,D,0
5.9423,-9.9826,311.5,1,1,2024-01-15,1440,Aqua,MODIS,55,61.03,294.6,4.8,D,0
5.6094,-9.4116,320.2,1.1,1,2024-01-15,1440,Aqua,MODIS,74,61.03,296.6,14.3,D,0
5.5225,-9.6293,316.2,1,1,2024-01-15,1440,Aqua,MODIS,69,61.03,296.2,9.1,D,0
5.5239,-9.6201,315.4,1,1,2024-01-15,1440,Aqua,MODIS,67,61.03,295.5,8.5,D,0
6.1014,-10.221,324.6,1,1,2024-01-15,1440,Aqua,MODIS,79,61.03,295.6,17.1,D,0
6.5361,-10.9138,313.4,1,1,2024-01-15,1440,Aqua,MODIS,58,61.03,300.1,5.1,D,0
6.6308,-10.451,328.4,1,1,2024-01-15,1440,Aqua,MODIS,81,61.03,300.3,20.2,D,0
6.6295,-10.46,315.7,1,1,2024-01-15,1440,Aqua,MODIS,64,61.03,299.2,6.8,D,0
6.6944,-10.5152,314.2,1,1,2024-01-15,1440,Aqua,MODIS,60,61.03,300.1,6.9,D,0
8.4501,-10.1637,335.4,1,1,2024-01-15,1441,Aqua,MODIS,86,61.03,300.2,31,D,0
