latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.9121,19.7803,315,1.4,1.2,2024-01-01,0041,Aqua,MODIS,90,61.03,281.9,30.4,N,2
27.9935,22.3274,308.5,1.1,1,2024-01-01,0041,Aqua,MODIS,75,61.03,279.8,14.1,N,2
28.0617,19.9147,306.5,1.4,1.2,2024-01-01,0041,Aqua,MODIS,68,61.03,280.2,18.6,N,2
29.238,19.6989,306.4,1.5,1.2,2024-01-01,0041,Aqua,MODIS,68,61.03,279.1,19.6,N,2
28.9117,20.9532,311.4,1.2,1.1,2024-01-01,0041,Aqua,MODIS,82,61.03,281.8,19.1,N,2
28.9102,20.9656,307.3,1.2,1.1,2024-01-01,0041,Aqua,MODIS,71,61.03,281.7,15.2,N,2
28.8288,22.1079,301.1,2.4,1.5,2024-01-01,1939,Terra,MODIS,38,61.03,282.2,28.9,N,2
28.9046,20.9556,307,2.9,1.6,2024-01-01,1939,Terra,MODIS,70,61.03,282.9,53,N,2
28.9024,20.9615,302.8,2.9,1.6,2024-01-01,1939,Terra,MODIS,52,61.03,282.8,40.3,N,2
28.9131,19.7754,305.4,3.5,1.8,2024-01-01,1939,Terra,MODIS,64,61.03,281.1,66,N,2
28.9078,19.7701,310.1,3.5,1.8,2024-01-01,1939,Terra,MODIS,79,61.03,281.5,85.6,N,2
28.9113,19.7816,311.6,1.8,1.3,2024-01-02,0122,Aqua,MODIS,83,61.03,280.3,37,N,2
26.0309,11.9816,308.6,1,1,2024-01-02,0922,Terra,MODIS,51,61.03,292.9,5,D,0
29.2351,19.6964,308.1,1,1,2024-01-02,2019,Terra,MODIS,74,61.03,279.9,11.9,N,2
28.9086,20.958,309.8,1,1,2024-01-02,2019,Terra,MODIS,78,61.03,283.3,13.3,N,2
27.5857,22.4011,300.3,1.1,1.1,2024-01-02,2019,Terra,MODIS,25,61.03,281.3,8.9,N,2
27.6464,22.5058,302.4,1.1,1.1,2024-01-02,2019,Terra,MODIS,3,61.03,282.3,8.9,N,2
27.6512,22.4987,306.5,1.1,1.1,2024-01-02,2019,Terra,MODIS,68,61.03,282.1,13.1,N,2
27.9908,22.3238,315.8,1.1,1.1,2024-01-02,2019,Terra,MODIS,92,61.03,281.4,21.4,N,2
28.0577,19.9103,304.5,1,1,2024-01-02,2019,Terra,MODIS,60,61.03,282.2,10.1,N,2
28.8339,22.1044,301.8,1.1,1.1,2024-01-02,2019,Terra,MODIS,44,61.03,282.3,9.8,N,2
28.9072,20.9477,311,1,1,2024-01-02,2019,Terra,MODIS,82,61.03,283.2,14.2,N,2
28.9041,19.7718,307,1,1,2024-01-02,2019,Terra,MODIS,70,61.03,283.8,11.2,N,2
28.9129,19.7702,320.7,1,1,2024-01-02,2019,Terra,MODIS,100,61.03,282.2,21.8,N,2
29.0702,19.0604,304.1,1,1,2024-01-02,2019,Terra,MODIS,59,61.03,282,9.6,N,2
29.2071,19.8314,307.2,1,1,2024-01-02,2019,Terra,MODIS,71,61.03,280.8,11.3,N,2
29.2057,19.8213,314.4,1,1,2024-01-02,2019,Terra,MODIS,89,61.03,280.7,16.7,N,2
29.2342,19.6956,303.7,2.7,1.6,2024-01-03,0025,Aqua,MODIS,56,61.03,276.9,39.6,N,2
29.2284,19.7147,303.5,2.7,1.6,2024-01-03,0025,Aqua,MODIS,55,61.03,276.8,41.7,N,2
27.9935,22.3303,300.9,1.7,1.3,2024-01-03,0026,Aqua,MODIS,36,61.03,279.2,18.1,N,2
28.9067,19.7983,300.1,2.6,1.6,2024-01-03,0026,Aqua,MODIS,17,61.03,277.9,34.2,N,2
28.9089,19.7719,311.9,2.6,1.6,2024-01-03,0026,Aqua,MODIS,84,61.03,278.8,65.4,N,2
30.4012,19.6182,307.6,3.7,1.8,2024-01-03,2100,Terra,MODIS,72,61.03,284.7,71.4,N,2
28.9103,19.763,303.9,3.6,1.8,2024-01-03,2100,Terra,MODIS,57,61.03,279.2,65.9,N,2
30.4079,19.619,326.2,1.1,1,2024-01-04,0106,Aqua,MODIS,100,61.03,285.2,28.9,N,2
30.4097,19.6084,312.9,1,1,2024-01-04,0106,Aqua,MODIS,86,61.03,285.4,15,N,2
28.9073,19.7841,315.1,1.1,1,2024-01-04,0107,Aqua,MODIS,91,61.03,282,20.3,N,2
29.2379,19.692,303.1,1.1,1,2024-01-04,0107,Aqua,MODIS,53,61.03,279,10.1,N,2
29.2361,19.7028,338.2,1.1,1,2024-01-04,0107,Aqua,MODIS,100,61.03,281,50.1,N,2
28.9119,20.9631,302.2,1.2,1.1,2024-01-04,0107,Aqua,MODIS,47,61.03,279.6,11.6,N,2
28.9091,19.7731,325.4,1.1,1,2024-01-04,0107,Aqua,MODIS,100,61.03,281.7,31.5,N,2
