latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.8886,22.8276,316.7,1.3,1.1,2024-04-01,0930,Terra,MODIS,77,61.03,292,19,D,0
54.632,25.2644,306.4,1,1,2024-05-04,1145,Aqua,MODIS,35,61.03,292.8,3.8,D,2
54.002,24.2508,300.3,2.3,1.5,2024-05-15,0942,Terra,MODIS,23,61.03,286.8,8.8,D,0
56.3206,24.6006,307.4,1.1,1,2024-05-21,1153,Aqua,MODIS,29,61.03,292.9,4,D,0
55.5462,23.2465,307,1.5,1.2,2024-05-24,1217,Aqua,MODIS,0,61.03,292,5.3,D,0
55.0498,25.797,335.4,1,1,2024-05-28,1143,Aqua,MODIS,84,61.03,312.3,25.7,D,0
55.0477,25.7815,342.7,1,1,2024-05-28,1143,Aqua,MODIS,92,61.03,313.6,38.9,D,0
54.6313,23.9503,304,1.1,1,2024-06-04,1134,Aqua,MODIS,22,61.03,290.9,3.5,D,0
55.5206,25.1018,300.6,1.3,1.1,2024-06-15,0916,Terra,MODIS,32,61.03,288.9,3.5,D,0
54.9049,23.988,315.7,1.2,1.1,2024-06-15,0916,Terra,MODIS,61,61.03,300.1,9,D,2
55.5435,23.2549,307.6,1,1,2024-06-21,1140,Aqua,MODIS,46,61.03,292.3,4.6,D,0
56.1937,23.2914,315.8,1,1,2024-06-27,0909,Terra,MODIS,58,61.03,304.8,8.9,D,0
54.417,25.025,311.9,1.3,1.1,2024-07-11,1207,Aqua,MODIS,49,61.03,299.4,7,D,0
55.0824,24.3444,303.8,1.5,1.2,2024-07-17,1117,Aqua,MODIS,12,61.03,290.2,4.8,D,2
54.3545,25.0698,306.8,2.2,1.4,2024-07-22,0934,Terra,MODIS,28,61.03,291.2,17.8,D,0
54.6034,23.7662,305,1,1,2024-08-06,1143,Aqua,MODIS,10,61.03,292.3,3.7,D,0
54.4328,24.913,300.8,1,1,2024-08-11,1149,Aqua,MODIS,19,61.03,288.5,2.4,D,0
55.7432,24.384,311.8,1.3,1.1,2024-08-15,0917,Terra,MODIS,44,61.03,299.8,8.3,D,2
55.2414,26.5231,309,1,1,2024-08-18,1138,Aqua,MODIS,39,61.03,296.5,3.5,D,0
54.8547,24.5558,307.6,1.2,1.1,2024-08-27,0908,Terra,MODIS,32,61.03,293.2,6.3,D,0
54.5846,25.0276,312.2,1.1,1.1,2024-09-21,1135,Aqua,MODIS,68,61.03,296.6,10,D,0
55.3287,25.4773,309,1.1,1,2024-09-21,1135,Aqua,MODIS,36,61.03,291.2,7.5,D,0
55.4102,24.2239,304.2,1.1,1.1,2024-09-21,1135,Aqua,MODIS,52,61.03,293.3,4.7,D,0
55.7531,24.2847,311.9,1.1,1.1,2024-09-21,1135,Aqua,MODIS,71,61.03,294.3,10.6,D,0
55.7499,24.2676,326,1.1,1.1,2024-09-21,1135,Aqua,MODIS,84,61.03,293,26.4,D,0
55.3667,21.4123,301.2,2.2,1.4,2024-09-23,1118,Aqua,MODIS,15,61.03,289.8,7.6,D,0
54.8156,22.8525,305.6,1.2,1.1,2024-10-19,1218,Aqua,MODIS,62,61.03,284.2,10.8,D,0
54.8251,22.8493,304,1.2,1.1,2024-10-19,1218,Aqua,MODIS,58,61.03,283.7,9.6,D,0
