latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.5028,5.953,301.6,1.1,1.1,2024-02-27,2038,Terra,MODIS,43,61.03,275.1,11.1,N,2
49.5099,5.9594,306.1,1.1,1,2024-03-17,0207,Aqua,MODIS,67,61.03,275.7,12.8,N,2
49.5036,5.9661,307.9,1.1,1,2024-03-17,0207,Aqua,MODIS,73,61.03,275.5,15.1,N,2
49.4978,5.9589,310.6,1.1,1,2024-03-24,1310,Aqua,MODIS,70,61.03,284.8,13.1,D,2
49.5204,5.905,303.4,1,1,2024-04-14,1007,Terra,MODIS,46,61.03,282.5,5.4,D,2
49.5025,5.9559,318.6,1.1,1,2024-05-11,1314,Aqua,MODIS,60,61.03,305.8,10.6,D,2
49.508,5.964,310.3,1.1,1.1,2024-05-20,0949,Terra,MODIS,36,61.03,296.4,6.9,D,2
49.5033,5.9619,319.4,1.2,1.1,2024-06-09,0210,Aqua,MODIS,98,61.03,282.5,26.3,N,2
49.5062,5.9558,336.8,1.1,1,2024-06-09,1011,Terra,MODIS,85,61.03,298.9,37.5,D,2
49.5038,5.97,323.8,1.1,1,2024-06-09,1011,Terra,MODIS,77,61.03,294.8,18.9,D,2
49.5066,5.9592,313.1,1.5,1.2,2024-07-08,2110,Terra,MODIS,86,61.03,286.4,26.1,N,2
49.507,5.9555,310.3,1,1,2024-07-13,1006,Terra,MODIS,40,61.03,294.7,7.6,D,2
49.5015,5.965,305.8,1.3,1.1,2024-07-19,2022,Terra,MODIS,66,61.03,291.3,9.3,N,2
49.5095,5.9549,304,1.3,1.1,2024-07-19,2022,Terra,MODIS,47,61.03,290.8,7.8,N,2
49.5038,5.9652,316.7,1.4,1.2,2024-07-22,0936,Terra,MODIS,68,61.03,298.6,17,D,2
49.4974,6.0809,307.4,1.7,1.3,2024-08-05,1240,Aqua,MODIS,22,61.03,293,6.5,D,2
49.4998,5.9565,305.3,1,1,2024-08-30,1309,Aqua,MODIS,54,61.03,283.1,6,D,2
49.5044,5.9605,317.2,1.2,1.1,2024-08-31,1012,Terra,MODIS,74,61.03,295.1,15.4,D,2
49.5059,5.9608,301,3.2,1.7,2024-09-13,0905,Terra,MODIS,43,61.03,286.9,26.9,D,2
49.5071,5.9549,302.3,3.2,1.7,2024-09-13,0905,Terra,MODIS,51,61.03,286.7,31.6,D,2
49.5082,5.9576,300.9,1,1,2024-10-21,0955,Terra,MODIS,42,61.03,289.5,3.5,D,2
49.503,5.9523,302.1,1.1,1,2024-10-28,0940,Terra,MODIS,50,61.03,285.1,6,D,2
49.5013,5.9672,301.3,1.1,1,2024-10-28,0940,Terra,MODIS,43,61.03,285.1,5.6,D,2
