latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4597,22.6106,303.2,1,1,2024-01-30,1203,Aqua,MODIS,55,61.03,283.6,7.5,D,0
41.8804,22.4545,302.4,1,1,2024-01-30,1203,Aqua,MODIS,47,61.03,281.5,6.6,D,0
41.8753,22.419,310.6,1,1,2024-01-30,1203,Aqua,MODIS,70,61.03,281.1,11.8,D,0
41.8686,22.3717,300.5,1,1,2024-01-30,1203,Aqua,MODIS,39,61.03,280.1,6,D,0
42.1936,21.8026,315.3,1,1,2024-01-30,1203,Aqua,MODIS,76,61.03,282.1,16.1,D,0
41.2917,20.8035,300.9,2.4,1.5,2024-02-03,1132,Aqua,MODIS,26,61.03,281.2,23.8,D,0
41.8968,22.4676,307.7,1.1,1.1,2024-02-04,1213,Aqua,MODIS,40,61.03,288.2,9.1,D,0
41.4726,22.5893,305,1.1,1.1,2024-02-04,1213,Aqua,MODIS,60,61.03,289.4,7.3,D,0
41.4742,22.6028,311.2,1.1,1.1,2024-02-04,1213,Aqua,MODIS,71,61.03,289.1,11.9,D,0
41.2728,21.0964,300.2,1,1,2024-02-04,1213,Aqua,MODIS,26,61.03,287.2,5.1,D,0
41.4637,22.7578,305.4,1.2,1.1,2024-02-04,1213,Aqua,MODIS,61,61.03,288.6,7.2,D,0
42.1926,21.8061,301.7,1.1,1,2024-02-04,1213,Aqua,MODIS,42,61.03,290.3,4,D,0
41.8984,22.4811,311.8,1.1,1.1,2024-02-04,1213,Aqua,MODIS,68,61.03,285.4,12.7,D,0
41.2831,21.5038,300.5,1.1,1,2024-02-06,1157,Aqua,MODIS,38,61.03,290.4,3.1,D,0
41.8519,22.2649,328.3,1,1,2024-02-06,1157,Aqua,MODIS,86,61.03,292,27.2,D,0
41.4936,22.6439,312.6,1,1,2024-02-06,1157,Aqua,MODIS,73,61.03,291.9,9.7,D,0
41.4232,22.7929,309.3,1,1,2024-02-06,1157,Aqua,MODIS,68,61.03,291.6,7.8,D,0
41.8795,22.3821,303.1,1,1,2024-02-06,1157,Aqua,MODIS,48,61.03,289.7,4.4,D,0
40.9304,21.5177,306.6,1.6,1.3,2024-02-08,1142,Aqua,MODIS,64,61.03,293.8,10.3,D,0
41.3858,22.762,308.9,1.4,1.2,2024-02-08,1142,Aqua,MODIS,66,61.03,288.7,14.8,D,0
41.2772,21.0859,304.5,1.7,1.3,2024-02-08,1142,Aqua,MODIS,59,61.03,285.7,15.1,D,0
41.8902,22.3996,306.3,1.4,1.2,2024-02-08,1142,Aqua,MODIS,63,61.03,289.8,9.1,D,0
41.8871,22.3834,308.2,1.4,1.2,2024-02-08,1142,Aqua,MODIS,67,61.03,290.3,11.3,D,0
41.9064,22.4284,304.4,1.4,1.2,2024-02-08,1142,Aqua,MODIS,45,61.03,290.4,7,D,2
41.8941,21.6294,303.4,1.5,1.2,2024-02-08,1142,Aqua,MODIS,56,61.03,288,9.6,D,0
41.8314,22.233,310.8,1.4,1.2,2024-02-09,1223,Aqua,MODIS,70,61.03,294.8,12.5,D,0
41.8331,22.25,325.7,1.4,1.2,2024-02-09,1223,Aqua,MODIS,84,61.03,294,35.8,D,0
41.0108,21.0111,309.7,1.2,1.1,2024-02-09,1223,Aqua,MODIS,42,61.03,274.7,14.1,D,0
41.0205,21.0092,308.3,1.2,1.1,2024-02-09,1223,Aqua,MODIS,61,61.03,273.7,12.9,D,0
41.8677,22.4109,320.7,2,1.4,2024-02-14,1233,Aqua,MODIS,70,61.03,281.2,52.6,D,0
41.4663,21.5461,300.5,1.9,1.4,2024-02-15,1136,Aqua,MODIS,35,61.03,284.9,14.6,D,0
41.1619,21.4659,304.7,1.1,1,2024-02-16,1217,Aqua,MODIS,60,61.03,288.7,5.9,D,0
41.8636,20.97,300.9,1.1,1,2024-02-16,1217,Aqua,MODIS,43,61.03,288.5,4.6,D,0
41.3836,20.8091,311.5,1.1,1,2024-02-16,1217,Aqua,MODIS,71,61.03,286.8,13,D,0
41.2701,21.0872,307.3,1.1,1,2024-02-16,1217,Aqua,MODIS,65,61.03,286.7,9.7,D,0
41.2119,20.7026,305.1,1.1,1,2024-02-16,1217,Aqua,MODIS,61,61.03,286.6,7.6,D,0
41.2626,21.102,302.3,1.1,1,2024-02-16,1217,Aqua,MODIS,37,61.03,288.6,6.1,D,0
41.8334,21.5006,303.7,1.5,1.2,2024-02-17,0918,Terra,MODIS,57,61.03,284.9,14.4,D,0
