latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.8325,35.2769,312,3.6,1.8,2024-01-07,0802,Terra,MODIS,20,61.03,289.6,36.6,D,0
-11.9226,34.0463,310.8,1.3,1.1,2024-01-25,1138,Aqua,MODIS,30,61.03,295.9,6.6,D,0
-11.1924,33.4712,307.9,1.2,1.1,2024-01-26,0746,Terra,MODIS,23,61.03,294,4.5,D,0
-14.887,35.8711,329.7,1,1,2024-02-18,1146,Aqua,MODIS,78,61.03,308.4,14.1,D,0
-14.2996,34.7505,313.2,1,1,2024-03-13,1152,Aqua,MODIS,29,61.03,290.5,6.5,D,0
-16.1651,34.8788,320.7,1.4,1.2,2024-03-27,1138,Aqua,MODIS,43,61.03,300.9,13.8,D,0
-14.3059,34.7143,319.9,1.1,1,2024-04-01,1148,Aqua,MODIS,39,61.03,304,10.5,D,0
-14.3046,34.7241,323,1.1,1,2024-04-01,1148,Aqua,MODIS,45,61.03,304,13.5,D,0
-14.3073,34.7045,322.5,1.1,1,2024-04-01,1148,Aqua,MODIS,38,61.03,302.7,12.9,D,0
-14.3058,34.7639,318.3,1.6,1.2,2024-04-04,1213,Aqua,MODIS,28,61.03,299.4,13.8,D,0
-14.3129,34.7267,323,1.6,1.3,2024-04-16,1214,Aqua,MODIS,43,61.03,301.4,23.3,D,0
-14.6965,35.8476,314.5,1.9,1.4,2024-04-16,1214,Aqua,MODIS,43,61.03,295.6,17.1,D,0
-14.9014,35.8595,324.4,1.2,1.1,2024-04-20,1142,Aqua,MODIS,78,61.03,300.7,16.2,D,0
-14.9143,35.7636,322,1.2,1.1,2024-04-20,1142,Aqua,MODIS,76,61.03,301.7,12.6,D,0
-14.9157,35.7528,320,1.2,1.1,2024-04-20,1142,Aqua,MODIS,72,61.03,302.9,9.7,D,0
-14.8905,35.8687,324,1.2,1.1,2024-04-20,1142,Aqua,MODIS,24,61.03,300.1,14.2,D,0
-14.8703,35.8377,315.8,1.2,1.1,2024-04-20,1142,Aqua,MODIS,25,61.03,300.3,8.1,D,0
-14.9,35.8701,324.4,1.2,1.1,2024-04-20,1142,Aqua,MODIS,78,61.03,300.9,16.1,D,0
-14.3906,34.6868,319.2,2.3,1.5,2024-04-21,1223,Aqua,MODIS,71,61.03,305.3,18.8,D,0
-14.3403,34.6983,320.1,2.7,1.6,2024-04-22,1126,Aqua,MODIS,65,61.03,303.5,28.6,D,0
-14.3925,34.755,326,1.2,1.1,2024-04-23,1207,Aqua,MODIS,77,61.03,308,12.7,D,0
-16.1942,34.8309,310.8,1,1,2024-04-24,0720,Terra,MODIS,30,61.03,298.3,4.6,D,0
-14.3168,34.5598,325.1,1.1,1,2024-04-25,1150,Aqua,MODIS,79,61.03,311.7,10.7,D,0
-15.0919,35.3982,325,1,1,2024-04-25,1150,Aqua,MODIS,75,61.03,307.4,14.8,D,0
-14.8718,35.8439,323.8,1,1,2024-04-25,1150,Aqua,MODIS,72,61.03,307.4,12.7,D,0
-14.8629,35.8425,327.7,1,1,2024-04-25,1150,Aqua,MODIS,63,61.03,306,16.7,D,0
-14.4192,34.6903,327.9,1.1,1,2024-04-25,1150,Aqua,MODIS,73,61.03,313.1,12.6,D,0
-14.3996,34.6972,328.6,1.1,1,2024-04-25,1150,Aqua,MODIS,59,61.03,312.6,12.2,D,0
-14.3553,34.6808,324.1,1.1,1,2024-04-25,1150,Aqua,MODIS,51,61.03,312.7,6.5,D,0
-14.2136,35.0267,314.8,1.8,1.3,2024-04-27,0742,Terra,MODIS,68,61.03,301.7,14.8,D,2
-13.9153,34.3912,312.7,1.9,1.4,2024-04-27,1134,Aqua,MODIS,47,61.03,299.9,10,D,0
-13.9176,34.3733,313.6,1.9,1.4,2024-04-27,1134,Aqua,MODIS,51,61.03,300.5,11.8,D,0
-13.9222,34.3811,314,1.9,1.4,2024-04-27,1134,Aqua,MODIS,63,61.03,299.8,13.4,D,0
-14.8966,35.7691,315.2,1.1,1,2024-04-30,1158,Aqua,MODIS,32,61.03,302,4,D,0
-14.8987,35.8792,317.4,1.1,1,2024-04-30,1158,Aqua,MODIS,56,61.03,302.2,7.3,D,0
-15.3947,34.9662,320.2,1,1,2024-04-30,1158,Aqua,MODIS,72,61.03,305.3,6.2,D,0
-13.9242,34.3759,321.4,1,1,2024-04-30,1159,Aqua,MODIS,73,61.03,301.9,11.1,D,0
-13.8935,34.3991,317.5,1,1,2024-04-30,1159,Aqua,MODIS,67,61.03,302,7.1,D,0
-14.5319,35.3175,322.2,1,1,2024-04-30,1159,Aqua,MODIS,30,61.03,306.1,8,D,0
-14.3951,34.7496,324.9,1,1,2024-04-30,1159,Aqua,MODIS,67,61.03,307.8,10.3,D,0
-14.3359,34.5832,321.7,1,1,2024-04-30,1159,Aqua,MODIS,73,61.03,306.9,7.9,D,0
-13.9264,34.423,316.3,1,1,2024-04-30,1159,Aqua,MODIS,56,61.03,302,5.8,D,0
-13.9041,34.5131,320.4,1,1,2024-04-30,1159,Aqua,MODIS,60,61.03,303.2,7.1,D,0
-13.9229,34.385,312.7,1,1,2024-04-30,1159,Aqua,MODIS,34,61.03,299.9,3.6,D,0
-14.8789,35.7604,323.6,1.2,1.1,2024-05-02,1142,Aqua,MODIS,73,61.03,306.1,14,D,0
-15.8647,35.7232,314.5,1.2,1.1,2024-05-02,1142,Aqua,MODIS,44,61.03,302.2,9.1,D,0
-15.1978,34.9019,322.4,1.3,1.1,2024-05-02,1142,Aqua,MODIS,73,61.03,308.6,13.7,D,0
-15.0869,35.4294,320,1.2,1.1,2024-05-02,1142,Aqua,MODIS,65,61.03,307.1,12.2,D,0
-15.0884,35.4182,324.8,1.2,1.1,2024-05-02,1142,Aqua,MODIS,77,61.03,307.9,19.1,D,0
-15.093,35.383,321.1,1.3,1.1,2024-05-02,1142,Aqua,MODIS,71,61.03,308.4,14.1,D,0
-14.9061,35.8807,324.9,1.2,1.1,2024-05-02,1142,Aqua,MODIS,76,61.03,306.2,18.1,D,0
-14.8951,35.89,333.6,1.2,1.1,2024-05-02,1142,Aqua,MODIS,84,61.03,304.4,29.8,D,0
-14.8965,35.8793,356.5,1.2,1.1,2024-05-02,1142,Aqua,MODIS,98,61.03,307.6,86,D,0
-14.8797,35.8265,320.7,1.2,1.1,2024-05-02,1142,Aqua,MODIS,51,61.03,305.6,12.8,D,0
-14.5537,34.9865,331.9,1.3,1.1,2024-05-02,1142,Aqua,MODIS,83,61.03,306.4,35.3,D,0
-14.5439,34.9914,342.5,1.3,1.1,2024-05-02,1142,Aqua,MODIS,91,61.03,304.3,56.2,D,0
-14.5455,34.9796,338.2,1.3,1.1,2024-05-02,1142,Aqua,MODIS,88,61.03,305.2,47.6,D,0
-14.5467,34.8935,323.3,1.3,1.1,2024-05-02,1142,Aqua,MODIS,74,61.03,308.1,16.7,D,0
-14.4128,34.6559,323.3,1.4,1.2,2024-05-02,1142,Aqua,MODIS,44,61.03,310.2,11,D,0
-14.4165,34.651,324.2,1.4,1.2,2024-05-02,1142,Aqua,MODIS,53,61.03,310.7,11.5,D,0
-14.3404,34.753,331.1,1.3,1.1,2024-05-02,1142,Aqua,MODIS,83,61.03,310.2,26.7,D,0
-14.3676,34.5436,317.8,1.4,1.2,2024-05-02,1142,Aqua,MODIS,54,61.03,306.3,9.9,D,0
-14.2808,34.6632,324.4,1.4,1.2,2024-05-02,1142,Aqua,MODIS,48,61.03,312.9,15.8,D,0
-13.6642,34.9309,315.9,1.3,1.1,2024-05-02,1142,Aqua,MODIS,47,61.03,304.2,7.9,D,0
-13.4918,34.3094,318.5,1.4,1.2,2024-05-02,1143,Aqua,MODIS,58,61.03,305.8,11.7,D,0
-13.2634,33.9473,319.3,1.5,1.2,2024-05-02,1143,Aqua,MODIS,67,61.03,302,18,D,0
-13.1237,33.6116,315.3,1.5,1.2,2024-05-02,1143,Aqua,MODIS,59,61.03,305.2,8.6,D,0
-13.5516,33.7541,312.1,1,1,2024-05-04,0731,Terra,MODIS,59,61.03,300.2,5.6,D,0
-14.2978,34.7738,317.9,2.7,1.6,2024-05-04,1126,Aqua,MODIS,27,61.03,301.4,32.5,D,0
-13.6867,34.979,313,2.5,1.5,2024-05-04,1126,Aqua,MODIS,63,61.03,294.5,18.8,D,0
-14.9002,35.8932,322.3,1.4,1.2,2024-05-05,1207,Aqua,MODIS,56,61.03,299.8,15.7,D,0
-14.9022,35.8809,327.5,1.3,1.2,2024-05-05,1207,Aqua,MODIS,79,61.03,301.4,25.6,D,0
-14.896,35.8546,327.5,1.3,1.1,2024-05-05,1207,Aqua,MODIS,79,61.03,298.9,26.8,D,0
-13.8376,34.4519,320.6,1.2,1.1,2024-05-05,1207,Aqua,MODIS,67,61.03,300.2,7.8,D,0
-14.4619,34.6678,314.9,1.1,1.1,2024-05-06,0714,Terra,MODIS,54,61.03,299.8,5.2,D,0
-15.063,34.9751,328.5,1.1,1,2024-05-06,0714,Terra,MODIS,82,61.03,300.4,21,D,0
-14.3564,35.5029,320.3,1,1,2024-05-07,1150,Aqua,MODIS,70,61.03,302.8,8.9,D,0
-14.4773,33.8411,321.1,1.2,1.1,2024-05-07,1150,Aqua,MODIS,70,61.03,304.7,14.5,D,0
-14.4678,33.8396,316.2,1.2,1.1,2024-05-07,1150,Aqua,MODIS,48,61.03,303.7,8.3,D,0
-14.4253,33.8661,326.9,1.2,1.1,2024-05-07,1151,Aqua,MODIS,78,61.03,305.6,20.8,D,0
-14.3457,34.4048,315.3,1.1,1,2024-05-07,1151,Aqua,MODIS,58,61.03,304.3,6.4,D,0
-14.42,33.8695,322,1.2,1.1,2024-05-07,1151,Aqua,MODIS,72,61.03,305.7,14,D,0
-14.4215,33.8589,316.3,1.2,1.1,2024-05-07,1151,Aqua,MODIS,60,61.03,304.6,8.4,D,0
-14.4177,33.8151,320.6,1.2,1.1,2024-05-07,1151,Aqua,MODIS,55,61.03,304.9,12.6,D,0
-14.3891,33.8109,325.6,1.2,1.1,2024-05-07,1151,Aqua,MODIS,69,61.03,309.1,16.7,D,0
-14.1638,34.9174,325.7,1,1,2024-05-07,1151,Aqua,MODIS,78,61.03,309.6,12.5,D,0
