latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.5137,116.5671,310.6,1,1,2024-01-01,0212,Terra,MODIS,58,61.03,298,4.3,D,0
3.1252,113.1936,316.6,1.2,1.1,2024-01-01,0635,Aqua,MODIS,49,61.03,296.4,10.3,D,0
6.4001,100.137,308.9,1,1,2024-01-02,0718,Aqua,MODIS,0,61.03,288.1,3.1,D,2
2.2429,111.9706,316.7,1.2,1.1,2024-01-03,0620,Aqua,MODIS,55,61.03,297.5,9.6,D,2
3.2765,113.0737,315.1,1,1,2024-01-03,1418,Terra,MODIS,91,61.03,293.2,12.8,N,2
3.2867,113.0814,314.1,1,1,2024-01-03,1418,Terra,MODIS,89,61.03,294.7,10.9,N,2
3.288,113.0905,311.2,1,1,2024-01-03,1418,Terra,MODIS,82,61.03,294.6,8.9,N,2
3.2902,113.0883,306.1,1.2,1.1,2024-01-03,1839,Aqua,MODIS,67,61.03,283.3,9.5,N,2
3.2893,113.0918,314.9,1.2,1.1,2024-01-04,0236,Terra,MODIS,55,61.03,293.4,10.3,D,2
3.102,101.3926,316.6,1.1,1,2024-01-05,0317,Terra,MODIS,16,61.03,294.6,6.6,D,2
6.2687,116.2406,311.9,1,1,2024-01-06,0218,Terra,MODIS,0,61.03,294.1,6.1,D,0
4.5589,103.4614,305.3,1,1,2024-01-06,1905,Aqua,MODIS,26,61.03,285,7,N,2
5.3758,100.5353,318,1.1,1,2024-01-10,0323,Terra,MODIS,29,61.03,301.5,8.7,D,0
3.4117,101.5579,315.5,1.3,1.1,2024-01-10,0324,Terra,MODIS,34,61.03,298.4,10,D,2
5.0392,116.3227,311.7,1,1,2024-01-10,0615,Aqua,MODIS,62,61.03,293.2,6.6,D,0
3.2865,113.0851,305,1.3,1.2,2024-01-10,1408,Terra,MODIS,49,61.03,287.1,7.2,N,2
5.5982,100.6453,315.5,1.5,1.2,2024-01-11,0657,Aqua,MODIS,56,61.03,297.9,11.3,D,0
4.8154,101.0733,309,2.9,1.6,2024-01-13,0642,Aqua,MODIS,24,61.03,288.8,21.2,D,2
5.4875,100.6071,313,1.4,1.2,2024-01-15,0330,Terra,MODIS,36,61.03,292.8,8.6,D,0
4.0723,101.1582,312.1,1.6,1.2,2024-01-15,0330,Terra,MODIS,65,61.03,293.7,10.2,D,2
4.6631,103.3661,300.3,1,1,2024-01-18,1910,Aqua,MODIS,8,61.03,287.5,3.2,N,0
4.6617,103.3749,301.1,1,1,2024-01-18,1910,Aqua,MODIS,35,61.03,286.9,3.7,N,0
4.6604,103.3838,302.7,1,1,2024-01-18,1910,Aqua,MODIS,48,61.03,285.6,4.6,N,0
4.5762,103.4552,302.6,1,1,2024-01-18,1910,Aqua,MODIS,50,61.03,288.9,4,N,2
6.1502,100.6874,309.2,1.2,1.1,2024-01-19,1519,Terra,MODIS,77,61.03,283.1,11.6,N,0
1.7362,103.8865,314.2,1.3,1.1,2024-01-21,0717,Aqua,MODIS,44,61.03,292.9,8.5,D,2
5.2034,100.5135,308.2,1.1,1.1,2024-01-21,1502,Terra,MODIS,55,61.03,286.5,8.3,N,0
4.4925,101.1491,312.6,1.1,1,2024-01-22,0320,Terra,MODIS,28,61.03,294.6,5.7,D,2
3.9331,102.3698,312.7,1.3,1.1,2024-01-22,0320,Terra,MODIS,60,61.03,293.5,8.2,D,2
3.4449,102.3482,313.9,1.3,1.1,2024-01-22,0320,Terra,MODIS,69,61.03,293.5,10.5,D,2
2.5184,102.4467,310.9,1.3,1.1,2024-01-22,0320,Terra,MODIS,63,61.03,292.6,7.5,D,0
2.3606,102.1996,313.3,1.3,1.1,2024-01-22,0320,Terra,MODIS,67,61.03,294,8.2,D,2
