latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.1799,73.4589,314,1.1,1,2024-03-20,0453,Terra,MODIS,51,61.03,299.3,7.6,D,3
4.1764,73.5137,313.6,1,1,2024-04-06,0454,Terra,MODIS,37,61.03,297.3,6.7,D,3
4.1756,73.5116,316.1,1,1,2024-04-11,0500,Terra,MODIS,54,61.03,299.2,7.9,D,3
4.2105,73.5374,312.9,1.2,1.1,2024-04-14,0918,Aqua,MODIS,49,61.03,293.7,7.9,D,3
4.1736,73.4687,315.9,1.1,1.1,2024-04-26,0919,Aqua,MODIS,62,61.03,299.1,10.4,D,3
4.172,73.5019,310.7,1.4,1.2,2024-08-25,0934,Aqua,MODIS,17,61.03,296.8,9.1,D,3
4.1724,73.5056,317.2,1,1,2024-08-27,0916,Aqua,MODIS,67,61.03,302.4,9.9,D,3
4.1747,73.5107,314.5,1.1,1,2024-09-16,0443,Terra,MODIS,61,61.03,296.8,9.4,D,3
4.171,73.5082,311.9,1.5,1.2,2024-10-20,0431,Terra,MODIS,41,61.03,298.6,10.7,D,3
4.1735,73.5114,310.8,1.1,1.1,2024-12-28,0434,Terra,MODIS,43,61.03,300.1,6.5,D,3
