latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.0997,-9.8816,302,1.8,1.3,2024-01-01,0224,Aqua,MODIS,43,61.03,290.4,13.6,N,0
15.5802,-5.3976,319.2,1,1,2024-01-01,1023,Terra,MODIS,62,61.03,302.5,7.4,D,0
14.088,-4.1503,321.9,1,1,2024-01-01,1023,Terra,MODIS,66,61.03,310,7.6,D,0
14.3988,-10.3044,313.8,1.9,1.3,2024-01-01,1023,Terra,MODIS,44,61.03,295.7,11.8,D,0
15.6399,-5.3699,319.1,1,1,2024-01-01,1023,Terra,MODIS,52,61.03,303.9,7,D,0
15.6412,-5.3792,318.9,1,1,2024-01-01,1023,Terra,MODIS,48,61.03,304.3,6.5,D,0
13.5235,-9.0634,332.7,1.5,1.2,2024-01-01,1024,Terra,MODIS,83,61.03,305.4,40,D,0
13.6949,-11.088,315.7,2.1,1.4,2024-01-01,1024,Terra,MODIS,59,61.03,298.3,18.8,D,0
13.3925,-10.6041,323.2,1.9,1.4,2024-01-01,1024,Terra,MODIS,73,61.03,304.5,28.3,D,0
13.387,-10.6116,317.9,1.9,1.4,2024-01-01,1024,Terra,MODIS,51,61.03,304.2,16.7,D,0
13.3848,-10.5944,318.6,1.9,1.3,2024-01-01,1024,Terra,MODIS,57,61.03,304.2,17.8,D,0
13.1754,-10.0283,333.7,1.7,1.3,2024-01-01,1024,Terra,MODIS,84,61.03,305.1,55.2,D,0
12.9473,-8.478,354.3,1.3,1.1,2024-01-01,1024,Terra,MODIS,97,61.03,309.2,90.5,D,0
12.9457,-8.4661,365.2,1.3,1.1,2024-01-01,1024,Terra,MODIS,100,61.03,312.2,134.4,D,0
12.947,-8.4724,359.5,1.3,1.1,2024-01-01,1024,Terra,MODIS,99,61.03,311.8,111.1,D,0
12.9454,-8.4606,328.5,1.3,1.1,2024-01-01,1024,Terra,MODIS,77,61.03,309.9,23.5,D,0
12.9369,-8.4738,337.3,1.3,1.1,2024-01-01,1024,Terra,MODIS,86,61.03,310.1,41.1,D,0
12.9289,-8.4141,319.5,1.3,1.1,2024-01-01,1024,Terra,MODIS,55,61.03,306.6,9.7,D,0
12.9205,-8.4276,352.9,1.3,1.1,2024-01-01,1024,Terra,MODIS,96,61.03,308.7,85.6,D,0
12.7657,-9.5952,317.8,1.6,1.2,2024-01-01,1024,Terra,MODIS,57,61.03,305.1,11.7,D,0
12.5856,-8.2888,318.5,1.3,1.1,2024-01-01,1024,Terra,MODIS,56,61.03,305.9,9.6,D,0
12.5832,-8.3477,316.5,1.3,1.1,2024-01-01,1024,Terra,MODIS,43,61.03,305.7,6.6,D,0
12.7239,-9.6361,316.7,1.6,1.2,2024-01-01,1024,Terra,MODIS,44,61.03,305.6,10.1,D,0
12.1419,-5.9279,320.7,1,1,2024-01-01,1024,Terra,MODIS,61,61.03,308.4,8.1,D,0
12.3799,-7.8329,325.6,1.2,1.1,2024-01-01,1024,Terra,MODIS,73,61.03,308.2,16.8,D,0
12.5684,-10.0262,321,1.7,1.3,2024-01-01,1024,Terra,MODIS,64,61.03,303.9,18.3,D,0
12.5664,-10.0111,338.1,1.7,1.3,2024-01-01,1024,Terra,MODIS,87,61.03,307.5,64.9,D,0
12.5571,-10.0275,322.8,1.7,1.3,2024-01-01,1024,Terra,MODIS,70,61.03,306,22.9,D,0
12.5552,-10.0126,344,1.7,1.3,2024-01-01,1024,Terra,MODIS,91,61.03,308.3,86.8,D,0
12.5722,-10.6238,356.1,1.9,1.3,2024-01-01,1024,Terra,MODIS,98,61.03,308.4,166,D,0
12.5702,-10.6072,321.7,1.9,1.3,2024-01-01,1024,Terra,MODIS,70,61.03,305.6,24.6,D,0
12.2786,-8.2801,323.3,1.3,1.1,2024-01-01,1024,Terra,MODIS,69,61.03,306.7,13.3,D,0
12.2762,-8.275,320.6,1.3,1.1,2024-01-01,1024,Terra,MODIS,61,61.03,306.4,10,D,0
12.5773,-10.629,340.8,1.9,1.3,2024-01-01,1024,Terra,MODIS,89,61.03,306.7,87.2,D,0
12.5752,-10.6125,337.9,1.9,1.3,2024-01-01,1024,Terra,MODIS,87,61.03,306.7,75.4,D,0
12.4426,-9.8497,317.5,1.6,1.3,2024-01-01,1024,Terra,MODIS,43,61.03,307.3,12.4,D,0
12.5512,-10.8062,318.5,1.9,1.4,2024-01-01,1024,Terra,MODIS,59,61.03,307.3,16.3,D,0
