latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
46.6787,29.822,309.4,1.1,1.1,2024-01-05,1113,Aqua,MODIS,68,61.03,282.9,13.8,D,0
45.8027,28.6027,303.8,1.2,1.1,2024-02-05,1117,Aqua,MODIS,57,61.03,288,7.9,D,0
45.9891,28.7164,314,1.1,1,2024-02-08,1143,Aqua,MODIS,74,61.03,285.9,16.6,D,0
46.5903,28.3158,309.1,1.4,1.2,2024-02-12,1112,Aqua,MODIS,68,61.03,283.6,14.8,D,0
47.1752,28.5671,305.3,1,1,2024-02-22,1131,Aqua,MODIS,61,61.03,287.3,7.1,D,0
46.6505,29.1106,306.1,1,1,2024-02-22,1131,Aqua,MODIS,63,61.03,288.5,6.9,D,0
46.6582,29.6152,302,1,1,2024-02-22,1131,Aqua,MODIS,50,61.03,289,4.8,D,0
47.8785,27.9087,304.1,1,1,2024-02-28,0831,Terra,MODIS,58,61.03,285.5,6.9,D,0
47.3884,28.4503,302.8,1,1,2024-03-04,0838,Terra,MODIS,54,61.03,285.1,6.5,D,0
47.8793,27.3281,302.5,3.8,1.8,2024-03-04,1232,Aqua,MODIS,47,61.03,285.8,32.2,D,0
48.0588,27.4107,300.2,3.9,1.8,2024-03-04,1232,Aqua,MODIS,32,61.03,285.8,28.2,D,0
48.0677,27.4185,304.2,3.9,1.8,2024-03-04,1232,Aqua,MODIS,58,61.03,286.1,44.1,D,0
47.87,27.2866,300,3.8,1.8,2024-03-04,1232,Aqua,MODIS,13,61.03,285.8,25,D,0
47.5372,28.9595,301.3,1.1,1.1,2024-03-09,0844,Terra,MODIS,46,61.03,286.3,5.6,D,0
47.175,28.4879,306.1,1.8,1.3,2024-03-09,1103,Aqua,MODIS,63,61.03,289,16.4,D,0
47.5279,28.3633,306,1.1,1,2024-03-10,1144,Aqua,MODIS,46,61.03,295.5,4.2,D,0
48.3351,27.3055,314.3,1,1,2024-03-10,1144,Aqua,MODIS,75,61.03,287.5,12.4,D,0
47.3251,28.2113,302.6,1.1,1,2024-03-10,1144,Aqua,MODIS,44,61.03,290.1,4.8,D,0
47.0684,28.6538,302.8,1.1,1,2024-03-10,1144,Aqua,MODIS,49,61.03,289,4.3,D,0
