latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.5176,90.3891,301,2.7,1.6,2024-03-16,0515,Terra,MODIS,33,61.03,275.5,24.9,D,0
49.5262,90.3551,310.4,2.7,1.6,2024-03-16,0515,Terra,MODIS,70,61.03,275.5,49.2,D,0
46.1804,107.1169,300.3,4,1.9,2024-03-29,0412,Terra,MODIS,16,61.03,280.4,12.6,D,0
47.3585,116.3396,302.7,1.1,1.1,2024-04-01,0530,Aqua,MODIS,53,61.03,283,7.4,D,0
50.2011,90.6024,300,2.8,1.6,2024-04-02,0516,Terra,MODIS,9,61.03,284.3,13.2,D,0
48.2281,92.1116,331.3,1.5,1.2,2024-04-03,0653,Aqua,MODIS,84,61.03,291.2,53.3,D,0
48.23,92.1059,328.5,1.5,1.2,2024-04-03,0653,Aqua,MODIS,81,61.03,290.1,46.9,D,0
49.6694,100.0864,309.2,1.6,1.3,2024-04-04,0321,Terra,MODIS,52,61.03,291.8,13.1,D,2
45.6081,113.9173,331,1,1,2024-04-04,0554,Aqua,MODIS,71,61.03,290.3,25.8,D,0
45.6062,113.9048,326.9,1,1,2024-04-04,0554,Aqua,MODIS,49,61.03,293,20.8,D,0
45.6255,113.912,338.6,1,1,2024-04-04,0554,Aqua,MODIS,72,61.03,290.4,36.1,D,0
45.6324,113.8969,322.1,1,1,2024-04-04,0554,Aqua,MODIS,34,61.03,289.2,15.9,D,0
47.5933,115.3783,308.4,1,1,2024-04-05,1331,Terra,MODIS,74,61.03,274.8,13.4,N,0
47.5914,115.3652,312.7,1,1,2024-04-05,1331,Terra,MODIS,85,61.03,275,16.5,N,0
46.1681,115.2109,412.6,1.1,1,2024-04-06,0538,Aqua,MODIS,87,61.03,304.5,379.3,D,0
46.1772,115.2077,385.4,1.1,1,2024-04-06,0538,Aqua,MODIS,100,61.03,292.5,196.5,D,0
46.1748,115.194,381.6,1.1,1,2024-04-06,0538,Aqua,MODIS,100,61.03,298.7,177,D,0
46.1839,115.1907,340.7,1.1,1,2024-04-06,0538,Aqua,MODIS,80,61.03,282.2,45.2,D,0
46.1657,115.1973,362.7,1.1,1,2024-04-06,0538,Aqua,MODIS,94,61.03,295.4,100.5,D,0
45.7166,114.0552,303.7,1.8,1.3,2024-04-06,1411,Terra,MODIS,18,61.03,271.5,22.9,N,0
45.7283,114.0536,318.9,1.8,1.3,2024-04-06,1411,Terra,MODIS,98,61.03,272.4,50.6,N,0
45.7266,114.031,304.5,1.8,1.3,2024-04-06,1411,Terra,MODIS,58,61.03,270.9,24.9,N,0
45.7356,114.0471,306.6,1.8,1.3,2024-04-06,1411,Terra,MODIS,69,61.03,271.6,28.5,N,0
48.0356,112.4793,307.6,1.4,1.2,2024-04-07,0620,Aqua,MODIS,0,61.03,271.4,16.1,D,0
48.0962,108.6871,302,1,1,2024-04-07,0620,Aqua,MODIS,18,61.03,287.3,4.6,D,0
47.8098,117.8942,301.1,1.1,1,2024-04-08,0246,Terra,MODIS,25,61.03,284.7,4,D,0
47.8046,117.8812,300.5,1.2,1.1,2024-04-08,0523,Aqua,MODIS,0,61.03,286.1,2.9,D,0
49.0698,112.0394,300.2,4.8,2,2024-04-10,0406,Terra,MODIS,23,61.03,284.1,26.2,D,0
47.252,114.2263,312.1,2.8,1.6,2024-04-10,0507,Aqua,MODIS,64,61.03,295.5,20.9,D,0
49.2954,101.9427,300.1,3,1.6,2024-04-11,0549,Aqua,MODIS,0,61.03,279.4,23.5,D,0
47.2468,105.5515,319.4,1,1,2024-04-12,0629,Aqua,MODIS,74,61.03,299,13.5,D,0
50.4669,101.7652,303.3,1,1,2024-04-12,0630,Aqua,MODIS,20,61.03,288.7,3.7,D,0
45.9122,115.3148,318.6,1.1,1,2024-04-13,0253,Terra,MODIS,46,61.03,303.6,7.5,D,0
45.9144,115.3013,330.5,1.1,1,2024-04-13,0253,Terra,MODIS,82,61.03,304.6,22.6,D,0
45.9212,115.318,347.1,1.1,1,2024-04-13,0253,Terra,MODIS,93,61.03,306.7,53.2,D,0
45.9189,115.3316,324,1.1,1,2024-04-13,0253,Terra,MODIS,75,61.03,303.2,13.7,D,0
47.5366,107.9982,309.8,2.7,1.6,2024-04-13,0532,Aqua,MODIS,63,61.03,291.6,18.3,D,0
46.5697,114.2763,319.6,1.3,1.1,2024-04-14,0612,Aqua,MODIS,77,61.03,285,19.8,D,0
46.3768,113.9915,315.2,1.3,1.1,2024-04-14,0612,Aqua,MODIS,74,61.03,283.2,14.8,D,0
46.3787,114.0006,306.8,1.3,1.1,2024-04-14,0612,Aqua,MODIS,37,61.03,282.9,6.1,D,0
46.377,113.9844,311,1.3,1.1,2024-04-14,0612,Aqua,MODIS,67,61.03,282.9,10,D,0
46.5561,114.2446,319,1.3,1.1,2024-04-14,0612,Aqua,MODIS,36,61.03,284.6,16.9,D,0
46.5543,114.2277,347,1.3,1.1,2024-04-14,0612,Aqua,MODIS,94,61.03,286.7,76.8,D,0
46.133,108.9925,310,1,1,2024-04-14,0612,Aqua,MODIS,68,61.03,285.8,6.9,D,0
46.5532,114.2333,309.2,2.2,1.5,2024-04-15,0515,Aqua,MODIS,51,61.03,295.5,13.6,D,0
49.1871,113.1147,344,1,1,2024-04-16,0557,Aqua,MODIS,93,61.03,282.2,50.6,D,0
49.1852,113.1013,320.6,1,1,2024-04-16,0557,Aqua,MODIS,66,61.03,282.9,17.9,D,0
49.1959,113.1117,347.3,1,1,2024-04-16,0557,Aqua,MODIS,94,61.03,282.8,56.1,D,0
49.2425,113.0878,300.9,3.4,1.7,2024-04-16,1246,Terra,MODIS,35,61.03,276.8,49.8,N,0
47.6499,115.2329,321.5,1.6,1.2,2024-04-17,0218,Terra,MODIS,68,61.03,286,37.1,D,0
48.5867,115.8357,310.8,1.5,1.2,2024-04-17,0218,Terra,MODIS,70,61.03,290.4,14.1,D,0
47.6388,115.2309,343.9,1.6,1.2,2024-04-17,0218,Terra,MODIS,93,61.03,290.7,99.8,D,0
47.6278,115.229,356.3,1.6,1.2,2024-04-17,0218,Terra,MODIS,98,61.03,289.2,153.5,D,0
46.5523,114.2388,310.7,1.8,1.3,2024-04-17,0218,Terra,MODIS,59,61.03,293.4,12.7,D,0
47.1167,116.3333,308.3,1.5,1.2,2024-04-17,1832,Aqua,MODIS,74,61.03,269.1,25.8,N,0
47.5211,116.6161,314.6,1,1,2024-04-18,0540,Aqua,MODIS,51,61.03,301,5.2,D,0
50.042,113.7661,303,4.7,2,2024-04-18,1229,Terra,MODIS,25,61.03,265.7,96.1,N,0
50.0419,113.7586,300.9,4.7,2,2024-04-18,1229,Terra,MODIS,19,61.03,265.7,87.5,N,0
50.0514,113.8097,317.3,1.7,1.3,2024-04-18,1407,Terra,MODIS,45,61.03,268.3,42.7,N,0
50.0742,113.8045,321.3,1.7,1.3,2024-04-18,1407,Terra,MODIS,26,61.03,269.2,49.6,N,0
50.0812,113.8584,328,1,1,2024-04-18,1912,Aqua,MODIS,95,61.03,271.9,28.1,N,0
50.0791,113.8719,351.6,1,1,2024-04-18,1912,Aqua,MODIS,100,61.03,275.1,67.8,N,0
50.077,113.8855,362.9,1,1,2024-04-18,1912,Aqua,MODIS,100,61.03,277.9,97.8,N,0
