latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.8542,18.5788,301.1,1.9,1.3,2024-01-31,1245,Aqua,MODIS,45,61.03,286.5,13.6,D,0
42.8493,18.5854,301.3,1.9,1.3,2024-01-31,1245,Aqua,MODIS,46,61.03,286.5,13.7,D,0
42.564,19.9448,302.7,1,1,2024-02-04,1213,Aqua,MODIS,50,61.03,281.4,8,D,0
43.0343,18.8447,317.5,1,1,2024-02-04,1213,Aqua,MODIS,78,61.03,285.1,17.5,D,0
42.7939,19.2957,300.8,1,1,2024-02-04,1213,Aqua,MODIS,35,61.03,285.3,6,D,0
43.1281,18.8492,300.6,1,1,2024-02-04,1214,Aqua,MODIS,0,61.03,286.4,5.5,D,0
43.135,18.7725,302.7,1,1,2024-02-04,1214,Aqua,MODIS,53,61.03,286.2,7.8,D,0
43.1368,18.7844,306.8,1,1,2024-02-04,1214,Aqua,MODIS,64,61.03,285.9,10,D,0
42.5243,19.1468,316,1,1,2024-02-16,1217,Aqua,MODIS,76,61.03,291.4,13.9,D,0
42.5226,19.1348,321.6,1,1,2024-02-16,1217,Aqua,MODIS,81,61.03,291.7,19.2,D,0
42.5619,19.4744,309,1.2,1.1,2024-02-17,0918,Terra,MODIS,68,61.03,278.3,15.5,D,0
42.9757,18.9205,300.4,1.2,1.1,2024-02-18,1202,Aqua,MODIS,26,61.03,285.2,6.3,D,0
42.4834,18.9724,306.2,1.2,1.1,2024-02-18,1202,Aqua,MODIS,63,61.03,285.6,10.1,D,0
42.7064,19.836,304.4,1.1,1,2024-02-28,1221,Aqua,MODIS,41,61.03,279.7,7.8,D,0
43.0046,18.63,305.2,1.6,1.2,2024-03-21,1243,Aqua,MODIS,56,61.03,289.7,11.7,D,0
42.9532,18.6791,303.1,1.6,1.2,2024-03-21,1243,Aqua,MODIS,50,61.03,290.1,7.4,D,0
42.8155,19.1038,304.7,2.8,1.6,2024-03-23,0824,Terra,MODIS,60,61.03,286.8,28.6,D,0
42.8124,19.097,304.3,2.8,1.6,2024-03-23,0824,Terra,MODIS,56,61.03,286.8,26.7,D,0
42.9975,19.6176,303.3,1.1,1.1,2024-03-23,1227,Aqua,MODIS,20,61.03,290.9,4,D,0
42.8776,19.9495,308.2,1.2,1.1,2024-03-23,1227,Aqua,MODIS,63,61.03,291.4,8.1,D,0
43.2895,19.2327,305.6,1.1,1.1,2024-03-23,1227,Aqua,MODIS,36,61.03,292,7.7,D,0
43.1894,19.3161,329.7,1.1,1.1,2024-03-23,1227,Aqua,MODIS,86,61.03,292.1,32.4,D,0
43.191,19.3295,305,1.1,1.1,2024-03-23,1227,Aqua,MODIS,31,61.03,289.4,6,D,0
43.18,19.3181,312.2,1.1,1.1,2024-03-23,1227,Aqua,MODIS,71,61.03,290.1,11.6,D,0
43.1327,19.1419,302.8,1.1,1,2024-03-23,1227,Aqua,MODIS,41,61.03,289.5,4.6,D,0
43.0825,19.6355,309,1.1,1.1,2024-03-23,1227,Aqua,MODIS,65,61.03,293.7,8,D,0
43.0049,19.6715,306.6,1.1,1,2024-03-29,0910,Terra,MODIS,62,61.03,292.6,5.8,D,0
43.1308,19.7007,303.6,1.1,1,2024-03-29,0910,Terra,MODIS,46,61.03,292.1,4.3,D,0
43.1545,19.3768,300.9,3.2,1.7,2024-03-30,0950,Terra,MODIS,40,61.03,290.4,20.8,D,0
43.1637,19.3677,351.2,1,1,2024-03-30,1220,Aqua,MODIS,96,61.03,297.5,63.6,D,0
42.7439,19.7461,311.1,1,1,2024-03-30,1220,Aqua,MODIS,61,61.03,300.1,6.5,D,0
42.7456,19.7582,311.1,1,1,2024-03-30,1220,Aqua,MODIS,65,61.03,297.7,6.7,D,0
42.9291,19.1397,314,1,1,2024-03-30,1220,Aqua,MODIS,70,61.03,291.1,10.6,D,0
42.8319,19.9906,310,1,1,2024-03-30,1220,Aqua,MODIS,51,61.03,298.9,7.1,D,0
43.0426,19.9066,309,1,1,2024-03-30,1220,Aqua,MODIS,57,61.03,298.7,4.4,D,0
43.1565,19.3822,308.9,1,1,2024-03-30,1220,Aqua,MODIS,59,61.03,293.1,6.9,D,0
42.9293,18.7544,310.8,1,1,2024-03-30,1220,Aqua,MODIS,48,61.03,295.3,8.1,D,0
43.1549,19.37,314.5,1,1,2024-03-30,1220,Aqua,MODIS,71,61.03,299.9,11,D,0
43.1621,19.3556,347.3,1,1,2024-03-30,1220,Aqua,MODIS,94,61.03,300.4,55.2,D,0
43.1442,19.4228,316.4,1.1,1.1,2024-03-31,0853,Terra,MODIS,71,61.03,276.4,17.1,D,0
42.6251,19.9822,316.8,1.1,1,2024-03-31,0853,Terra,MODIS,77,61.03,293.1,14.2,D,0
42.9019,19.6904,306.1,1.1,1,2024-03-31,0853,Terra,MODIS,30,61.03,288.2,7.6,D,0
42.9876,19.6654,307,2.4,1.5,2024-04-01,2039,Terra,MODIS,50,61.03,284.2,36.2,N,0
43.2323,19.2659,307.2,2.3,1.5,2024-04-01,2039,Terra,MODIS,52,61.03,281.4,36.5,N,0
42.7138,19.5053,307.2,1,1,2024-04-05,0859,Terra,MODIS,63,61.03,292.4,6.6,D,0
42.9314,19.917,310.9,1,1,2024-04-06,1212,Aqua,MODIS,66,61.03,294.2,5.9,D,0
42.951,19.6187,314.9,1,1,2024-04-06,1213,Aqua,MODIS,72,61.03,292,9.9,D,0
