latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.7012,81.9017,315.6,1.1,1.1,2024-01-01,0821,Aqua,MODIS,47,61.03,302.3,14.1,D,0
29.6383,82.2882,311,1.2,1.1,2024-01-01,0821,Aqua,MODIS,53,61.03,292.7,13.7,D,0
28.7808,80.2039,310.5,1,1,2024-01-01,0821,Aqua,MODIS,70,61.03,291.6,9.4,D,0
28.7822,80.2139,303.9,1,1,2024-01-01,0821,Aqua,MODIS,58,61.03,291.6,5.1,D,0
28.7082,80.4103,322,1,1,2024-01-01,0821,Aqua,MODIS,81,61.03,295.7,18.5,D,0
28.3541,84.4152,302.8,1.4,1.2,2024-01-01,0821,Aqua,MODIS,47,61.03,290.3,6.9,D,0
29.7039,81.2232,304.6,1.1,1,2024-01-01,0821,Aqua,MODIS,58,61.03,285.1,6.9,D,0
29.8517,80.6164,312.2,1,1,2024-01-01,0821,Aqua,MODIS,62,61.03,296.5,13,D,0
28.3753,84.8636,304.6,3.1,1.7,2024-01-02,0724,Aqua,MODIS,39,61.03,278.9,45.6,D,0
26.5525,87.8217,313.6,1.3,1.1,2024-01-03,0805,Aqua,MODIS,68,61.03,297.6,11.1,D,0
30.0868,81.3429,307.6,1.1,1,2024-01-03,0806,Aqua,MODIS,50,61.03,282,12.6,D,0
29.3519,81.6649,301.1,1.1,1,2024-01-03,0806,Aqua,MODIS,30,61.03,287.8,7.7,D,0
30.0886,81.3538,309.9,1.1,1,2024-01-03,0806,Aqua,MODIS,52,61.03,286.2,14.8,D,0
29.7517,81.725,324.6,1,1,2024-01-05,0449,Terra,MODIS,83,61.03,288.8,25,D,0
29.8712,80.7042,300.4,1,1,2024-01-05,0449,Terra,MODIS,24,61.03,279.2,6.9,D,0
29.7532,81.7146,314.2,1,1,2024-01-05,0449,Terra,MODIS,74,61.03,289,15,D,0
29.9602,80.6618,307,1,1,2024-01-05,0449,Terra,MODIS,42,61.03,296.2,8.8,D,0
