latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.4951,4.6112,300.1,1,1,2024-01-27,2058,Terra,MODIS,16,61.03,270.9,8.4,N,2
52.4906,4.6115,303.3,1.2,1.1,2024-03-02,1032,Terra,MODIS,55,61.03,283.2,8.7,D,2
52.4901,4.6097,305.5,1.1,1,2024-03-02,1249,Aqua,MODIS,54,61.03,286.6,9.2,D,2
52.0138,4.5236,325.5,1.3,1.1,2024-03-07,1039,Terra,MODIS,0,61.03,281.2,39.1,D,2
52.4836,4.5891,303,1,1,2024-03-09,1021,Terra,MODIS,0,61.03,281.2,7,D,2
52.027,4.2208,308.3,1.3,1.1,2024-03-09,1243,Aqua,MODIS,67,61.03,285.4,12.6,D,2
51.9565,4.2378,300.3,1.3,1.1,2024-03-09,1243,Aqua,MODIS,35,61.03,283.6,6.1,D,2
52.0003,4.4081,305.4,1.3,1.1,2024-03-09,1243,Aqua,MODIS,58,61.03,284.1,10.5,D,0
52.0138,4.2052,304.4,1.1,1,2024-03-14,1028,Terra,MODIS,59,61.03,284,7.1,D,2
52.0113,4.2204,306.2,1.1,1,2024-03-14,1028,Terra,MODIS,63,61.03,285.2,8.4,D,2
52.4823,4.6009,307.5,1.1,1,2024-03-14,1028,Terra,MODIS,0,61.03,289.3,7.6,D,2
52.4303,5.9746,322.4,1,1,2024-03-14,1252,Aqua,MODIS,62,61.03,283.6,22.4,D,0
52.4325,5.9889,325.3,1,1,2024-03-14,1252,Aqua,MODIS,73,61.03,284.2,25.4,D,0
51.679,4.2903,302.2,1.2,1.1,2024-03-19,1034,Terra,MODIS,48,61.03,286.3,6.6,D,0
52.0161,4.1648,310,1.8,1.3,2024-04-04,1232,Aqua,MODIS,52,61.03,284.9,21.2,D,2
52.2369,4.5042,302.5,1.7,1.3,2024-04-04,1232,Aqua,MODIS,52,61.03,286.2,10.9,D,2
52.4829,4.5853,308.7,1,1,2024-04-07,1018,Terra,MODIS,0,61.03,290.6,6.5,D,2
52.7459,5.8875,303.1,1,1,2024-04-07,1018,Terra,MODIS,25,61.03,288.2,4.6,D,0
52.0118,4.2395,303.5,1,1,2024-04-07,1018,Terra,MODIS,35,61.03,288,4.5,D,2
51.8509,4.5597,315.4,1,1,2024-04-07,1018,Terra,MODIS,76,61.03,292.8,12,D,2
51.8488,4.5739,319,1,1,2024-04-07,1018,Terra,MODIS,79,61.03,290.9,15.4,D,2
51.4396,6.0324,303.5,1,1,2024-04-07,1256,Aqua,MODIS,48,61.03,287.7,4,D,0
52.3895,4.6363,316.1,1,1,2024-04-07,1256,Aqua,MODIS,76,61.03,294.9,12.2,D,2
52.4901,4.6168,308.6,1,1,2024-04-07,1257,Aqua,MODIS,61,61.03,295.7,6.5,D,2
52.739,7.0261,311.9,1.1,1,2024-04-09,1240,Aqua,MODIS,45,61.03,271.8,17.2,D,0
51.8897,4.1244,310.5,1,1,2024-04-12,1305,Aqua,MODIS,70,61.03,278.6,10.3,D,0
52.4954,4.6189,302.3,1,1,2024-04-14,1007,Terra,MODIS,51,61.03,280.4,6.6,D,2
52.4855,4.605,304.1,1.1,1.1,2024-04-14,1249,Aqua,MODIS,43,61.03,290.5,6.2,D,2
52.4826,4.5891,306.1,1.1,1.1,2024-04-14,1249,Aqua,MODIS,0,61.03,290.4,8.3,D,2
51.4707,4.7098,313.2,1,1,2024-04-24,1306,Aqua,MODIS,64,61.03,284.5,12.5,D,0
51.9879,4.1718,306.8,1,1,2024-04-24,1306,Aqua,MODIS,64,61.03,285.8,6.9,D,2
52.1295,5.0915,301.1,1,1,2024-04-24,1306,Aqua,MODIS,37,61.03,284.7,5,D,2
52.4941,4.6179,307.5,1.1,1,2024-04-26,1001,Terra,MODIS,47,61.03,291.3,8.4,D,2
52.4868,4.5992,303.1,1.1,1,2024-04-26,1001,Terra,MODIS,0,61.03,289.3,5.1,D,2
52.4917,4.6181,302.9,1,1,2024-04-28,2054,Terra,MODIS,52,61.03,281.1,9.1,N,2
52.4865,4.5911,305.9,1.1,1,2024-04-29,1024,Terra,MODIS,0,61.03,289.1,5.8,D,2
52.3747,5.6034,303.5,1.1,1.1,2024-04-29,1024,Terra,MODIS,0,61.03,290.1,5.2,D,0
51.2726,3.8623,303.4,1.1,1,2024-04-29,1024,Terra,MODIS,22,61.03,287.8,3.5,D,2
52.9769,6.9864,310.1,1,1,2024-05-01,1006,Terra,MODIS,52,61.03,297.4,4.7,D,2
52.4902,4.6209,309.6,1,1,2024-05-01,1007,Terra,MODIS,38,61.03,293,5.9,D,2
51.2678,3.8599,322,1.1,1,2024-05-01,1258,Aqua,MODIS,69,61.03,292.8,18.4,D,2
51.781,5.5344,321.6,1.1,1.1,2024-05-03,2100,Terra,MODIS,100,61.03,280.9,27.6,N,2
52.4829,4.594,304.5,1.1,1,2024-05-03,2100,Terra,MODIS,41,61.03,281.8,9.7,N,2
51.2465,3.8576,314.6,2.4,1.5,2024-05-05,1226,Aqua,MODIS,57,61.03,282.8,45.8,D,0
51.878,4.149,311.4,2.2,1.4,2024-05-05,1226,Aqua,MODIS,49,61.03,286.3,30.4,D,0
52.2715,4.5007,345.9,2,1.4,2024-05-05,1226,Aqua,MODIS,88,61.03,290,149.7,D,0
52.2648,4.473,318.6,2.1,1.4,2024-05-05,1226,Aqua,MODIS,53,61.03,289.7,42.5,D,2
52.4956,4.6149,308.3,1,1,2024-05-07,0237,Aqua,MODIS,74,61.03,282,12,N,2
52.0148,4.2671,313.1,2.1,1.4,2024-05-07,1053,Terra,MODIS,59,61.03,290.4,24.4,D,2
52.0097,4.2323,314,2,1.4,2024-05-07,1053,Terra,MODIS,41,61.03,290.6,24.8,D,2
52.0032,4.2598,311.6,2.1,1.4,2024-05-07,1053,Terra,MODIS,53,61.03,289.2,20.7,D,2
51.6726,4.8294,309.1,2.2,1.4,2024-05-07,1053,Terra,MODIS,68,61.03,290.9,22.9,D,0
51.6223,4.6956,309.9,2.2,1.4,2024-05-07,1053,Terra,MODIS,69,61.03,290.5,23.9,D,0
51.5793,4.5291,305.5,2.2,1.4,2024-05-07,1053,Terra,MODIS,62,61.03,290.2,15,D,2
51.5723,4.5579,303.4,2.2,1.4,2024-05-07,1053,Terra,MODIS,48,61.03,289.8,10.4,D,0
52.0213,4.2395,314,2,1.4,2024-05-07,1053,Terra,MODIS,50,61.03,290.1,25.6,D,2
53.0965,7.0235,307.8,1.3,1.1,2024-05-10,1234,Aqua,MODIS,66,61.03,288.6,8.4,D,2
51.8919,4.1361,326.2,1,1,2024-05-11,1314,Aqua,MODIS,82,61.03,290.4,20.6,D,0
51.89,4.1215,313.7,1,1,2024-05-11,1314,Aqua,MODIS,67,61.03,288.8,8.4,D,0
52.49,4.6061,312.3,1.1,1,2024-05-11,1315,Aqua,MODIS,0,61.03,299.7,6.5,D,2
51.4015,6.0587,326.2,2.3,1.5,2024-05-12,1217,Aqua,MODIS,82,61.03,297.6,68.5,D,0
51.4046,6.0641,322.6,2.3,1.5,2024-05-12,1217,Aqua,MODIS,79,61.03,297.5,54.5,D,0
51.3968,6.0331,310.9,2.3,1.5,2024-05-12,1217,Aqua,MODIS,59,61.03,296.5,19.6,D,2
51.4539,6.0962,311.1,2.3,1.5,2024-05-12,1217,Aqua,MODIS,62,61.03,294.7,20.9,D,0
52.4903,4.6056,302,1.2,1.1,2024-05-12,2031,Terra,MODIS,46,61.03,288.1,7,N,2
52.6366,6.7193,312.5,1,1,2024-05-13,1258,Aqua,MODIS,26,61.03,297.6,3.7,D,0
51.2713,3.8676,310.9,1.1,1,2024-05-13,1258,Aqua,MODIS,37,61.03,294.2,6.6,D,2
52.4889,4.6089,315.9,1,1,2024-05-13,1258,Aqua,MODIS,54,61.03,296.4,12,D,2
52.4847,4.5984,300.2,1.4,1.2,2024-05-13,2111,Terra,MODIS,20,61.03,287.5,7,N,2
