latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-22.3103,166.7169,339.8,1,1,2024-01-01,0311,Aqua,MODIS,78,61.03,302.4,31.8,D,0
-22.3179,166.7281,387.9,1,1,2024-01-01,0311,Aqua,MODIS,100,61.03,309.5,186.4,D,0
-22.3194,166.7182,353.7,1,1,2024-01-01,0311,Aqua,MODIS,91,61.03,303.2,60.5,D,0
-22.3073,166.7369,333.1,1,1,2024-01-01,0311,Aqua,MODIS,76,61.03,301,22,D,0
-22.3088,166.7269,370.7,1,1,2024-01-01,0311,Aqua,MODIS,100,61.03,306.1,112.2,D,0
-21.0168,164.6824,323.5,1,1,2024-01-01,1111,Terra,MODIS,100,61.03,294.3,17.7,N,3
-20.3852,164.4348,315.1,1,1,2024-01-02,1446,Aqua,MODIS,87,61.03,294.8,12.3,N,0
-20.3941,164.4333,306.9,1,1,2024-01-02,1446,Aqua,MODIS,49,61.03,294,6.5,N,0
-21.0144,164.692,344,1,1,2024-01-02,1446,Aqua,MODIS,100,61.03,296.7,49.2,N,2
-20.3933,164.4347,323.4,1,1,2024-01-02,2245,Terra,MODIS,76,61.03,301.3,10.2,D,0
-21.019,164.6829,364.4,1,1,2024-01-02,2245,Terra,MODIS,100,61.03,301.1,93.8,D,3
-21.0192,164.6785,326.7,2.8,1.6,2024-01-05,1037,Terra,MODIS,100,61.03,292.2,103.7,N,3
-21.0165,164.6717,320.8,2.8,1.6,2024-01-05,1037,Terra,MODIS,100,61.03,292.3,75,N,3
-21.0177,164.7029,305.3,2,1.4,2024-01-05,1512,Aqua,MODIS,28,61.03,292.8,15.2,N,2
-21.0136,164.6917,316,2,1.4,2024-01-05,1512,Aqua,MODIS,90,61.03,293.5,37,N,2
-21.0128,164.6894,322.7,1.9,1.4,2024-01-05,2308,Terra,MODIS,0,61.03,298.3,33.9,D,2
-20.6663,164.3942,325.5,1.1,1,2024-01-06,0322,Aqua,MODIS,54,61.03,305,13.5,D,0
-21.0194,164.6848,328.2,1.1,1,2024-01-06,1117,Terra,MODIS,100,61.03,295.3,26.2,N,3
-21.0109,164.6857,321.2,1.1,1.1,2024-01-07,1457,Aqua,MODIS,100,61.03,284.8,22.8,N,2
-21.0123,164.6965,313.1,1.1,1.1,2024-01-07,1457,Aqua,MODIS,86,61.03,290.1,13.9,N,2
-21.018,164.6941,329.5,1.1,1,2024-01-07,2251,Terra,MODIS,62,61.03,294.7,25.3,D,2
-21.0163,164.6966,303.5,1.1,1,2024-01-09,1441,Aqua,MODIS,56,61.03,292,5.7,N,2
-21.014,164.6968,340,1.8,1.3,2024-01-11,1426,Aqua,MODIS,100,61.03,294.9,98.5,N,2
-21.0105,164.6919,348.7,1.8,1.3,2024-01-11,1426,Aqua,MODIS,100,61.03,295.3,136,N,2
-20.1836,164.102,315.2,2.5,1.5,2024-01-11,2217,Terra,MODIS,38,61.03,295.8,23.3,D,0
-21.6853,166.1419,316.7,1.7,1.3,2024-01-12,2258,Terra,MODIS,53,61.03,294.1,17.2,D,0
-21.6864,166.1471,312.7,1.7,1.3,2024-01-12,2258,Terra,MODIS,32,61.03,293.9,11.8,D,0
-21.0164,164.6842,335.4,1,1,2024-01-18,1114,Terra,MODIS,100,61.03,294.8,34.6,N,3
-21.0123,164.6949,313.2,2.2,1.5,2024-01-18,1421,Aqua,MODIS,81,61.03,292.6,36,N,2
-21.0147,164.6895,358.6,1,1,2024-01-19,2248,Terra,MODIS,0,61.03,301,77.1,D,2
-21.0156,164.6779,320.4,1.2,1.1,2024-01-20,1057,Terra,MODIS,100,61.03,296.7,19.1,N,3
-21.0112,164.6977,314.6,1.9,1.3,2024-01-24,1512,Aqua,MODIS,86,61.03,289.6,31,N,2
-21.0117,164.6887,307.8,1.1,1,2024-01-26,1457,Aqua,MODIS,72,61.03,289.5,8.4,N,2
-21.0125,164.6918,316.6,1.1,1,2024-01-26,2237,Terra,MODIS,0,61.03,302.5,8.2,D,2
-21.286,165.2149,317.6,1.1,1,2024-01-27,0306,Aqua,MODIS,47,61.03,302.3,7.4,D,0
-21.2874,165.2047,323.4,1.1,1,2024-01-27,0306,Aqua,MODIS,76,61.03,302.5,14.2,D,0
-21.7162,165.7045,344,1,1,2024-01-27,0306,Aqua,MODIS,70,61.03,308.9,41.2,D,0
-21.7176,165.6945,323,1,1,2024-01-27,0306,Aqua,MODIS,57,61.03,303.7,10,D,0
-21.7071,165.703,330.9,1,1,2024-01-27,0306,Aqua,MODIS,83,61.03,308.3,20.2,D,0
-21.7085,165.6931,328.9,1,1,2024-01-27,0306,Aqua,MODIS,82,61.03,307.6,17.4,D,0
-21.5905,165.8101,323,1,1,2024-01-27,0306,Aqua,MODIS,74,61.03,301.2,15.9,D,0
-21.7166,165.6907,335,1.6,1.2,2024-01-27,1046,Terra,MODIS,100,61.03,291.2,69.5,N,0
-21.0187,164.6985,305.9,1.5,1.2,2024-01-31,1507,Aqua,MODIS,39,61.03,291,10.1,N,2
-20.707,164.4718,319.4,1,1,2024-01-31,2243,Terra,MODIS,44,61.03,300.4,8.7,D,0
-21.0143,164.6844,313,1,1,2024-01-31,2243,Terra,MODIS,0,61.03,288.7,5.8,D,2
-21.7039,165.5889,316.1,1,1,2024-01-31,2244,Terra,MODIS,33,61.03,298.1,9.7,D,0
-22.121,166.4159,307.8,1,1,2024-02-09,1446,Aqua,MODIS,57,61.03,285,8.4,N,0
-21.0121,164.6982,306,1.6,1.3,2024-02-11,1430,Aqua,MODIS,41,61.03,291.9,12.4,N,2
-21.0104,164.6925,333.1,1,1,2024-02-14,1455,Aqua,MODIS,100,61.03,294.7,33.1,N,2
-21.3969,165.8141,315.3,1.1,1,2024-02-15,0305,Aqua,MODIS,53,61.03,297.7,5.4,D,0
-22.1176,166.4095,315.3,1.7,1.3,2024-02-17,0249,Aqua,MODIS,36,61.03,302,12.7,D,0
-22.1258,166.4157,324.2,1.7,1.3,2024-02-17,0249,Aqua,MODIS,77,61.03,304.5,30.9,D,0
-22.1277,166.3995,335.2,1.7,1.3,2024-02-17,0249,Aqua,MODIS,87,61.03,302.8,60,D,0
-22.1196,166.3931,316.7,1.7,1.3,2024-02-17,0249,Aqua,MODIS,48,61.03,301.2,14.1,D,0
-21.3351,165.0599,305,2.4,1.5,2024-02-20,1037,Terra,MODIS,7,61.03,292.9,18.1,N,0
-21.0143,164.6891,313.3,1.1,1.1,2024-02-22,2252,Terra,MODIS,0,61.03,298.6,8.8,D,2
-22.1182,166.3668,324.1,1,1,2024-04-03,0316,Aqua,MODIS,58,61.03,301.1,16.8,D,0
-21.5894,165.654,311.6,2.1,1.4,2024-04-18,0342,Aqua,MODIS,50,61.03,291.7,21.9,D,0
-20.9808,164.9893,311.4,1.1,1.1,2024-05-04,0310,Aqua,MODIS,48,61.03,294.6,10.5,D,0
-22.2564,166.4523,314.1,1.2,1.1,2024-05-14,0326,Aqua,MODIS,57,61.03,293.3,12.2,D,2
-22.2318,166.4824,327,1.2,1.1,2024-05-14,0326,Aqua,MODIS,61,61.03,294.3,30,D,2
-20.3175,164.4999,318.1,1,1,2024-05-14,0327,Aqua,MODIS,69,61.03,298.2,12.8,D,0
-22.2217,166.4779,307.6,1.3,1.1,2024-05-15,1041,Terra,MODIS,55,61.03,290.7,12.4,N,2
-22.2543,166.4516,335.6,1.1,1,2024-05-16,0310,Aqua,MODIS,82,61.03,298.9,33.6,D,2
-21.8576,166.0287,322.6,1.1,1,2024-05-26,0325,Aqua,MODIS,75,61.03,297.6,18.4,D,0
-22.094,166.2039,313.7,1.4,1.2,2024-05-31,0333,Aqua,MODIS,15,61.03,299.6,10.9,D,0
-22.0879,166.1972,312.6,1.4,1.2,2024-05-31,0333,Aqua,MODIS,44,61.03,300.1,9.7,D,0
-20.9046,165.2896,302.4,1,1,2024-06-16,1056,Terra,MODIS,49,61.03,289.9,5.8,N,0
-20.5511,164.255,315.8,1,1,2024-06-19,0322,Aqua,MODIS,0,61.03,300.2,10.7,D,0
-20.4111,164.4621,316.4,1,1,2024-06-19,0322,Aqua,MODIS,66,61.03,299.3,10.2,D,0
-20.5427,164.5098,310,1,1,2024-06-19,0322,Aqua,MODIS,12,61.03,296.2,6.9,D,0
-20.4391,164.4734,310.2,1.6,1.3,2024-06-21,0305,Aqua,MODIS,7,61.03,296.7,11.7,D,0
-20.5258,164.5077,310.8,1.6,1.3,2024-06-21,0305,Aqua,MODIS,43,61.03,297.5,13,D,0
-20.6751,164.4767,311.9,1.7,1.3,2024-06-25,2257,Terra,MODIS,51,61.03,295.4,18.3,D,0
-21.1981,165.1277,343,1.2,1.1,2024-06-26,0312,Aqua,MODIS,92,61.03,296.3,60.5,D,0
-21.3505,165.1416,311.5,1.1,1,2024-06-27,2240,Terra,MODIS,62,61.03,292.3,10.4,D,0
-21.3519,165.1519,304.7,1.1,1,2024-06-27,2240,Terra,MODIS,46,61.03,292.6,5.1,D,0
-21.6786,166.1529,302.9,1.4,1.2,2024-07-04,1437,Aqua,MODIS,52,61.03,289.4,10.7,N,0
-20.4195,164.5755,310.9,2.7,1.6,2024-07-27,0256,Aqua,MODIS,42,61.03,292,39.7,D,0
-20.4488,164.4233,327.8,1.1,1.1,2024-07-28,0336,Aqua,MODIS,81,61.03,298.6,25.2,D,0
-20.4505,164.4126,310.8,1.1,1.1,2024-07-28,0336,Aqua,MODIS,43,61.03,297.5,6.3,D,0
-20.7576,165.1125,320.7,1,1,2024-08-04,0326,Aqua,MODIS,63,61.03,296.6,16.6,D,0
-20.759,165.1031,314.4,1,1,2024-08-04,0326,Aqua,MODIS,58,61.03,296.6,11,D,0
-20.4072,164.4191,326.3,2.3,1.5,2024-08-08,2301,Terra,MODIS,79,61.03,295.4,69.3,D,0
-20.4007,164.423,312.9,1.1,1.1,2024-08-14,0338,Aqua,MODIS,56,61.03,297.6,6.5,D,0
-20.4932,164.4786,312.5,1.1,1.1,2024-08-14,0338,Aqua,MODIS,54,61.03,299.1,7.2,D,0
-20.4495,164.4208,314,1.1,1.1,2024-08-14,0338,Aqua,MODIS,60,61.03,299.6,8.3,D,0
-20.2671,164.3998,314.1,1.1,1,2024-08-15,1512,Aqua,MODIS,84,61.03,291,15.2,N,0
-20.8717,164.6721,312.5,1.4,1.2,2024-08-15,2248,Terra,MODIS,55,61.03,296.6,11.7,D,0
-20.2666,164.3958,320.2,1.1,1,2024-08-16,0321,Aqua,MODIS,63,61.03,299.1,15.6,D,0
-20.8219,164.4569,316.2,1,1,2024-08-17,2230,Terra,MODIS,56,61.03,299,8.7,D,0
-20.7029,164.5004,324.5,1,1,2024-08-21,0327,Aqua,MODIS,78,61.03,303,16.3,D,0
-21.6716,166.0787,310.7,1.3,1.1,2024-08-23,0309,Aqua,MODIS,43,61.03,294,11.6,D,0
-21.8229,165.8546,333.6,1.4,1.2,2024-08-23,0309,Aqua,MODIS,86,61.03,300.8,45.9,D,0
