latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-41.1278,175.0686,306,1.5,1.2,2024-01-01,2209,Terra,MODIS,17,61.03,290.5,8.7,D,2
-44.3517,171.2429,306.3,1.1,1.1,2024-01-01,2210,Terra,MODIS,0,61.03,291.3,4.6,D,2
-35.5175,173.3604,311.6,1.1,1,2024-01-03,2151,Terra,MODIS,0,61.03,299.2,9.5,D,2
-36.9835,174.7881,315.5,1.6,1.2,2024-01-06,2215,Terra,MODIS,48,61.03,297.5,15.9,D,2
-39.034,174.1628,312.3,1.6,1.2,2024-01-06,2216,Terra,MODIS,21,61.03,299,11.7,D,0
-43.5433,172.6397,316.4,1.5,1.2,2024-01-06,2217,Terra,MODIS,66,61.03,298.4,10,D,2
-43.5833,172.376,313.3,1.4,1.2,2024-01-06,2217,Terra,MODIS,49,61.03,296.7,9,D,0
-39.1417,174.6719,307,1.9,1.3,2024-01-07,0220,Aqua,MODIS,62,61.03,296.6,13.1,D,0
-36.4791,174.1725,317.4,1,1,2024-01-08,2158,Terra,MODIS,0,61.03,304.8,11.1,D,0
-40.8871,175.0292,311.1,1.1,1.1,2024-01-08,2159,Terra,MODIS,49,61.03,292.8,6.9,D,0
-37.9417,178.2242,314.9,1,1,2024-01-10,2141,Terra,MODIS,62,61.03,297.9,9.8,D,0
-38.9965,176.8894,303.6,1,1,2024-01-10,2142,Terra,MODIS,0,61.03,289.8,2.9,D,0
-35.66,174.3612,315.6,1.1,1,2024-01-13,2204,Terra,MODIS,72,61.03,297.9,11.5,D,0
-35.6616,174.3733,314.9,1.1,1,2024-01-13,2204,Terra,MODIS,72,61.03,297.9,10.6,D,0
-38.1642,174.717,316.6,1.2,1.1,2024-01-13,2205,Terra,MODIS,0,61.03,302.6,12.8,D,0
-35.664,174.3629,316.5,2.2,1.4,2024-01-14,0216,Aqua,MODIS,59,61.03,294.7,32.3,D,0
-35.6649,174.356,313.4,2.2,1.4,2024-01-14,0216,Aqua,MODIS,50,61.03,294.8,26.9,D,0
-38.0428,175.195,317.2,1,1,2024-01-15,2148,Terra,MODIS,76,61.03,293.6,11.2,D,0
-36.4483,174.1794,310.1,1.6,1.2,2024-01-19,0226,Aqua,MODIS,0,61.03,295.7,13.4,D,2
-43.4384,172.5174,349.2,1,1,2024-01-20,0305,Aqua,MODIS,95,61.03,310.6,51.1,D,2
-45.8637,169.3786,313.5,1.7,1.3,2024-01-22,0249,Aqua,MODIS,53,61.03,297.6,16.9,D,0
-45.8503,169.3989,312.5,1.7,1.3,2024-01-22,0249,Aqua,MODIS,32,61.03,297.9,14.9,D,0
-35.2507,173.8273,305,1,1,2024-01-25,2200,Terra,MODIS,52,61.03,288.8,4.7,D,0
-40.0246,175.4248,320.9,1.3,1.1,2024-01-25,2201,Terra,MODIS,80,61.03,287.6,24.5,D,0
-40.0236,175.4192,313.7,1.3,1.1,2024-01-25,2201,Terra,MODIS,73,61.03,286.3,15.9,D,0
-40.0252,175.4338,310.7,1.3,1.1,2024-01-25,2201,Terra,MODIS,60,61.03,288.3,12.6,D,0
-42.8908,173.1668,336.4,1,1,2024-01-27,0300,Aqua,MODIS,88,61.03,310.7,28.9,D,0
-44.4041,171.1106,310.3,1.6,1.2,2024-01-29,0244,Aqua,MODIS,63,61.03,299.2,9.6,D,0
-36.9852,174.7813,316.5,1.3,1.1,2024-01-30,2207,Terra,MODIS,33,61.03,300.7,7.4,D,0
-41.6712,174.1125,321.4,1.4,1.2,2024-01-30,2208,Terra,MODIS,80,61.03,298.2,21.9,D,0
-41.6729,174.1292,316.7,1.4,1.2,2024-01-30,2208,Terra,MODIS,76,61.03,298.4,15.1,D,0
-35.9333,173.789,306.9,1,1,2024-02-01,1048,Terra,MODIS,70,61.03,286.6,9.5,N,0
-35.935,173.7777,307.6,1,1,2024-02-01,1048,Terra,MODIS,72,61.03,286.8,9.8,N,0
-43.4575,172.2175,311.9,1.2,1.1,2024-02-04,1110,Terra,MODIS,84,61.03,287.9,14.6,N,0
-43.4599,172.2033,305.4,1.2,1.1,2024-02-04,1110,Terra,MODIS,34,61.03,287.4,9,N,0
-43.448,172.2144,309.2,1.2,1.1,2024-02-04,1110,Terra,MODIS,77,61.03,287,12.8,N,0
-43.4504,172.2002,321.8,1.2,1.1,2024-02-04,1110,Terra,MODIS,100,61.03,288.4,26.1,N,0
-45.3971,168.6649,336.5,3.4,1.7,2024-02-05,2256,Terra,MODIS,88,61.03,285.2,230.4,D,0
-45.3907,168.6595,347.1,3.4,1.7,2024-02-05,2256,Terra,MODIS,94,61.03,285.3,339,D,0
-44.2803,171.0184,317.6,1,1,2024-02-08,0304,Aqua,MODIS,67,61.03,298.3,10.9,D,0
-43.4352,170.4102,302.3,1.3,1.1,2024-02-11,0330,Aqua,MODIS,9,61.03,290,5.7,D,0
