latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.7915,-83.7101,309.7,1.2,1.1,2024-01-05,1917,Aqua,MODIS,49,61.03,296.7,6.2,D,0
12.2269,-86.0243,358.3,1.6,1.3,2024-01-05,1917,Aqua,MODIS,99,61.03,305.6,149.7,D,0
10.7898,-83.721,311.6,1.2,1.1,2024-01-05,1917,Aqua,MODIS,58,61.03,296.6,8.2,D,0
14.22,-83.6182,312.5,1.1,1,2024-01-05,1918,Aqua,MODIS,52,61.03,297.4,7.2,D,0
14.2045,-83.5952,312.7,1.1,1,2024-01-05,1918,Aqua,MODIS,51,61.03,297.8,6.8,D,0
12.5181,-87.0473,314.8,1.5,1.2,2024-01-07,1607,Terra,MODIS,59,61.03,304.2,10.6,D,0
14.7416,-83.6822,309,1.9,1.4,2024-01-07,1902,Aqua,MODIS,52,61.03,296,11.4,D,0
13.6431,-83.9958,310,2.1,1.4,2024-01-07,1902,Aqua,MODIS,51,61.03,294.8,16.5,D,0
12.3353,-86.9274,317.3,1,1,2024-01-09,1550,Terra,MODIS,65,61.03,297.8,8.6,D,0
13.9866,-84.1816,312.4,1,1,2024-01-10,1928,Aqua,MODIS,63,61.03,299,4.5,D,0
12.5819,-86.9445,326,1.5,1.2,2024-01-11,1533,Terra,MODIS,79,61.03,302,27.9,D,0
12.6033,-87.1636,306,2,1.4,2024-01-12,0400,Terra,MODIS,66,61.03,294.2,16.4,N,0
12.6066,-87.1705,342.3,2,1.4,2024-01-12,0400,Terra,MODIS,100,61.03,294.8,129.9,N,0
12.6045,-87.1886,318.9,2,1.4,2024-01-12,0400,Terra,MODIS,98,61.03,293.9,44.2,N,0
12.601,-87.1817,307.5,2,1.4,2024-01-12,0400,Terra,MODIS,72,61.03,294.1,19.1,N,0
12.1487,-85.9813,318.2,2.1,1.4,2024-01-12,1912,Aqua,MODIS,62,61.03,297.8,25.7,D,0
14.0824,-84.5697,309.6,1.5,1.2,2024-01-12,1913,Aqua,MODIS,53,61.03,297.5,8.7,D,0
12.6656,-87.1928,321.1,1.3,1.1,2024-01-13,1954,Aqua,MODIS,54,61.03,303.2,13,D,0
12.9861,-87.1391,341,1,1,2024-01-15,1938,Aqua,MODIS,84,61.03,311.9,33.5,D,0
14.0315,-85.5688,321.4,1,1,2024-01-15,1938,Aqua,MODIS,71,61.03,298.4,15,D,0
12.7252,-87.089,327.9,1,1,2024-01-15,1938,Aqua,MODIS,63,61.03,315.9,12.4,D,0
13.9487,-85.7041,315.8,1,1,2024-01-15,1938,Aqua,MODIS,46,61.03,298.7,9.2,D,0
12.7239,-87.0981,328.8,1,1,2024-01-15,1938,Aqua,MODIS,63,61.03,313.5,12.3,D,0
12.6842,-87.2655,319.6,2.6,1.5,2024-01-17,1620,Terra,MODIS,75,61.03,298.2,39.9,D,0
12.6881,-87.2883,322.7,2.6,1.5,2024-01-17,1620,Terra,MODIS,78,61.03,298.4,50.9,D,0
13.9093,-83.6205,311.9,1,1,2024-01-17,1923,Aqua,MODIS,60,61.03,299.9,5.4,D,0
12.5672,-86.8875,319.6,2,1.4,2024-01-18,2004,Aqua,MODIS,48,61.03,302,17.5,D,0
14.364,-83.475,311,2.2,1.4,2024-01-19,1603,Terra,MODIS,66,61.03,297.2,16.5,D,0
14.368,-83.4891,310.7,2.2,1.4,2024-01-19,1603,Terra,MODIS,65,61.03,297.4,14.5,D,0
11.9957,-85.3865,315.7,2.4,1.5,2024-01-19,1907,Aqua,MODIS,70,61.03,299.4,21.5,D,0
11.9919,-85.4082,314.6,2.4,1.5,2024-01-19,1907,Aqua,MODIS,66,61.03,299.2,19,D,0
12.3407,-86.8043,308.5,1,1,2024-01-21,0333,Terra,MODIS,64,61.03,286.8,8.4,N,0
12.6959,-86.7964,318.6,1,1,2024-01-21,1546,Terra,MODIS,63,61.03,304.8,8.2,D,0
12.4124,-85.984,318.2,1,1,2024-01-21,1546,Terra,MODIS,71,61.03,298.9,10.7,D,0
12.8278,-86.866,320.4,1.1,1,2024-01-22,1933,Aqua,MODIS,66,61.03,304.8,8.3,D,0
12.1832,-86.3637,320.6,1.1,1,2024-01-22,1933,Aqua,MODIS,42,61.03,306.1,7.2,D,0
12.1818,-86.3732,327.4,1.1,1,2024-01-22,1933,Aqua,MODIS,77,61.03,307.7,15.2,D,0
12.6975,-86.8093,322.9,1.1,1,2024-01-22,1933,Aqua,MODIS,66,61.03,304.8,10.7,D,0
12.696,-86.8191,334.1,1.1,1,2024-01-22,1933,Aqua,MODIS,85,61.03,307.2,26.5,D,0
12.9881,-87.1354,322.8,1.1,1.1,2024-01-22,1933,Aqua,MODIS,64,61.03,307.6,10.3,D,0
11.5869,-85.8847,322.2,1.5,1.2,2024-01-23,0316,Terra,MODIS,100,61.03,294.8,30.3,N,0
11.5938,-85.8786,308.1,1.5,1.2,2024-01-23,0316,Terra,MODIS,74,61.03,294.9,9.7,N,0
11.5918,-85.8916,319.4,1.5,1.2,2024-01-23,0316,Terra,MODIS,99,61.03,294.9,25.9,N,0
11.9039,-86.5876,329.8,1.1,1,2024-01-23,0747,Aqua,MODIS,100,61.03,296.6,29.9,N,0
12.5471,-87.0953,325,3.1,1.7,2024-01-23,2014,Aqua,MODIS,78,61.03,300.2,71.3,D,0
12.5112,-87.0537,302.8,2.9,1.6,2024-01-24,0828,Aqua,MODIS,51,61.03,291.5,24.7,N,0
12.5053,-87.0351,302.1,2.9,1.6,2024-01-24,0828,Aqua,MODIS,47,61.03,291.4,22.7,N,0
12.7559,-86.864,304.1,2.1,1.4,2024-01-25,0731,Aqua,MODIS,59,61.03,292.5,13.3,N,0
12.4233,-87.0531,305.5,1.5,1.2,2024-01-26,0812,Aqua,MODIS,64,61.03,294.5,10,N,0
12.8282,-86.9346,315.2,1,1,2024-01-26,1553,Terra,MODIS,45,61.03,303.4,4.8,D,0
13.623,-83.6041,326.4,1.5,1.2,2024-01-27,1943,Aqua,MODIS,0,61.03,301.1,32,D,0
12.7906,-87.1996,325.9,1,1,2024-01-27,1943,Aqua,MODIS,75,61.03,305.4,12.9,D,0
12.7282,-87.2248,315.8,1.3,1.1,2024-01-28,0322,Terra,MODIS,92,61.03,294.1,19.2,N,0
12.6912,-87.1727,335.5,1.4,1.2,2024-01-28,1536,Terra,MODIS,86,61.03,305.6,44.6,D,0
14.2363,-83.3309,310.4,4.1,1.9,2024-01-29,1616,Terra,MODIS,48,61.03,295.1,45,D,0
14.231,-83.3384,311.2,4.1,1.9,2024-01-29,1616,Terra,MODIS,58,61.03,295.1,49,D,0
12.3281,-86.8408,324,1.3,1.1,2024-01-29,1927,Aqua,MODIS,73,61.03,304.8,13.8,D,0
12.7166,-86.2718,323.2,1.2,1.1,2024-01-29,1927,Aqua,MODIS,74,61.03,305,14,D,0
12.7183,-86.2606,318.2,1.2,1.1,2024-01-29,1927,Aqua,MODIS,52,61.03,304.5,7.8,D,0
12.3262,-86.8528,330.8,1.3,1.1,2024-01-29,1927,Aqua,MODIS,81,61.03,304.8,26.1,D,0
14.233,-83.3623,318.2,1,1,2024-01-29,1928,Aqua,MODIS,71,61.03,303.3,7.2,D,0
13.6965,-83.946,316.5,1,1,2024-01-29,1928,Aqua,MODIS,56,61.03,303.4,7.1,D,0
14.3817,-83.6121,312.1,1,1,2024-01-29,1928,Aqua,MODIS,38,61.03,299,4.4,D,0
11.6055,-85.9092,303.8,2.3,1.5,2024-01-30,0305,Terra,MODIS,57,61.03,291.8,13.3,N,0
12.3617,-86.7933,320.8,1.2,1.1,2024-01-31,1559,Terra,MODIS,59,61.03,305.4,9.8,D,0
12.7771,-87.0268,336.6,1.2,1.1,2024-01-31,1559,Terra,MODIS,87,61.03,304.5,33.1,D,0
11.2907,-85.8156,312.3,2.3,1.5,2024-01-31,1911,Aqua,MODIS,43,61.03,296.9,19.5,D,0
12.8926,-86.1657,320.1,1.4,1.2,2024-02-01,1953,Aqua,MODIS,60,61.03,301.7,15.8,D,0
12.2443,-86.6769,325,1.3,1.1,2024-02-01,1953,Aqua,MODIS,75,61.03,307.1,14.7,D,0
12.244,-86.67,327.6,1.3,1.1,2024-02-01,1953,Aqua,MODIS,78,61.03,306.2,17.4,D,0
12.0739,-85.4068,315.9,1,1,2024-02-02,1542,Terra,MODIS,67,61.03,302.6,6.3,D,0
12.8233,-87.1182,324.9,1.1,1.1,2024-02-02,1542,Terra,MODIS,71,61.03,302.8,18.4,D,0
12.8143,-87.0017,320.5,1.1,1,2024-02-02,1542,Terra,MODIS,60,61.03,303.1,11.6,D,0
12.8193,-87.4031,324,1.1,1,2024-02-03,1937,Aqua,MODIS,36,61.03,307.1,9.8,D,0
12.8221,-87.3841,333.1,1.1,1,2024-02-03,1937,Aqua,MODIS,81,61.03,305.6,21.7,D,0
11.6813,-85.0938,314.6,1,1,2024-02-03,1937,Aqua,MODIS,49,61.03,300.7,5.2,D,0
12.8207,-87.3936,367,1.1,1,2024-02-03,1937,Aqua,MODIS,100,61.03,310.3,101.4,D,0
14.6641,-83.8966,353.7,1.2,1.1,2024-02-03,1938,Aqua,MODIS,97,61.03,300.3,78.9,D,0
14.9251,-83.3111,315.8,1.3,1.1,2024-02-03,1938,Aqua,MODIS,58,61.03,297.3,11.8,D,0
14.8039,-83.6787,315.9,1.2,1.1,2024-02-03,1938,Aqua,MODIS,42,61.03,297.7,9.4,D,0
14.8113,-83.6234,326.3,1.2,1.1,2024-02-03,1938,Aqua,MODIS,80,61.03,298.1,22.9,D,0
12.8298,-87.3951,326.6,1.1,1,2024-02-03,1938,Aqua,MODIS,45,61.03,307.1,13.9,D,0
13.3808,-83.7974,318.8,1.1,1.1,2024-02-03,1938,Aqua,MODIS,66,61.03,298.8,11.4,D,0
13.3794,-83.8078,321,1.1,1.1,2024-02-03,1938,Aqua,MODIS,73,61.03,298.7,14,D,0
13.4022,-84.0621,319.6,1.1,1.1,2024-02-03,1938,Aqua,MODIS,71,61.03,300.7,10.8,D,0
13.665,-84.0144,320.1,1.1,1.1,2024-02-03,1938,Aqua,MODIS,71,61.03,300.1,11.3,D,0
13.7095,-84.567,317.7,1.1,1,2024-02-03,1938,Aqua,MODIS,44,61.03,299.8,9.8,D,0
14.0717,-83.435,315.9,1.2,1.1,2024-02-03,1938,Aqua,MODIS,65,61.03,300.5,8.5,D,0
13.8005,-86.1348,320.6,1,1,2024-02-03,1938,Aqua,MODIS,72,61.03,303.1,10.7,D,0
14.6626,-83.9072,326.8,1.2,1.1,2024-02-03,1938,Aqua,MODIS,80,61.03,296.2,21.3,D,0
14.6619,-83.9065,324.5,1.1,1.1,2024-02-04,0312,Terra,MODIS,100,61.03,294,25.7,N,0
14.6525,-83.9049,310.6,1.1,1.1,2024-02-04,0312,Terra,MODIS,80,61.03,293.8,10.3,N,0
14.6634,-83.8961,304.4,1.1,1.1,2024-02-04,0312,Terra,MODIS,60,61.03,293.7,5.4,N,0
14.6596,-83.9059,306.4,1,1,2024-02-04,0751,Aqua,MODIS,66,61.03,293.6,7.1,N,0
14.6687,-83.9044,306.2,1,1,2024-02-04,0751,Aqua,MODIS,67,61.03,293.8,7,N,0
14.6569,-83.9066,315.8,1.3,1.1,2024-02-04,1524,Terra,MODIS,69,61.03,298.7,12.5,D,0
12.4968,-87.0628,323.5,1.5,1.2,2024-02-05,0352,Terra,MODIS,100,61.03,272,42.1,N,0
11.4115,-83.9242,313.5,1.1,1.1,2024-02-05,1921,Aqua,MODIS,57,61.03,298.8,7.6,D,0
12.9296,-87.0973,318,1.7,1.3,2024-02-05,1922,Aqua,MODIS,57,61.03,302.8,13.3,D,0
13.6436,-84.3172,324.3,1.1,1.1,2024-02-05,1922,Aqua,MODIS,76,61.03,302.3,16.1,D,0
14.3674,-84.35,315.5,1.1,1,2024-02-05,1922,Aqua,MODIS,65,61.03,301.2,7.7,D,0
14.6399,-83.8913,334.2,1.1,1,2024-02-05,1922,Aqua,MODIS,86,61.03,298.9,27.1,D,0
14.6384,-83.9009,351.2,1.1,1,2024-02-05,1922,Aqua,MODIS,96,61.03,303.9,60.6,D,0
14.6475,-83.9024,315.6,1.1,1,2024-02-05,1922,Aqua,MODIS,50,61.03,296.6,5.9,D,0
13.2176,-84.7192,316,1.2,1.1,2024-02-05,1922,Aqua,MODIS,62,61.03,302.1,7.1,D,0
14.6287,-83.9082,312.2,2.3,1.5,2024-02-06,0255,Terra,MODIS,72,61.03,291.3,31.1,N,0
14.6322,-83.8883,309.8,2.2,1.5,2024-02-06,0255,Terra,MODIS,49,61.03,291.3,25.2,N,0
14.6167,-83.8995,313,2.3,1.5,2024-02-06,0255,Terra,MODIS,86,61.03,291.3,32.9,N,0
14.6294,-83.9018,314.9,2.3,1.5,2024-02-06,0255,Terra,MODIS,90,61.03,291.3,37.7,N,0
14.616,-83.906,307.6,2.3,1.5,2024-02-06,0255,Terra,MODIS,44,61.03,291.3,20.5,N,0
14.6203,-83.8958,320.3,2.8,1.6,2024-02-06,1507,Terra,MODIS,78,61.03,295.2,57.7,D,0
14.4095,-83.4959,302,1.4,1.2,2024-02-07,0335,Terra,MODIS,46,61.03,291.3,6.9,N,0
14.3764,-83.5378,326.6,1.4,1.2,2024-02-07,0335,Terra,MODIS,100,61.03,291.5,41.2,N,0
14.3748,-83.5508,304.2,1.4,1.2,2024-02-07,0335,Terra,MODIS,59,61.03,291.1,9.1,N,0
14.658,-83.8838,316.7,1.4,1.2,2024-02-07,0336,Terra,MODIS,94,61.03,291.4,23.7,N,0
14.6104,-83.7826,305.4,1.4,1.2,2024-02-07,0336,Terra,MODIS,64,61.03,292,9.9,N,0
14.7284,-83.74,304,1.4,1.2,2024-02-07,0336,Terra,MODIS,58,61.03,291.6,8.5,N,0
14.6601,-83.8782,321.1,1.2,1.1,2024-02-07,1548,Terra,MODIS,78,61.03,298.1,17.7,D,0
14.6617,-83.8888,318.4,1.2,1.1,2024-02-07,1548,Terra,MODIS,75,61.03,297.8,14.4,D,0
14.6271,-83.9161,314.2,1.2,1.1,2024-02-07,1548,Terra,MODIS,61,61.03,299,8.5,D,0
14.6056,-83.778,313.1,1.2,1.1,2024-02-07,1548,Terra,MODIS,68,61.03,299,8.1,D,0
13.948,-83.9596,307.9,1.2,1.1,2024-02-07,1548,Terra,MODIS,58,61.03,296.3,5.7,D,0
13.9446,-83.9665,306.6,1.2,1.1,2024-02-07,1548,Terra,MODIS,53,61.03,296.4,4.9,D,0
13.943,-83.9558,307.1,1.2,1.1,2024-02-07,1548,Terra,MODIS,55,61.03,296.1,5.3,D,0
12.822,-87.3496,318,1,1,2024-02-07,1548,Terra,MODIS,60,61.03,302.6,10,D,0
12.6161,-86.9493,335.6,1,1,2024-02-07,1548,Terra,MODIS,86,61.03,303.3,29.2,D,0
12.6148,-86.9403,330,1,1,2024-02-07,1548,Terra,MODIS,82,61.03,302.6,21.6,D,0
12.5231,-87.0061,327.5,1,1,2024-02-07,1549,Terra,MODIS,79,61.03,302.4,18,D,0
12.532,-87.0048,314.9,1,1,2024-02-07,1549,Terra,MODIS,30,61.03,302.2,4.9,D,0
11.256,-84.1432,313.1,2.2,1.4,2024-02-07,1906,Aqua,MODIS,57,61.03,295.4,27,D,0
13.7584,-84.1581,310,2,1.4,2024-02-07,1906,Aqua,MODIS,53,61.03,297.9,11.9,D,0
11.2558,-84.1364,309.4,2.2,1.4,2024-02-07,1906,Aqua,MODIS,58,61.03,295.5,18.4,D,0
13.7236,-83.758,314.4,1.8,1.3,2024-02-07,1906,Aqua,MODIS,47,61.03,297.6,16.5,D,0
13.7615,-84.1404,312.8,2,1.4,2024-02-07,1906,Aqua,MODIS,62,61.03,298.6,16.7,D,0
12.5815,-86.8733,324.6,1.1,1,2024-02-08,1947,Aqua,MODIS,50,61.03,310,9.8,D,0
12.3523,-86.6595,322.8,1.1,1,2024-02-08,1947,Aqua,MODIS,67,61.03,307.7,9.1,D,0
12.3183,-86.7178,327.9,1.1,1,2024-02-08,1947,Aqua,MODIS,63,61.03,307.6,14,D,0
12.79,-87.0294,337.2,1.1,1,2024-02-08,1947,Aqua,MODIS,77,61.03,317.2,23.5,D,0
12.6088,-86.9422,327.3,1.1,1,2024-02-08,1947,Aqua,MODIS,31,61.03,313.7,11.8,D,0
14.3425,-83.7965,319.3,1.7,1.3,2024-02-08,1948,Aqua,MODIS,73,61.03,299.2,23.3,D,0
14.7502,-83.7223,316.8,1.7,1.3,2024-02-08,1948,Aqua,MODIS,61,61.03,298.5,18.9,D,0
14.4699,-83.8729,320.1,1.7,1.3,2024-02-08,1948,Aqua,MODIS,56,61.03,300.8,20,D,0
14.4586,-83.8714,320.3,1.7,1.3,2024-02-08,1948,Aqua,MODIS,74,61.03,300,20.2,D,0
14.457,-83.8798,321.8,1.7,1.3,2024-02-08,1948,Aqua,MODIS,46,61.03,302,22.2,D,0
14.5409,-83.6689,311.8,3.5,1.8,2024-02-09,1851,Aqua,MODIS,45,61.03,298,22.2,D,0
12.9644,-86.851,309.5,2.1,1.4,2024-02-10,0359,Terra,MODIS,77,61.03,295.3,24.2,N,0
