latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.4379,130.5484,318.8,1,1,2024-01-17,0442,Aqua,MODIS,79,61.03,279.6,20.8,D,0
38.2533,124.8853,313.3,1.5,1.2,2024-02-14,0221,Terra,MODIS,0,61.03,285.9,23.4,D,0
42.8569,130.241,302.3,3.1,1.7,2024-02-16,0404,Aqua,MODIS,52,61.03,279.4,37.2,D,0
42.8666,130.1741,312.2,2,1.4,2024-02-22,0111,Terra,MODIS,50,61.03,267.6,42.1,D,0
42.8649,130.1976,311,2,1.4,2024-02-22,0111,Terra,MODIS,45,61.03,267.7,40.1,D,0
42.7901,130.1068,317.2,1,1,2024-02-22,0455,Aqua,MODIS,77,61.03,272.2,18.2,D,0
42.8923,130.1747,309.5,1,1,2024-02-22,0455,Aqua,MODIS,61,61.03,270.3,12.7,D,0
42.8235,130.1418,311.4,1,1,2024-02-22,0455,Aqua,MODIS,66,61.03,273.1,13.4,D,0
42.7862,130.1455,304.4,1,1,2024-02-22,0455,Aqua,MODIS,56,61.03,273.5,8.2,D,0
42.7884,130.0945,315.4,1,1,2024-02-22,0455,Aqua,MODIS,73,61.03,271.4,17.2,D,0
42.8336,130.1608,314.6,1.1,1,2024-02-23,0151,Terra,MODIS,75,61.03,275.4,16.8,D,0
42.8447,130.1508,307.8,1.1,1,2024-02-23,0151,Terra,MODIS,56,61.03,275.5,11.7,D,0
42.8357,130.148,325,1.1,1,2024-02-23,0151,Terra,MODIS,83,61.03,276.2,28.4,D,0
42.7547,130.131,318.5,1.1,1,2024-02-23,0151,Terra,MODIS,79,61.03,275.3,20.7,D,0
42.7526,130.1438,320.1,1.1,1,2024-02-23,0151,Terra,MODIS,80,61.03,275.6,22.9,D,0
42.7457,130.1281,341.4,1.1,1,2024-02-23,0151,Terra,MODIS,92,61.03,274.2,51.5,D,0
42.7436,130.1409,363.5,1.1,1,2024-02-23,0151,Terra,MODIS,100,61.03,277.1,108.1,D,0
42.1762,130.1347,317,1.1,1,2024-02-23,0152,Terra,MODIS,69,61.03,273.7,20.1,D,0
42.1741,130.1475,309.9,1.1,1,2024-02-23,0152,Terra,MODIS,44,61.03,274.6,13.7,D,0
42.1853,130.1376,314.9,1.1,1,2024-02-23,0152,Terra,MODIS,54,61.03,276,18,D,0
42.1832,130.1503,308.8,1.1,1,2024-02-23,0152,Terra,MODIS,27,61.03,275.5,12.7,D,0
42.7398,130.1224,300.7,3.9,1.8,2024-02-23,0358,Aqua,MODIS,24,61.03,275.3,53.6,D,0
42.7401,130.1157,300.2,3.2,1.7,2024-02-23,0536,Aqua,MODIS,25,61.03,275.6,35.7,D,0
42.7332,130.1334,301.8,1.1,1.1,2024-02-24,0439,Aqua,MODIS,47,61.03,280.1,6.8,D,0
42.2011,130.1544,304.3,2.1,1.4,2024-02-26,0215,Terra,MODIS,59,61.03,275.7,27.6,D,0
42.5182,130.5011,307,2.2,1.4,2024-02-26,0215,Terra,MODIS,61,61.03,274.8,33.1,D,0
42.4877,130.5112,303.3,2.2,1.4,2024-02-26,0215,Terra,MODIS,55,61.03,275.5,27,D,0
42.189,130.1495,302.3,2.1,1.4,2024-02-26,0215,Terra,MODIS,51,61.03,276.6,24.1,D,0
42.5123,130.5271,338.3,2.2,1.4,2024-02-26,0215,Terra,MODIS,0,61.03,277.1,137.4,D,0
42.5121,130.5216,342.1,2.2,1.4,2024-02-26,0215,Terra,MODIS,81,61.03,277.9,156.4,D,0
42.4856,130.5014,303.8,1.7,1.3,2024-02-26,0423,Aqua,MODIS,57,61.03,278.7,16.7,D,0
42.4992,130.5096,365.2,1.7,1.3,2024-02-26,0423,Aqua,MODIS,94,61.03,289.9,221.2,D,0
42.5033,130.5293,328.9,1.7,1.3,2024-02-26,0423,Aqua,MODIS,0,61.03,279,62.4,D,0
42.4964,130.4966,332.1,1.7,1.3,2024-02-26,0423,Aqua,MODIS,88,61.03,281.7,71.8,D,0
42.5005,130.5162,381.3,1.7,1.3,2024-02-26,0423,Aqua,MODIS,87,61.03,288.7,343.6,D,0
42.4744,130.5049,301,1.7,1.3,2024-02-26,0423,Aqua,MODIS,31,61.03,278.7,13.7,D,0
41.9344,129.874,310,1,1,2024-03-01,0141,Terra,MODIS,24,61.03,272,13.5,D,0
39.1052,125.6639,301.3,1,1,2024-03-03,0513,Aqua,MODIS,46,61.03,281.5,6.2,D,0
38.0806,125.8832,313.8,1,1,2024-03-06,0148,Terra,MODIS,74,61.03,277.6,15.7,D,0
38.0791,125.8948,306.6,1,1,2024-03-06,0148,Terra,MODIS,60,61.03,277.6,10.2,D,0
37.9158,125.0888,304.8,1.1,1,2024-03-06,0148,Terra,MODIS,56,61.03,284.3,7.8,D,0
39.0677,125.7976,301.1,1.1,1,2024-03-06,0148,Terra,MODIS,40,61.03,281.9,5.6,D,2
39.0586,125.7957,307.1,1.1,1,2024-03-06,0148,Terra,MODIS,49,61.03,282.2,9.4,D,2
42.0476,128.9669,300.9,2.1,1.4,2024-03-10,0113,Terra,MODIS,42,61.03,276.5,21.9,D,0
38.215,126.1404,310.9,1,1,2024-03-10,0506,Aqua,MODIS,71,61.03,286.4,12,D,0
38.1606,124.7985,301.7,1.1,1.1,2024-03-10,0506,Aqua,MODIS,47,61.03,288,6.2,D,0
39.4403,126.0232,303,1,1,2024-03-10,0507,Aqua,MODIS,41,61.03,290.7,4.9,D,2
38.4179,124.9901,303.1,1.1,1.1,2024-03-10,0507,Aqua,MODIS,47,61.03,288.9,6,D,0
40.2918,127.7119,312,1,1,2024-03-10,0507,Aqua,MODIS,69,61.03,286.7,12.2,D,0
40.2902,127.7002,326.5,1,1,2024-03-10,0507,Aqua,MODIS,84,61.03,288.3,25.9,D,0
40.299,127.6979,309.8,1,1,2024-03-10,0507,Aqua,MODIS,68,61.03,285,10.1,D,0
42.7767,130.176,307,1.2,1.1,2024-03-10,0508,Aqua,MODIS,65,61.03,291.6,6.8,D,0
42.6129,129.7612,317.5,1,1,2024-03-12,0452,Aqua,MODIS,76,61.03,282.6,16.8,D,0
42.1208,129.9438,316.6,1,1,2024-03-13,0136,Terra,MODIS,77,61.03,283.3,17.1,D,0
42.1191,129.956,310,1,1,2024-03-13,0136,Terra,MODIS,69,61.03,280.4,12,D,0
39.4454,126.0254,300.1,1.3,1.1,2024-03-13,0137,Terra,MODIS,24,61.03,286.1,5.9,D,2
38.2372,126.1214,300.9,1.3,1.1,2024-03-13,0137,Terra,MODIS,41,61.03,287,5.5,D,0
38.887,125.4963,301,1.3,1.1,2024-03-13,0532,Aqua,MODIS,44,61.03,286,5.7,D,0
38.1303,126.0126,303.7,1.4,1.2,2024-03-13,0532,Aqua,MODIS,21,61.03,289.7,7,D,0
38.8704,127.8779,304.3,2.1,1.4,2024-03-14,0218,Terra,MODIS,48,61.03,288.4,20.9,D,0
38.5336,126.3381,305.9,1.7,1.3,2024-03-14,0218,Terra,MODIS,62,61.03,288.2,15.2,D,0
38.5198,126.2965,316.4,2.6,1.5,2024-03-14,0435,Aqua,MODIS,77,61.03,291.4,54.3,D,0
38.5263,126.3243,317.1,2.6,1.5,2024-03-14,0435,Aqua,MODIS,77,61.03,290.3,55,D,0
42.726,130.1133,343.3,1.3,1.1,2024-03-14,0436,Aqua,MODIS,93,61.03,286,69.8,D,0
42.5984,129.7612,305.3,1.3,1.1,2024-03-14,0436,Aqua,MODIS,60,61.03,279.7,12.5,D,0
42.7163,130.1163,314.2,1.3,1.1,2024-03-14,0436,Aqua,MODIS,74,61.03,284.7,19.4,D,0
42.7233,130.0989,333.3,1.3,1.1,2024-03-14,0436,Aqua,MODIS,88,61.03,284.8,48.1,D,0
41.7657,129.5099,334.9,1.6,1.2,2024-03-15,0119,Terra,MODIS,89,61.03,284,63.9,D,0
41.7767,129.5119,316.3,1.6,1.2,2024-03-15,0119,Terra,MODIS,71,61.03,283.3,24.4,D,0
41.7785,129.4926,349.1,1.6,1.2,2024-03-15,0119,Terra,MODIS,96,61.03,290.2,115.1,D,0
41.7806,129.4711,328.5,1.6,1.2,2024-03-15,0119,Terra,MODIS,82,61.03,290.3,48.8,D,0
41.7686,129.4977,388,1.6,1.2,2024-03-15,0119,Terra,MODIS,100,61.03,292.2,365.3,D,0
41.7705,129.4763,362.8,1.6,1.2,2024-03-15,0119,Terra,MODIS,100,61.03,292.7,181.1,D,0
41.7795,129.5005,343.5,1.6,1.2,2024-03-15,0119,Terra,MODIS,93,61.03,286.2,94,D,0
41.7814,129.4791,344.7,1.6,1.2,2024-03-15,0119,Terra,MODIS,94,61.03,290.5,99.4,D,0
42.2674,130.0864,332,1.5,1.2,2024-03-15,0119,Terra,MODIS,88,61.03,289,53.1,D,0
42.2691,130.0691,342.2,1.5,1.2,2024-03-15,0119,Terra,MODIS,93,61.03,290.2,81.7,D,0
42.2708,130.0938,324.8,1.5,1.2,2024-03-15,0119,Terra,MODIS,83,61.03,287.4,39.6,D,0
42.2724,130.0765,370.1,1.5,1.2,2024-03-15,0119,Terra,MODIS,100,61.03,293.1,208.5,D,0
42.2815,130.096,325.7,1.5,1.2,2024-03-15,0119,Terra,MODIS,84,61.03,288.6,40.2,D,0
42.2831,130.0792,341.6,1.5,1.2,2024-03-15,0119,Terra,MODIS,92,61.03,290.8,80.4,D,0
41.7677,129.4894,388.6,1.6,1.2,2024-03-15,0119,Terra,MODIS,100,61.03,294.9,371.3,D,0
41.7696,129.469,321.9,1.6,1.2,2024-03-15,0119,Terra,MODIS,81,61.03,289.5,36,D,0
39.7753,126.3082,305.8,1,1,2024-03-15,0516,Aqua,MODIS,54,61.03,290.6,6,D,2
40.1312,127.9837,368.7,1.2,1.1,2024-03-15,0516,Aqua,MODIS,100,61.03,296.8,138.5,D,0
40.1297,127.9705,349.3,1.2,1.1,2024-03-15,0516,Aqua,MODIS,96,61.03,299.7,72.5,D,0
