latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.8178,4.7705,314,1,1,2024-01-07,1240,Aqua,MODIS,60,61.03,274.3,17.3,D,3
58.7406,5.6318,312.4,1.4,1.2,2024-04-20,1051,Terra,MODIS,48,61.03,282.7,22.2,D,0
60.7042,11.1346,308.4,1,1,2024-04-21,0953,Terra,MODIS,63,61.03,285.9,9.1,D,0
59.992,5.1738,324.8,1,1,2024-04-21,1244,Aqua,MODIS,73,61.03,285.9,24.4,D,0
59.9893,5.1566,320.6,1,1,2024-04-21,1244,Aqua,MODIS,73,61.03,287.2,20.1,D,0
59.3356,11.2262,303.1,1.2,1.1,2024-05-02,1203,Aqua,MODIS,55,61.03,291.5,4.9,D,0
60.8493,11.3455,315.5,1.2,1.1,2024-05-03,1244,Aqua,MODIS,76,61.03,297.6,12.4,D,0
60.847,11.3236,309.8,1.2,1.1,2024-05-03,1244,Aqua,MODIS,64,61.03,297.8,6.3,D,0
62.1191,10.0711,308.4,1.1,1,2024-05-04,1027,Terra,MODIS,67,61.03,293.2,7.5,D,0
61.0035,11.4341,302.3,1.2,1.1,2024-05-04,1027,Terra,MODIS,45,61.03,291.9,5.9,D,0
60.8297,11.2014,310.6,2.8,1.6,2024-05-04,1325,Aqua,MODIS,69,61.03,296.1,25.6,D,0
60.8307,11.1976,310.6,2.8,1.6,2024-05-04,1325,Aqua,MODIS,60,61.03,296,24.4,D,0
60.5204,12.0612,309,1,1,2024-05-13,0958,Terra,MODIS,51,61.03,294.8,5,D,0
60.6823,10.7907,313.4,1,1,2024-05-13,0958,Terra,MODIS,67,61.03,299,7.3,D,0
58.9196,6.4987,306.9,1.2,1.1,2024-05-14,1039,Terra,MODIS,61,61.03,289.2,10.5,D,0
59.9442,12.2044,313.4,1.1,1,2024-05-15,0941,Terra,MODIS,73,61.03,296.8,9.3,D,0
