latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.5038,56.598,306.4,1,1,2024-01-01,1758,Terra,MODIS,68,61.03,292.9,7.2,N,2
22.4365,56.6988,304.1,1,1,2024-01-01,1758,Terra,MODIS,58,61.03,290.9,6.3,N,0
22.4453,56.6973,316.2,1,1,2024-01-01,1758,Terra,MODIS,93,61.03,291.1,14.7,N,0
23.6279,58.5118,305.7,1.2,1.1,2024-01-01,1758,Terra,MODIS,65,61.03,292.5,7.5,N,2
24.5016,56.6012,317.4,1.3,1.1,2024-01-03,0943,Aqua,MODIS,47,61.03,304.6,8.5,D,2
24.5071,56.6015,302.9,1.3,1.1,2024-01-03,1741,Terra,MODIS,52,61.03,292.1,7.7,N,2
24.4775,56.6131,303.6,1.3,1.1,2024-01-03,1741,Terra,MODIS,56,61.03,291.2,7.3,N,0
24.5019,56.6021,314.3,1,1,2024-01-05,0629,Terra,MODIS,55,61.03,301.6,5.3,D,2
21.3049,57.8037,312.7,1.3,1.1,2024-01-05,0630,Terra,MODIS,48,61.03,301.1,5.8,D,0
24.501,56.605,317.8,1.2,1.1,2024-01-06,1009,Aqua,MODIS,0,61.03,301.9,8.6,D,2
24.5043,56.6021,305.7,1.2,1.1,2024-01-06,1805,Terra,MODIS,65,61.03,291.8,9.3,N,2
24.4966,56.5993,316.8,1.6,1.2,2024-01-10,0939,Aqua,MODIS,44,61.03,305.5,10.2,D,2
24.499,56.6031,316.7,1.7,1.3,2024-01-11,1020,Aqua,MODIS,0,61.03,303.7,12.7,D,2
24.5012,56.6037,313.9,1,1,2024-01-12,0618,Terra,MODIS,55,61.03,300.5,5.6,D,2
18.3182,55.1013,301,2.5,1.5,2024-01-14,1833,Terra,MODIS,37,61.03,290.6,15.7,N,0
24.4679,56.6304,337.6,1.9,1.4,2024-01-14,2253,Aqua,MODIS,100,61.03,291.3,108.7,N,0
24.4601,56.6298,329,1.5,1.2,2024-01-15,0642,Terra,MODIS,76,61.03,304.9,35,D,0
22.2286,59.6935,323.6,1,1,2024-01-15,0948,Aqua,MODIS,36,61.03,310.6,6.8,D,0
22.9624,56.1874,333.1,1.2,1.1,2024-01-15,0948,Aqua,MODIS,80,61.03,312.9,23.6,D,0
24.5009,56.6062,320.4,1.1,1.1,2024-01-15,0949,Aqua,MODIS,0,61.03,308.8,7,D,2
24.4652,56.6245,323.1,1.1,1.1,2024-01-15,0949,Aqua,MODIS,27,61.03,309,9,D,0
