latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.8609,69.2542,313.5,1.2,1.1,2024-01-01,0524,Terra,MODIS,71,61.03,291,15.4,D,0
24.9445,68.7437,306,1.2,1.1,2024-01-01,0524,Terra,MODIS,50,61.03,291.8,6.8,D,0
24.947,68.7502,309.1,1.2,1.1,2024-01-01,0524,Terra,MODIS,61,61.03,292.7,9.5,D,0
25.0546,68.9381,306.9,1.2,1.1,2024-01-01,0524,Terra,MODIS,55,61.03,292,7.2,D,0
25.0561,68.9266,322.6,1.2,1.1,2024-01-01,0524,Terra,MODIS,80,61.03,293,24.3,D,0
25.1852,68.3804,304.9,1.3,1.1,2024-01-01,0524,Terra,MODIS,48,61.03,293.2,5.2,D,0
25.1685,68.996,323.8,1.2,1.1,2024-01-01,0524,Terra,MODIS,81,61.03,292,25.6,D,0
25.17,68.9845,330.2,1.2,1.1,2024-01-01,0524,Terra,MODIS,86,61.03,293.6,35.6,D,0
25.2334,68.977,306.9,1.2,1.1,2024-01-01,0524,Terra,MODIS,52,61.03,291.5,7.3,D,0
25.2314,69.0701,313.2,1.2,1.1,2024-01-01,0524,Terra,MODIS,70,61.03,291.8,13,D,0
25.243,68.9784,306.3,1.2,1.1,2024-01-01,0524,Terra,MODIS,42,61.03,291.7,6.9,D,0
25.2651,69.1099,308.3,1.2,1.1,2024-01-01,0524,Terra,MODIS,60,61.03,291.4,9.5,D,0
25.269,69.1165,306.2,1.2,1.1,2024-01-01,0524,Terra,MODIS,55,61.03,291.2,7.2,D,0
25.5037,68.9409,310.4,1.2,1.1,2024-01-01,0524,Terra,MODIS,66,61.03,291,11.8,D,0
25.659,68.8262,305.7,1.2,1.1,2024-01-01,0524,Terra,MODIS,56,61.03,290.5,8.7,D,0
25.8333,68.9007,306.2,1.2,1.1,2024-01-01,0524,Terra,MODIS,58,61.03,289.5,9.3,D,0
31.0675,69.1975,309.8,3.3,1.7,2024-01-01,0822,Aqua,MODIS,67,61.03,294.6,32.8,D,0
32.6309,70.0831,309.8,2.6,1.6,2024-01-01,0823,Aqua,MODIS,69,61.03,291.4,37,D,0
32.6384,70.0879,306.9,2.6,1.6,2024-01-01,0823,Aqua,MODIS,64,61.03,291,29.2,D,0
33.7462,71.3319,300.5,2.1,1.4,2024-01-01,0823,Aqua,MODIS,38,61.03,290,12.5,D,0
25.6738,68.7422,308.4,2.2,1.4,2024-01-02,0604,Terra,MODIS,60,61.03,289.8,27,D,0
25.6554,69.0411,308.4,2.3,1.5,2024-01-02,0604,Terra,MODIS,61,61.03,290.9,25.8,D,0
25.6736,68.7478,305.3,2.2,1.4,2024-01-02,0604,Terra,MODIS,48,61.03,289.7,18.6,D,0
25.5683,68.8755,306.7,2.3,1.5,2024-01-02,0604,Terra,MODIS,55,61.03,290.9,21.6,D,0
24.3674,67.8787,306.6,2.1,1.4,2024-01-02,0605,Terra,MODIS,40,61.03,293.2,14.6,D,0
25.4565,68.7685,306.2,2.3,1.5,2024-01-02,0605,Terra,MODIS,50,61.03,290.2,22.1,D,0
25.4138,68.9189,306.2,2.3,1.5,2024-01-02,0605,Terra,MODIS,50,61.03,290.5,20.6,D,0
25.3977,68.5915,312.5,2.2,1.4,2024-01-02,0605,Terra,MODIS,67,61.03,290.1,36,D,0
25.2344,68.7492,305.5,2.3,1.5,2024-01-02,0605,Terra,MODIS,41,61.03,293.1,16.1,D,0
25.2358,68.7429,307.8,2.3,1.5,2024-01-02,0605,Terra,MODIS,54,61.03,293,19.7,D,0
25.0181,68.9112,305.8,2.4,1.5,2024-01-02,0605,Terra,MODIS,47,61.03,293.7,15.7,D,0
24.7729,68.0359,305.5,2.1,1.4,2024-01-02,0605,Terra,MODIS,38,61.03,291.8,15,D,0
26.1439,68.1548,308.4,1.1,1,2024-01-02,0902,Aqua,MODIS,46,61.03,290,9.2,D,0
26.4384,68.8554,348,1,1,2024-01-02,0902,Aqua,MODIS,94,61.03,295.1,57.6,D,0
24.4646,67.8864,311.8,1.2,1.1,2024-01-02,0902,Aqua,MODIS,42,61.03,295.2,10,D,0
24.6701,68.2551,309,1.1,1.1,2024-01-02,0902,Aqua,MODIS,49,61.03,296.3,6.7,D,0
24.6911,68.2063,310.2,1.1,1.1,2024-01-02,0902,Aqua,MODIS,55,61.03,296.3,7.8,D,0
25.1169,69.0371,332.2,1,1,2024-01-02,0902,Aqua,MODIS,85,61.03,300.1,29.3,D,0
25.1153,69.027,315.6,1,1,2024-01-02,0902,Aqua,MODIS,65,61.03,299.3,9.8,D,0
25.5311,69.2654,327.3,1,1,2024-01-02,0902,Aqua,MODIS,81,61.03,296.2,23.7,D,0
25.6558,68.9984,309.9,1,1,2024-01-02,0902,Aqua,MODIS,47,61.03,295.4,7.7,D,0
25.776,68.8797,322.1,1,1,2024-01-02,0902,Aqua,MODIS,76,61.03,293.5,19.4,D,0
25.7744,68.8695,347.3,1,1,2024-01-02,0902,Aqua,MODIS,94,61.03,295.8,58.9,D,0
25.7628,68.7349,309,1.1,1,2024-01-02,0902,Aqua,MODIS,42,61.03,292.7,8.2,D,0
28.8198,70.5799,303.3,1,1,2024-01-02,0903,Aqua,MODIS,49,61.03,288.2,5.7,D,0
28.9724,67.6149,305.2,1.1,1,2024-01-02,0903,Aqua,MODIS,56,61.03,293.4,4.3,D,0
28.3037,69.9794,300.5,1,1,2024-01-02,0903,Aqua,MODIS,0,61.03,286.5,3.6,D,0
28.436,69.938,301,1,1,2024-01-02,0903,Aqua,MODIS,36,61.03,285.4,3.8,D,0
28.6644,70.5816,304.9,1,1,2024-01-02,0903,Aqua,MODIS,54,61.03,288.8,6.5,D,0
28.7488,70.6618,305.7,1,1,2024-01-02,0903,Aqua,MODIS,59,61.03,289.4,7,D,0
28.7698,70.4833,305.6,1,1,2024-01-02,0903,Aqua,MODIS,58,61.03,285.5,7.1,D,0
28.9741,67.6256,309.7,1.1,1,2024-01-02,0903,Aqua,MODIS,67,61.03,293.9,7.5,D,0
33.5089,71.1459,302.2,1.2,1.1,2024-01-02,0904,Aqua,MODIS,35,61.03,289.6,6.1,D,0
33.3569,70.3923,327.7,1.1,1,2024-01-02,0904,Aqua,MODIS,85,61.03,289.9,29.3,D,0
33.3554,70.3806,306.7,1.1,1,2024-01-02,0904,Aqua,MODIS,64,61.03,286.1,8.2,D,0
33.7264,73.2122,302,1.5,1.2,2024-01-02,0904,Aqua,MODIS,50,61.03,288.2,9.3,D,0
33.7651,73.0185,311.2,1.5,1.2,2024-01-02,0904,Aqua,MODIS,71,61.03,289.6,20.2,D,0
33.5885,71.2809,302.1,1.2,1.1,2024-01-02,0904,Aqua,MODIS,51,61.03,291.7,4.4,D,0
33.5837,70.6593,313.7,1.1,1.1,2024-01-02,0904,Aqua,MODIS,74,61.03,288.9,14.8,D,0
33.7761,71.8396,305.1,1.3,1.1,2024-01-02,0904,Aqua,MODIS,49,61.03,293.1,7.6,D,0
33.7428,70.6168,310.5,1.1,1.1,2024-01-02,0904,Aqua,MODIS,70,61.03,286.1,12.7,D,0
33.7413,70.6048,312.6,1.1,1.1,2024-01-02,0904,Aqua,MODIS,73,61.03,290.2,14.4,D,0
33.7456,70.1191,307,1.1,1,2024-01-02,0904,Aqua,MODIS,64,61.03,290.4,7.4,D,0
34.4644,73.6283,306.9,1.6,1.3,2024-01-02,0904,Aqua,MODIS,50,61.03,291.1,11.7,D,0
34.4405,73.3879,300.9,1.6,1.2,2024-01-02,0904,Aqua,MODIS,42,61.03,290.6,7.4,D,0
33.1243,71.5915,301.3,1.3,1.1,2024-01-02,1703,Terra,MODIS,40,61.03,280,11.9,N,0
30.1931,70.152,301,2.2,1.4,2024-01-03,0506,Terra,MODIS,41,61.03,289.4,12.3,D,0
30.1946,70.1353,303.6,2.2,1.4,2024-01-03,0506,Terra,MODIS,56,61.03,290.6,17.1,D,0
30.1954,70.1408,307.4,2.2,1.4,2024-01-03,0506,Terra,MODIS,65,61.03,290.7,23.9,D,0
25.2519,69.1647,306.9,2.2,1.4,2024-01-03,0507,Terra,MODIS,57,61.03,288.4,23.3,D,0
34.4274,73.611,309.6,2.5,1.5,2024-01-03,1606,Terra,MODIS,78,61.03,277.8,52.6,N,0
34.4319,73.6316,308.9,2.5,1.5,2024-01-03,1606,Terra,MODIS,76,61.03,278.3,50.3,N,0
24.4285,68.492,303.4,1.2,1.1,2024-01-04,0548,Terra,MODIS,30,61.03,290.6,4.9,D,0
25.3303,68.9055,313.3,1.2,1.1,2024-01-04,0548,Terra,MODIS,72,61.03,286.3,16.1,D,0
25.2205,69.1872,302.5,1.3,1.1,2024-01-04,0548,Terra,MODIS,40,61.03,288,7.1,D,0
25.369,68.7922,307.7,1.2,1.1,2024-01-04,0548,Terra,MODIS,58,61.03,284.2,9.4,D,0
25.3785,68.7941,317.6,1.2,1.1,2024-01-04,0548,Terra,MODIS,77,61.03,284.3,19.9,D,0
28.9631,70.3364,302.2,1.2,1.1,2024-01-04,0847,Aqua,MODIS,51,61.03,287.4,6.2,D,0
28.9611,70.3245,305.3,1.2,1.1,2024-01-04,0847,Aqua,MODIS,61,61.03,287.6,8.9,D,0
28.7989,70.5811,302.8,1.2,1.1,2024-01-04,0847,Aqua,MODIS,54,61.03,287.3,6.7,D,0
28.7282,70.3383,335.6,1.2,1.1,2024-01-04,0847,Aqua,MODIS,90,61.03,286.4,47.9,D,0
28.8084,70.579,305.6,1.2,1.1,2024-01-04,0847,Aqua,MODIS,62,61.03,286.6,8.8,D,0
28.8181,70.6374,312.1,1.2,1.1,2024-01-04,0847,Aqua,MODIS,72,61.03,287.4,14.6,D,0
25.6958,69.2212,309.7,1.6,1.2,2024-01-04,0847,Aqua,MODIS,51,61.03,291.9,16,D,0
28.8166,70.7456,321.9,1.2,1.1,2024-01-04,0847,Aqua,MODIS,81,61.03,288,24.9,D,0
25.2039,69.3762,308.6,1.6,1.2,2024-01-04,0847,Aqua,MODIS,42,61.03,293.3,11.7,D,0
25.4205,68.9197,310.3,1.7,1.3,2024-01-04,0847,Aqua,MODIS,57,61.03,289.2,20,D,0
28.8147,70.7341,301.1,1.2,1.1,2024-01-04,0847,Aqua,MODIS,44,61.03,287.8,5.6,D,0
28.5312,70.154,311.3,1.2,1.1,2024-01-04,0847,Aqua,MODIS,71,61.03,286.5,14.3,D,0
28.5566,70.0061,300.3,1.3,1.1,2024-01-04,0847,Aqua,MODIS,28,61.03,284.3,4.3,D,0
30.4468,70.7911,308.4,1.1,1,2024-01-04,0848,Aqua,MODIS,62,61.03,288.1,9.8,D,0
29.0782,70.8252,312.6,1.1,1.1,2024-01-04,0848,Aqua,MODIS,62,61.03,285,13.2,D,0
30.0267,69.7961,306,1.2,1.1,2024-01-04,0848,Aqua,MODIS,60,61.03,295,5.6,D,0
30.5375,70.7762,301.4,1.1,1,2024-01-04,0848,Aqua,MODIS,35,61.03,287.5,5.7,D,0
30.6288,70.1415,306.1,1.2,1.1,2024-01-04,0848,Aqua,MODIS,60,61.03,289.5,7.4,D,0
31.9158,72.9716,302.2,1,1,2024-01-04,0848,Aqua,MODIS,33,61.03,283.9,5.1,D,0
32.1413,72.4916,301.4,1,1,2024-01-04,0848,Aqua,MODIS,44,61.03,284.1,4.5,D,0
34.5352,73.0552,300.5,1,1,2024-01-04,0849,Aqua,MODIS,27,61.03,285,4.4,D,0
33.2992,71.2731,300,1,1,2024-01-04,0849,Aqua,MODIS,18,61.03,281.3,4.4,D,0
25.6222,68.8992,309.5,1.6,1.3,2024-01-05,0928,Aqua,MODIS,48,61.03,291.9,14.7,D,0
25.3894,68.6432,312.1,1.6,1.2,2024-01-05,0928,Aqua,MODIS,59,61.03,291.3,18.1,D,0
25.3959,68.6339,313.8,1.5,1.2,2024-01-05,0928,Aqua,MODIS,64,61.03,291.2,20.6,D,0
24.9968,68.4432,310.5,1.5,1.2,2024-01-05,0928,Aqua,MODIS,49,61.03,293.9,11.9,D,0
33.1941,70.1198,314.5,2.5,1.5,2024-01-05,0930,Aqua,MODIS,75,61.03,290.2,46.8,D,0
34.4597,72.745,304.5,1,1,2024-01-05,2132,Aqua,MODIS,60,61.03,280.3,10.4,N,0
34.4613,72.7343,300.4,1,1,2024-01-05,2132,Aqua,MODIS,26,61.03,279,8.2,N,0
34.459,72.7512,301.9,1,1,2024-01-06,0528,Terra,MODIS,23,61.03,286.5,5.3,D,0
34.1755,72.9132,300.2,1,1,2024-01-06,0528,Terra,MODIS,29,61.03,289.8,4.9,D,0
34.1078,73.3595,302.4,1,1,2024-01-06,0528,Terra,MODIS,52,61.03,283,7.9,D,0
34.4518,72.7389,303.2,1,1,2024-01-06,0528,Terra,MODIS,43,61.03,285.1,6.7,D,0
34.6391,73.2802,304.3,1,1,2024-01-06,0528,Terra,MODIS,49,61.03,286.5,8.6,D,0
34.6905,71.9095,301.6,1,1,2024-01-06,0528,Terra,MODIS,47,61.03,285.5,6.6,D,0
33.4363,70.5582,314.1,1.1,1,2024-01-06,0529,Terra,MODIS,74,61.03,287.8,14.7,D,0
25.3574,68.8546,313.9,1,1,2024-01-06,0531,Terra,MODIS,73,61.03,289.6,12.8,D,0
25.2928,69.3206,304.3,1,1,2024-01-06,0531,Terra,MODIS,49,61.03,292,4.6,D,0
24.8685,68.1766,308.3,1.1,1,2024-01-06,0531,Terra,MODIS,63,61.03,290,7.6,D,0
24.7523,68.2891,304.6,1.1,1,2024-01-06,0531,Terra,MODIS,51,61.03,290.5,5.3,D,0
24.6147,68.8273,316.4,1,1,2024-01-06,0531,Terra,MODIS,74,61.03,291.5,13.8,D,0
25.3241,68.4901,309.9,1.1,1,2024-01-06,0531,Terra,MODIS,67,61.03,289.8,9.8,D,0
26.4551,67.9251,302.2,1.1,1.1,2024-01-06,0531,Terra,MODIS,42,61.03,288.6,5.1,D,0
26.3639,68.1408,300.9,1.1,1.1,2024-01-06,0531,Terra,MODIS,43,61.03,287.5,5.2,D,0
