latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.4526,34.4143,307.1,1.5,1.2,2024-01-01,1139,Aqua,MODIS,59,61.03,291.8,9.1,D,0
31.4545,34.4115,313.6,1.1,1,2024-01-05,0009,Aqua,MODIS,87,61.03,283.4,16.8,N,0
31.4527,34.4225,301.2,1.1,1,2024-01-05,0009,Aqua,MODIS,38,61.03,282.7,8,N,0
31.452,34.4075,304.6,1.2,1.1,2024-01-05,1109,Aqua,MODIS,54,61.03,292.4,5.5,D,2
31.4531,34.3991,302.1,2,1.4,2024-01-06,1945,Terra,MODIS,47,61.03,285.6,20.1,N,2
31.4541,34.414,312.3,1.1,1,2024-01-06,2354,Aqua,MODIS,84,61.03,282.9,16.4,N,0
31.4531,34.4111,308.5,1.1,1.1,2024-01-07,0749,Terra,MODIS,66,61.03,292.8,8.3,D,0
31.4219,34.3796,319.2,2.3,1.5,2024-01-07,1848,Terra,MODIS,98,61.03,285.9,66.5,N,2
31.4171,34.3564,315.3,2.3,1.5,2024-01-07,1848,Terra,MODIS,91,61.03,286.3,54.9,N,2
31.4177,34.3724,302.2,2.5,1.5,2024-01-08,0035,Aqua,MODIS,47,61.03,283.7,29.1,N,2
31.4249,34.3817,311.6,2.5,1.5,2024-01-08,0035,Aqua,MODIS,79,61.03,284,48.6,N,2
31.4117,34.3707,305.5,1.2,1.1,2024-01-08,1134,Aqua,MODIS,45,61.03,292,5.6,D,0
31.527,34.5042,306.8,1.5,1.2,2024-01-20,2343,Aqua,MODIS,69,61.03,283.7,18.1,N,2
31.5248,34.497,301,1.5,1.2,2024-01-20,2343,Aqua,MODIS,37,61.03,283.4,12.9,N,2
31.4829,34.4496,312.3,1.2,1.1,2024-02-24,1111,Aqua,MODIS,54,61.03,293.5,11,D,2
31.5579,35.1177,307.1,1.4,1.2,2024-02-27,1854,Terra,MODIS,70,61.03,280,20.1,N,0
32.1981,35.5459,314.5,1.3,1.1,2024-03-29,1135,Aqua,MODIS,58,61.03,289.2,12.8,D,0
32.2932,35.5449,326.1,1.3,1.1,2024-04-22,1138,Aqua,MODIS,62,61.03,306.6,15.4,D,0
31.529,34.4943,304.8,1,1,2024-05-15,1909,Terra,MODIS,62,61.03,291.7,6.9,N,2
32.2342,35.3175,363.7,1,1,2024-05-18,1122,Aqua,MODIS,100,61.03,305.9,86.3,D,0
32.2326,35.3069,328.7,1,1,2024-05-18,1122,Aqua,MODIS,65,61.03,302.9,15.1,D,2
32.1728,35.1429,305.4,1.8,1.3,2024-05-18,1932,Terra,MODIS,64,61.03,290.7,16.3,N,0
32.1745,35.162,305.9,1.9,1.3,2024-05-18,1932,Terra,MODIS,66,61.03,290.7,17.4,N,0
31.8438,35.2488,337.9,1.2,1.1,2024-05-19,0735,Terra,MODIS,83,61.03,302.2,37.2,D,2
31.8423,35.2608,332.9,1.2,1.1,2024-05-19,0735,Terra,MODIS,76,61.03,304.1,26.8,D,0
31.4299,35.0267,325.6,1.7,1.3,2024-05-20,1105,Aqua,MODIS,60,61.03,308.5,15,D,0
31.8767,35.2341,300.1,1.2,1.1,2024-05-25,1920,Terra,MODIS,15,61.03,288,6.9,N,2
31.7022,35.1137,303.5,1.2,1.1,2024-05-25,1920,Terra,MODIS,55,61.03,288.6,9.5,N,0
31.8223,35.1909,301.6,1.2,1.1,2024-05-25,1920,Terra,MODIS,14,61.03,288.2,7,N,2
31.8378,35.2405,304.7,1.2,1.1,2024-05-25,1920,Terra,MODIS,61,61.03,289.1,9.2,N,2
31.9264,35.0421,314.5,1.2,1.1,2024-05-25,1920,Terra,MODIS,89,61.03,291.1,17.4,N,2
31.936,35.0404,315.6,1.2,1.1,2024-05-25,1920,Terra,MODIS,92,61.03,291.5,18.4,N,0
31.9346,35.0281,302.3,1.2,1.1,2024-05-25,1920,Terra,MODIS,10,61.03,291.3,5.6,N,0
31.7971,35.1963,323.9,2,1.4,2024-05-26,1153,Aqua,MODIS,57,61.03,307.4,24.7,D,2
31.2613,34.2868,327.3,1,1,2024-05-29,0746,Terra,MODIS,69,61.03,301.3,13.4,D,0
32.2352,35.3658,313.1,1,1,2024-06-01,1908,Terra,MODIS,86,61.03,296,10.7,N,0
32.0736,35.3484,334.1,1,1,2024-06-21,1133,Aqua,MODIS,59,61.03,318.6,10.4,D,0
32.084,35.3575,332.8,1,1,2024-06-21,1133,Aqua,MODIS,44,61.03,319.2,7.3,D,0
32.0825,35.3467,345.6,1,1,2024-06-21,1133,Aqua,MODIS,87,61.03,320.6,30.4,D,0
31.4972,34.4983,328,1.9,1.3,2024-06-24,1157,Aqua,MODIS,58,61.03,310.9,21.4,D,0
31.9884,35.2047,309.3,1.1,1.1,2024-06-25,0000,Aqua,MODIS,77,61.03,290.4,11.8,N,0
31.9949,35.1995,301.9,1.1,1.1,2024-06-25,0000,Aqua,MODIS,44,61.03,290.5,5.4,N,0
31.9934,35.2112,302.6,1.1,1.1,2024-06-25,0000,Aqua,MODIS,50,61.03,289.9,6.1,N,0
32.2283,35.3798,311.8,1.1,1.1,2024-06-25,1854,Terra,MODIS,82,61.03,299.2,9.3,N,0
32.2265,35.3689,331,1.1,1.1,2024-06-25,1854,Terra,MODIS,100,61.03,298.8,33.5,N,0
31.7968,35.2473,306.6,1.2,1.1,2024-06-25,1854,Terra,MODIS,63,61.03,295.6,6.6,N,2
32.4303,35.0676,340.8,1.2,1.1,2024-06-26,1140,Aqua,MODIS,81,61.03,311.9,33.1,D,0
32.4074,35.3229,335.6,1,1,2024-07-03,1131,Aqua,MODIS,72,61.03,314.5,16.2,D,0
32.4059,35.3125,331.3,1,1,2024-07-03,1131,Aqua,MODIS,55,61.03,315.6,10.3,D,0
32.206,35.3682,345.3,1.5,1.2,2024-07-04,0724,Terra,MODIS,88,61.03,312.6,67.5,D,0
32.2119,35.4039,311.4,3.3,1.7,2024-07-04,1824,Terra,MODIS,78,61.03,298.6,41.8,N,0
32.2058,35.3767,308,3.3,1.7,2024-07-04,1824,Terra,MODIS,63,61.03,296.4,30.1,N,0
32.2108,35.4006,314.1,3.3,1.7,2024-07-04,1824,Terra,MODIS,86,61.03,298.5,54.2,N,0
32.2057,35.3483,305.4,1,1,2024-07-05,0014,Aqua,MODIS,64,61.03,294.4,6.1,N,0
32.2067,35.3521,330.9,1.5,1.2,2024-07-05,0804,Terra,MODIS,69,61.03,311.9,25.7,D,0
32.1959,35.3505,333.7,1.5,1.2,2024-07-05,0804,Terra,MODIS,75,61.03,311.3,31.8,D,0
31.8218,35.1613,322.2,1,1,2024-07-07,0747,Terra,MODIS,39,61.03,306.1,8.4,D,0
32.0963,35.2503,326,2.3,1.5,2024-07-15,0814,Terra,MODIS,66,61.03,301.2,47.1,D,0
32.3479,35.0317,347.7,1,1,2024-07-20,1134,Aqua,MODIS,90,61.03,309.4,40,D,0
32.3829,35.5579,353.7,1.4,1.2,2024-07-24,1843,Terra,MODIS,100,61.03,301.5,111.1,N,0
32.3749,35.5505,323,1.4,1.2,2024-07-24,1843,Terra,MODIS,100,61.03,300.1,26.7,N,0
32.3803,35.5435,312.8,1.4,1.2,2024-07-24,1843,Terra,MODIS,83,61.03,299.6,11.2,N,0
31.5416,34.5261,334.3,1.1,1,2024-07-25,1141,Aqua,MODIS,70,61.03,315.1,14,D,0
32.3814,35.2078,312.3,1.1,1,2024-07-29,0007,Aqua,MODIS,84,61.03,296.1,10.6,N,0
32.3015,35.1784,325.4,1.4,1.2,2024-08-03,1113,Aqua,MODIS,24,61.03,311.6,13.8,D,0
32.2533,35.2388,330.3,1,1,2024-08-06,1137,Aqua,MODIS,58,61.03,312.7,11.5,D,0
32.2518,35.2282,328.4,1,1,2024-08-06,1137,Aqua,MODIS,36,61.03,312.5,9,D,0
32.2608,35.2264,328.5,1,1,2024-08-06,1137,Aqua,MODIS,19,61.03,312.7,8.5,D,0
32.2765,35.1207,358.2,1.1,1,2024-08-13,1126,Aqua,MODIS,98,61.03,314.1,69,D,0
32.2748,35.1098,340.7,1.1,1,2024-08-13,1126,Aqua,MODIS,83,61.03,314.9,28.7,D,0
32.0454,34.9795,344.3,1.8,1.3,2024-08-15,1109,Aqua,MODIS,88,61.03,309.4,81.5,D,0
31.9428,35.167,329.6,1,1,2024-08-18,1132,Aqua,MODIS,53,61.03,306,12.1,D,0
31.6236,35.0812,303.5,2,1.4,2024-08-21,1929,Terra,MODIS,53,61.03,293.4,12.6,N,0
31.6277,35.0753,307.1,2,1.4,2024-08-21,1929,Terra,MODIS,69,61.03,293.8,18.6,N,0
31.6305,35.148,339.1,1,1,2024-08-23,1137,Aqua,MODIS,80,61.03,313.5,25.5,D,0
32.2176,35.1217,345.9,1.3,1.1,2024-09-11,1119,Aqua,MODIS,90,61.03,309.5,59.3,D,0
32.2151,35.108,332.8,1.3,1.1,2024-09-11,1119,Aqua,MODIS,74,61.03,310.3,26.2,D,0
32.2275,35.1188,332.1,1.3,1.1,2024-09-11,1119,Aqua,MODIS,73,61.03,310,25.1,D,0
32.2251,35.1052,332.1,1.3,1.1,2024-09-11,1119,Aqua,MODIS,73,61.03,310.8,24.7,D,0
32.235,35.1026,328.3,1.3,1.1,2024-09-11,1119,Aqua,MODIS,63,61.03,310.9,18.2,D,0
32.431,35.1879,330.8,1.8,1.3,2024-09-12,1159,Aqua,MODIS,66,61.03,308,32.5,D,0
32.3213,35.2657,322.8,1.1,1.1,2024-09-13,0731,Terra,MODIS,47,61.03,308.2,9.4,D,0
31.9859,35.1981,326.9,1.1,1,2024-09-14,1141,Aqua,MODIS,67,61.03,306.9,14.7,D,0
32.4525,35.1711,323.6,1.1,1,2024-09-14,1142,Aqua,MODIS,55,61.03,309,9.2,D,0
31.8566,35.2366,328.7,4.2,1.9,2024-10-17,1052,Aqua,MODIS,77,61.03,293.8,180.6,D,2
31.8617,35.2275,330.6,4.2,1.9,2024-10-17,1052,Aqua,MODIS,79,61.03,294.2,202.3,D,2
32.169,35.1493,321.3,1,1,2024-10-18,1858,Terra,MODIS,100,61.03,289.1,20.2,N,0
32.1704,35.1596,317.4,1,1,2024-10-18,1858,Terra,MODIS,95,61.03,289.5,16.5,N,0
32.0617,35.3131,315.5,2.7,1.6,2024-10-19,1211,Aqua,MODIS,56,61.03,299.5,30.5,D,0
31.9269,35.1446,334.3,1,1,2024-10-23,1135,Aqua,MODIS,86,61.03,301.3,30.5,D,0
31.9254,35.1342,336.7,1,1,2024-10-23,1135,Aqua,MODIS,87,61.03,299.9,34,D,0
32.2147,35.1465,339.9,1.1,1,2024-10-25,0744,Terra,MODIS,90,61.03,299.8,42.1,D,0
32.213,35.1572,335.9,1.1,1,2024-10-25,0744,Terra,MODIS,88,61.03,299.4,35.5,D,0
32.2057,35.1445,337.2,1.1,1,2024-10-25,0744,Terra,MODIS,89,61.03,300,37.6,D,0
32.204,35.1553,365.6,1.1,1,2024-10-25,0744,Terra,MODIS,100,61.03,302.2,106.4,D,0
32.2023,35.1661,311.9,1.1,1,2024-10-25,0744,Terra,MODIS,63,61.03,297.1,7.7,D,0
32.103,35.1495,306.8,1.1,1,2024-10-25,0744,Terra,MODIS,40,61.03,296.7,4.2,D,0
32.0456,35.2208,324.6,1.1,1,2024-10-25,0744,Terra,MODIS,80,61.03,297.2,21.7,D,0
32.0366,35.2189,326.8,1.1,1,2024-10-25,0744,Terra,MODIS,82,61.03,295.1,23.4,D,0
31.4638,35.1489,306.3,1.1,1,2024-10-25,0745,Terra,MODIS,31,61.03,291.9,4.9,D,0
32.3151,35.064,312.1,1.6,1.3,2024-10-25,1117,Aqua,MODIS,51,61.03,298,10,D,2
31.9154,35.1187,310,1.6,1.3,2024-10-25,1117,Aqua,MODIS,37,61.03,296.5,9.3,D,0
31.7057,35.0947,300.1,1.3,1.1,2024-10-25,1844,Terra,MODIS,16,61.03,288.6,6.5,N,0
32.3181,35.1593,310,4.2,1.9,2024-10-26,0824,Terra,MODIS,24,61.03,296.4,43.8,D,0
32.3127,35.153,310.3,4.2,1.9,2024-10-26,0824,Terra,MODIS,36,61.03,297,48,D,0
32.0531,35.2797,325,1.2,1.1,2024-10-27,0726,Terra,MODIS,79,61.03,299.5,22.3,D,0
32.1879,35.0264,312.6,1,1,2024-11-07,1145,Aqua,MODIS,56,61.03,301.8,5.4,D,0
31.8206,34.9663,307.2,1,1,2024-11-21,0743,Terra,MODIS,56,61.03,293.6,5.7,D,0
