latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.0916,-80.536,346.2,1,1,2024-01-05,1916,Aqua,MODIS,93,61.03,302,45.9,D,0
7.9855,-80.3715,320.3,1,1,2024-01-05,1916,Aqua,MODIS,69,61.03,299,9.8,D,0
8.0929,-80.5271,317.3,1,1,2024-01-05,1916,Aqua,MODIS,50,61.03,299,6.6,D,0
8.8719,-78.1942,304.4,1.1,1.1,2024-01-06,0312,Terra,MODIS,58,61.03,294.1,5.4,N,0
8.5284,-79.9175,318.1,1.3,1.1,2024-01-07,1901,Aqua,MODIS,52,61.03,301.6,10.2,D,2
8.4576,-80.3694,316.7,1.4,1.2,2024-01-07,1901,Aqua,MODIS,66,61.03,299,11.8,D,0
8.8413,-79.8034,308,1.4,1.2,2024-01-08,0255,Terra,MODIS,73,61.03,295.1,10.2,N,2
8.4689,-80.3652,308.4,1.5,1.2,2024-01-08,0255,Terra,MODIS,73,61.03,295.3,11.8,N,0
8.9218,-79.7925,316.1,1,1,2024-01-12,1911,Aqua,MODIS,64,61.03,299.9,5.9,D,0
9.3351,-79.8869,311.3,3.2,1.7,2024-01-16,1840,Aqua,MODIS,0,61.03,297.6,28.9,D,2
8.3637,-80.1521,324,1.1,1,2024-01-17,1921,Aqua,MODIS,60,61.03,301.9,11.3,D,0
9.0522,-79.3139,319.9,1.2,1.1,2024-01-17,1921,Aqua,MODIS,70,61.03,301.1,10.1,D,0
8.4193,-80.5359,320,1,1,2024-01-17,1921,Aqua,MODIS,68,61.03,303.8,6.9,D,0
8.3544,-80.2178,323,1.1,1,2024-01-17,1921,Aqua,MODIS,71,61.03,303,11.6,D,0
8.3624,-80.1615,323.6,1.1,1,2024-01-17,1921,Aqua,MODIS,68,61.03,302.5,11.1,D,0
8.0975,-80.7853,311.6,1.1,1,2024-01-18,0308,Terra,MODIS,81,61.03,293.8,10.1,N,0
8.0962,-80.7947,312.6,1.1,1,2024-01-18,0308,Terra,MODIS,84,61.03,293.9,11,N,0
8.444,-80.6265,330.6,1,1,2024-01-18,1524,Terra,MODIS,84,61.03,302.6,21.3,D,0
9.0455,-79.5779,303.4,4.5,1.9,2024-01-19,0349,Terra,MODIS,55,61.03,292.7,34.7,N,0
9.0509,-79.5615,334.3,1.1,1,2024-01-19,1906,Aqua,MODIS,87,61.03,304.1,30.1,D,0
9.0601,-79.5629,328.8,1.1,1,2024-01-19,1906,Aqua,MODIS,83,61.03,303.4,22.1,D,0
9.0587,-79.5725,314.2,1.1,1,2024-01-19,1906,Aqua,MODIS,33,61.03,301.2,5.8,D,0
8.7179,-80.4693,313,1.2,1.1,2024-01-19,1906,Aqua,MODIS,64,61.03,296.7,9.8,D,0
9.0494,-79.5712,317.5,1.1,1,2024-01-19,1906,Aqua,MODIS,59,61.03,303,8.8,D,0
8.3537,-80.4942,307.4,1.7,1.3,2024-01-21,0332,Terra,MODIS,68,61.03,294,11.3,N,0
8.3556,-80.4793,307.6,1.7,1.3,2024-01-21,0332,Terra,MODIS,71,61.03,293.8,11.5,N,0
8.365,-80.4957,306,1.7,1.3,2024-01-21,0332,Terra,MODIS,45,61.03,293.2,9.2,N,0
8.367,-80.4806,305.1,1.7,1.3,2024-01-21,0332,Terra,MODIS,32,61.03,292.7,8,N,0
8.275,-78.1613,310.4,1.6,1.2,2024-01-21,1850,Aqua,MODIS,48,61.03,294,8.4,D,0
8.3676,-80.2688,320.1,1.4,1.2,2024-01-22,1931,Aqua,MODIS,66,61.03,303.2,11.7,D,0
8.333,-80.2453,320.9,1.4,1.2,2024-01-22,1931,Aqua,MODIS,23,61.03,301.8,14.4,D,0
8.0901,-81.4197,321,1.2,1.1,2024-01-22,1931,Aqua,MODIS,66,61.03,302.2,12.6,D,0
8.0868,-81.4125,320.3,1.2,1.1,2024-01-22,1931,Aqua,MODIS,63,61.03,301.9,10.8,D,0
8.3893,-82.6482,327.5,1.1,1,2024-01-22,1932,Aqua,MODIS,73,61.03,303,15.5,D,0
8.354,-80.5808,316.2,1,1,2024-01-23,0315,Terra,MODIS,92,61.03,296.6,11.7,N,0
8.5414,-80.5356,319.6,1,1,2024-01-24,1916,Aqua,MODIS,68,61.03,303.8,5.8,D,0
8.3484,-80.2691,320.9,1,1,2024-01-24,1916,Aqua,MODIS,45,61.03,303.3,6.9,D,0
8.3967,-80.2008,323.2,1,1,2024-01-24,1916,Aqua,MODIS,70,61.03,302.4,10.5,D,0
8.4155,-82.536,308.5,1.9,1.4,2024-01-25,0258,Terra,MODIS,75,61.03,294,17.8,N,0
