latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.1222,141.9246,318,1.5,1.2,2024-01-01,0453,Aqua,MODIS,38,61.03,289.9,15.1,D,0
-8.9571,141.3448,340,1.4,1.2,2024-01-01,0453,Aqua,MODIS,89,61.03,293.3,57.2,D,0
-8.9552,141.357,318.9,1.4,1.2,2024-01-01,0453,Aqua,MODIS,61,61.03,292.4,14.8,D,0
-8.9674,141.3465,333.5,1.4,1.2,2024-01-01,0453,Aqua,MODIS,74,61.03,294.9,40.2,D,0
-6.2293,155.566,311.6,1.1,1.1,2024-01-01,2339,Terra,MODIS,34,61.03,296.6,6.1,D,2
-8.0133,147.6585,311.4,1.5,1.2,2024-01-02,0357,Aqua,MODIS,48,61.03,291.3,12.9,D,0
-5.9373,147.0596,318,1.5,1.2,2024-01-02,0357,Aqua,MODIS,49,61.03,299.3,15.9,D,0
-7.0817,146.9245,310.3,1.6,1.3,2024-01-02,0357,Aqua,MODIS,67,61.03,292.1,12.4,D,0
-6.1764,145.5871,315.8,1.2,1.1,2024-01-03,0019,Terra,MODIS,74,61.03,295.1,14.7,D,0
-5.5035,145.9055,314.2,1.2,1.1,2024-01-03,0019,Terra,MODIS,68,61.03,298.6,8.5,D,0
-8.7471,142.2162,315.1,1,1,2024-01-03,0020,Terra,MODIS,41,61.03,296.5,7.9,D,0
-3.9115,143.0587,320.2,1.2,1.1,2024-01-03,0439,Aqua,MODIS,60,61.03,297.7,11.3,D,0
-3.9099,143.0692,372,1.2,1.1,2024-01-03,0439,Aqua,MODIS,94,61.03,297.9,146.1,D,0
-5.51,143.5295,310,1.2,1.1,2024-01-03,0439,Aqua,MODIS,49,61.03,293.3,7.9,D,0
-3.8749,141.8054,311.9,1,1,2024-01-03,0439,Aqua,MODIS,55,61.03,291,5.2,D,0
-3.8615,143.0339,314.3,1.2,1.1,2024-01-03,0439,Aqua,MODIS,59,61.03,297,5.9,D,0
-3.9019,143.0573,326.8,1.2,1.1,2024-01-03,0439,Aqua,MODIS,75,61.03,295.4,19.9,D,0
-3.8735,141.8147,311.3,1,1,2024-01-03,0439,Aqua,MODIS,52,61.03,292.5,4.6,D,0
-8.0931,147.4229,312.2,3.2,1.7,2024-01-04,0341,Aqua,MODIS,45,61.03,286.3,41.7,D,0
-8.0908,147.4411,314,3.2,1.7,2024-01-04,0341,Aqua,MODIS,60,61.03,286.2,52.5,D,0
-4.0997,145.0645,319.3,1.2,1.1,2024-01-05,0002,Terra,MODIS,0,61.03,297,13.6,D,1
-5.1126,141.51,310.2,1.3,1.1,2024-01-05,0423,Aqua,MODIS,66,61.03,296,9.2,D,0
-5.9089,142.759,303.8,1.1,1.1,2024-01-05,0423,Aqua,MODIS,0,61.03,286.3,3,D,0
-4.0601,145.0598,314.1,1,1,2024-01-05,0424,Aqua,MODIS,37,61.03,293.5,7.4,D,1
-4.0967,145.0617,314.4,1,1,2024-01-05,0424,Aqua,MODIS,0,61.03,294.9,8.7,D,1
-3.9093,143.4283,323.9,1,1,2024-01-05,0424,Aqua,MODIS,78,61.03,299,15.6,D,0
-3.9002,143.427,331.4,1,1,2024-01-05,0424,Aqua,MODIS,84,61.03,298.8,23.8,D,0
-3.8921,142.0563,345.3,1.2,1.1,2024-01-05,0424,Aqua,MODIS,93,61.03,295,57.7,D,0
-3.8935,142.0459,326,1.2,1.1,2024-01-05,0424,Aqua,MODIS,80,61.03,297,21.7,D,0
-3.8825,142.0549,316.5,1.2,1.1,2024-01-05,0424,Aqua,MODIS,64,61.03,294.8,9.6,D,0
-3.4759,143.3627,312.1,1,1,2024-01-05,0424,Aqua,MODIS,65,61.03,297.1,6.1,D,0
-9.1134,141.3085,314.7,1.6,1.3,2024-01-06,0044,Terra,MODIS,34,61.03,288.2,18.4,D,0
-8.8914,141.0077,312.7,2,1.4,2024-01-06,0504,Aqua,MODIS,55,61.03,283.3,14.9,D,0
-3.9595,143.1995,340.4,1.8,1.3,2024-01-08,0449,Aqua,MODIS,86,61.03,288.7,86,D,0
-3.9503,143.1819,384.6,1.8,1.3,2024-01-08,0449,Aqua,MODIS,100,61.03,291.7,386.6,D,0
-3.9606,143.209,323.2,1.8,1.3,2024-01-08,0449,Aqua,MODIS,0,61.03,285.3,32.2,D,0
-3.9629,143.1931,341.8,1.8,1.3,2024-01-08,0449,Aqua,MODIS,86,61.03,290.4,91.3,D,0
-3.9513,143.1913,353.1,1.8,1.3,2024-01-08,0449,Aqua,MODIS,91,61.03,289.2,141,D,0
-3.9396,143.1895,347.5,1.8,1.3,2024-01-08,0449,Aqua,MODIS,89,61.03,289.5,113.7,D,0
