latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-22.5367,-60.1435,318.4,1.1,1,2024-01-01,1351,Terra,MODIS,19,61.03,299.8,10.9,D,0
-22.5175,-60.0012,317.9,1.1,1,2024-01-01,1351,Terra,MODIS,46,61.03,298.7,12.2,D,0
-24.8937,-55.5455,315.1,2.3,1.5,2024-01-01,1351,Terra,MODIS,45,61.03,296.5,22.6,D,0
-23.3459,-60.4172,321.3,1.1,1,2024-01-01,1351,Terra,MODIS,52,61.03,300.3,13.5,D,0
-23.1516,-60.565,317.5,1.1,1,2024-01-01,1351,Terra,MODIS,41,61.03,298.9,9.8,D,0
-26.0611,-57.7832,313.7,1.6,1.3,2024-01-01,1352,Terra,MODIS,60,61.03,294.8,11.8,D,0
-26.3222,-57.6871,311.6,1.7,1.3,2024-01-01,1352,Terra,MODIS,25,61.03,293.9,8.1,D,0
-26.2189,-58.0151,314.7,1.6,1.2,2024-01-01,1352,Terra,MODIS,46,61.03,295.2,12.4,D,0
-26.2165,-58.024,313.4,1.6,1.2,2024-01-01,1352,Terra,MODIS,58,61.03,295.1,11.7,D,0
-26.0607,-57.7895,314,1.6,1.3,2024-01-01,1352,Terra,MODIS,43,61.03,294.8,11.4,D,0
-27.0155,-56.0261,318.1,1,1,2024-01-01,1758,Aqua,MODIS,44,61.03,302.5,6.6,D,0
-25.0638,-54.7265,314.6,1,1,2024-01-01,1759,Aqua,MODIS,19,61.03,296.9,4.6,D,0
-26.5574,-56.0362,318.1,1,1,2024-01-01,1759,Aqua,MODIS,47,61.03,301.3,8,D,0
-23.7893,-57.944,326.6,1.1,1,2024-01-01,1759,Aqua,MODIS,34,61.03,303.9,13.8,D,0
-25.1717,-55.137,327.6,1,1,2024-01-01,1759,Aqua,MODIS,42,61.03,307,17.5,D,0
-25.2212,-55.1587,325.8,1,1,2024-01-01,1759,Aqua,MODIS,77,61.03,305.8,15.6,D,0
-23.2071,-55.7983,321.8,1,1,2024-01-01,1800,Aqua,MODIS,25,61.03,300,8.7,D,0
-21.8395,-61.2137,301.6,1.3,1.1,2024-01-03,0536,Aqua,MODIS,42,61.03,290.9,5.7,N,0
-21.4554,-58.8931,335.7,1,1,2024-01-03,1334,Terra,MODIS,86,61.03,303.6,25.8,D,0
-21.4538,-58.903,326.2,1,1,2024-01-03,1334,Terra,MODIS,48,61.03,303,11.2,D,0
-24.0408,-58.8811,329.2,1,1,2024-01-03,1334,Terra,MODIS,79,61.03,304.5,19.4,D,0
-24.0979,-56.2474,320,1.1,1,2024-01-03,1334,Terra,MODIS,41,61.03,305,10.1,D,0
-23.8794,-57.7815,318.2,1,1,2024-01-03,1334,Terra,MODIS,65,61.03,302.4,8.3,D,0
-23.6974,-58.587,322.5,1,1,2024-01-03,1334,Terra,MODIS,72,61.03,303.3,11.3,D,0
-22.1783,-60.1758,322.4,1.1,1.1,2024-01-03,1334,Terra,MODIS,28,61.03,303.2,10,D,0
-22.4494,-56.2126,322.8,1.1,1,2024-01-03,1334,Terra,MODIS,52,61.03,303.3,16.3,D,0
-21.8629,-58.4574,316,1,1,2024-01-03,1334,Terra,MODIS,49,61.03,296.8,6,D,0
-21.4644,-58.8947,333.8,1,1,2024-01-03,1334,Terra,MODIS,84,61.03,302.2,23.7,D,0
-21.4629,-58.9046,336.8,1,1,2024-01-03,1334,Terra,MODIS,87,61.03,302,27.8,D,0
-24.0497,-58.8826,316.2,1,1,2024-01-03,1334,Terra,MODIS,50,61.03,303.9,5.9,D,0
-27.0905,-56.3304,323.6,1.2,1.1,2024-01-03,1335,Terra,MODIS,77,61.03,301.2,19,D,0
-25.7231,-55.766,312.8,1.3,1.1,2024-01-03,1743,Aqua,MODIS,57,61.03,297.8,8,D,0
-25.6479,-54.9856,319.2,1.2,1.1,2024-01-03,1743,Aqua,MODIS,56,61.03,305,11,D,0
-23.8458,-54.6939,319.3,1.1,1.1,2024-01-03,1744,Aqua,MODIS,32,61.03,304.6,9.8,D,0
-24.6637,-54.8627,319,1.2,1.1,2024-01-03,1744,Aqua,MODIS,41,61.03,304.3,13,D,0
-22.9972,-56.2526,319.5,1.3,1.1,2024-01-03,1744,Aqua,MODIS,54,61.03,302.7,17,D,0
-24.0385,-58.8802,319.8,2,1.4,2024-01-03,1744,Aqua,MODIS,60,61.03,303,20.6,D,0
-21.459,-58.9127,328.9,1.9,1.3,2024-01-03,1745,Aqua,MODIS,67,61.03,292.4,53.4,D,0
