latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-4.8612,-80.8147,330.8,1.1,1.1,2024-01-01,1525,Terra,MODIS,84,61.03,296.7,22.1,D,0
-4.8621,-80.8752,324.6,1.1,1.1,2024-01-01,1525,Terra,MODIS,79,61.03,297,13.4,D,2
-4.9272,-80.3472,312.2,1.2,1.1,2024-01-01,1525,Terra,MODIS,52,61.03,289.9,5.8,D,2
-4.8598,-80.8246,322.7,1.1,1.1,2024-01-01,1525,Terra,MODIS,68,61.03,296.8,10.5,D,0
-5.0971,-80.1665,310.2,1.2,1.1,2024-01-01,1525,Terra,MODIS,25,61.03,288.6,6.3,D,2
-16.3615,-71.3586,332.9,1,1,2024-01-02,1430,Terra,MODIS,81,61.03,298.2,24.5,D,0
-7.6404,-79.2612,328.1,1.1,1,2024-01-03,1927,Aqua,MODIS,81,61.03,301.7,9.7,D,0
-17.4913,-71.3494,328.9,1.9,1.3,2024-01-05,1454,Terra,MODIS,59,61.03,300.1,35.8,D,2
-7.7621,-79.3667,336.7,1.2,1.1,2024-01-05,1912,Aqua,MODIS,87,61.03,299.5,34.3,D,0
-5.7867,-78.6123,314.7,1,1,2024-01-05,1912,Aqua,MODIS,61,61.03,278.4,10.4,D,0
-6.3683,-79.9206,312.4,1.2,1.1,2024-01-05,1912,Aqua,MODIS,51,61.03,274.8,10,D,0
-15.7847,-71.8556,300.9,1,1,2024-01-07,0642,Aqua,MODIS,35,61.03,267.3,10.5,N,1
-9.3076,-74.3508,317.5,1.1,1,2024-01-07,1856,Aqua,MODIS,73,61.03,296.4,10.9,D,0
-8.6624,-74.9346,312.3,1.1,1.1,2024-01-07,1856,Aqua,MODIS,60,61.03,294.1,5.6,D,0
-6.5482,-76.2703,320.8,1.3,1.1,2024-01-07,1856,Aqua,MODIS,77,61.03,298.2,17.2,D,0
-7.0156,-76.3236,325.5,1.3,1.1,2024-01-07,1856,Aqua,MODIS,77,61.03,295.4,22.8,D,0
-7.014,-76.3124,340.7,1.3,1.1,2024-01-07,1856,Aqua,MODIS,91,61.03,297,53,D,0
-7.1726,-76.3547,322.9,1.3,1.1,2024-01-07,1856,Aqua,MODIS,75,61.03,287.5,25.1,D,0
-5.0802,-73.8266,314.3,1,1,2024-01-07,1857,Aqua,MODIS,55,61.03,295.7,5.6,D,0
-5.0789,-73.8177,323.3,1,1,2024-01-07,1857,Aqua,MODIS,79,61.03,296.1,14.6,D,0
-5.8913,-79.8195,334.6,1,1,2024-01-08,1515,Terra,MODIS,84,61.03,296.3,26.1,D,0
-7.8122,-79.3383,328.4,1.5,1.2,2024-01-08,1937,Aqua,MODIS,76,61.03,299,24.8,D,0
-6.4185,-79.7892,328.5,1.4,1.2,2024-01-08,1938,Aqua,MODIS,81,61.03,296.9,19.1,D,0
-17.4913,-71.3564,302.8,1.1,1,2024-01-09,0627,Aqua,MODIS,51,61.03,290,6.9,N,2
-14.798,-71.4102,311.9,1.3,1.1,2024-01-09,1419,Terra,MODIS,41,61.03,297.2,8.5,D,2
-12.7007,-69.1804,330.6,1,1,2024-01-09,1839,Aqua,MODIS,69,61.03,291.3,25.8,D,0
-12.8775,-69.7164,311,1.1,1,2024-01-09,1839,Aqua,MODIS,62,61.03,287.9,6.3,D,0
-12.9295,-69.7737,327.4,1.1,1,2024-01-09,1839,Aqua,MODIS,83,61.03,283,25.8,D,0
-12.6642,-69.0518,308.3,1,1,2024-01-09,1839,Aqua,MODIS,47,61.03,285.6,4.6,D,0
-12.6994,-69.171,313.9,1,1,2024-01-09,1839,Aqua,MODIS,62,61.03,289.7,7.8,D,0
-10.5948,-73.6341,333.9,1.8,1.3,2024-01-09,1840,Aqua,MODIS,88,61.03,292.5,68.3,D,0
-8.5155,-74.9788,330.7,2.1,1.4,2024-01-09,1840,Aqua,MODIS,85,61.03,291.8,70.3,D,0
-8.5703,-75.1047,310.2,2.1,1.4,2024-01-09,1840,Aqua,MODIS,61,61.03,289.5,14.3,D,0
-10.0356,-73.8271,314.6,1.8,1.3,2024-01-09,1840,Aqua,MODIS,71,61.03,291.9,17.9,D,0
-10.0335,-73.8111,330.2,1.8,1.3,2024-01-09,1840,Aqua,MODIS,85,61.03,292.2,55.6,D,0
-8.5179,-74.9974,310.6,2.1,1.4,2024-01-09,1840,Aqua,MODIS,62,61.03,291.3,12.4,D,0
-10.5937,-73.6436,317,1.8,1.3,2024-01-09,1840,Aqua,MODIS,71,61.03,291.1,24.4,D,0
-10.5917,-73.6275,323.4,1.8,1.3,2024-01-09,1840,Aqua,MODIS,81,61.03,292.3,37.8,D,0
-8.1462,-75.1462,313.1,2.1,1.4,2024-01-09,1841,Aqua,MODIS,63,61.03,291.5,22.7,D,0
