latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.0717,120.5784,317.8,1.1,1,2024-01-01,0209,Terra,MODIS,74,61.03,296.7,7.2,D,2
10.2094,122.8975,319.8,1,1,2024-01-02,0540,Aqua,MODIS,30,61.03,294.1,9.9,D,0
10.2531,123.0045,324.5,1,1,2024-01-02,0540,Aqua,MODIS,51,61.03,300.9,11.8,D,0
16.0607,120.9739,308.4,1,1,2024-01-02,0542,Aqua,MODIS,48,61.03,290.7,6.1,D,0
18.1028,120.8687,315.9,1,1,2024-01-02,0542,Aqua,MODIS,60,61.03,295.8,8.8,D,0
15.051,121.0692,308.5,1,1,2024-01-02,0542,Aqua,MODIS,39,61.03,293.3,4.4,D,0
14.962,120.4247,313.9,1.1,1,2024-01-02,0542,Aqua,MODIS,65,61.03,291,9.6,D,0
15.3576,120.0006,314.8,1.1,1.1,2024-01-02,0542,Aqua,MODIS,66,61.03,295.4,7.3,D,0
15.7273,121.0902,327.6,1,1,2024-01-02,0542,Aqua,MODIS,82,61.03,296.9,18.3,D,0
13.2535,123.6855,309,1.1,1,2024-01-02,1340,Terra,MODIS,64,61.03,286.7,10.5,N,1
14.0056,120.9995,304.1,1.1,1.1,2024-01-02,1754,Aqua,MODIS,58,61.03,293.1,6,N,1
13.256,123.6927,302.2,1,1,2024-01-02,1754,Aqua,MODIS,48,61.03,286.3,6,N,1
15.4107,120.6196,324.2,1.2,1.1,2024-01-03,0152,Terra,MODIS,79,61.03,293.7,20.2,D,0
15.4093,120.6302,315.6,1.2,1.1,2024-01-03,0152,Terra,MODIS,67,61.03,293.4,9,D,0
13.9969,120.9953,312.6,1.1,1,2024-01-03,0153,Terra,MODIS,0,61.03,296.2,8.1,D,1
14.8308,120.2876,312.9,1.2,1.1,2024-01-03,0153,Terra,MODIS,26,61.03,295.9,9,D,2
14.4152,120.8921,317.6,1.1,1.1,2024-01-03,0153,Terra,MODIS,66,61.03,294,8.9,D,0
11.007,122.6876,314.6,1,1,2024-01-03,0153,Terra,MODIS,57,61.03,297.4,7.8,D,0
9.5211,123.113,315.1,1,1,2024-01-03,0154,Terra,MODIS,67,61.03,295.2,7.3,D,0
10.3997,122.9146,314,1,1,2024-01-03,0154,Terra,MODIS,62,61.03,297.2,5.3,D,0
10.3916,122.9691,327.3,1,1,2024-01-03,0154,Terra,MODIS,81,61.03,296.6,18.7,D,0
10.3768,123.0693,310,1,1,2024-01-03,0154,Terra,MODIS,25,61.03,291.2,5.3,D,0
10.3635,122.9743,317,1,1,2024-01-03,0154,Terra,MODIS,69,61.03,297,7.6,D,0
