latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.6887,15.9805,305.7,1.3,1.1,2024-01-03,0956,Terra,MODIS,62,61.03,278,16.2,D,2
51.6871,15.9899,301.1,1.6,1.2,2024-01-08,1002,Terra,MODIS,44,61.03,266.9,19.8,D,2
52.5876,19.7031,303.3,1.3,1.1,2024-02-02,0856,Terra,MODIS,55,61.03,269.2,15.4,D,2
50.4136,18.1429,302.9,1,1,2024-02-10,0927,Terra,MODIS,47,61.03,282,7.8,D,2
51.6874,15.9848,306.9,1.1,1.1,2024-02-14,0125,Aqua,MODIS,70,61.03,271.1,16,N,2
51.6848,15.9862,308.8,1.5,1.2,2024-02-24,0905,Terra,MODIS,64,61.03,281.7,20.7,D,2
51.129,22.0529,300,1,1,2024-02-25,1158,Aqua,MODIS,20,61.03,281.4,5.8,D,0
52.4976,14.6958,300.7,1.1,1.1,2024-03-01,0951,Terra,MODIS,41,61.03,282.7,6.9,D,0
53.8096,14.9126,315.1,1,1,2024-03-01,1208,Aqua,MODIS,75,61.03,284.2,15.9,D,0
51.6827,15.9857,306.5,1.9,1.4,2024-03-02,0854,Terra,MODIS,55,61.03,277.8,26.7,D,2
51.6872,15.9922,302.7,1.9,1.4,2024-03-02,0854,Terra,MODIS,44,61.03,274.9,20.8,D,2
52.0785,18.6523,304.9,1.1,1.1,2024-03-03,0934,Terra,MODIS,60,61.03,283.4,9.8,D,0
50.3291,19.28,302.1,1.1,1.1,2024-03-03,1151,Aqua,MODIS,51,61.03,287.2,7.3,D,2
50.3334,19.2938,303.9,1,1,2024-03-04,0123,Aqua,MODIS,57,61.03,278,10.2,N,2
52.9477,17.1966,307.7,1.1,1.1,2024-03-08,0940,Terra,MODIS,62,61.03,278,13.2,D,0
52.8403,17.2364,306.1,1.1,1.1,2024-03-08,0940,Terra,MODIS,55,61.03,279.1,12.5,D,0
52.8102,17.2394,301.1,1.1,1.1,2024-03-08,0940,Terra,MODIS,44,61.03,280.2,8.1,D,2
